,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-2.6,-4.6,-0.2,,,200.4,25.6,,,
1,1980-02,2.2,0.2,5.0,,,167.0,27.8,,,
2,1980-03,3.5,0.7,7.0,,,105.6,35.3,,,
3,1980-04,8.1,4.6,12.3,,,,29.1,,,
4,1980-05,12.9,8.0,17.9,,,,,,,
5,1980-06,17.7,14.0,22.2,,,,27.4,,,
6,1980-07,17.7,14.5,21.7,,,,,,,
7,1980-08,18.5,15.1,22.7,,,224.3,28.4,,,
8,1980-09,16.0,12.5,20.2,,,201.0,26.3,,,
9,1980-10,10.2,7.9,13.2,,,215.3,39.6,,,
10,1980-11,4.6,2.7,6.5,,,,,,,
11,1980-12,2.6,0.9,4.4,,,224.2,42.9,,,
12,1981-01,0.1,-1.7,2.0,59.5,90.0,239.7,34.7,97.2,1010.2,
13,1981-02,1.6,-0.2,3.8,26.5,50.0,249.6,35.6,93.6,1012.9,
14,1981-03,7.7,5.0,11.3,118.6,20.0,,35.1,97.2,1002.1,
15,1981-04,9.4,5.7,14.1,26.8,0.0,318.9,27.3,,1012.1,
16,1981-05,16.0,11.5,20.6,34.7,0.0,127.2,,90.0,1006.2,
17,1981-06,17.2,13.7,21.7,54.2,0.0,231.0,27.8,90.0,1009.0,
18,1981-07,18.2,15.0,22.1,92.1,0.0,290.6,24.5,79.2,1008.7,
19,1981-08,17.7,14.2,21.8,50.1,0.0,320.4,27.0,90.0,1011.1,
20,1981-09,15.7,12.2,20.2,46.3,0.0,223.3,22.0,,1011.1,
21,1981-10,10.0,7.6,13.1,69.1,0.0,269.8,35.3,97.2,1003.7,
22,1981-11,6.2,4.3,8.6,51.4,0.0,311.9,43.2,97.2,1011.8,
23,1981-12,-1.5,-3.2,0.5,62.0,90.0,304.6,30.4,93.6,995.4,
24,1982-01,-1.2,-3.3,1.4,46.6,40.0,,,,1011.6,
25,1982-02,1.2,-1.0,4.1,8.6,0.0,181.2,24.8,,1017.5,
26,1982-03,6.7,3.5,10.9,40.2,0.0,,33.7,97.2,1009.9,
27,1982-04,9.1,5.1,13.7,19.7,0.0,310.7,29.7,86.4,1009.4,
28,1982-05,15.5,10.9,20.6,51.4,0.0,245.4,23.8,75.6,1012.6,
29,1982-06,19.0,14.8,23.7,38.8,0.0,268.5,26.7,86.4,1007.5,
30,1982-07,22.1,16.8,27.4,31.2,0.0,27.6,21.6,79.2,1012.5,
31,1982-08,21.2,16.9,26.1,25.5,0.0,266.5,25.4,,1008.6,
32,1982-09,18.8,14.4,24.1,7.1,0.0,254.0,23.8,79.2,1012.8,
33,1982-10,11.9,9.2,15.3,38.2,0.0,216.1,31.9,90.0,1006.9,
34,1982-11,7.9,5.7,10.4,28.8,0.0,261.5,38.7,90.0,1010.2,
35,1982-12,3.7,2.1,5.6,41.3,0.0,273.9,37.4,90.0,1006.1,
36,1983-01,5.6,3.5,7.4,78.0,0.0,291.8,52.1,97.2,1010.9,
37,1983-02,0.4,-1.6,3.1,25.8,60.0,7.7,30.0,82.8,1012.5,
38,1983-03,6.5,4.1,9.5,31.0,0.0,,34.5,97.2,1008.6,
39,1983-04,10.9,7.3,15.1,65.2,0.0,254.1,30.2,97.2,1002.6,
40,1983-05,14.6,11.1,18.9,125.9,0.0,,,,1004.0,
41,1983-06,19.0,14.2,24.5,19.1,0.0,316.2,23.9,61.2,1013.3,
42,1983-07,22.7,17.6,28.2,12.4,0.0,3.7,25.1,75.6,1011.9,
43,1983-08,21.0,16.5,25.9,65.7,0.0,81.1,23.6,79.2,1012.1,
44,1983-09,16.1,12.9,20.2,51.9,0.0,267.0,36.6,93.6,1009.8,
45,1983-10,11.2,8.4,14.4,44.6,0.0,,,97.2,1012.8,
46,1983-11,6.0,3.9,8.6,55.8,0.0,311.0,32.6,97.2,1011.1,
47,1983-12,2.1,0.3,4.2,65.3,40.0,,,,1010.2,
48,1984-01,2.8,1.1,4.9,80.1,50.0,261.4,44.0,93.6,1002.3,
49,1984-02,1.4,-0.5,3.6,42.2,30.0,,,,1015.2,
50,1984-03,3.9,0.9,7.5,13.4,0.0,,,,1011.9,
51,1984-04,9.8,5.8,14.3,41.4,0.0,351.4,21.9,82.8,1013.8,
52,1984-05,14.6,10.8,18.9,91.2,0.0,118.1,,90.0,1002.8,
53,1984-06,15.9,12.8,19.7,62.3,0.0,284.0,32.5,90.0,1007.8,
54,1984-07,18.0,14.6,21.8,32.1,0.0,278.2,29.7,79.2,1010.6,
55,1984-08,20.6,16.6,25.3,58.5,0.0,331.0,22.5,64.8,1012.0,
56,1984-09,14.8,11.9,18.1,63.6,0.0,248.7,33.0,97.2,1003.4,
57,1984-10,12.6,10.1,15.8,52.7,0.0,,,,1010.0,
58,1984-11,5.6,3.6,8.0,47.7,70.0,179.7,38.2,97.2,1007.2,
59,1984-12,1.8,0.2,3.6,32.3,40.0,208.8,32.5,86.4,1017.4,
60,1985-01,-3.7,-5.9,-1.5,46.0,90.0,,29.0,86.4,1005.9,
61,1985-02,-1.6,-4.1,1.6,26.5,30.0,,33.0,97.2,1015.9,
62,1985-03,5.0,2.7,7.9,22.1,40.0,,,,1007.8,
