,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,8.4,,,33.0,,,,,1017.1,8400.0
1,1980-02,8.5,,,13.0,,,,,1018.4,7200.0
2,1980-03,11.0,,,86.0,,,,,1013.1,9720.0
3,1980-04,13.9,,,35.0,,,,,1015.4,
4,1980-05,18.5,,,12.0,,,,,1011.3,16980.0
5,1980-06,24.0,,,24.0,,,,,1011.7,20160.0
6,1980-07,27.5,,,0.0,,,,,1010.2,23100.0
7,1980-08,26.4,,,2.0,,,,,1012.0,21240.0
8,1980-09,22.6,,,0.0,,,,,1017.1,17160.0
9,1980-10,19.3,,,102.0,,,,,1015.0,11880.0
10,1980-11,16.4,,,29.0,,,,,1016.7,10380.0
11,1980-12,11.1,,,77.0,,,,,1015.4,9180.0
12,1981-01,7.0,,,92.0,,,,,1018.2,7140.0
13,1981-02,9.2,,,31.0,,,,,1016.2,8760.0
14,1981-03,13.5,,,24.0,,,,,1014.1,13500.0
15,1981-04,15.7,,,37.0,,,,,1014.9,14640.0
16,1981-05,18.8,,,3.0,,,,,1013.6,18060.0
17,1981-06,25.7,,,0.0,,,,,1012.8,20760.0
18,1981-07,26.4,,,2.0,,,,,1011.5,22200.0
19,1981-08,26.4,,,0.0,,,,,1013.1,21300.0
20,1981-09,23.8,,,0.0,,,,,1015.8,17520.0
21,1981-10,20.9,,,23.0,,,,,1016.6,14820.0
22,1981-11,12.8,,,32.0,,,,,1017.4,12120.0
23,1981-12,13.3,,,86.0,,,,,1009.6,8940.0
24,1982-01,9.7,,,29.0,,,,,1018.2,7920.0
25,1982-02,7.5,,,57.0,,,,,1019.1,6840.0
26,1982-03,10.1,,,52.0,,,,,1016.4,10800.0
27,1982-04,14.2,,,53.0,,,,,1011.7,12180.0
28,1982-05,19.5,,,27.0,,,,,1017.1,17520.0
29,1982-06,25.0,,,0.5,,,,,1014.0,21420.0
30,1982-07,26.0,,,10.0,,,,,1010.0,21480.0
31,1982-08,26.6,,,1.0,,,,,1012.6,20520.0
32,1982-09,24.5,,,0.5,,,,,1016.8,18060.0
33,1982-10,19.2,,,18.0,,,,,1014.0,14400.0
34,1982-11,13.3,,,65.0,,,,,1020.6,9120.0
35,1982-12,11.3,,,87.0,,,,,1017.6,9120.0
36,1983-01,8.8,,,2.0,,,,,,10980.0
37,1983-02,7.5,,,77.0,,,,,,9720.0
38,1983-03,11.3,,,44.0,,,,,1014.7,12480.0
39,1983-04,16.7,,,12.0,,,,,1012.2,14820.0
40,1983-05,21.4,,,25.0,,,,,1009.3,17640.0
41,1983-06,22.9,,,14.0,,,,,,18960.0
42,1983-07,26.8,,,5.0,,,,,1011.7,20040.0
43,1983-08,25.6,,,15.0,,,,,1010.1,20280.0
44,1983-09,22.9,,,3.0,,,,,1012.4,17160.0
45,1983-10,17.4,,,22.0,,,,,1017.3,13140.0
46,1983-11,13.1,,,73.0,,,,,1015.7,4200.0
47,1983-12,10.6,,,77.0,,,,,1015.5,8400.0
48,1984-01,10.9,,,34.0,,,,,1014.1,10140.0
49,1984-02,10.3,,,34.0,,,,,1014.3,8400.0
50,1984-03,10.8,,,85.0,,,,,1009.3,7980.0
51,1984-04,13.4,,,116.0,,,,,1010.0,9480.0
52,1984-05,20.7,,,2.0,,,,,1009.1,18000.0
53,1984-06,23.9,,,0.0,,,,,1010.9,21660.0
54,1984-07,26.2,,,23.0,,,,,1010.5,21780.0
55,1984-08,24.9,,,10.0,,,,,1011.1,18900.0
56,1984-09,24.0,,,0.0,,,,,1010.8,18240.0
57,1984-10,20.7,,,1.0,,,,,1016.8,15900.0
58,1984-11,14.4,,,20.0,,,,,1014.3,8820.0
59,1984-12,10.4,,,50.0,,,,,1020.8,7500.0
60,1985-01,10.1,,,75.0,,,,,1012.2,7800.0
61,1985-02,8.1,,,27.0,,,,,1017.3,7800.0
62,1985-03,10.9,,,85.0,,,,,1017.3,7800.0
63,1985-04,16.7,,,32.0,,,,,1012.5,14580.0
64,1985-05,21.6,,,9.0,,,,,1011.0,16560.0
