,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,20.8,28.4,52.7,0.0,,,55.4,,14088.0
1,1980-02,,22.3,28.1,375.9,0.0,,,64.8,,9408.0
2,1980-03,,22.1,28.5,87.0,0.0,,,61.2,,13374.0
3,1980-04,,23.0,29.5,74.3,0.0,,,51.8,,12942.0
4,1980-05,,23.3,29.4,218.4,0.0,,,,,9744.0
5,1980-06,,23.6,29.2,202.2,0.0,,,51.8,,8934.0
6,1980-07,,22.8,30.0,277.8,0.0,,,51.8,,7638.0
7,1980-08,,23.0,30.5,239.4,0.0,,,51.8,,7740.0
8,1980-09,,22.9,29.7,618.3,0.0,,,66.6,,7104.0
9,1980-10,,23.1,30.0,305.5,0.0,,,63.0,,7752.0
10,1980-11,,23.5,30.2,197.1,0.0,,,48.2,,6390.0
11,1980-12,,21.6,29.5,156.0,0.0,,,66.6,,5418.0
12,1981-01,,22.3,29.0,229.8,0.0,,,59.0,,8670.0
13,1981-02,,21.0,28.9,62.1,0.0,,,53.6,,10062.0
14,1981-03,,21.7,29.4,98.6,0.0,,,61.2,,12480.0
15,1981-04,,22.6,30.2,168.1,0.0,,,68.4,,9888.0
16,1981-05,,23.0,30.5,144.4,0.0,,,53.6,,7890.0
17,1981-06,,22.9,30.6,155.5,0.0,,,48.2,,7746.0
18,1981-07,,22.4,30.2,334.7,0.0,,,70.2,,6096.0
19,1981-08,,22.4,29.7,439.5,0.0,,,81.4,,2850.0
20,1981-09,,22.5,30.5,247.4,0.0,,,55.4,,6852.0
21,1981-10,,22.5,30.6,379.4,0.0,,,59.0,,5754.0
22,1981-11,,22.5,30.0,395.7,0.0,,,,,2682.0
23,1981-12,,23.0,29.3,183.3,0.0,,,92.5,,1824.0
24,1982-01,,21.1,29.3,74.4,0.0,,,64.8,,7614.0
25,1982-02,,21.4,28.3,222.8,0.0,,,55.4,,4644.0
26,1982-03,,21.3,29.1,62.5,0.0,,,55.4,,9480.0
27,1982-04,,21.4,30.5,25.5,0.0,,,44.3,,8694.0
28,1982-05,,22.6,30.2,161.4,0.0,,,51.8,,5352.0
29,1982-06,,22.7,30.2,222.8,0.0,,,64.8,,6696.0
30,1982-07,,22.4,29.5,345.9,0.0,,,72.0,,4302.0
31,1982-08,,22.0,29.8,160.5,0.0,,,53.6,,6888.0
32,1982-09,,22.2,29.6,689.2,0.0,,,64.8,,4368.0
33,1982-10,,21.0,29.5,301.4,0.0,,,83.2,,4710.0
34,1982-11,,22.8,28.9,237.2,0.0,,,53.6,,5112.0
35,1982-12,,22.0,28.4,160.9,0.0,,,64.8,,6120.0
36,1983-01,,19.6,28.2,33.5,0.0,,,57.2,,14466.0
37,1983-02,,19.0,28.8,30.8,0.0,,,51.8,,8856.0
38,1983-03,,19.6,28.8,85.0,0.0,,,59.0,,9282.0
39,1983-04,,20.4,30.3,46.9,0.0,,,55.4,,13974.0
40,1983-05,,21.4,31.2,28.1,0.0,,,51.8,,15450.0
41,1983-06,,21.9,32.2,20.5,0.0,,,50.0,,10272.0
42,1983-07,,22.6,31.5,156.5,0.0,,,53.6,,8064.0
43,1983-08,,21.2,30.5,276.6,0.0,,,51.8,,7284.0
44,1983-09,,22.2,31.0,371.4,0.0,,,59.0,,6918.0
45,1983-10,,22.9,30.6,258.4,0.0,,,64.8,,6378.0
46,1983-11,,22.6,29.6,267.1,0.0,,,61.2,,7734.0
47,1983-12,27.5,21.6,29.5,130.5,0.0,,14.0,46.4,1010.0,7476.0
48,1984-01,,20.6,29.1,81.3,0.0,,15.7,55.4,,7153.0
49,1984-02,26.7,20.2,28.9,106.4,0.0,,16.1,55.4,1010.5,7104.0
50,1984-03,,20.9,29.7,102.5,0.0,,17.8,55.4,,11929.0
51,1984-04,,21.5,30.8,39.7,0.0,,15.1,50.0,,11770.0
52,1984-05,,21.5,31.6,78.9,0.0,,12.9,44.3,,16618.0
53,1984-06,,21.8,30.8,170.1,0.0,,12.0,42.5,,8920.0
54,1984-07,,21.2,30.8,167.2,0.0,,8.4,38.9,,7453.0
55,1984-08,,21.6,29.6,611.2,0.0,,9.9,51.8,,2825.0
56,1984-09,,20.8,30.7,442.4,0.0,,7.7,46.4,,6773.0
57,1984-10,,22.5,30.4,239.0,0.0,,11.3,77.8,,3293.0
58,1984-11,,22.3,29.8,328.5,0.0,,15.8,68.4,,3502.0
59,1984-12,,22.5,29.1,149.7,0.0,,15.8,53.6,,
60,1985-01,,22.0,28.8,207.4,0.0,,16.8,63.0,,8526.0
61,1985-02,,22.6,28.8,93.9,0.0,,17.6,55.4,,
62,1985-03,,23.2,28.8,140.6,0.0,,16.6,55.4,,7395.0
63,1985-04,,22.2,29.8,142.9,0.0,,12.7,66.6,,7643.0
64,1985-05,,22.0,29.7,303.3,0.0,,10.3,46.4,,7359.0
65,1985-06,,22.0,30.0,371.1,0.0,,13.7,57.2,,6995.0
66,1985-07,,22.1,30.0,336.2,0.0,,12.1,46.4,,8502.0
67,1985-08,,21.8,29.8,405.8,0.0,,10.6,55.4,,1765.0
68,1985-09,,22.3,29.8,458.6,0.0,,13.0,57.2,,1573.0
69,1985-10,,22.2,29.9,211.7,0.0,,14.8,66.6,,2505.0
70,1985-11,,22.3,30.2,126.2,0.0,,15.8,57.2,,7797.0
71,1985-12,,22.3,29.4,213.4,0.0,,17.6,74.2,,1415.0
72,1986-01,,22.2,29.0,51.3,0.0,,17.7,59.0,,4268.0
73,1986-02,,21.2,28.6,221.2,0.0,,14.5,51.8,,1420.0
74,1986-03,,22.6,29.0,142.3,0.0,,19.0,53.6,,2089.0
75,1986-04,,23.1,29.6,212.8,0.0,,19.1,59.0,,2263.0
