,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,26.8,,,22.0,,,,,1012.1,
2,1980-03,26.9,,,0.0,,,,,1011.6,
3,1980-04,27.6,,,0.0,,,,,1011.4,
4,1980-05,28.0,,,5.0,,,,,1012.9,
5,1980-06,,,,,,,,,,
6,1980-07,26.9,,,316.0,,,,,1014.5,
7,1980-08,26.6,,,457.0,,,,,1014.4,
8,1980-09,27.0,,,590.0,,,,,1014.0,
9,1980-10,28.2,,,55.0,,,,,1013.8,
10,1980-11,27.3,,,26.0,,,,,1010.5,
11,1980-12,25.5,,,0.0,,,,,1013.1,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,27.7,,,1.0,,,,,1011.8,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,26.7,,,418.0,,,,,1014.3,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,25.4,,,0.0,,,,,1012.9,
25,1982-02,26.9,,,0.0,,,,,,
26,1982-03,28.0,,,0.0,,,,,1011.3,
27,1982-04,27.4,,,0.0,,,,,1011.7,
28,1982-05,,,,12.0,,,,,1012.8,
29,1982-06,27.7,,,149.0,,,,,1014.6,
30,1982-07,27.0,,,239.0,,,,,1014.5,
31,1982-08,26.6,,,544.0,,,,,1014.4,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,24.6,,,0.0,,,,,,
36,1983-01,25.6,,,0.0,,,,,1013.7,
37,1983-02,27.0,,,0.0,,,,,1013.0,
38,1983-03,28.4,,,0.0,,,,,,
39,1983-04,27.8,,,0.0,,,,,1011.6,
40,1983-05,29.9,,,0.0,,,,,1010.0,14160.0
41,1983-06,,,,,,,,,,
42,1983-07,,,,,,,,,,
43,1983-08,,,,,,,,,,
44,1983-09,,,,,,,,,,
45,1983-10,,,,,,,,,,
46,1983-11,28.1,,,0.0,,,,,1014.2,
47,1983-12,26.2,,,1.0,,,,,1014.0,
48,1984-01,25.4,,,0.0,,,,,1012.8,
49,1984-02,27.4,,,0.0,,,,,,
50,1984-03,27.7,,,0.0,,,,,1010.7,
51,1984-04,27.2,,,1.0,,,,,1011.0,
52,1984-05,,,,,,,,,,
53,1984-06,27.9,,,97.0,,,,,1013.4,
54,1984-07,27.1,,,372.0,,,,,1013.7,
55,1984-08,26.9,,,385.0,,,,,1012.0,
56,1984-09,27.0,,,,,,,,1013.2,
57,1984-10,28.0,,,33.0,,,,,1013.3,
58,1984-11,27.0,,,1.0,,,,,1011.5,
59,1984-12,,,,,,,,,,
60,1985-01,26.0,,,0.0,,,,,1013.4,
61,1985-02,26.8,,,0.0,,,,,1011.9,
62,1985-03,28.6,,,0.0,,,,,1010.6,
63,1985-04,,,,,,,,,,
64,1985-05,26.5,,,0.5,,,,,1010.5,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,28.2,,,,,,,,1011.3,
70,1985-11,,,,,,,,,,
71,1985-12,,,,,,,,,,
72,1986-01,,,,,,,,,,
73,1986-02,,,,,,,,,,
74,1986-03,,,,,,,,,,
75,1986-04,,,,,,,,,,
76,1986-05,,,,,,,,,,
77,1986-06,,,,,,,,,,
78,1986-07,,,,,,,,,,
79,1986-08,,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,,,,,,,,,,
82,1986-11,,,,,,,,,,
83,1986-12,,,,,,,,,,
84,1987-01,,,,,,,,,,
85,1987-02,,,,,,,,,,
86,1987-03,,,,,,,,,,
87,1987-04,,,,,,,,,,
88,1987-05,,,,,,,,,,
89,1987-06,,,,,,,,,,
90,1987-07,,,,,,,,,,
91,1987-08,,,,,,,,,,
92,1987-09,,,,,,,,,,
93,1987-10,,,,,,,,,,
94,1987-11,,,,,,,,,,
95,1987-12,,,,,,,,,,
96,1988-01,25.0,,,0.0,,,,,1012.4,
97,1988-02,27.6,,,0.0,,,,,1009.8,
98,1988-03,27.8,,,0.0,,,,,1010.6,
99,1988-04,28.5,,,0.0,,,,,1009.5,
100,1988-05,28.5,,,19.0,,,,,1010.5,
101,1988-06,,,,,,,,,,
102,1988-07,,,,,,,,,,
103,1988-08,26.3,,,502.0,,,,,1011.7,
