,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,26.7,,,5.0,,,,,1009.9,
2,1980-03,24.5,,,0.0,,,,,1009.5,
3,1980-04,27.0,,,55.0,,,,,1009.2,
4,1980-05,26.2,,,145.0,,,,,1011.7,13260.0
5,1980-06,24.7,,,492.0,,,,,1013.1,11040.0
6,1980-07,,,,,,,,,,
7,1980-08,25.4,,,1393.0,,,,,1013.1,6300.0
8,1980-09,26.1,,,435.0,,,,,1012.3,9000.0
9,1980-10,26.8,,,212.0,,,,,1012.0,
10,1980-11,26.8,,,59.0,,,,,1011.1,11340.0
11,1980-12,26.3,,,35.0,,,,,1010.5,
12,1981-01,25.9,,,0.0,,,,,1011.2,13260.0
13,1981-02,26.2,,,0.5,,,,,1010.0,
14,1981-03,27.5,,,12.0,,,,,1010.4,14820.0
15,1981-04,28.3,,,12.0,,,,,1009.7,13500.0
16,1981-05,27.2,,,327.0,,,,,1011.0,
17,1981-06,,,,,,,,,,
18,1981-07,25.2,,,1286.0,,,,,1013.1,
19,1981-08,25.5,,,712.0,,,,,1012.9,5820.0
20,1981-09,26.1,,,452.0,,,,,1012.6,10980.0
21,1981-10,26.6,,,256.0,,,,,1011.3,10320.0
22,1981-11,27.5,,,32.0,,,,,1010.2,12660.0
23,1981-12,,,,,,,,,,
24,1982-01,26.1,,,0.0,,,,,1010.1,13860.0
25,1982-02,26.3,,,0.0,,,,,1009.7,11340.0
26,1982-03,27.1,,,0.0,,,,,1009.4,13560.0
27,1982-04,27.7,,,11.0,,,,,1010.0,13920.0
28,1982-05,27.4,,,207.0,,,,,1011.1,13020.0
29,1982-06,,,,,,,,,,
30,1982-07,25.7,,,923.0,,,,,1013.4,6900.0
31,1982-08,25.0,,,1441.0,,,,,1013.1,
32,1982-09,25.8,,,306.0,,,,,1012.7,7620.0
33,1982-10,26.2,,,234.0,,,,,1011.6,10860.0
34,1982-11,26.9,,,36.0,,,,,1011.0,11700.0
35,1982-12,,,,,,,,,,
36,1983-01,26.0,,,0.0,,,,,1011.1,12300.0
37,1983-02,25.8,,,6.0,,,,,1010.5,7200.0
38,1983-03,,,,,,,,,,
39,1983-04,26.5,,,0.0,,,,,1009.6,
40,1983-05,,,,,,,,,,
41,1983-06,,,,,,,,,,
42,1983-07,,,,,,,,,,
43,1983-08,,,,,,,,,,
44,1983-09,26.1,,,360.0,,,,,1012.8,
45,1983-10,26.7,,,102.0,,,,,1012.1,10920.0
46,1983-11,,,,,,,,,,
47,1983-12,,,,,,,,,,
48,1984-01,,,,,,,,,,
49,1984-02,,,,,,,,,,
50,1984-03,,,,,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,,,,,,,,,,
55,1984-08,25.4,,,345.0,,,,,1012.4,9960.0
56,1984-09,,,,,,,,,,
57,1984-10,25.4,,,340.0,,,,,1011.2,11220.0
58,1984-11,,,,,,,,,,
59,1984-12,26.5,,,0.0,,,,,1009.3,10680.0
60,1985-01,,,,,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,24.7,,,883.0,,,,,1013.2,2280.0
67,1985-08,25.1,,,1061.0,,,,,1012.6,
68,1985-09,,,,,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,,,,,,,,,,
72,1986-01,,,,,,,,,,
73,1986-02,,,,,,,,,,
74,1986-03,,,,,,,,,,
75,1986-04,,,,,,,,,,
76,1986-05,,,,,,,,,,
77,1986-06,,,,,,,,,,
78,1986-07,,,,,,,,,,
79,1986-08,,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,,,,,,,,,,
82,1986-11,,,,,,,,,,
83,1986-12,,,,,,,,,,
84,1987-01,,,,,,,,,,
85,1987-02,,,,,,,,,,
86,1987-03,,,,,,,,,,
87,1987-04,,,,,,,,,,
88,1987-05,,,,,,,,,,
89,1987-06,,,,,,,,,,
90,1987-07,,,,,,,,,,
91,1987-08,,,,,,,,,,
92,1987-09,,,,,,,,,,
93,1987-10,,,,,,,,,,
94,1987-11,,,,,,,,,,
95,1987-12,,,,,,,,,,
96,1988-01,,,,,,,,,,
97,1988-02,,,,,,,,,,
98,1988-03,,,,,,,,,,
99,1988-04,,,,,,,,,,
100,1988-05,,,,,,,,,,
101,1988-06,,,,,,,,,,
