,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,27.4,,,253.0,,,,,1012.5,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,26.3,,,153.0,,,,,1012.8,
13,1981-02,26.8,,,190.0,,,,,1012.1,
14,1981-03,27.2,,,26.0,,,,,1013.2,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,26.8,,,227.0,,,,,1013.0,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,27.7,,,223.0,,,,,1013.3,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,,,,272.0,,,,,1012.0,
29,1982-06,26.7,,,153.0,,,,,1013.1,
30,1982-07,26.1,,,254.0,,,,,1012.5,
31,1982-08,,,,105.0,,,,,1013.7,
32,1982-09,26.6,,,,,,,,1012.5,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,,,,,,,,,,
37,1983-02,,,,,,,,,,
38,1983-03,,,,,,,,,,
39,1983-04,,,,,,,,,,
40,1983-05,,,,,,,,,,
41,1983-06,,,,,,,,,,
42,1983-07,,,,,,,,,,
43,1983-08,,,,,,,,,,
44,1983-09,,,,,,,,,,
45,1983-10,,,,,,,,,,
46,1983-11,,,,,,,,,,
47,1983-12,,,,,,,,,,
48,1984-01,,,,,,,,,,
49,1984-02,,,,,,,,,,
50,1984-03,,,,,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,,,,,,,,,,
55,1984-08,,,,,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,,,,,,,,,,
58,1984-11,,,,,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,,,,,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,27.3,,,163.0,,,,,1012.3,11280.0
65,1985-06,26.9,,,205.0,,,,,1013.9,9180.0
66,1985-07,26.9,,,138.0,,,,,1013.2,10800.0
67,1985-08,27.0,,,275.0,,,,,1012.6,12960.0
68,1985-09,27.5,,,147.0,,,,,1011.2,13140.0
69,1985-10,27.6,,,128.0,,,,,1011.8,12180.0
70,1985-11,27.1,,,279.0,,,,,1010.6,12180.0
71,1985-12,26.5,,,159.0,,,,,1012.1,12180.0
72,1986-01,26.5,,,53.0,,,,,1013.2,14640.0
73,1986-02,26.3,,,117.0,,,,,1013.0,10740.0
74,1986-03,26.9,,,34.0,,,,,1013.5,14880.0
75,1986-04,27.7,,,53.0,,,,,1012.1,13320.0
76,1986-05,26.9,,,225.0,,,,,1012.0,9540.0
77,1986-06,26.5,,,403.0,,,,,1013.1,7260.0
78,1986-07,26.7,,,164.0,,,,,1014.7,11760.0
79,1986-08,27.5,,,112.0,,,,,1012.2,14940.0
80,1986-09,28.3,,,29.0,,,,,1012.6,15360.0
81,1986-10,27.1,,,179.0,,,,,1011.4,10860.0
82,1986-11,26.6,,,143.0,,,,,1010.5,9060.0
83,1986-12,26.3,,,191.0,,,,,1013.0,
84,1987-01,26.7,,,72.0,,,,,1013.3,12660.0
85,1987-02,27.2,,,29.0,,,,,1013.2,12300.0
86,1987-03,27.6,,,20.0,,,,,1012.1,16500.0
87,1987-04,28.0,,,114.0,,,,,1011.8,12000.0
88,1987-05,27.7,,,211.0,,,,,1011.3,10500.0
89,1987-06,27.6,,,412.0,,,,,1013.0,9960.0
90,1987-07,27.3,,,358.0,,,,,1011.4,11100.0
