,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,20.6,,,5.7,,,,,,
1,1980-02,21.4,,,0.0,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,23.3,,,162.0,,,,,1010.9,
6,1980-07,23.0,,,133.0,,,,,1011.6,13740.0
7,1980-08,23.2,,,49.0,,,,,1011.2,
8,1980-09,22.6,,,221.0,,,,,1010.4,11340.0
9,1980-10,,,,,,,,,,
10,1980-11,20.9,,,33.0,,,,,1012.2,10320.0
11,1980-12,18.8,,,5.0,,,,,1014.4,11580.0
12,1981-01,,,,,,,,,,
13,1981-02,20.4,,,33.8,,,,,,
14,1981-03,23.0,,,61.0,,,,,1011.4,17100.0
15,1981-04,23.4,,,25.0,,,,,1011.2,11940.0
16,1981-05,23.8,,,168.0,,,,,1009.4,
17,1981-06,22.9,,,254.0,,,,,1009.8,9900.0
18,1981-07,22.6,18.4,,64.0,,,,,1011.6,14040.0
19,1981-08,22.7,,,216.0,,,,,1010.6,14640.0
20,1981-09,22.6,18.2,,155.0,,,,,1010.7,13140.0
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,20.4,,,4.0,,,,,1013.4,15660.0
25,1982-02,21.3,,,3.0,,,,,1012.4,
26,1982-03,,,,,,,,,,
27,1982-04,24.2,,,33.0,,,,,1009.9,15960.0
28,1982-05,23.9,,,185.0,,,,,1008.4,
29,1982-06,23.0,,,155.0,,,,,1010.1,12540.0
30,1982-07,22.1,,,44.0,,,,,1011.8,12060.0
31,1982-08,22.9,,,34.0,,,,,1011.6,14760.0
32,1982-09,22.6,,,142.0,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,20.5,,,12.0,,,,,1011.7,13860.0
35,1982-12,20.4,,,6.0,,,,,1012.2,
36,1983-01,,,,,,,,,,
37,1983-02,,,,,,,,,,
38,1983-03,23.7,,,17.0,,,,,1008.7,16140.0
39,1983-04,,,,,,,,,,
40,1983-05,25.7,,,17.0,,,,,1007.9,
41,1983-06,24.2,,,196.0,,,,,1009.2,
42,1983-07,23.0,,,47.6,,,,,,
43,1983-08,23.1,,,98.0,,,,,1012.1,12060.0
44,1983-09,22.9,,,164.9,,,,,,
45,1983-10,22.0,,,78.3,,,,,,
46,1983-11,21.5,,,81.1,,,,,,
47,1983-12,20.2,,,12.0,,,,,1013.9,13020.0
48,1984-01,19.0,,,14.0,,,,,1014.8,
49,1984-02,20.1,,,8.0,,,,,1012.2,12000.0
50,1984-03,22.0,,,35.0,,,,,1011.7,15000.0
51,1984-04,23.5,,,30.0,,,,,1010.2,15960.0
52,1984-05,23.8,,,149.0,,,,,1010.3,12720.0
53,1984-06,22.3,,,173.0,,,,,1011.6,13260.0
54,1984-07,21.6,,,170.7,,,,,,
55,1984-08,21.4,,,142.7,,,,,,
56,1984-09,22.6,,,224.0,,,,,1010.9,9600.0
57,1984-10,21.3,,,119.0,,,,,,
58,1984-11,19.4,,,14.8,,,,,,
59,1984-12,19.4,,,4.0,,,,,1013.6,12180.0
60,1985-01,18.7,11.5,,5.0,,,,,1015.7,13620.0
61,1985-02,19.9,,,3.7,,,,,,
62,1985-03,22.1,,,2.5,,,,,,
63,1985-04,22.9,,,120.0,,,,,1011.0,12660.0
64,1985-05,23.1,,,50.7,,,,,,
65,1985-06,22.3,,,80.0,,,,,,
66,1985-07,22.0,16.8,,104.5,,,,,,
67,1985-08,22.2,,,37.0,,,,,1012.4,11760.0
68,1985-09,22.2,,,51.0,,,,,1011.7,11700.0
69,1985-10,21.2,,,132.0,,,,,1011.7,10440.0
70,1985-11,20.8,,,17.5,,,,,,
71,1985-12,20.2,,,7.1,,,,,1014.9,11460.0
72,1986-01,18.1,,,3.0,,,,,1015.9,13620.0
73,1986-02,20.7,,,11.0,,,,,1013.5,15120.0
74,1986-03,20.6,,,0.0,,,,,,
75,1986-04,23.1,,,0.0,,,,,1011.2,15720.0
76,1986-05,23.3,,,132.0,,,,,1009.6,10200.0
77,1986-06,22.1,,,51.0,,,,,1012.1,8760.0
78,1986-07,21.6,,,36.0,,,,,1014.6,9660.0
79,1986-08,23.4,,,66.0,,,,,1012.3,11160.0
80,1986-09,22.7,,,99.0,,,,,1012.5,8940.0
81,1986-10,,,,,,,,,,
82,1986-11,20.7,,,58.0,,,,,1012.8,10080.0
83,1986-12,20.0,,,11.0,,,,,1014.2,12960.0
84,1987-01,19.1,,,0.0,,,,,1014.1,14700.0
85,1987-02,21.1,,,0.0,,,,,1011.1,16080.0
86,1987-03,,,,,,,,,,
87,1987-04,23.2,,,,,,,,1010.9,15780.0
88,1987-05,23.5,,,92.0,,,,,1010.3,11160.0
89,1987-06,23.3,,,209.0,,,,,1010.9,11460.0
90,1987-07,21.7,,,103.0,,,,,1011.5,7440.0
91,1987-08,22.3,,,69.0,,,,,1011.9,12900.0
92,1987-09,23.4,,,153.0,,,,,1011.6,11940.0
93,1987-10,21.0,,,25.0,,,,,1012.4,13620.0
94,1987-11,21.0,,,9.0,,,,,1012.4,13800.0
95,1987-12,21.1,,,8.0,,,,,1012.9,13020.0
96,1988-01,,,,,,,,,,
97,1988-02,21.3,,,8.0,,,,,1012.7,13680.0
98,1988-03,22.1,,,18.0,,,,,1012.5,15960.0
99,1988-04,23.4,,,90.0,,,,,1010.6,13860.0
100,1988-05,23.3,,,127.0,,,,,1010.4,13080.0
101,1988-06,22.4,,,228.0,,,,,1011.3,11760.0
102,1988-07,23.0,,,92.0,,,,,1013.3,11220.0
103,1988-08,21.9,,,264.0,,,,,1011.1,10500.0
104,1988-09,21.5,,,272.0,,,,,1010.8,9180.0
105,1988-10,21.0,,,130.0,,,,,1011.4,11160.0
106,1988-11,20.8,,,32.0,,,,,1012.4,12840.0
107,1988-12,18.9,,,2.0,,,,,1015.2,10740.0
108,1989-01,19.6,,,3.1,,,,,1014.0,12000.0
109,1989-02,20.0,,,2.0,,,,,1016.0,13500.0
110,1989-03,21.1,,,6.0,,,,,1012.8,17280.0
111,1989-04,23.2,,,51.0,,,,,1010.5,15600.0
112,1989-05,23.0,,,97.0,,,,,1011.0,13860.0
113,1989-06,22.4,,,96.0,,,,,1011.8,11580.0
114,1989-07,22.1,,,57.0,,,,,1012.7,12180.0
115,1989-08,,,,124.0,,,,,,
116,1989-09,21.8,,,334.0,,,,,1009.6,10320.0
117,1989-10,21.2,,,79.0,,,,,1012.6,13980.0
118,1989-11,21.3,,,29.0,,,,,1011.6,12120.0
119,1989-12,19.1,,,1.0,,,,,1014.8,13260.0
120,1990-01,20.1,,,20.0,,,,,1013.0,13380.0
121,1990-02,20.7,,,40.0,,,,,1013.6,12960.0
122,1990-03,21.6,,,14.2,,,,,1012.5,13260.0
123,1990-04,23.7,,,4.0,,,,,1010.4,13440.0
124,1990-05,24.4,,,180.0,,,,,,
125,1990-06,23.4,,,114.0,,,,,1011.3,9060.0
126,1990-07,22.8,,,31.4,,,,,,
127,1990-08,22.4,,,51.0,,,,,1012.5,10860.0
128,1990-09,,,,99.0,,,,,,
129,1990-10,22.3,,,52.0,,,,,1011.7,13860.0
130,1990-11,20.2,,,137.0,,,,,1012.1,8400.0
131,1990-12,20.0,,,10.8,,,,,,
132,1991-01,19.8,,,5.0,,,,,1013.9,12960.0
133,1991-02,20.3,,,,,,,,,
134,1991-03,22.6,,,2.0,,,,,1011.1,16680.0
135,1991-04,24.6,,,20.0,,,,,1010.0,14280.0
136,1991-05,24.1,,,136.0,,,,,,
137,1991-06,23.6,,,110.6,,,,,,
138,1991-07,23.4,,,33.0,,,,,,
139,1991-08,23.5,,,,,,,,,
140,1991-09,23.8,,,196.0,,,,,,
141,1991-10,22.2,,,,,,,,,
142,1991-11,21.4,,,3.0,,,,,1012.8,11700.0
143,1991-12,20.9,,,34.0,,,,,1013.7,13260.0
144,1992-01,20.6,,,9.1,,,,,,
145,1992-02,21.8,,,1.0,,,,,1012.3,14040.0
146,1992-03,23.0,,,24.0,,,,,1011.4,15900.0
147,1992-04,23.8,,,39.0,,,,,1009.9,13560.0
148,1992-05,24.3,,,73.0,,,,,1010.0,13860.0
149,1992-06,24.7,,,227.0,,,,,1009.5,12240.0
150,1992-07,22.8,,,41.0,,,,,1013.4,10740.0
151,1992-08,23.1,,,21.0,,,,,1013.1,13800.0
152,1992-09,21.6,,,178.0,,,,,1010.6,9960.0
153,1992-10,22.1,,,96.0,,,,,,
154,1992-11,22.0,,,6.0,,,,,1012.4,
155,1992-12,21.1,,,14.0,,,,,1014.2,9420.0
156,1993-01,20.3,,,7.0,,,,,1014.7,14460.0
157,1993-02,21.8,,,0.0,,,,,1013.6,15360.0
158,1993-03,22.2,,,18.0,,,,,1013.1,15000.0
159,1993-04,23.7,,,31.0,,,,,1010.5,12240.0
160,1993-05,22.9,,,272.0,,,,,1010.4,10920.0
161,1993-06,22.3,,,182.0,,,,,1011.5,9780.0
162,1993-07,22.1,,,59.0,,,,,1013.5,12240.0
163,1993-08,22.0,,,54.0,,,,,1013.3,9840.0
164,1993-09,21.4,,,162.0,,,,,1012.4,9300.0
165,1993-10,23.0,16.9,,135.0,,,,,1012.4,10740.0
166,1993-11,21.2,,,15.0,,,,,1014.0,12960.0
167,1993-12,19.7,,,11.0,,,,,1014.0,12180.0
168,1994-01,19.5,,,6.0,,,,,1014.9,12180.0
169,1994-02,20.8,,,5.0,,,,,1013.9,13500.0
170,1994-03,22.7,,,0.0,,,,,1012.7,10800.0
171,1994-04,23.5,,,26.0,,,,,1012.0,15000.0
172,1994-05,23.5,,,150.0,,,,,1011.2,
173,1994-06,22.5,,,56.0,,,,,1012.9,11760.0
174,1994-07,22.5,,,38.0,,,,,1013.5,12960.0
175,1994-08,23.5,,,26.0,,,,,1012.9,10680.0
176,1994-09,23.3,,,174.0,,,,,1012.0,9780.0
177,1994-10,22.5,,,101.0,,,,,1011.3,12540.0
178,1994-11,20.9,,,30.0,,,,,1013.2,12540.0
179,1994-12,20.2,,,9.0,,,,,1014.1,12600.0
180,1995-01,20.3,13.8,28.2,0.5,,,,,1014.5,13560.0
181,1995-02,20.8,13.8,29.5,3.0,,,,,1014.9,13620.0
182,1995-03,22.8,19.6,25.8,4.0,,,,,1011.9,16620.0
183,1995-04,23.8,17.3,31.8,54.0,,,,,1009.8,11580.0
184,1995-05,23.0,21.2,24.0,135.0,,,,,1011.4,14760.0
185,1995-06,23.0,21.4,24.5,112.0,,,,,1011.1,12180.0
186,1995-07,22.3,20.1,23.9,110.0,,,,,1011.8,10440.0
187,1995-08,22.3,18.8,29.7,433.0,,,,,1006.4,10860.0
188,1995-09,21.8,20.0,23.6,153.0,,,,,1010.7,9540.0
189,1995-10,22.8,,,107.0,,,,,,
190,1995-11,21.5,,,23.0,,,,,,
191,1995-12,21.4,,,1.0,,,,,,
192,1996-01,18.7,14.7,21.8,3.0,,,,,1013.7,14400.0
193,1996-02,19.8,14.6,21.8,1.0,,,,,1013.4,12480.0
194,1996-03,20.6,15.8,24.0,14.0,,,,,1012.4,11400.0
195,1996-04,23.4,21.6,24.8,36.0,,,,,1010.2,12660.0
196,1996-05,24.0,,,97.0,,,,,1010.9,8940.0
197,1996-06,,,,,,,,,,
198,1996-07,22.1,,,,,,,,,
199,1996-08,21.4,20.3,23.1,241.0,,,,,1012.1,10980.0
200,1996-09,22.5,,,,,,,,,
201,1996-10,22.8,,,183.0,,,,,,
202,1996-11,21.0,,,41.0,,,,,,
203,1996-12,19.7,,,,,,,,,
204,1997-01,19.6,16.4,21.7,5.0,,,,,1014.5,11580.0
205,1997-02,20.6,14.3,28.0,5.0,,,,,1012.6,12840.0
206,1997-03,22.7,,,64.0,,,,,,
207,1997-04,23.9,,,2.0,,,,,,
208,1997-05,24.7,,,48.0,,,,,,
209,1997-06,23.8,,,214.2,,,,,,
210,1997-07,23.1,,,,,,,,,
211,1997-08,,,,,,,,,,
212,1997-09,23.8,,,,,,,,,
213,1997-10,22.7,,,182.0,,,,,,
214,1997-11,21.1,,,61.0,,,,,,
215,1997-12,20.4,,,0.0,,,,,,
216,1998-01,21.6,,,2.0,,,,,,
217,1998-02,22.7,,,,,,,,,
218,1998-03,23.3,,,,,,,,,
219,1998-04,25.5,,,10.0,,,,,,
220,1998-05,25.3,,,167.0,,,,,,
221,1998-06,23.6,,,,,,,,,
222,1998-07,23.3,,,99.0,,,,,,
223,1998-08,23.8,,,94.0,,,,,,
224,1998-09,22.5,,,73.0,,,,,,
225,1998-10,21.6,,,480.0,,,,,,
226,1998-11,20.7,,,30.0,,,,,,
227,1998-12,20.6,,,1.0,,,,,,
228,1999-01,20.5,,,7.0,,,,,,
229,1999-02,19.9,17.4,21.7,4.0,,,,,1014.9,13260.0
230,1999-03,22.1,,,5.0,,,,,,
231,1999-04,24.2,,,16.0,,,,,,
232,1999-05,23.9,,,58.0,,,,,,
233,1999-06,22.9,,,166.0,,,,,,
234,1999-07,22.6,,,87.0,,,,,,
235,1999-08,23.5,,,92.0,,,,,,
236,1999-09,23.4,,,284.0,,,,,,
237,1999-10,,,,,,,,,,
238,1999-11,,,,,,,,,,
239,1999-12,19.6,,,,,,,,,
240,2000-01,19.4,,,38.0,,,,,,
241,2000-02,19.8,,,,,,,,,
242,2000-03,22.2,,,,,,,,,
243,2000-04,23.3,,,,,,,,,
244,2000-05,23.5,,,,,,,,,
245,2000-06,,,,,,,,,,
246,2000-07,22.2,,,,,,,,,
247,2000-08,22.2,,,,,,,,,
248,2000-09,,,,,,,,,,
249,2000-10,21.6,,,,,,,,,
250,2000-11,21.2,19.7,22.6,9.0,,,,,1011.9,12240.0
251,2000-12,,,,,,,,,,
252,2001-01,19.5,,,,,,,,,
253,2001-02,21.1,,,,,,,,,
254,2001-03,22.7,,,,,,,,,
255,2001-04,,,,,,,,,,
