,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-2.2,,,53.0,,,,,1019.7,3360.0
1,1980-02,2.8,,,23.0,,,,,1023.3,4620.0
2,1980-03,5.8,,,46.0,,,,,1013.2,5640.0
3,1980-04,9.6,,,50.0,,,,,1013.2,7380.0
4,1980-05,14.7,,,40.0,,,,,1012.2,13260.0
5,1980-06,18.9,,,82.0,,,,,1011.5,14700.0
6,1980-07,20.0,,,54.0,,,,,1011.8,14460.0
7,1980-08,20.6,,,54.0,,,,,1015.5,15360.0
8,1980-09,16.0,,,22.0,,,,,1020.4,9720.0
9,1980-10,11.4,,,57.0,,,,,1014.4,8340.0
10,1980-11,4.4,,,149.0,,,,,1017.2,3480.0
11,1980-12,,,,,,,,,,
12,1981-01,-1.1,,,27.0,,,,,1018.7,7680.0
13,1981-02,2.8,,,12.0,,,,,1019.9,7740.0
14,1981-03,,,,33.0,,,,,1012.9,10140.0
15,1981-04,11.7,,,11.0,,,,,1016.6,12840.0
16,1981-05,17.0,,,36.0,,,,,1013.6,13320.0
17,1981-06,20.9,,,114.0,,,,,1015.1,14460.0
18,1981-07,21.2,,,29.0,,,,,1014.8,17040.0
19,1981-08,21.3,,,41.0,,,,,1016.6,16020.0
20,1981-09,17.9,,,49.0,,,,,1017.4,9960.0
21,1981-10,12.7,,,25.0,,,,,1014.8,7800.0
22,1981-11,5.9,,,34.0,,,,,1020.8,4740.0
23,1981-12,0.4,,,103.0,,,,,1005.8,1560.0
24,1982-01,-2.5,,,62.0,,,,,1022.2,2340.0
25,1982-02,0.6,,,7.0,,,,,1024.8,7680.0
26,1982-03,7.2,,,51.0,,,,,1018.8,10020.0
27,1982-04,9.8,,,13.0,,,,,1015.1,11280.0
28,1982-05,17.7,,,41.0,,,,,1019.1,14580.0
29,1982-06,20.8,,,27.0,,,,,1014.0,14040.0
30,1982-07,22.1,,,77.0,,,,,1015.3,14940.0
31,1982-08,22.1,,,34.0,,,,,1015.4,14400.0
32,1982-09,20.7,,,9.0,,,,,1019.5,13500.0
33,1982-10,12.8,,,36.0,,,,,1017.1,6120.0
34,1982-11,6.3,,,30.0,,,,,1022.9,5580.0
35,1982-12,4.2,,,76.0,,,,,1016.3,1560.0
36,1983-01,5.1,,,31.0,,,,,1022.8,3960.0
37,1983-02,0.8,,,63.0,,,,,1018.3,6540.0
38,1983-03,,,,40.0,,,,,,7740.0
39,1983-04,14.0,,,14.0,,,,,1011.4,11100.0
40,1983-05,18.7,,,44.0,,,,,1011.1,16740.0
41,1983-06,20.5,,,61.0,,,,,1017.0,14220.0
42,1983-07,24.8,,,12.0,,,,,1014.8,18180.0
43,1983-08,22.0,,,55.0,,,,,1015.7,15960.0
44,1983-09,17.8,,,29.0,,,,,1017.6,13860.0
45,1983-10,11.7,,,31.0,,,,,1022.6,9840.0
46,1983-11,3.7,,,60.0,,,,,1021.6,6000.0
47,1983-12,1.8,,,17.0,,,,,1021.7,4440.0
48,1984-01,1.4,,,69.0,,,,,1016.0,3180.0
49,1984-02,1.4,,,69.0,,,,,1016.0,3180.0
50,1984-03,6.2,,,26.0,,,,,1017.0,8460.0
51,1984-04,11.6,,,60.0,,,,,1015.8,9240.0
52,1984-05,15.8,,,148.0,,,,,1009.0,10800.0
53,1984-06,18.8,,,28.0,,,,,1014.9,15780.0
54,1984-07,19.7,,,3.0,,,,,1016.8,16020.0
55,1984-08,20.6,,,58.0,,,,,1016.3,15900.0
56,1984-09,17.4,,,72.0,,,,,1011.6,9720.0
57,1984-10,12.7,,,54.0,,,,,1020.6,8700.0
58,1984-11,6.3,,,62.0,,,,,1018.9,3360.0
59,1984-12,0.8,,,30.0,,,,,1026.6,2340.0
60,1985-01,-3.3,,,12.0,,,,,1015.0,2700.0
61,1985-02,-2.9,,,28.0,,,,,1021.7,5760.0
62,1985-03,5.8,,,41.0,,,,,1017.0,4800.0
63,1985-04,11.5,,,9.0,,,,,1011.9,11940.0
64,1985-05,16.8,,,109.0,,,,,1010.2,12720.0
65,1985-06,16.7,,,53.0,,,,,1013.6,13920.0
66,1985-07,21.1,,,23.0,,,,,1016.7,17760.0
67,1985-08,21.5,,,34.0,,,,,1014.7,15900.0
68,1985-09,16.7,,,10.0,,,,,1020.2,14280.0
69,1985-10,10.8,,,7.0,,,,,1025.1,10920.0
70,1985-11,4.1,,,113.0,,,,,1016.0,4260.0
71,1985-12,4.4,,,39.0,,,,,1019.2,2640.0
72,1986-01,0.8,,,87.0,,,,,1012.7,5100.0
73,1986-02,-2.3,,,58.0,,,,,1016.1,3300.0
74,1986-03,4.2,,,35.0,,,,,1020.5,5400.0
75,1986-04,13.1,,,41.0,,,,,1011.4,11700.0
76,1986-05,18.6,,,26.0,,,,,1017.6,16920.0
77,1986-06,19.3,,,59.0,,,,,1014.2,16320.0
78,1986-07,20.6,,,9.0,,,,,1015.9,16080.0
79,1986-08,22.3,,,58.0,,,,,1014.9,16500.0
80,1986-09,17.0,,,0.5,,,,,1020.2,14220.0
81,1986-10,10.9,,,18.0,,,,,1021.8,10620.0
82,1986-11,5.4,,,11.0,,,,,1025.9,5880.0
83,1986-12,0.0,,,53.0,,,,,1020.6,2280.0
84,1987-01,-3.6,,,57.0,,,,,1017.6,4080.0
85,1987-02,1.4,,,30.0,,,,,1017.5,4920.0
86,1987-03,1.1,,,55.0,,,,,1018.2,7200.0
87,1987-04,11.4,,,91.0,,,,,1017.2,9840.0
88,1987-05,14.2,,,132.0,,,,,1011.6,10380.0
89,1987-06,19.8,,,28.0,,,,,1014.6,14220.0
90,1987-07,22.6,,,25.0,,,,,1014.9,19440.0
91,1987-08,19.1,,,63.0,,,,,1015.9,14220.0
92,1987-09,18.8,,,30.0,,,,,1018.2,11760.0
93,1987-10,12.2,,,13.0,,,,,1022.5,7320.0
94,1987-11,6.2,,,50.0,,,,,1017.1,2340.0
95,1987-12,2.9,,,32.0,,,,,1022.2,3180.0
96,1988-01,3.1,,,44.0,,,,,1017.1,2580.0
97,1988-02,3.8,,,67.0,,,,,1014.4,4200.0
98,1988-03,5.1,,,53.0,,,,,1010.8,8040.0
99,1988-04,11.3,,,22.0,,,,,1016.4,12540.0
100,1988-05,17.2,,,76.0,,,,,1014.8,12780.0
101,1988-06,19.1,,,100.0,,,,,1011.8,14280.0
102,1988-07,23.1,,,22.0,,,,,1015.0,19680.0
103,1988-08,21.4,,,137.0,,,,,1014.3,15960.0
104,1988-09,16.5,,,76.0,,,,,1017.7,9240.0
105,1988-10,10.9,,,11.0,,,,,1022.3,9660.0
106,1988-11,1.1,,,12.0,,,,,1023.1,7020.0
107,1988-12,3.3,,,70.0,,,,,1019.7,6060.0
108,1989-01,0.6,,,10.0,,,,,1033.5,3240.0
109,1989-02,4.7,,,15.0,,,,,1023.3,3780.0
110,1989-03,9.2,,,47.0,,,,,1017.0,8220.0
111,1989-04,12.5,,,53.0,,,,,1010.1,9480.0
112,1989-05,16.4,,,79.0,,,,,1017.5,13560.0
113,1989-06,18.3,,,169.0,,,,,1014.2,13140.0
114,1989-07,21.8,,,64.0,,,,,1017.0,16560.0
115,1989-08,20.6,,,84.0,,,,,1013.0,11400.0
116,1989-09,17.6,,,6.0,,,,,1017.3,10560.0
117,1989-10,12.5,,,9.0,,,,,1020.0,9900.0
118,1989-11,4.6,,,31.0,,,,,1019.4,6360.0
119,1989-12,2.9,,,2.0,,,,,1020.1,5100.0
