,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-0.1,-2.6,2.1,47.0,,,,,1009.7,2700.0
1,1980-02,1.4,-0.9,3.7,86.0,,,,,1001.3,3420.0
2,1980-03,0.6,-2.1,3.6,73.0,,,,,1007.0,8820.0
3,1980-04,3.5,1.1,6.0,99.0,,,,,1008.9,5940.0
4,1980-05,6.7,4.5,9.7,29.0,,,,,1018.8,8040.0
5,1980-06,9.3,6.6,12.1,12.0,,,,,1010.9,14040.0
6,1980-07,10.8,8.5,13.5,35.0,,,,,1013.4,9000.0
7,1980-08,10.7,8.3,13.3,116.0,,,,,1010.8,9960.0
8,1980-09,8.1,5.7,10.8,62.0,,,,,1002.2,8040.0
9,1980-10,1.7,-0.4,4.3,71.0,,,,,1008.5,6660.0
10,1980-11,0.8,-1.8,3.0,42.0,,,,,1014.0,2700.0
11,1980-12,-1.3,-4.1,1.1,74.0,,,,,997.9,840.0
12,1981-01,-2.1,-5.4,0.7,79.0,,,,,1005.0,960.0
13,1981-02,-1.1,-3.7,2.0,95.0,,,,,996.8,5580.0
14,1981-03,-0.9,-3.0,1.4,45.0,,,,,1002.7,6660.0
15,1981-04,3.8,1.4,6.6,87.0,,,,,1018.6,8280.0
16,1981-05,6.6,3.7,9.9,47.0,,,,,1010.9,10800.0
17,1981-06,8.7,6.3,11.5,53.0,,,,,1013.6,9120.0
18,1981-07,10.5,7.9,13.6,19.0,,,,,1008.5,11700.0
19,1981-08,10.2,8.1,12.6,78.0,,,,,1007.7,5760.0
20,1981-09,7.4,5.1,10.7,30.0,,,,,1004.1,9540.0
21,1981-10,0.5,-2.1,3.0,43.0,,,,,1007.9,8520.0
22,1981-11,-0.4,-3.1,2.1,38.0,,,,,1005.4,1860.0
23,1981-12,-2.2,-4.7,0.0,52.0,,,,,1007.1,1320.0
24,1982-01,-1.5,-4.0,1.1,80.0,,,,,1006.7,1740.0
25,1982-02,1.9,-0.5,4.1,136.0,,,,,986.8,2460.0
26,1982-03,0.2,-2.2,3.1,84.0,,,,,995.0,6480.0
27,1982-04,3.2,0.8,6.1,65.0,,,,,1009.1,6420.0
28,1982-05,5.5,2.4,8.9,41.0,,,,,1012.4,9720.0
29,1982-06,9.9,7.3,12.6,49.0,,,,,1017.1,8460.0
30,1982-07,10.7,8.6,13.5,83.0,,,,,1010.6,7200.0
31,1982-08,9.4,6.6,12.7,43.0,,,,,1005.5,10140.0
32,1982-09,5.6,2.8,8.7,69.0,,,,,1000.3,9780.0
33,1982-10,4.7,2.6,6.9,48.0,,,,,998.6,3900.0
34,1982-11,-0.6,-3.3,2.0,100.0,,,,,993.6,2220.0
35,1982-12,-1.6,-4.3,1.2,86.0,,,,,991.9,480.0
