,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,14.1,,,5.0,,,,,1016.6,14040.0
1,1980-02,18.1,,,9.0,,,,,1013.5,14880.0
2,1980-03,21.6,,,26.0,,,,,1011.9,12780.0
3,1980-04,30.3,,38.2,1.0,,,,,1005.1,16740.0
4,1980-05,34.5,,41.2,12.0,,,,,1000.2,16740.0
5,1980-06,32.9,,,78.0,,,,,997.7,14400.0
6,1980-07,29.7,,,371.0,,,,,997.4,8880.0
7,1980-08,30.4,,34.3,98.0,,,,,999.1,13800.0
8,1980-09,29.7,,34.6,70.0,,,,,1004.3,14580.0
9,1980-10,26.9,,,9.0,,,,,1009.7,16260.0
10,1980-11,20.3,,,1.0,,,,,1015.0,14940.0
11,1980-12,15.7,,22.5,8.0,,,,,1015.7,12660.0
12,1981-01,15.0,,20.5,32.0,,,,,1016.6,11880.0
13,1981-02,17.8,11.2,24.4,16.0,,,,,,13440.0
14,1981-03,21.5,,27.8,13.0,,,,,1011.5,13080.0
15,1981-04,29.5,,36.8,0.0,,,,,1005.1,16680.0
16,1981-05,32.9,,39.4,5.0,,,,,1000.7,16860.0
17,1981-06,34.2,,,203.0,,,,,996.0,13560.0
18,1981-07,29.9,,33.4,162.0,,,,,996.8,8700.0
19,1981-08,30.5,,34.2,57.0,,,,,998.3,12900.0
20,1981-09,30.4,,,79.0,,,,,1004.4,13740.0
21,1981-10,26.2,,33.5,0.0,,,,,1010.1,
22,1981-11,19.6,,,27.0,,,,,1013.8,
23,1981-12,15.3,,22.7,19.0,,,,,1018.7,14220.0
24,1982-01,14.5,,,19.0,,,,,1017.5,11220.0
25,1982-02,15.9,,,7.0,,,,,1014.3,8880.0
26,1982-03,19.7,,26.0,55.0,,,,,1011.5,13560.0
27,1982-04,26.5,,33.8,61.0,,,,,1005.9,14760.0
28,1982-05,29.1,,,75.0,,,,,1005.1,14640.0
29,1982-06,33.1,,38.9,93.0,,,,,997.1,15720.0
30,1982-07,32.5,,36.6,251.0,,,,,996.9,15060.0
31,1982-08,29.9,,33.6,252.0,,,,,998.9,10260.0
32,1982-09,30.0,,,0.0,,,,,1004.2,14820.0
33,1982-10,26.7,20.3,,31.0,,,,,1011.3,14460.0
34,1982-11,21.0,,,3.0,,,,,1014.3,12780.0
35,1982-12,16.1,,,10.0,,,,,1017.3,13680.0
36,1983-01,13.5,,,53.0,,,,,1017.6,12540.0
37,1983-02,15.9,9.9,22.5,22.0,,,,,1015.3,
38,1983-03,21.5,,,11.0,,,,,1010.9,12720.0
39,1983-04,25.1,,31.9,183.0,,,,,1007.0,13140.0
40,1983-05,30.3,,,66.0,,,,,1003.1,16680.0
41,1983-06,32.5,,,64.0,,,,,999.1,16020.0
42,1983-07,30.7,,,264.0,,,,,997.5,13140.0
43,1983-08,29.5,,32.7,203.0,,,,,1000.1,8100.0
44,1983-09,29.9,,,153.0,,,,,1002.7,12240.0
45,1983-10,25.7,,31.7,32.0,,,,,1009.3,16200.0
46,1983-11,19.7,12.1,,0.0,,,,,1016.5,16200.0
47,1983-12,15.5,,22.8,8.0,,,,,1016.5,14220.0
48,1984-01,13.4,,,5.0,,,,,1016.1,14460.0
49,1984-02,16.1,,,4.0,,,,,1014.7,14520.0
50,1984-03,24.3,,,0.0,,,,,1009.8,14940.0
51,1984-04,29.3,,,30.0,,,,,1004.5,15480.0
52,1984-05,34.9,,,3.0,,,,,998.3,16620.0
53,1984-06,34.3,,,37.0,,,,,994.6,8820.0
54,1984-07,30.5,,,155.0,,,,,997.7,10740.0
55,1984-08,29.7,,33.3,341.0,,,,,998.8,11580.0
56,1984-09,27.9,,,128.0,,,,,,
57,1984-10,24.9,,33.2,0.0,,,,,,
58,1984-11,20.1,12.3,,0.0,,,,,1015.8,13500.0
59,1984-12,16.1,,,0.0,,,,,1014.7,11040.0
60,1985-01,14.2,,,,,,,,1017.1,9240.0
61,1985-02,17.8,,,0.0,,,,,1009.7,14520.0
62,1985-03,24.6,,32.4,2.0,,,,,1008.4,13740.0
63,1985-04,29.5,,36.6,19.0,,,,,1003.7,15480.0
64,1985-05,33.7,,40.8,4.0,,,,,999.5,15600.0
65,1985-06,33.9,,39.4,62.0,,,,,995.5,11400.0
66,1985-07,30.0,,33.9,458.0,,,,,998.3,9480.0
67,1985-08,30.1,,33.8,144.0,,,,,998.8,10080.0
68,1985-09,29.3,,,65.0,,,,,1003.5,12060.0
69,1985-10,24.7,,30.5,71.0,,,,,1010.1,14220.0
70,1985-11,20.5,12.8,28.2,0.0,,,,,1014.1,15480.0
71,1985-12,16.5,,22.3,35.0,,,,,1016.1,11940.0
72,1986-01,14.0,,,27.0,,,,,1017.3,14340.0
73,1986-02,16.3,,22.5,41.0,,,,,1015.0,12780.0
74,1986-03,22.5,,29.5,12.0,,,,,1010.4,15480.0
75,1986-04,28.7,,,6.0,,,,,1004.9,16440.0
76,1986-05,32.1,,37.4,23.0,,,,,1001.5,17040.0
77,1986-06,33.3,,38.6,48.0,,,,,996.4,12420.0
78,1986-07,30.5,,,58.0,,,,,998.3,8220.0
79,1986-08,30.5,,34.6,159.0,,,,,1000.3,14280.0
80,1986-09,29.5,,34.5,84.0,,,,,1005.3,12900.0
81,1986-10,25.9,,32.2,1.0,,,,,1010.5,16920.0
82,1986-11,21.3,13.9,28.8,0.0,,,,,1013.9,13860.0
83,1986-12,14.5,,,9.0,,,,,1018.3,13620.0
84,1987-01,14.8,,21.6,30.0,,,,,1018.5,11280.0
85,1987-02,18.6,,25.6,20.0,,,,,1015.9,13440.0
86,1987-03,23.3,,30.2,20.0,,,,,1010.7,13740.0
87,1987-04,,,,4.0,,,,,,
88,1987-05,29.7,,,57.0,,,,,1005.6,15480.0
89,1987-06,34.7,,,16.0,,,,,997.4,14700.0
90,1987-07,34.7,,39.6,41.0,,,,,996.7,11220.0
91,1987-08,32.5,,,154.0,,,,,998.7,11280.0
92,1987-09,31.7,,,27.0,,,,,1003.4,13020.0
93,1987-10,27.5,,34.4,1.0,,,,,1009.7,15420.0
94,1987-11,20.9,,,0.0,,,,,1013.8,15360.0
95,1987-12,14.5,,,10.0,,,,,,
96,1988-01,15.1,,,0.5,,,,,1016.5,12720.0
97,1988-02,18.7,,25.8,20.0,,,,,1013.1,12720.0
98,1988-03,22.5,,29.4,48.0,,,,,1008.7,14460.0
99,1988-04,29.9,,,6.0,,,,,1005.3,13860.0
100,1988-05,35.3,,,5.0,,,,,998.7,12600.0
101,1988-06,33.0,,38.4,69.0,,,,,997.9,7800.0
102,1988-07,29.7,,,,,,,,,
103,1988-08,29.1,,,295.0,,,,,999.2,9360.0
104,1988-09,30.1,,,172.0,,,,,1002.9,13380.0
105,1988-10,26.0,,,0.0,,,,,1008.3,17220.0
106,1988-11,20.7,,,0.0,,,,,1015.3,13020.0
107,1988-12,16.1,,,3.0,,,,,1017.5,10860.0
108,1989-01,13.3,,,80.0,,,,,1015.4,14040.0
109,1989-02,16.2,,,4.0,,,,,1014.1,14760.0
110,1989-03,22.1,,,40.0,,,,,1010.7,13500.0
111,1989-04,27.3,,,0.0,,,,,1005.4,
112,1989-05,33.1,,,3.0,,,,,1000.2,15600.0
113,1989-06,32.9,,,21.0,,,,,998.3,11700.0
114,1989-07,32.0,,,36.0,,,,,998.3,11880.0
115,1989-08,30.3,,,106.0,,,,,999.7,9600.0
116,1989-09,29.6,,,123.0,,,,,1003.4,12600.0
117,1989-10,26.5,,,4.0,,,,,1009.4,16200.0
118,1989-11,20.5,,,6.0,,,,,1015.5,14700.0
119,1989-12,14.7,,,6.0,,,,,1018.4,9060.0
120,1990-01,16.2,,,0.0,,,,,1015.8,12900.0
121,1990-02,17.1,,,123.0,,,,,1013.6,8880.0
122,1990-03,20.9,,,4.0,,,,,1011.5,14340.0
123,1990-04,28.1,,,4.0,,,,,1004.5,15720.0
124,1990-05,31.8,,,45.0,,,,,1000.4,13680.0
125,1990-06,34.3,,39.9,71.0,,,,,996.2,10680.0
126,1990-07,30.4,,,150.0,,,,,996.9,7860.0
127,1990-08,30.1,,,312.0,,,,,1000.3,11940.0
128,1990-09,29.2,,,269.0,,,,,1003.5,10260.0
129,1990-10,25.3,,,0.0,,,,,1010.7,15540.0
130,1990-11,20.8,,,39.0,,,,,1014.7,14580.0
131,1990-12,15.7,,,33.0,,,,,1017.5,11820.0
132,1991-01,13.7,,,0.5,,,,,1016.9,12840.0
133,1991-02,17.7,,,48.0,,,,,1015.2,11880.0
134,1991-03,22.3,,,4.0,,,,,1010.5,15420.0
135,1991-04,27.7,,,3.0,,,,,1006.5,15540.0
136,1991-05,32.8,,,41.0,,,,,1001.9,14760.0
137,1991-06,33.1,,,51.0,,,,,997.5,14700.0
138,1991-07,33.4,,,98.0,,,,,995.8,12180.0
139,1991-08,29.8,,,369.0,,,,,998.9,8340.0
140,1991-09,29.3,,,117.0,,,,,,
141,1991-10,25.3,,,0.0,,,,,1009.5,15480.0
142,1991-11,19.7,,,11.0,,,,,1016.1,12000.0
143,1991-12,15.7,,,33.0,,,,,1017.1,8700.0
144,1992-01,14.9,,,22.0,,,,,1018.7,9960.0
145,1992-02,15.9,,,27.0,,,,,1014.1,11880.0
146,1992-03,22.4,,,0.0,,,,,1011.5,8820.0
147,1992-04,27.9,,,8.0,,,,,1007.3,11160.0
148,1992-05,32.0,,,0.0,,,,,1002.3,12300.0
149,1992-06,34.9,,,10.0,,,,,997.3,9420.0
150,1992-07,30.7,,,87.0,,,,,998.5,6540.0
151,1992-08,29.8,,,201.0,,,,,1000.7,7500.0
152,1992-09,28.9,,,109.0,,,,,1004.3,12240.0
153,1992-10,25.8,,,5.0,,,,,1010.0,14040.0
154,1992-11,19.6,,27.6,22.0,,,,,1015.7,11100.0
155,1992-12,16.7,,,0.0,,,,,1018.3,8100.0
156,1993-01,14.2,,,15.0,,,,,1016.5,10200.0
157,1993-02,18.9,,,9.0,,,,,1015.7,9840.0
158,1993-03,20.8,,27.6,8.0,,,,,1012.3,11700.0
159,1993-04,28.3,,,7.0,,,,,1007.1,17100.0
160,1993-05,33.7,,,14.0,,,,,1000.6,14940.0
161,1993-06,33.9,,,164.0,,,,,997.5,13980.0
162,1993-07,30.7,,34.4,349.0,,,,,997.5,10980.0
163,1993-08,30.9,,,169.0,,,,,999.1,13320.0
164,1993-09,28.1,,,250.0,,,,,1003.8,8400.0
165,1993-10,25.5,,,0.0,,,,,1011.1,14940.0
166,1993-11,20.9,,,0.0,,,,,1014.3,11940.0
167,1993-12,15.3,,,0.0,,,,,1017.5,6600.0
168,1994-01,15.1,,,32.0,,,,,1015.9,7680.0
169,1994-02,16.8,,,5.0,,,,,1013.5,12900.0
170,1994-03,23.7,,31.3,1.0,,,,,1009.9,14820.0
171,1994-04,26.9,,,10.0,,,,,1006.9,13260.0
172,1994-05,33.2,,,16.0,,,,,1001.3,14160.0
173,1994-06,34.0,,,63.0,,,,,995.3,7500.0
174,1994-07,30.0,,,482.0,,,,,996.3,9780.0
175,1994-08,29.7,,,259.0,,,,,999.7,9180.0
176,1994-09,29.3,,,2.0,,,,,1004.7,15420.0
177,1994-10,25.4,,,0.0,,,,,1011.3,16080.0
178,1994-11,20.1,,,0.0,,,,,1016.2,14100.0
179,1994-12,16.1,,,0.0,,,,,,
180,1995-01,13.5,7.3,19.7,70.0,,,,,1018.2,11940.0
181,1995-02,17.3,11.2,23.3,31.0,,,,,1013.9,11100.0
182,1995-03,21.3,14.5,28.1,37.0,,,,,1012.0,12840.0
183,1995-04,28.1,20.8,35.3,1.0,,,,,1007.1,14580.0
184,1995-05,33.8,,,0.0,,,,,1000.9,15720.0
185,1995-06,35.3,,,31.0,,,,,996.1,14520.0
