,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,26.6,,,337.0,,,,,,6000.0
2,1980-03,27.5,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,28.3,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,26.6,,,179.0,,,,,1010.1,5940.0
14,1981-03,27.3,,,266.0,,,,,1010.9,
15,1981-04,27.6,,,283.0,,,,,1010.0,
16,1981-05,27.9,,,67.0,,,,,1008.9,
17,1981-06,27.8,,,90.0,,,,,1010.0,
18,1981-07,27.2,,,104.0,,,,,1009.6,
19,1981-08,27.5,,,47.0,,,,,1010.6,
20,1981-09,27.7,,,83.0,,,,,1010.0,
21,1981-10,28.0,,,85.0,,,,,1010.1,
22,1981-11,27.2,,,209.0,,,,,1009.1,
23,1981-12,27.0,,,379.0,,,,,1010.7,
24,1982-01,,,,,,,,,,
25,1982-02,26.7,,,230.0,,,,,1009.8,7140.0
26,1982-03,27.1,,,123.0,,,,,1009.7,
27,1982-04,,,,,,,,,,
28,1982-05,28.1,,,32.0,,,,,1009.7,9420.0
29,1982-06,27.5,,,101.0,,,,,1011.0,
30,1982-07,27.2,,,23.0,,,,,1011.0,
31,1982-08,27.1,,,38.0,,,,,1011.5,
32,1982-09,27.6,,,0.0,,,,,1012.0,
33,1982-10,28.2,,,49.0,,,,,1010.9,
34,1982-11,,,,,,,,,,
35,1982-12,27.3,,,183.0,,,,,1010.1,
36,1983-01,26.5,,,342.0,,,,,1011.6,
37,1983-02,26.9,,,203.0,,,,,1011.6,
38,1983-03,27.7,,,262.0,,,,,1010.9,
39,1983-04,28.2,,,159.0,,,,,1009.6,
40,1983-05,,,,,,,,,,
41,1983-06,28.2,,,16.0,,,,,1010.1,
42,1983-07,27.5,,,68.0,,,,,1010.5,
43,1983-08,,,,,,,,,,
44,1983-09,28.2,,,0.0,,,,,1010.6,
45,1983-10,,,,,,,,,,
46,1983-11,,,,,,,,,,
47,1983-12,27.2,,,228.0,,,,,1010.2,
48,1984-01,26.4,,,294.0,,,,,1009.1,
49,1984-02,,,,,,,,,,
50,1984-03,26.3,,,304.0,,,,,1009.9,
51,1984-04,27.2,,,90.0,,,,,1009.1,
52,1984-05,,,,,,,,,,
53,1984-06,27.6,,,54.0,,,,,1010.0,
54,1984-07,26.9,,,40.0,,,,,1009.6,
55,1984-08,27.1,,,84.0,,,,,1010.1,
56,1984-09,26.3,,,107.0,,,,,1010.2,
57,1984-10,27.4,,,80.0,,,,,1010.9,
58,1984-11,27.1,,,115.0,,,,,1009.8,
59,1984-12,26.4,,,185.0,,,,,1008.6,
60,1985-01,,,,,,,,,,
61,1985-02,27.0,,,174.0,,,,,1006.7,
62,1985-03,27.0,,,177.0,,,,,1009.2,
63,1985-04,27.2,,,274.0,,,,,1008.4,
64,1985-05,,,,,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,,,,,,,,,,
72,1986-01,,,,370.0,,,,,,
73,1986-02,,,,240.0,,,,,,
74,1986-03,,,,163.0,,,,,,
75,1986-04,,,,134.0,,,,,,
76,1986-05,,,,,,,,,,
77,1986-06,,,,,,,,,,
78,1986-07,,,,,,,,,,
79,1986-08,,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,,,,,,,,,,
82,1986-11,,,,,,,,,,
83,1986-12,,,,291.0,,,,,,
84,1987-01,,,,,,,,,,
85,1987-02,,,,443.0,,,,,,
86,1987-03,,,,,,,,,,
87,1987-04,,,,,,,,,,
88,1987-05,,,,,,,,,,
89,1987-06,,,,,,,,,,
90,1987-07,,,,,,,,,,
91,1987-08,,,,,,,,,,
92,1987-09,,,,,,,,,,
93,1987-10,,,,,,,,,,
94,1987-11,,,,,,,,,,
95,1987-12,,,,,,,,,,
96,1988-01,,,,,,,,,,
97,1988-02,,,,,,,,,,
98,1988-03,,,,,,,,,,
99,1988-04,,,,,,,,,,
100,1988-05,,,,,,,,,,
101,1988-06,,,,,,,,,,
102,1988-07,,,,,,,,,,
103,1988-08,,,,,,,,,,
104,1988-09,,,,,,,,,,
105,1988-10,,,,,,,,,,
106,1988-11,,,,,,,,,,
107,1988-12,,,,,,,,,,
108,1989-01,,,,,,,,,,
109,1989-02,,,,,,,,,,
110,1989-03,,,,,,,,,,
111,1989-04,,,,,,,,,,
112,1989-05,,,,,,,,,,
113,1989-06,,,,,,,,,,
114,1989-07,27.8,,,89.0,,,,,1009.7,
115,1989-08,28.0,,,23.0,,,,,1010.0,
116,1989-09,28.1,,,31.0,,,,,1010.2,
117,1989-10,,,,,,,,,,
118,1989-11,27.8,,,133.0,,,,,1010.1,
119,1989-12,26.9,,,363.0,,,,,1010.7,
120,1990-01,26.1,,,426.0,,,,,1009.8,
121,1990-02,27.3,,,98.0,,,,,1011.1,
122,1990-03,,,,,,,,,,
123,1990-04,28.5,,,135.0,,,,,1008.9,
124,1990-05,28.3,,,63.0,,,,,1008.8,
125,1990-06,,,,,,,,,,
126,1990-07,,,,,,,,,,
127,1990-08,,,,,,,,,,
128,1990-09,,,,,,,,,,
129,1990-10,,,,,,,,,,
130,1990-11,,,,,,,,,,
131,1990-12,,,,,,,,,,
132,1991-01,,,,268.0,,,,,,
133,1991-02,,,,,,,,,,
134,1991-03,,,,,,,,,,
135,1991-04,,,,,,,,,,
136,1991-05,,,,,,,,,,
137,1991-06,,,,,,,,,,
138,1991-07,,,,,,,,,,
139,1991-08,,,,,,,,,,
140,1991-09,,,,,,,,,,
141,1991-10,,,,,,,,,,
142,1991-11,,,,,,,,,,
143,1991-12,,,,,,,,,,
144,1992-01,,,,,,,,,,
145,1992-02,,,,,,,,,,
146,1992-03,,,,,,,,,,
147,1992-04,,,,,,,,,,
148,1992-05,,,,,,,,,,
149,1992-06,,,,,,,,,,
150,1992-07,,,,,,,,,,
151,1992-08,,,,,,,,,,
152,1992-09,,,,,,,,,,
153,1992-10,,,,,,,,,,
154,1992-11,,,,,,,,,,
155,1992-12,,,,,,,,,,
156,1993-01,,,,214.0,,,,,,
157,1993-02,,,,,,,,,,
158,1993-03,,,,,,,,,,
159,1993-04,,,,,,,,,,
160,1993-05,,,,,,,,,,
161,1993-06,,,,59.0,,,,,,
162,1993-07,,,,,,,,,,
163,1993-08,,,,,,,,,,
164,1993-09,,,,,,,,,,
165,1993-10,,,,,,,,,,
166,1993-11,,,,88.0,,,,,,
167,1993-12,28.2,,,153.0,,,,,,
168,1994-01,28.0,,,340.0,,,,,,
169,1994-02,27.3,,,222.0,,,,,,
170,1994-03,,,,256.0,,,,,,
171,1994-04,28.2,,,77.0,,,,,,
172,1994-05,,,,74.0,,,,,,
173,1994-06,,,,87.0,,,,,,
174,1994-07,,,,3.0,,,,,,
175,1994-08,,,,1.0,,,,,,
176,1994-09,,,,2.0,,,,,,
177,1994-10,,,,16.0,,,,,,
178,1994-11,,,,66.0,,,,,,
179,1994-12,,,,68.0,,,,,,
180,1995-01,,,,178.0,,,,,,
181,1995-02,,,,145.0,,,,,,
182,1995-03,,,,137.0,,,,,,
183,1995-04,,,,354.0,,,,,,
184,1995-05,28.3,25.3,32.3,83.0,,,,,1009.8,10200.0
185,1995-06,,,,105.0,,,,,,
186,1995-07,28.1,24.7,31.9,128.0,,,,,1009.6,7800.0
187,1995-08,,,,3.0,,,,,,
