,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,4.2,-0.2,6.5,115.0,,,,,1012.4,3900.0
1,1980-02,6.5,2.1,9.4,69.0,,,,,1014.0,3000.0
2,1980-03,5.5,1.4,9.2,74.0,,,,,1008.1,6600.0
3,1980-04,8.9,3.3,13.2,11.0,,,15.2,,1024.1,9480.0
4,1980-05,11.1,5.7,15.1,41.0,,,16.0,,1017.5,13440.0
5,1980-06,13.1,8.7,17.0,79.0,,,,,1010.7,7200.0
6,1980-07,14.0,9.7,17.4,39.0,,,,,1012.8,7560.0
7,1980-08,15.3,10.6,18.8,98.0,,,,,1014.0,8580.0
8,1980-09,14.3,10.1,17.2,98.0,,,,,1013.3,6780.0
9,1980-10,9.2,4.7,12.1,114.0,,,,,1009.4,6240.0
10,1980-11,7.6,4.7,10.0,41.0,,,25.6,,1015.0,4080.0
11,1980-12,6.3,2.8,9.1,50.0,,,,,1015.1,2940.0
12,1981-01,6.2,2.6,8.6,33.0,,,23.8,,1023.7,3540.0
13,1981-02,5.0,1.1,7.9,51.0,,,20.4,,1017.8,3840.0
14,1981-03,8.4,4.8,11.9,99.0,,,,,1000.7,6000.0
15,1981-04,8.0,3.4,11.7,49.0,,,,,1022.3,9720.0
16,1981-05,10.8,6.2,15.0,92.0,,,,,1005.2,9660.0
17,1981-06,13.1,9.0,17.3,77.0,,,18.6,,1017.3,8280.0
18,1981-07,14.9,10.7,18.5,36.0,,,,,1015.9,7200.0
19,1981-08,16.1,11.7,20.3,12.0,,,13.9,,1021.5,8460.0
20,1981-09,14.4,10.1,17.9,104.0,,,,,1007.8,7380.0
21,1981-10,7.7,2.9,11.3,109.0,,266.6,20.1,,1007.4,6900.0
22,1981-11,8.5,4.4,11.0,49.0,,233.3,,,1020.1,3600.0
23,1981-12,3.2,-0.2,5.2,133.0,,,,,1001.0,2700.0
24,1982-01,5.1,0.5,7.3,50.0,,,,,1014.4,3360.0
25,1982-02,6.5,2.4,9.6,24.0,,,,,1011.7,
26,1982-03,6.5,1.7,10.3,45.0,,,,,1012.4,10140.0
27,1982-04,9.1,3.8,13.6,20.0,,,,,1022.2,10620.0
28,1982-05,10.9,5.7,15.3,60.0,,,15.6,,1015.9,11400.0
29,1982-06,14.2,9.7,18.1,102.0,,,,,1012.1,10500.0
30,1982-07,15.7,10.7,19.7,92.0,,,,,1020.6,12180.0
31,1982-08,15.1,10.4,19.3,67.0,,,18.7,,1012.3,9720.0
32,1982-09,13.7,8.9,17.5,86.0,,,,,1012.0,6660.0
33,1982-10,10.5,6.2,13.8,98.0,,,,,1005.8,5460.0
34,1982-11,7.3,3.8,9.6,116.0,,,,,1005.9,3840.0
35,1982-12,5.1,1.0,7.8,73.0,,,22.1,,1008.0,3540.0
36,1983-01,6.7,2.7,9.2,63.0,,,,,1017.3,3060.0
37,1983-02,3.7,0.2,5.9,44.0,,,,,1021.4,3300.0
38,1983-03,7.3,3.9,10.6,61.0,,,,,1014.5,4260.0
39,1983-04,6.5,1.7,10.4,67.0,,,,,1007.7,9300.0
40,1983-05,9.7,5.6,13.1,81.0,,,,,1005.1,8400.0
41,1983-06,13.8,8.9,17.7,53.0,,,,,1020.0,9180.0
42,1983-07,17.8,12.5,22.3,18.0,,,,,1020.0,12060.0
43,1983-08,17.0,11.9,21.0,46.0,,,,,1020.8,9540.0
44,1983-09,13.5,9.1,17.6,77.0,,,19.9,,1009.4,6840.0
45,1983-10,10.7,6.3,14.0,46.0,,,,,1015.0,6840.0
46,1983-11,8.7,4.7,10.8,21.0,,,,,1016.8,1380.0
47,1983-12,7.5,3.2,9.8,130.0,,,,,1008.2,2880.0
48,1984-01,4.1,-0.1,6.8,94.0,,,28.5,,1003.9,4260.0
49,1984-02,5.7,1.7,8.4,59.0,,,,,1018.3,3540.0
50,1984-03,5.5,1.6,8.6,53.0,,,,,1016.8,4680.0
51,1984-04,8.8,3.3,13.2,33.0,,,15.2,,1019.8,10380.0
52,1984-05,10.2,4.2,14.8,34.0,,,13.1,,1014.6,13140.0
53,1984-06,14.4,9.5,18.9,38.0,,,,,1018.1,10740.0
54,1984-07,16.2,10.2,21.7,20.7,,,13.9,,1018.3,15000.0
55,1984-08,16.9,11.4,21.2,97.0,,,,,1017.8,10020.0
56,1984-09,13.3,8.9,17.3,75.0,,,,,1010.0,7140.0
57,1984-10,10.9,5.7,15.3,56.0,,,,,1009.1,6540.0
58,1984-11,7.4,3.1,10.2,97.0,,,,,1000.1,3600.0
59,1984-12,6.1,1.8,9.1,88.0,,,18.1,,1013.9,2880.0
60,1985-01,2.9,-1.3,5.2,67.0,,,16.3,,1013.4,3240.0
61,1985-02,5.0,1.2,7.9,56.0,,,,,1018.4,4380.0
62,1985-03,5.7,0.9,9.7,68.0,,,,,1010.7,6960.0
63,1985-04,8.9,4.1,13.4,40.0,,,22.9,,1010.2,8220.0
64,1985-05,10.4,6.0,14.4,70.0,,,,,1013.6,9540.0
65,1985-06,12.2,7.2,16.7,79.0,,,15.2,,1013.1,10320.0
66,1985-07,15.3,10.8,19.5,107.0,,,16.2,,1013.4,7500.0
67,1985-08,13.6,9.3,17.7,125.0,,,,,1007.2,8460.0
68,1985-09,14.6,10.0,18.9,38.0,,,,,1016.4,7320.0
69,1985-10,11.3,6.6,14.4,20.0,,,,,1021.4,4440.0
70,1985-11,4.9,0.1,8.4,35.0,,,,,1014.1,5700.0
71,1985-12,7.0,2.7,9.2,71.0,,,,,1007.4,3120.0
72,1986-01,4.5,0.1,7.2,103.0,,,,,1005.5,4020.0
73,1986-02,1.8,-1.2,3.5,10.0,,,,,1019.6,3960.0
74,1986-03,6.1,1.5,10.2,65.0,,,,,1006.9,7740.0
75,1986-04,6.1,1.3,9.6,48.0,,,17.1,,1011.3,9600.0
76,1986-05,10.5,6.2,15.0,63.0,,,,,1008.6,10500.0
77,1986-06,13.9,9.1,18.5,81.0,,,,,1016.9,10620.0
78,1986-07,14.9,10.8,18.9,58.0,,,,,1016.5,5580.0
79,1986-08,12.4,7.7,16.5,159.0,,,,,1013.3,8400.0
80,1986-09,11.9,5.9,16.6,3.0,,,,,1024.1,11700.0
81,1986-10,10.7,5.3,15.0,62.0,,,,,1013.0,7800.0
82,1986-11,7.8,2.8,11.4,97.0,,,,,1010.1,5220.0
83,1986-12,6.1,1.4,9.3,74.0,,,,,1011.4,3660.0
84,1987-01,3.9,-0.2,6.2,34.0,,,,,1022.9,2640.0
85,1987-02,5.0,-0.4,8.4,35.0,,,,,1013.8,4080.0
86,1987-03,5.4,0.6,9.5,57.0,,,,,1013.3,5340.0
87,1987-04,9.6,6.3,14.0,72.0,,,,,1013.4,6900.0
88,1987-05,10.5,4.8,15.1,21.0,,,,,1020.3,11340.0
89,1987-06,12.4,8.0,16.3,112.0,,,,,1012.0,6300.0
90,1987-07,15.8,10.5,20.4,32.0,,,,,1016.9,9780.0
91,1987-08,15.3,10.2,19.7,92.0,,,,,1015.6,7680.0
92,1987-09,13.1,7.3,17.2,70.0,,,,,1012.9,9420.0
93,1987-10,9.4,4.2,12.9,125.0,,,,,1004.9,5760.0
94,1987-11,7.2,2.8,9.8,48.0,,,,,1016.6,3060.0
95,1987-12,7.9,3.8,9.8,40.0,,,,,1015.3,2040.0
96,1988-01,5.7,1.0,8.3,119.0,,,,,998.2,4140.0
97,1988-02,5.2,0.8,8.1,34.0,,,,,1011.5,4920.0
98,1988-03,7.1,2.7,10.8,85.0,,,,,1010.3,6060.0
99,1988-04,8.9,3.4,13.2,25.0,,,,,1016.0,9480.0
100,1988-05,11.3,5.6,15.8,72.0,,,,,1011.0,11760.0
101,1988-06,14.6,8.9,19.1,38.0,,,,,1019.5,
102,1988-07,14.4,9.6,18.9,80.0,,,,,1007.5,8160.0
103,1988-08,14.7,9.7,18.9,60.0,,,,,1010.3,8100.0
104,1988-09,12.8,7.7,16.9,35.0,,,,,1015.3,7260.0
105,1988-10,10.7,5.8,13.9,79.0,,,,,1010.9,5820.0
106,1988-11,7.2,1.1,10.2,24.0,,,,,1020.9,5100.0
107,1988-12,8.4,4.8,10.2,41.0,,,,,1022.3,3300.0
108,1989-01,7.8,3.2,10.6,28.0,,,,,1022.7,4200.0
109,1989-02,6.6,1.4,10.0,43.0,,,,,1009.1,5700.0
110,1989-03,7.6,2.2,12.0,55.0,,,,,1006.6,6780.0
111,1989-04,6.9,1.4,11.2,79.0,,,,,1010.0,8220.0
112,1989-05,11.9,6.1,17.6,13.0,,,,,1021.2,
113,1989-06,13.9,7.8,19.3,68.0,,,14.1,,1017.9,13680.0
114,1989-07,17.9,11.8,23.2,10.0,,,,,1021.5,15240.0
115,1989-08,15.9,11.1,20.4,82.0,,,,,1012.4,8040.0
116,1989-09,13.7,9.0,17.6,25.0,,,,,1018.9,6000.0
117,1989-10,12.0,9.3,15.1,62.0,,,,,1013.8,4860.0
118,1989-11,8.0,,10.2,36.0,,,,,1012.9,3420.0
119,1989-12,6.5,2.5,8.1,54.0,,,,,,
120,1990-01,7.3,2.8,10.0,67.0,,,,,1006.8,4320.0
121,1990-02,7.0,3.0,10.3,126.5,,,,,,
122,1990-03,8.8,4.9,12.5,13.9,,,,,,
123,1990-04,7.9,2.8,12.9,32.0,,,,,,
124,1990-05,12.6,6.9,17.3,47.0,,,,,1020.9,12780.0
125,1990-06,13.3,8.4,17.8,63.0,,,,,1011.0,8700.0
126,1990-07,16.1,11.0,21.0,48.0,,,,,1017.7,14400.0
127,1990-08,16.8,11.7,21.6,50.0,,,,,1017.0,8460.0
128,1990-09,12.8,7.3,17.6,16.0,,,,,1008.1,8460.0
129,1990-10,11.5,8.1,14.4,150.0,,,,,1004.0,4620.0
130,1990-11,7.4,3.4,10.2,67.3,,,,,,
131,1990-12,5.2,1.0,7.7,79.0,,,,,1016.0,3660.0
132,1991-01,4.6,2.0,6.8,71.0,,,,,1015.7,4740.0
133,1991-02,3.8,0.8,6.6,55.0,,,,,1015.8,
134,1991-03,7.9,5.1,10.6,91.0,,,,,1009.8,4980.0
135,1991-04,8.0,4.4,11.1,92.0,,,,,1014.6,8160.0
136,1991-05,11.8,7.8,15.6,4.0,,,,,1027.5,10140.0
137,1991-06,12.4,8.7,15.7,80.0,,,18.2,,1010.0,8640.0
138,1991-07,15.9,12.6,19.4,27.0,,,,,1013.4,
139,1991-08,16.5,12.3,20.1,37.0,,,15.6,,1017.9,
140,1991-09,14.3,10.1,18.1,43.0,,,17.2,,1015.0,8940.0
141,1991-10,9.9,7.1,12.6,88.0,,,,,1014.1,
142,1991-11,7.2,4.1,9.7,50.0,,,,,1006.7,3600.0
143,1991-12,7.0,4.7,9.3,38.0,,,,,1026.0,
144,1992-01,6.0,3.4,8.4,33.0,,,16.2,,1028.8,3120.0
145,1992-02,7.3,4.2,10.0,24.0,,,,,1019.1,3840.0
146,1992-03,8.1,4.8,11.0,65.0,,,,,1013.2,4020.0
147,1992-04,8.7,5.1,11.8,71.0,,,,,1009.9,
148,1992-05,12.3,8.5,15.9,40.0,,,,,1017.5,12240.0
149,1992-06,15.2,11.3,18.9,38.0,,,,,1019.7,11460.0
150,1992-07,15.7,12.1,19.1,69.0,,,,,1015.3,
151,1992-08,14.5,10.6,18.1,85.0,,,,,1007.5,10080.0
152,1992-09,12.5,9.0,15.6,64.0,,,,,1012.4,5880.0
153,1992-10,8.0,4.7,10.8,31.0,,,,,1013.1,6000.0
154,1992-11,8.0,4.9,10.9,63.0,,,,,1007.5,3780.0
155,1992-12,5.5,2.8,8.0,41.0,,,,,1014.2,3780.0
156,1993-01,7.0,3.8,10.1,58.0,,,,,1011.9,2280.0
157,1993-02,7.1,4.7,9.2,20.0,,,,,1031.0,3360.0
158,1993-03,7.4,4.6,10.0,26.0,,,,,1019.2,4980.0
159,1993-04,9.8,6.6,12.8,49.0,,,,,1007.7,7800.0
160,1993-05,10.5,7.1,13.5,149.0,,,,,1013.5,10020.0
161,1993-06,14.2,10.6,17.5,148.0,,,,,1016.9,7620.0
162,1993-07,15.0,11.3,18.3,60.0,,,,,1015.1,8400.0
163,1993-08,14.5,10.5,18.2,37.0,,,,,1019.5,11700.0
164,1993-09,12.4,9.0,15.4,90.0,,,,,1010.8,6060.0
165,1993-10,8.5,5.3,11.4,86.0,,,,,1015.7,5700.0
166,1993-11,6.8,4.4,9.2,45.0,,,,,1017.0,4200.0
167,1993-12,5.7,3.1,8.3,106.0,,,,,1001.8,2820.0
168,1994-01,5.6,2.9,8.3,83.0,,,,,1005.7,3300.0
169,1994-02,4.7,2.4,6.8,99.0,,,,,1007.3,2520.0
170,1994-03,7.6,4.2,10.7,72.0,,,,,1010.6,6060.0
171,1994-04,7.8,3.7,11.4,60.0,,,,,1011.3,10560.0
172,1994-05,9.5,5.7,12.7,52.0,,,,,1013.5,9720.0
173,1994-06,13.1,8.6,17.1,21.0,,,,,1017.2,8460.0
174,1994-07,14.9,10.6,18.9,65.0,,,,,1016.6,8340.0
175,1994-08,13.9,10.0,17.6,58.0,,,,,1014.2,7860.0
176,1994-09,11.9,8.2,15.1,92.0,,,,,1013.5,6660.0
177,1994-10,10.1,6.4,13.3,41.0,,,,,1010.9,7740.0
178,1994-11,9.4,6.4,12.3,55.0,,,,,1013.3,3180.0
179,1994-12,6.7,3.7,9.6,86.0,,,,,1009.2,3480.0
180,1995-01,4.6,1.4,7.8,109.0,,,,,1007.6,2520.0
181,1995-02,6.0,2.9,9.1,92.0,,,,,1003.7,3780.0
182,1995-03,5.3,1.5,9.0,45.0,,,,,1009.8,7380.0
183,1995-04,8.6,4.3,12.8,27.0,,,,,1020.3,10200.0
184,1995-05,10.3,6.1,14.4,49.0,,,,,1015.4,9660.0
185,1995-06,13.1,8.1,18.1,13.0,,,,,1021.3,14460.0
186,1995-07,16.3,11.6,20.9,70.0,,,,,1013.6,9900.0
187,1995-08,17.4,11.9,22.9,7.0,,,,,1021.0,16440.0
188,1995-09,12.7,8.3,17.1,20.0,,,,,1013.0,8160.0
189,1995-10,12.4,8.5,16.2,38.0,,,,,1011.3,6600.0
190,1995-11,7.7,4.4,11.0,146.0,,,,,1012.7,4080.0
191,1995-12,4.6,2.2,6.9,73.0,,,,,1016.6,3480.0
192,1996-01,6.0,4.1,7.9,87.0,,,,,1005.3,960.0
193,1996-02,3.8,0.4,7.2,62.0,,,,,1012.8,5580.0
194,1996-03,4.8,2.0,7.6,70.0,,,,,1018.2,2760.0
195,1996-04,8.3,4.2,12.3,58.0,,,,,1014.3,6600.0
196,1996-05,8.5,4.1,12.9,70.0,,,,,1014.3,12540.0
197,1996-06,13.1,8.0,18.1,21.0,,,,,1020.3,13440.0
198,1996-07,14.9,10.3,19.5,37.0,,,,,1017.5,10140.0
199,1996-08,14.3,10.3,18.3,103.0,,,,,1014.1,7860.0
200,1996-09,12.9,8.7,17.1,19.0,,,,,1018.4,9540.0
201,1996-10,10.9,7.5,14.2,102.0,,,,,1009.5,4440.0
202,1996-11,5.7,2.5,8.9,104.0,,,,,1009.5,5340.0
203,1996-12,4.2,1.6,6.8,54.0,,,,,1015.0,2340.0
204,1997-01,4.2,1.5,6.9,14.0,,,,,1021.4,2280.0
205,1997-02,6.2,2.6,9.8,62.0,,,,,1007.2,5400.0
206,1997-03,7.7,3.3,12.1,15.0,,,,,1021.7,7200.0
207,1997-04,8.8,4.5,13.1,48.0,,,,,1022.5,7560.0
208,1997-05,9.9,5.1,14.7,61.0,,,,,1013.2,12420.0
209,1997-06,12.4,8.6,16.1,125.0,,,,,1009.8,8340.0
210,1997-07,15.0,10.5,19.5,54.0,,,,,1017.9,10140.0
211,1997-08,16.0,12.0,19.9,81.0,,,,,1013.9,9240.0
212,1997-09,13.0,9.0,17.0,19.0,,,,,1019.9,8580.0
213,1997-10,10.5,7.0,14.0,68.0,,,,,1016.0,5700.0
214,1997-11,8.3,5.4,11.1,87.0,,,,,999.0,3000.0
215,1997-12,6.4,3.7,9.1,91.0,,,,,1007.5,2820.0
216,1998-01,5.7,2.9,8.4,80.0,,,,,1010.3,2880.0
217,1998-02,7.9,4.8,11.0,14.0,,,,,1020.2,4620.0
218,1998-03,7.8,4.4,11.2,66.0,,,,,1019.5,4320.0
219,1998-04,6.9,3.1,10.6,116.0,,,,,1001.6,7860.0
220,1998-05,11.4,7.0,15.7,27.0,,,,,1018.9,11760.0
221,1998-06,13.1,8.8,17.3,113.0,,,,,1010.8,9180.0
222,1998-07,14.4,10.6,18.2,54.0,,,,,1011.8,8040.0
223,1998-08,14.9,10.3,19.5,45.0,,,,,1017.6,10140.0
224,1998-09,13.3,9.6,17.0,96.0,,,,,1008.2,7440.0
225,1998-10,10.2,6.8,13.5,75.0,,,,,1010.1,6900.0
226,1998-11,7.0,3.7,10.2,77.0,,,,,1014.3,5580.0
227,1998-12,6.0,2.6,9.4,70.0,,,,,1012.6,2880.0
228,1999-01,5.4,2.2,8.6,73.0,,,,,1006.7,4500.0
229,1999-02,5.6,2.5,8.7,32.0,,,,,1018.1,4560.0
230,1999-03,7.2,3.5,10.9,36.0,,,,,1009.4,6780.0
231,1999-04,8.8,4.7,12.9,75.0,,,,,1011.1,10380.0
232,1999-05,11.6,7.8,15.4,39.0,,,,,1013.4,7320.0
233,1999-06,12.2,7.5,16.8,56.0,,,,,1016.2,9660.0
234,1999-07,15.9,11.6,20.2,35.0,,,,,1016.9,11340.0
235,1999-08,14.6,10.7,18.5,107.0,,,,,1011.9,9300.0
236,1999-09,14.2,10.5,17.9,104.0,,,,,1004.8,6660.0
237,1999-10,10.3,7.0,13.6,31.0,,,,,1011.9,6480.0
238,1999-11,7.6,4.5,10.7,44.0,,,,,1020.6,4560.0
239,1999-12,4.6,1.6,7.5,83.0,,,,,1005.3,3180.0
240,2000-01,4.8,2.1,7.5,40.0,,,,,1022.9,3000.0
241,2000-02,5.9,2.3,9.4,45.0,,,,,1013.7,5460.0
242,2000-03,7.3,3.8,10.7,21.0,,,,,1022.0,6180.0
243,2000-04,6.5,2.5,10.4,90.0,,,,,1006.0,9300.0
244,2000-05,10.5,5.9,15.0,50.0,,,,,1014.8,15720.0
245,2000-06,13.3,9.4,17.2,31.0,,,,,1016.4,9960.0
246,2000-07,14.6,10.5,18.6,48.0,,,,,1015.0,9780.0
247,2000-08,15.2,10.5,19.8,63.0,,,,,1015.6,10320.0
248,2000-09,13.3,9.1,17.4,100.0,,,,,1008.7,6240.0
249,2000-10,9.3,5.5,13.0,87.0,,,23.4,,1003.9,7380.0
250,2000-11,6.0,2.8,9.1,141.0,,,,,995.0,3900.0
251,2000-12,5.3,2.7,7.9,126.0,,,21.5,,1000.3,2040.0
252,2001-01,3.6,0.7,6.5,32.0,,,,,1006.4,4080.0
253,2001-02,4.3,0.5,8.0,50.0,,,18.4,,1016.7,5880.0
254,2001-03,5.0,1.6,8.4,56.0,,,,,1001.8,7320.0
255,2001-04,7.2,2.9,11.5,78.0,,,,,1011.9,8760.0
256,2001-05,11.4,6.4,16.3,50.0,,,,,1019.6,14400.0
257,2001-06,12.8,8.2,17.4,41.0,,,,,1016.7,9900.0
258,2001-07,15.2,10.7,19.6,31.0,,,,,1013.7,8580.0
259,2001-08,14.9,10.4,19.3,97.0,,,,,1013.4,9600.0
260,2001-09,12.8,8.6,17.0,42.0,,,,,1016.1,7920.0
261,2001-10,12.3,9.0,15.5,90.0,,,,,1005.9,6900.0
262,2001-11,7.8,4.8,10.8,41.0,,,,,1024.0,3420.0
263,2001-12,4.6,1.2,7.9,22.0,,,,,1024.7,5340.0
264,2002-01,6.8,3.5,10.1,48.0,,,,,1012.3,3420.0
265,2002-02,6.5,3.0,9.9,126.0,,,,,1005.4,5460.0
266,2002-03,7.2,3.3,11.1,30.0,,,,,1014.5,7500.0
267,2002-04,8.1,3.8,12.4,82.0,,,,,1014.3,9540.0
268,2002-05,10.9,6.8,15.0,121.0,,,,,1008.1,10080.0
269,2002-06,13.1,9.0,17.2,81.0,,,,,1012.3,9720.0
270,2002-07,14.4,10.4,18.3,69.0,,,,,1014.5,6420.0
271,2002-08,15.1,11.2,18.9,51.0,,,,,1016.5,8400.0
272,2002-09,12.6,8.0,17.1,23.0,,,,,1021.0,7800.0
273,2002-10,9.5,5.9,13.0,181.0,,,,,1009.9,6000.0
274,2002-11,8.5,5.7,11.2,186.0,,,,,999.7,3420.0
275,2002-12,6.4,4.5,8.2,98.0,,,,,1012.3,1860.0
276,2003-01,5.1,2.1,8.0,63.0,,,,,1014.9,4500.0
277,2003-02,4.8,1.7,7.8,21.0,,,,,1016.1,6180.0
278,2003-03,6.9,2.1,11.6,27.0,,,,,1019.9,10320.0
279,2003-04,8.9,4.7,13.1,37.0,,,,,1015.4,11040.0
280,2003-05,10.9,6.8,15.0,97.0,,,,,1012.1,9540.0
281,2003-06,13.9,9.7,18.1,87.0,,,,,1012.9,11340.0
282,2003-07,16.2,12.3,20.0,48.0,,,16.7,,1012.8,7920.0
