,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,6.9,,,129.0,,,,,,11400.0
1,1980-02,7.7,,,151.0,,,,,,7620.0
2,1980-03,10.4,,,95.0,,,,,,12120.0
3,1980-04,14.9,,,16.0,,,,,,15240.0
4,1980-05,20.6,,,1.0,,,,,,18720.0
5,1980-06,22.4,,,0.0,,,,,,20820.0
6,1980-07,22.6,,,1.0,,,,,,24000.0
7,1980-08,22.7,,,0.0,,,,,,20460.0
8,1980-09,20.1,,,0.5,,,,,,19560.0
9,1980-10,19.3,,,21.0,,,,,,15840.0
10,1980-11,15.1,,,7.0,,,,,,13380.0
11,1980-12,9.9,,,232.0,,,,,,8760.0
12,1981-01,6.8,,,128.0,,,,,,10620.0
13,1981-02,8.0,,,86.0,,,,,,8280.0
14,1981-03,11.8,,,85.0,,,,,,13800.0
15,1981-04,14.5,,,16.0,,,,,,12180.0
16,1981-05,16.9,,,0.0,,,,,,19320.0
17,1981-06,21.5,,,0.0,,,,,,23220.0
18,1981-07,22.5,,,0.0,,,,,,22320.0
19,1981-08,22.5,,,0.0,,,,,,21300.0
20,1981-09,22.2,,,0.5,,,,,,17940.0
21,1981-10,19.9,,,0.0,,,,,,17280.0
22,1981-11,11.9,,,88.0,,,,,,12720.0
23,1981-12,10.9,,,20.0,,,,,,11880.0
24,1982-01,8.6,,,109.0,,,,,,11280.0
25,1982-02,6.7,,,160.0,,,,,,8520.0
26,1982-03,9.1,,,142.0,,,,,,13440.0
27,1982-04,15.9,,,5.0,,,,,,13920.0
28,1982-05,17.7,,,0.5,,,,,,18240.0
29,1982-06,21.7,,,0.0,,,,,,22740.0
30,1982-07,21.9,,,0.0,,,,,,22440.0
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,5.1,,,255.0,,,,,,8760.0
37,1983-02,6.5,,,296.0,,,,,,8280.0
38,1983-03,9.4,,,158.0,,,,,,12780.0
39,1983-04,13.6,,,10.0,,,,,,14280.0
40,1983-05,18.4,,,1.0,,,,,,18240.0
41,1983-06,21.2,,,0.0,,,,,,21300.0
42,1983-07,22.1,,,0.0,,,,,,22380.0
43,1983-08,22.1,,,0.0,,,,,,21240.0
44,1983-09,20.6,,,0.0,,,,,,19740.0
45,1983-10,17.6,,,5.0,,,,,,15900.0
46,1983-11,15.0,,,76.0,,,,,,13140.0
47,1983-12,10.0,,,26.0,,,,,,12120.0
48,1984-01,8.1,,,164.0,,,,,,9900.0
49,1984-02,10.0,,,68.0,,,,,,14400.0
50,1984-03,11.8,,,118.0,,,,,,11460.0
51,1984-04,13.5,,,32.0,,,,,,15780.0
52,1984-05,19.8,,,0.0,,,,,,19620.0
53,1984-06,20.3,,,0.5,,,,,,
54,1984-07,21.7,,,0.0,,,,,,
55,1984-08,20.8,,,0.0,,,,,,21720.0
56,1984-09,21.4,,,0.0,,,,,,18600.0
57,1984-10,18.7,,,81.0,,,,,,16140.0
58,1984-11,13.2,,,34.0,,,,,,12360.0
59,1984-12,8.1,,,48.0,,,,,,13560.0
60,1985-01,10.0,,,66.0,,,,,,10380.0
61,1985-02,7.2,,,289.0,,,,,,9240.0
62,1985-03,11.4,,,24.0,,,,,,14340.0
63,1985-04,,,,41.0,,,,,,15840.0
64,1985-05,20.1,,,1.0,,,,,,15240.0
65,1985-06,22.4,,,0.0,,,,,,22080.0
66,1985-07,21.6,,,0.0,,,,,,22980.0
67,1985-08,23.4,,,0.0,,,,,,20640.0
68,1985-09,21.2,,,0.0,,,,,,18600.0
69,1985-10,16.9,,,37.0,,,,,,15780.0
70,1985-11,15.7,,,9.0,,,,,,
71,1985-12,10.1,,,62.0,,,,,,11520.0
72,1986-01,8.9,,,94.0,,,,,,12120.0
73,1986-02,10.0,,,140.0,,,,,,10260.0
74,1986-03,12.6,,,17.0,,,,,,14940.0
75,1986-04,17.9,,,47.0,,,,,,13560.0
76,1986-05,17.6,,,24.0,,,,,,
77,1986-06,21.9,,,0.0,,,,,,
78,1986-07,23.3,,,0.0,,,,,,
79,1986-08,23.3,,,0.0,,,,,,
80,1986-09,23.6,,,0.0,,,,,,18480.0
81,1986-10,19.2,,,47.0,,,,,,15480.0
82,1986-11,12.2,,,255.0,,,,,,
83,1986-12,9.0,,,108.0,,,,,,11820.0
84,1987-01,8.6,,,134.0,,,,,,11640.0
85,1987-02,10.6,,,47.0,,,,,,12600.0
86,1987-03,8.5,,,98.0,,,,,,11040.0
87,1987-04,14.1,,,4.0,,,,,,16680.0
88,1987-05,18.4,,,0.0,,,,,,20760.0
89,1987-06,21.4,,,0.0,,,,,,22500.0
90,1987-07,23.3,,,0.0,,,,,,23160.0
91,1987-08,23.3,,,0.0,,,,,,21540.0
92,1987-09,22.3,,,0.0,,,,,,14820.0
93,1987-10,18.0,,,56.0,,,,,,13800.0
94,1987-11,14.0,,,17.0,,,,,,14340.0
95,1987-12,9.7,,,222.0,,,,,,11880.0
96,1988-01,7.8,,,133.0,,,,,,9000.0
97,1988-02,8.9,,,214.0,,,,,,7980.0
98,1988-03,10.7,,,107.0,,,,,,12420.0
99,1988-04,15.4,,,7.0,,,,,,15060.0
100,1988-05,20.2,,,0.5,,,,,,21180.0
101,1988-06,21.8,,,0.0,,,,,,21300.0
102,1988-07,23.9,,,0.0,,,,,,22980.0
103,1988-08,23.1,,,0.0,,,,,,21960.0
104,1988-09,22.6,,,0.0,,,,,,19440.0
105,1988-10,17.8,,,8.0,,,,,,13800.0
106,1988-11,11.9,,,57.0,,,,,,13380.0
107,1988-12,9.5,,,194.0,,,,,,9480.0
108,1989-01,5.2,,,91.0,,,,,,10020.0
109,1989-02,7.3,,,57.0,,,,,,12420.0
110,1989-03,10.7,,,128.0,,,,,,14040.0
111,1989-04,19.3,,,0.0,,,,,,19320.0
112,1989-05,20.4,,,0.5,,,,,,21240.0
113,1989-06,21.0,,,0.0,,,,,,22320.0
114,1989-07,22.8,,,0.0,,,,,,23280.0
115,1989-08,23.8,,,0.0,,,,,,22020.0
116,1989-09,21.4,,,0.5,,,,,,
117,1989-10,18.3,,,10.0,,,,,,15600.0
118,1989-11,14.6,,,101.0,,,,,,12300.0
119,1989-12,9.4,,,52.0,,,,,,12000.0
120,1990-01,6.8,,,175.0,,,,,,8220.0
121,1990-02,7.2,,,79.0,,,,,,10440.0
122,1990-03,10.8,,,100.0,,,,,,11040.0
123,1990-04,15.1,,,52.0,,,,,,15780.0
124,1990-05,18.2,,,4.0,,,,,,21180.0
125,1990-06,21.3,,,0.0,,,,,,20340.0
126,1990-07,23.0,,,0.0,,,,,,23340.0
127,1990-08,22.7,,,0.0,,,,,,22260.0
128,1990-09,20.6,,,0.0,,,,,,17160.0
129,1990-10,20.0,,,0.5,,,,,,16140.0
130,1990-11,16.5,,,22.0,,,,,,13740.0
131,1990-12,11.9,,,8.0,,,,,,12780.0
132,1991-01,7.7,4.4,12.1,186.0,,,,,,9780.0
133,1991-02,8.5,4.8,13.4,86.0,,,,,,11220.0
134,1991-03,12.4,8.3,17.2,122.0,,,,,,12060.0
135,1991-04,16.7,11.0,22.5,12.0,,,,,,14880.0
136,1991-05,18.9,13.3,25.1,4.0,,,,,,17760.0
137,1991-06,21.9,15.7,28.0,0.0,,,,,,22500.0
138,1991-07,21.9,16.5,28.1,0.0,,,,,,22740.0
139,1991-08,22.1,17.5,28.1,0.0,,,,,,21420.0
140,1991-09,21.2,16.2,27.7,1.0,,,,,,18120.0
141,1991-10,20.0,14.9,25.7,21.0,,,,,,14040.0
142,1991-11,14.6,9.9,20.0,90.0,,,,,,14220.0
143,1991-12,6.9,4.0,10.6,418.0,,,,,,8220.0
144,1992-01,4.8,1.9,7.9,207.0,,,,,,8340.0
145,1992-02,4.6,1.2,8.3,390.0,,,,,,6660.0
