,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,25.6,,,62.0,,,,,1010.1,11700.0
1,1980-02,26.2,,,78.0,,,,,1008.5,11040.0
2,1980-03,26.8,,,58.0,,,,,1008.9,13320.0
3,1980-04,27.4,,,64.0,,,,,1009.2,11400.0
4,1980-05,26.1,,,196.0,,,,,1011.1,9720.0
5,1980-06,25.5,,,156.0,,,,,1012.9,9300.0
6,1980-07,24.4,,,174.0,,,,,1013.0,5040.0
7,1980-08,24.4,,,103.0,,,,,1012.9,
8,1980-09,24.9,,,186.0,,,,,1012.1,7620.0
9,1980-10,25.0,,,107.0,,,,,1011.6,9660.0
10,1980-11,24.9,,,62.0,,,,,1010.8,10980.0
11,1980-12,23.4,,,6.0,,,,,1010.2,
12,1981-01,23.8,,,0.0,,,,,1010.4,13320.0
13,1981-02,26.9,,,45.0,,,,,1009.0,10440.0
14,1981-03,26.8,,,132.0,,,,,1009.2,11820.0
15,1981-04,27.1,,,123.0,,,,,1008.8,12300.0
16,1981-05,26.0,,,147.0,,,,,1010.4,12540.0
17,1981-06,25.9,,,126.0,,,,,1012.2,10380.0
18,1981-07,24.1,,,255.0,,,,,1012.9,5520.0
19,1981-08,24.6,,,38.0,,,,,1012.7,6960.0
20,1981-09,25.0,,,140.0,,,,,1012.1,7680.0
21,1981-10,25.4,,,157.0,,,,,1010.6,12180.0
22,1981-11,25.5,,,8.0,,,,,1009.9,12180.0
23,1981-12,26.1,,,0.0,,,,,,8760.0
24,1982-01,24.4,,,0.0,,,,,1009.5,14760.0
25,1982-02,27.6,,,48.0,,,,,1008.7,11760.0
26,1982-03,27.2,,,160.0,,,,,1008.7,12960.0
27,1982-04,26.7,,,132.0,,,,,1009.2,13020.0
28,1982-05,26.0,,,395.0,,,,,1011.3,9060.0
29,1982-06,25.2,,,114.0,,,,,1013.0,9120.0
30,1982-07,24.2,,,56.0,,,,,1013.1,5400.0
31,1982-08,24.0,,,32.0,,,,,1013.1,2400.0
32,1982-09,25.4,,,5.0,,,,,1012.1,6480.0
33,1982-10,,,,,,,,,,
34,1982-11,25.6,,,32.0,,,,,1010.7,10320.0
35,1982-12,24.3,,,0.0,,,,,1010.5,11220.0
36,1983-01,24.0,,,0.0,,,,,1011.0,13380.0
37,1983-02,28.2,,36.2,11.0,,,,,1009.5,11820.0
38,1983-03,29.1,,,35.0,,,,,1008.8,12540.0
39,1983-04,28.6,,,62.0,,,,,1008.5,12000.0
40,1983-05,26.8,,32.8,390.0,,,,,1009.7,11280.0
41,1983-06,25.5,,,103.0,,,,,1012.5,7320.0
42,1983-07,24.6,,,28.0,,,,,1012.9,6480.0
43,1983-08,24.5,,,7.0,,,,,1014.0,4080.0
