,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.8,,,10.0,,,,,1014.7,
1,1980-02,26.9,21.9,,23.0,,,,,1014.1,
2,1980-03,27.3,22.5,,10.0,,,,,1014.2,16140.0
3,1980-04,,,,,,,,,,
4,1980-05,28.7,,,,,,,,1012.3,17880.0
5,1980-06,29.1,25.3,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,28.9,,,95.0,,,,,1013.3,
8,1980-09,29.7,,,32.0,,,,,1012.2,
9,1980-10,29.6,,,95.0,,,,,1012.4,
10,1980-11,28.4,,,86.0,,,,,1013.0,11460.0
11,1980-12,27.5,22.6,,67.0,,,,,1013.9,
12,1981-01,26.2,21.4,,,,,,,,
13,1981-02,27.4,22.5,,,,,,,,
14,1981-03,27.9,23.6,,39.0,,,,,1013.5,
15,1981-04,28.2,23.4,,,,,,,,
16,1981-05,28.9,25.1,,129.0,,,,,1011.7,
17,1981-06,29.3,,,77.0,,,,,1013.4,10860.0
18,1981-07,30.1,,,33.0,,,,,1014.1,16260.0
19,1981-08,29.7,23.6,,183.0,,,,,1012.9,
20,1981-09,30.0,23.1,,58.0,,,,,,
21,1981-10,29.0,,,204.0,,,,,1011.4,
22,1981-11,28.6,22.6,,170.0,,,,,1011.4,
23,1981-12,28.0,,,23.0,,,,,1013.1,13560.0
24,1982-01,26.9,,,13.0,,,,,1015.0,14940.0
25,1982-02,25.9,21.4,,8.0,,,,,1014.9,17700.0
26,1982-03,26.4,22.2,,3.0,,,,,1014.2,15720.0
27,1982-04,26.8,,,58.0,,,,,1013.8,
28,1982-05,27.0,,,61.0,,,,,1011.9,11040.0
29,1982-06,28.5,,,11.0,,,,,1013.6,13020.0
30,1982-07,28.5,,,42.0,,,,,1014.3,14700.0
31,1982-08,28.7,,,23.0,,,,,1013.9,15600.0
32,1982-09,30.5,,,246.0,,,,,1012.2,
33,1982-10,27.5,,,96.0,,,,,1012.2,14760.0
34,1982-11,26.7,,,55.0,,,,,1012.5,13680.0
35,1982-12,26.2,,,0.0,,,,,1014.1,15360.0
36,1983-01,26.2,,,2.0,,,,,1013.3,
37,1983-02,26.1,,,55.0,,,,,1012.7,11520.0
38,1983-03,26.6,,,18.0,,,,,1011.7,16560.0
39,1983-04,27.0,,,35.0,,,,,1012.6,
40,1983-05,28.3,,,2.0,,,,,1011.9,16320.0
41,1983-06,27.7,,,88.0,,,,,1012.2,
42,1983-07,29.5,,,20.0,,,,,1013.8,
43,1983-08,28.6,,,80.0,,,,,1014.7,
44,1983-09,28.3,,,,,,,,1013.7,
45,1983-10,27.5,,32.1,82.0,,,,,1013.0,
46,1983-11,27.6,,32.0,20.0,,,,,1013.8,16140.0
47,1983-12,26.6,,,8.0,,,,,1015.4,16140.0
48,1984-01,25.7,,,0.0,,,,,1015.3,14580.0
49,1984-02,25.7,,,29.0,,,,,1013.8,11820.0
50,1984-03,25.9,,30.5,10.0,,,,,1014.5,
51,1984-04,27.0,,,8.0,,,,,1013.8,16800.0
52,1984-05,27.5,,,29.0,,,,,1014.3,15180.0
53,1984-06,28.0,,,34.0,,,,,1014.0,13620.0
54,1984-07,28.0,,,61.0,,,,,1014.0,13620.0
55,1984-08,28.1,,32.8,23.0,,,,,1014.5,15060.0
56,1984-09,27.4,,,152.0,,,,,1012.6,12720.0
57,1984-10,27.2,,,32.0,,,,,1013.0,13620.0
58,1984-11,26.5,,31.5,12.0,,,,,1012.8,
59,1984-12,25.9,,31.5,2.0,,,,,1015.0,16560.0
60,1985-01,25.0,,,8.0,,,,,1016.6,
61,1985-02,25.5,,,26.0,,,,,1016.5,13200.0
62,1985-03,25.8,,30.8,22.0,,,,,1015.2,
63,1985-04,26.1,22.4,,27.0,,,,,1014.2,15540.0
64,1985-05,27.6,,,38.0,,,,,1013.4,16620.0
65,1985-06,28.4,,32.6,41.0,,,,,1015.1,
66,1985-07,29.3,,,18.0,,,,,1014.7,15060.0
67,1985-08,27.8,,32.4,114.0,,,,,1014.4,13500.0
68,1985-09,27.9,,32.9,17.0,,,,,1012.7,13860.0
69,1985-10,27.5,,32.5,69.0,,,,,1012.1,
70,1985-11,26.8,,31.6,111.0,,,,,1012.9,13920.0
71,1985-12,26.0,21.8,31.2,24.0,,,,,1016.0,13980.0
72,1986-01,24.8,,,35.0,,,,,1016.1,13620.0
73,1986-02,25.4,20.6,30.2,14.0,,,,,1015.6,15360.0
