,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,5.6,1.7,10.0,89.0,,,,,1013.6,10920.0
1,1980-02,5.2,1.3,9.2,26.0,,,,,1015.9,12360.0
2,1980-03,8.2,4.9,12.0,174.0,,,,,1015.9,9480.0
3,1980-04,13.6,9.9,17.6,107.0,,,,,1016.6,9420.0
4,1980-05,19.2,15.2,23.4,155.0,,,,,1012.1,12240.0
5,1980-06,23.6,20.9,27.0,173.0,,,,,1010.4,8820.0
6,1980-07,23.8,21.1,27.4,202.0,,,,,1007.8,5700.0
7,1980-08,23.4,20.7,26.6,169.0,,,,,1010.1,6300.0
8,1980-09,23.0,20.3,26.1,182.0,,,,,1013.3,7500.0
9,1980-10,18.2,14.8,21.9,136.0,,,,,1015.9,9600.0
10,1980-11,13.0,9.2,16.8,134.0,,,,,1017.8,9000.0
11,1980-12,7.7,3.8,11.9,34.0,,,,,1010.4,12780.0
12,1981-01,4.4,0.6,8.5,4.0,,,,,1013.6,13980.0
13,1981-02,5.3,1.9,9.2,38.0,,,,,1013.9,9420.0
14,1981-03,9.0,5.2,13.0,113.0,,,,,1016.3,11580.0
15,1981-04,13.9,9.5,18.0,166.0,,,,,1012.7,12480.0
16,1981-05,17.5,13.5,21.4,152.0,,,,,1010.4,10980.0
17,1981-06,20.2,17.2,23.6,103.0,,,,,1010.3,4980.0
18,1981-07,26.3,23.4,30.0,167.0,,,,,1011.2,10860.0
19,1981-08,26.2,23.4,30.0,133.0,,,,,1006.4,11460.0
20,1981-09,21.8,18.7,25.2,139.0,,,,,1013.5,8400.0
21,1981-10,17.6,14.4,21.1,344.0,,,,,1015.3,9660.0
22,1981-11,10.4,7.2,13.9,99.0,,,,,1018.5,7860.0
23,1981-12,7.6,3.8,11.7,8.0,,,,,1018.2,12420.0
24,1982-01,5.8,2.2,9.7,33.0,,,,,1015.3,11640.0
25,1982-02,5.5,1.8,9.3,52.0,,,,,1017.2,10080.0
26,1982-03,9.9,5.9,14.0,73.0,,,,,1016.1,10680.0
27,1982-04,14.0,10.0,17.8,134.0,,,,,1015.7,10680.0
28,1982-05,20.7,16.8,24.7,86.0,,,,,1011.4,14640.0
29,1982-06,21.4,18.2,24.9,225.0,,,,,1007.3,9180.0
30,1982-07,23.1,20.4,26.1,140.0,,,,,1010.0,6120.0
31,1982-08,27.1,24.6,30.2,153.0,,,,,1010.3,10200.0
32,1982-09,22.3,19.8,25.6,372.0,,,,,1012.8,6240.0
33,1982-10,18.0,14.6,21.6,160.0,,,,,1016.9,10320.0
34,1982-11,14.3,11.3,17.6,136.0,,,,,1018.6,7140.0
35,1982-12,9.5,5.7,13.0,15.0,,,,,1017.4,9360.0
36,1983-01,6.2,2.5,10.2,30.0,,,,,1018.6,12300.0
37,1983-02,6.1,2.4,10.2,51.0,,,,,1015.2,12180.0
38,1983-03,8.6,5.2,12.1,99.0,,,,,1016.5,10560.0
39,1983-04,15.9,12.1,20.3,115.0,,,,,1015.5,10620.0
40,1983-05,19.7,15.7,23.7,106.0,,,,,1012.4,14520.0
41,1983-06,20.5,17.1,24.2,198.0,,,,,1009.6,9780.0
42,1983-07,23.8,21.2,27.1,142.0,,,,,1007.4,7140.0
43,1983-08,27.5,24.6,31.0,169.0,,,,,1008.7,9840.0
44,1983-09,23.1,20.9,26.1,243.0,,,,,1013.2,5580.0
45,1983-10,17.7,14.3,21.2,130.0,,,,,1017.0,8520.0
46,1983-11,12.3,8.6,16.3,54.0,,,,,1016.4,10920.0
47,1983-12,7.1,3.3,11.1,8.0,,,,,1014.8,13020.0
48,1984-01,3.7,0.2,7.5,50.0,,,,,1014.8,12540.0
49,1984-02,3.0,0.0,6.3,51.0,,,,,1014.9,10980.0
50,1984-03,5.9,2.0,10.2,69.0,,,,,1015.5,12360.0
51,1984-04,11.6,7.9,16.0,64.0,,,,,1018.7,10080.0
52,1984-05,17.2,14.0,21.2,78.0,,,,,1013.2,10320.0
53,1984-06,21.8,19.2,24.9,202.0,,,,,1011.1,6780.0
54,1984-07,26.2,23.2,30.0,82.0,,,,,1008.0,10800.0
55,1984-08,28.6,25.7,32.4,32.0,,,,,1011.0,15120.0
56,1984-09,23.5,20.3,27.1,61.0,,,,,1012.9,8820.0
57,1984-10,17.7,14.6,21.2,74.0,,,,,1015.6,8760.0
58,1984-11,12.2,8.5,15.9,51.0,,,,,1020.7,8940.0
59,1984-12,7.7,4.0,11.5,68.0,,,,,1016.3,9780.0
60,1985-01,4.1,0.5,8.1,5.0,,,,,1017.3,12060.0
61,1985-02,6.5,3.1,10.2,142.0,,,,,1012.5,9180.0
62,1985-03,7.8,4.8,11.2,135.0,,,,,1021.1,4440.0
63,1985-04,14.2,10.3,18.3,202.0,,,,,1015.2,11040.0
64,1985-05,19.1,15.7,23.0,90.0,,,,,1013.7,12120.0
65,1985-06,20.2,17.4,23.1,381.0,,,,,1010.9,6240.0
66,1985-07,26.3,23.3,30.2,115.0,,,,,1007.6,11700.0
67,1985-08,27.9,25.1,31.6,146.0,,,,,1012.8,15480.0
68,1985-09,23.1,20.4,26.1,106.0,,,,,1014.6,6120.0
69,1985-10,17.9,14.6,21.5,93.0,,,,,1017.5,8940.0
70,1985-11,13.3,9.1,17.1,86.0,,,,,1014.2,10440.0
71,1985-12,7.4,3.4,11.4,19.0,,,,,1016.2,12180.0
72,1986-01,4.5,1.0,8.2,15.0,,,,,1014.7,11160.0
73,1986-02,4.3,0.8,7.9,28.0,,,,,1014.6,10920.0
74,1986-03,7.8,3.9,11.8,188.0,,,,,1014.2,9720.0
75,1986-04,13.9,10.0,18.0,88.0,,,,,1015.9,10500.0
