,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-17.8,-22.3,-13.3,15.8,,,,,,
1,1980-02,-17.0,-21.4,-11.9,7.6,,,,,,
2,1980-03,-11.7,-17.1,-5.8,4.1,,,,,,
3,1980-04,5.2,0.8,10.4,19.8,,,,,,
4,1980-05,15.4,8.9,22.0,37.1,,,,,,
5,1980-06,17.8,11.1,24.3,37.9,,,,,,
6,1980-07,20.5,14.7,26.5,62.6,,,,,,
7,1980-08,16.3,11.4,22.1,78.4,,,,,,
8,1980-09,13.3,7.6,20.0,12.4,,,,,,
9,1980-10,4.2,-0.6,10.1,10.3,,,,,,
10,1980-11,-4.0,-7.9,0.3,28.6,,,,,,
11,1980-12,-12.0,-16.1,-7.7,11.4,,,,,,
12,1981-01,-15.9,-20.5,-10.9,8.1,,,,,,
13,1981-02,-13.0,-16.8,-8.7,10.4,,,,,,
14,1981-03,-5.2,-9.2,-0.5,21.2,,,,,,
15,1981-04,5.4,0.8,11.0,44.0,,,,,,
16,1981-05,12.8,6.9,19.3,43.0,,,,,,
17,1981-06,20.1,14.6,25.9,70.1,,,,,,
18,1981-07,21.6,15.3,27.4,11.5,,,,,,
19,1981-08,21.6,15.1,27.8,9.2,,,,,,
20,1981-09,13.2,7.4,19.5,23.3,,,,,,
21,1981-10,4.6,-0.3,10.4,9.9,,,,,,
22,1981-11,-4.9,-8.7,-0.6,18.5,,,,,,
23,1981-12,-12.5,-16.7,-8.0,6.9,,,,,,
24,1982-01,-14.4,-19.4,-8.7,15.2,,,,,,
25,1982-02,-15.4,-19.9,-10.7,11.2,,,,,,
26,1982-03,-12.1,-16.8,-6.9,8.3,,,,,,
27,1982-04,8.3,2.9,14.2,17.3,,,,,,
28,1982-05,14.7,7.9,21.6,22.7,,,,,,
29,1982-06,20.8,13.6,27.6,14.9,,,,,,
30,1982-07,20.7,14.6,26.9,42.9,,,,,,
31,1982-08,18.3,12.1,24.4,28.4,,,,,,
32,1982-09,13.8,7.9,20.1,21.4,,,,,,
33,1982-10,4.1,1.0,8.1,56.5,,,,,,
34,1982-11,-5.0,-7.8,-2.5,23.5,,,,,,
35,1982-12,-8.9,-12.1,-5.4,15.3,,,,,,
36,1983-01,-9.0,-12.2,-6.3,30.0,,,,,,
37,1983-02,-8.7,-13.1,-4.5,22.7,,,,,,
38,1983-03,-6.0,-10.1,-1.4,15.0,,,,,,
39,1983-04,6.5,1.5,12.7,11.3,,,,,,
40,1983-05,9.8,4.4,15.8,62.8,,,,,,
41,1983-06,20.0,13.9,26.2,36.1,,,,,,
42,1983-07,22.8,16.5,29.6,12.7,,,,,,
43,1983-08,19.2,12.1,26.0,2.5,,,,,,
44,1983-09,10.1,5.4,15.7,30.7,,,,,,
45,1983-10,4.8,1.5,9.5,24.0,,,,,,
