,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,28.3,,,430.0,,,,,1007.2,11220.0
1,1980-02,28.5,,,124.0,,,,,1007.8,12780.0
2,1980-03,27.8,,,358.0,,,,,1007.1,8760.0
3,1980-04,27.9,,,487.0,,,,,1007.8,9420.0
4,1980-05,28.8,,,,,,,,,
5,1980-06,28.5,,,241.0,,,,,1008.2,10620.0
6,1980-07,28.2,,,125.0,,,,,1008.7,7440.0
7,1980-08,28.6,,,,,,,,,
8,1980-09,28.3,,,121.0,,,,,1009.1,15720.0
9,1980-10,,,,,,,,,,
10,1980-11,28.4,,,213.0,,,,,1008.2,13800.0
11,1980-12,28.3,,,200.0,,,,,1007.0,10560.0
12,1981-01,28.1,,,190.0,,,,,1007.5,
13,1981-02,28.3,,,244.0,,,,,1007.1,9180.0
14,1981-03,27.9,,,363.0,,,,,1008.6,7860.0
15,1981-04,27.6,,,260.0,,,,,1008.2,8520.0
16,1981-05,28.1,,,254.0,,,,,1008.8,14340.0
17,1981-06,27.8,,,275.0,,,,,1009.0,12540.0
18,1981-07,28.6,,,20.0,,,,,1008.5,16500.0
19,1981-08,28.8,,,,,,,,,
20,1981-09,28.7,,,56.0,,,,,1008.5,16560.0
21,1981-10,28.5,,,16.0,,,,,1008.7,17460.0
22,1981-11,28.2,,,73.0,,,,,1008.0,16560.0
23,1981-12,28.0,,,384.0,,,,,1007.9,12180.0
24,1982-01,28.4,,,34.0,,,,,1007.7,16560.0
25,1982-02,28.2,,,164.0,,,,,1008.3,13200.0
26,1982-03,28.9,,,48.0,,,,,1008.7,16020.0
27,1982-04,28.5,,,195.0,,,,,1010.2,10860.0
28,1982-05,28.5,,,247.0,,,,,1008.8,13200.0
29,1982-06,28.5,,,120.0,,,,,1003.7,11520.0
30,1982-07,27.3,,,507.0,,,,,1008.8,7740.0
31,1982-08,27.6,,,421.0,,,,,1008.7,11340.0
32,1982-09,27.9,,,202.0,,,,,1009.9,11760.0
33,1982-10,27.9,,,228.0,,,,,1009.5,11160.0
34,1982-11,27.9,,,245.0,,,,,1008.1,9240.0
35,1982-12,28.1,,,206.0,,,,,1009.4,10920.0
36,1983-01,28.3,,,22.0,,,,,1008.6,12660.0
37,1983-02,28.2,,,170.0,,,,,1008.6,13020.0
38,1983-03,28.3,,,68.0,,,,,1009.5,13740.0
39,1983-04,28.5,,,120.0,,,,,1008.5,12840.0
40,1983-05,27.6,,,375.0,,,,,1007.8,8280.0
41,1983-06,27.8,,,282.0,,,,,1007.5,11400.0
42,1983-07,28.0,,,394.0,,,,,1006.8,12300.0
43,1983-08,28.3,,,111.0,,,,,1008.1,14280.0
44,1983-09,28.3,,,59.0,,,,,1007.5,14580.0
45,1983-10,27.7,,,149.0,,,,,,17460.0
46,1983-11,28.1,,,69.0,,,,,1009.0,15480.0
47,1983-12,28.2,,,79.0,,,,,1006.9,14760.0
48,1984-01,27.9,,,110.0,,,,,1008.5,16320.0
49,1984-02,27.5,,,54.0,,,,,1007.0,15480.0
50,1984-03,27.7,,,33.0,,,,,1009.0,16740.0
51,1984-04,27.5,,,148.0,,,,,1007.3,14940.0
52,1984-05,27.4,,,122.0,,,,,1009.0,16620.0
53,1984-06,27.2,,,97.0,,,,,1009.0,14160.0
54,1984-07,27.2,,,37.0,,,,,1007.7,15960.0
55,1984-08,27.4,,,114.0,,,,,1007.7,15600.0
56,1984-09,28.2,,,39.0,,,,,1008.2,12480.0
57,1984-10,27.9,,,101.0,,,,,1009.3,17220.0
58,1984-11,28.2,,,19.0,,,,,1008.8,16620.0
59,1984-12,27.2,,,125.0,,,,,1006.1,14820.0
60,1985-01,28.1,,,32.0,,,,,1008.7,14580.0
61,1985-02,27.8,,,44.0,,,,,1006.5,13860.0
62,1985-03,27.5,,,80.0,,,,,1007.1,13560.0
63,1985-04,27.6,,,22.0,,,,,1008.2,16020.0
64,1985-05,27.8,,,85.0,,,,,1008.2,17520.0
65,1985-06,27.7,,,70.0,,,,,1009.0,14820.0
66,1985-07,27.7,,,67.0,,,,,1009.5,15600.0
67,1985-08,,,,,,,,,,
68,1985-09,28.0,,,52.0,,,,,1009.1,15420.0
69,1985-10,28.2,,,40.0,,,,,1009.2,17340.0
70,1985-11,28.4,,,48.0,,,,,1007.9,17580.0
71,1985-12,28.1,,,167.0,,,,,1008.1,11880.0
72,1986-01,28.1,,,248.0,,,,,1006.5,9720.0
73,1986-02,27.9,,,62.0,,,,,1008.7,13980.0
74,1986-03,27.9,,,37.0,,,,,1008.3,16020.0
75,1986-04,27.7,,,108.0,,,,,1007.9,14700.0
76,1986-05,,,,,,,,,,
77,1986-06,28.4,,,224.0,,,,,1008.0,13440.0
78,1986-07,27.8,,,238.0,,,,,1009.2,13320.0
79,1986-08,28.4,,,104.0,,,,,1008.6,14340.0
80,1986-09,27.8,,,347.0,,,,,1008.9,9600.0
81,1986-10,28.3,,,247.0,,,,,1009.9,10860.0
82,1986-11,28.1,,,312.0,,,,,1007.2,8760.0
83,1986-12,27.5,,,453.0,,,,,1007.6,5400.0
84,1987-01,28.0,,,449.0,,,,,1008.3,9240.0
85,1987-02,27.6,,,492.0,,,,,1008.1,5520.0
86,1987-03,27.7,,,241.0,,,,,1009.7,7560.0
87,1987-04,27.7,,,493.0,,,,,1009.3,7740.0
88,1987-05,28.0,,,284.0,,,,,1009.2,9240.0
89,1987-06,27.9,,,353.0,,,,,1009.1,9840.0
90,1987-07,27.3,,,411.0,,,,,1009.5,9300.0
