,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-6.7,,-1.8,15.0,,,,,1023.6,
1,1980-02,-5.3,,1.2,,,,,,,
2,1980-03,3.1,,9.7,10.0,,,,,1021.5,
3,1980-04,8.7,,,109.0,,,,,1016.4,
4,1980-05,15.9,,,26.0,,,,,1011.2,
5,1980-06,21.4,,,129.0,,,,,1008.6,
6,1980-07,22.5,,,241.0,,,,,1006.5,
7,1980-08,22.0,,,,,,,,,
8,1980-09,17.7,,24.1,18.0,,,,,1014.6,
9,1980-10,10.2,,17.2,,,,,,,
10,1980-11,6.3,,,18.0,,,,,1021.3,
11,1980-12,-7.8,,,36.0,,,,,1021.8,
12,1981-01,-11.3,,,,,,,,,
13,1981-02,-3.4,,,1.0,,,,,1022.4,
14,1981-03,3.7,,10.6,51.0,,,,,1019.5,
15,1981-04,11.5,,,38.0,,,,,1014.3,
16,1981-05,15.3,,21.1,118.0,,,,,1009.9,
17,1981-06,21.0,,,,,,,,,
18,1981-07,24.5,,,429.0,,,,,1007.3,
19,1981-08,23.2,,28.4,159.0,,,,,1005.1,
20,1981-09,17.7,,23.7,95.0,,,,,1014.6,
21,1981-10,10.8,,,64.0,,,,,1017.9,
22,1981-11,0.7,,,,,,,,,
23,1981-12,-2.9,,,4.0,,,,,1026.2,
24,1982-01,-7.7,,,18.0,,,,,1025.2,
25,1982-02,-1.9,,,0.0,,,,,1024.7,
26,1982-03,3.6,,9.8,6.0,,,,,1020.6,
27,1982-04,10.5,,,6.0,,,,,1017.6,
28,1982-05,17.1,,,,,,,,,
29,1982-06,20.8,,,18.0,,,,,1008.7,
30,1982-07,24.2,,,57.0,,,,,1006.2,
31,1982-08,24.7,,,319.0,,,,,1007.9,
32,1982-09,18.1,,,29.0,,,,,1015.2,
33,1982-10,13.0,,,,,,,,,
34,1982-11,5.1,,,66.0,,,,,1022.2,
35,1982-12,-3.3,,,31.0,,,,,1024.1,
36,1983-01,-5.1,,,7.0,,,,,1028.3,
37,1983-02,-4.5,,,11.0,,,,,,
38,1983-03,4.0,,,39.0,,,,,1020.2,
39,1983-04,11.8,,,109.0,,,,,1012.2,
40,1983-05,17.0,,,63.0,,,,,1012.0,
41,1983-06,21.7,,,35.0,,,,,1008.1,
42,1983-07,23.0,,27.0,298.0,,,,,1004.5,
43,1983-08,24.7,,,136.0,,,,,1008.7,
44,1983-09,20.2,,,214.0,,,,,1012.9,
45,1983-10,11.4,,,128.0,,,,,1020.5,
46,1983-11,3.7,,9.7,21.0,,,,,1022.5,
47,1983-12,-4.5,,,7.0,,,,,1024.6,
48,1984-01,-8.5,,,4.0,,,,,1026.1,
49,1984-02,-4.2,,,14.0,,,,,1024.9,
50,1984-03,0.5,,,14.0,,,,,1019.8,
51,1984-04,10.1,,,53.0,,,,,1017.6,
52,1984-05,16.7,,,65.0,,,,,1012.9,
53,1984-06,21.0,,,150.0,,,,,1006.8,
54,1984-07,24.0,,,381.0,,,,,1004.6,
55,1984-08,24.8,,,135.0,,,,,1008.9,
56,1984-09,18.2,,,83.0,,,,,1014.0,
57,1984-10,11.3,,,30.0,,,,,1019.5,
58,1984-11,5.3,,,21.0,,,,,1024.8,
59,1984-12,-3.6,,,18.0,,,,,1025.0,
60,1985-01,-9.2,,,24.0,,,,,1027.4,
61,1985-02,-2.8,,,17.0,,,,,,
62,1985-03,1.7,,7.5,21.0,,,,,1025.4,
63,1985-04,10.3,,16.6,76.0,,,,,1014.5,
64,1985-05,16.5,,22.6,78.0,,,,,1013.1,
65,1985-06,20.8,,26.6,19.0,,,,,1009.5,
66,1985-07,24.9,,,87.0,,,,,1006.2,
67,1985-08,24.8,,,206.0,,,,,1009.1,
68,1985-09,18.4,,,178.0,,,,,1016.1,
69,1985-10,12.2,,18.2,48.0,,,,,1019.7,
70,1985-11,2.9,,,78.0,,,,,1020.7,
71,1985-12,-7.0,,,22.0,,,,,1026.3,
72,1986-01,-8.9,,,14.0,,,,,1025.0,
73,1986-02,-6.0,,-0.7,11.0,,,,,1025.1,
74,1986-03,3.2,,9.4,18.0,,,,,1019.4,
75,1986-04,10.2,,16.8,29.0,,,,,1016.7,
76,1986-05,16.0,,,51.0,,,,,1009.4,
77,1986-06,21.5,,27.2,41.0,,,,,1007.1,
78,1986-07,23.1,,27.4,318.0,,,,,1007.9,
79,1986-08,22.8,,,242.0,,,,,1006.9,
80,1986-09,17.9,,,92.0,,,,,1013.8,
81,1986-10,10.7,,16.3,56.0,,,,,1021.3,
82,1986-11,3.0,,,32.0,,,,,1025.5,
83,1986-12,-0.8,,,14.0,,,,,1025.1,
84,1987-01,-6.7,,,35.0,,,,,1026.3,
85,1987-02,-3.2,,,13.0,,,,,1023.0,
86,1987-03,1.6,,,28.0,,,,,1017.8,
87,1987-04,9.3,,,66.0,,,,,1018.0,
88,1987-05,16.1,,,55.0,,,,,1014.1,
89,1987-06,21.0,,27.0,133.0,,,,,1009.5,
90,1987-07,23.0,,,425.0,,,,,1005.7,
91,1987-08,23.4,,28.0,314.0,,,,,1007.5,
92,1987-09,18.0,,,64.0,,,,,1015.5,
93,1987-10,12.9,,19.0,36.0,,,,,1020.4,
94,1987-11,4.6,,9.2,72.0,,,,,1024.3,
95,1987-12,-2.0,,,6.0,,,,,1026.2,
96,1988-01,-5.1,,-0.6,10.0,,,,,1025.1,
97,1988-02,-4.2,,,7.0,,,,,1027.5,
98,1988-03,1.8,,7.5,9.0,,,,,1021.8,
99,1988-04,10.1,,,50.0,,,,,1015.9,
100,1988-05,16.7,,23.2,16.0,,,,,1012.5,
101,1988-06,21.6,,,32.0,,,,,1007.5,
102,1988-07,23.6,,,278.0,,,,,1007.8,
103,1988-08,24.9,,,178.0,,,,,1010.1,
104,1988-09,19.7,,,7.0,,,,,1015.6,
105,1988-10,12.5,,,15.0,,,,,1019.7,
106,1988-11,2.7,,8.5,16.0,,,,,1021.7,
107,1988-12,-3.0,,,18.0,,,,,1026.2,
108,1989-01,-2.3,,,16.0,,,,,1027.1,
109,1989-02,-0.3,,5.5,24.0,,,,,1024.9,
110,1989-03,4.2,,9.9,57.0,,,,,1019.9,
111,1989-04,11.9,,,16.0,,,,,1012.8,
112,1989-05,17.4,,,28.0,,,,,1016.9,
113,1989-06,20.8,,,75.0,,,,,1009.5,
114,1989-07,23.6,,28.3,143.0,,,,,1009.8,
115,1989-08,24.3,,,152.0,,,,,1009.1,
116,1989-09,18.3,,,67.0,,,,,1014.0,
117,1989-10,11.8,,18.3,45.0,,,,,1020.4,
118,1989-11,4.0,,,94.0,,,,,1026.0,
119,1989-12,-2.3,,,4.0,,,,,1025.7,
120,1990-01,-6.7,,-2.1,20.0,,,,,1027.7,
121,1990-02,-0.4,,,25.0,,,,,1027.8,
122,1990-03,5.3,,,43.0,,,,,1021.3,
123,1990-04,10.1,,15.7,44.0,,,,,1013.9,
124,1990-05,15.5,,,139.0,,,,,1012.0,
125,1990-06,20.3,,,264.0,,,,,1007.4,
126,1990-07,23.8,,,523.0,,,,,1005.7,
127,1990-08,24.5,,29.4,277.0,,,,,1007.6,
128,1990-09,19.0,,,294.0,,,,,1014.9,
129,1990-10,12.9,,,0.0,,,,,1019.5,
130,1990-11,5.5,,,30.0,,,,,1022.0,
131,1990-12,-2.4,,,20.0,,,,,1024.1,
132,1991-01,-6.2,,,8.0,,,,,1026.6,
133,1991-02,-3.4,,2.2,12.0,,,,,1023.9,
134,1991-03,2.7,,7.8,19.0,,,,,,
135,1991-04,11.1,,18.5,33.0,,,,,1016.6,
136,1991-05,16.8,,,20.0,,,,,1012.4,
137,1991-06,21.9,,,117.0,,,,,1006.4,
138,1991-07,24.2,,,258.0,,,,,1004.5,
139,1991-08,24.7,,,18.0,,,,,1008.6,
140,1991-09,19.8,,26.4,17.0,,,,,1014.0,
141,1991-10,11.2,,,66.0,,,,,1018.0,
142,1991-11,3.8,,,40.0,,,,,1025.2,
143,1991-12,-1.1,,,29.0,,,,,,
144,1992-01,-3.9,,,10.0,,,,,1026.2,
145,1992-02,-1.7,,,27.0,,,,,1021.7,
146,1992-03,4.7,,,15.0,,,,,1023.0,
147,1992-04,10.7,,16.9,26.0,,,,,1012.4,
148,1992-05,15.8,,,78.0,,,,,,
149,1992-06,19.6,,25.3,82.0,,,,,1007.2,
150,1992-07,24.5,,,359.0,,,,,1008.7,
151,1992-08,23.7,,,44.0,,,,,1010.1,
152,1992-09,18.8,,,283.0,,,,,1013.6,
153,1992-10,11.5,,17.3,41.0,,,,,1021.0,
154,1992-11,3.7,,8.5,35.0,,,,,1024.6,
155,1992-12,-1.8,,,44.0,,,,,1025.7,
156,1993-01,-5.1,,,2.0,,,,,1027.2,
157,1993-02,-1.6,,3.7,5.0,,,,,1022.3,
158,1993-03,3.9,,,6.0,,,,,1021.2,
159,1993-04,9.5,,15.7,24.0,,,,,1015.5,
160,1993-05,17.0,,,64.0,,,,,1012.5,
161,1993-06,20.6,,25.4,122.0,,,,,1005.9,
162,1993-07,22.3,,26.6,155.0,,,,,1008.0,
163,1993-08,22.7,,,84.0,,,,,1008.5,
164,1993-09,19.5,,,50.0,,,,,1014.4,
165,1993-10,10.6,,,9.0,,,,,1021.6,
166,1993-11,5.8,,,50.0,,,,,1024.5,
167,1993-12,-3.3,,0.6,19.0,,,,,1026.8,
