,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-3.8,-8.7,2.3,23.6,,,,,,
1,1980-02,-4.7,-8.4,0.8,45.6,,,,,,
2,1980-03,2.2,-2.3,7.4,42.7,,,,,,
3,1980-04,13.4,7.8,19.7,114.7,,,,,,
4,1980-05,18.1,12.0,24.0,46.5,,,,,,
5,1980-06,21.6,15.0,28.0,54.0,,,,,,
6,1980-07,25.6,17.1,33.2,5.6,,,,,,
7,1980-08,23.6,16.1,30.5,4.1,,,,,,
8,1980-09,18.6,10.5,25.8,7.9,,,,,,
9,1980-10,12.1,5.8,18.8,15.4,,,,,,
10,1980-11,8.6,4.2,14.1,63.8,,,,,,
11,1980-12,2.4,-1.7,8.0,13.9,,,,,,
12,1981-01,-1.2,-5.4,4.2,33.3,,,,,,
13,1981-02,-2.2,-6.4,2.6,45.4,,,,,,
14,1981-03,7.8,2.3,13.9,46.4,,,,,,
15,1981-04,12.7,7.2,18.6,86.5,,,,,,
16,1981-05,17.4,12.1,23.5,50.8,,,,,,
17,1981-06,21.2,14.4,27.8,45.3,,,,,,
18,1981-07,23.7,17.2,30.3,88.9,,,,,,
19,1981-08,22.1,15.3,28.8,23.1,,,,,,
20,1981-09,17.7,10.6,24.5,31.3,,,,,,
21,1981-10,9.1,3.6,15.4,36.6,,,,,,
22,1981-11,3.3,-1.8,10.0,38.3,,,,,,
23,1981-12,-0.6,-5.0,5.4,24.9,,,,,,
24,1982-01,-1.2,-5.9,5.3,10.2,,,,,,
25,1982-02,-1.2,-5.7,4.2,22.0,,,,,,
26,1982-03,3.6,-0.8,9.0,55.5,,,,,,
27,1982-04,14.5,6.6,21.5,13.7,,,,,,
28,1982-05,19.5,12.3,25.9,39.4,,,,,,
29,1982-06,22.3,15.3,28.7,39.2,,,,,,
30,1982-07,23.8,17.0,30.3,16.2,,,,,,
31,1982-08,23.2,16.3,29.2,21.9,,,,,,
32,1982-09,17.2,10.0,24.1,44.2,,,,,,
33,1982-10,10.7,5.2,16.8,63.4,,,,,,
34,1982-11,0.6,-3.2,5.4,32.2,,,,,,
35,1982-12,-2.2,-7.0,5.1,9.0,,,,,,
36,1983-01,-0.6,-5.6,5.9,22.8,,,,,,
37,1983-02,2.8,-2.6,9.1,17.9,,,,,,
38,1983-03,5.2,0.1,11.2,47.2,,,,,,
39,1983-04,13.1,6.6,19.4,42.8,,,,,,
40,1983-05,16.3,10.2,22.4,121.0,,,,,,
41,1983-06,21.7,14.8,28.2,31.1,,,,,,
42,1983-07,25.7,17.9,33.0,13.0,,,,,,
43,1983-08,25.1,17.4,32.2,8.5,,,,,,
44,1983-09,18.2,11.1,25.0,4.0,,,,,,
45,1983-10,10.5,4.2,17.5,22.1,,,,,,
46,1983-11,6.5,0.4,13.8,52.0,,,,,,
47,1983-12,-1.1,-5.9,5.8,22.7,,,,,,
48,1984-01,-6.9,-11.1,-1.2,16.2,,,,,,
49,1984-02,-10.5,-15.7,-4.1,22.9,,,,,,
50,1984-03,4.9,1.2,9.7,66.8,,,,,,
51,1984-04,10.4,5.1,16.4,74.6,,,,,,
52,1984-05,17.0,11.2,22.9,60.2,,,,,,
53,1984-06,23.7,16.4,30.2,6.5,,,,,,
54,1984-07,25.9,17.6,33.1,0.9,,,,,,
55,1984-08,25.9,17.5,33.4,0.0,,,,,,
56,1984-09,17.5,10.4,24.2,13.2,,,,,,
57,1984-10,10.5,4.2,17.7,55.7,,,,,,
58,1984-11,4.2,-0.2,9.6,79.6,,,,,,
59,1984-12,-13.7,-18.2,-7.9,35.0,,,,,,
60,1985-01,-3.7,-8.6,2.7,18.4,,,,,,
61,1985-02,1.2,-4.1,7.5,56.1,,,,,,
62,1985-03,0.7,-3.8,6.1,51.1,,,,,,
63,1985-04,13.5,6.8,20.6,62.9,,,,,,
64,1985-05,16.8,10.1,23.8,83.4,,,,,,
65,1985-06,22.5,15.4,29.2,38.9,,,,,,
66,1985-07,25.7,18.5,32.3,8.0,,,,,,
67,1985-08,22.7,16.0,29.2,7.6,,,,,,
68,1985-09,17.9,10.0,25.1,0.3,,,,,,
69,1985-10,9.0,4.2,15.6,60.4,,,,,,
70,1985-11,1.1,-4.5,8.1,33.0,,,,,,
71,1985-12,0.6,-3.3,5.7,30.8,,,,,,
72,1986-01,0.6,-3.7,6.4,12.5,,,,,,
73,1986-02,0.1,-4.1,5.7,10.0,,,,,,
74,1986-03,1.7,-2.8,6.7,52.9,,,,,,
75,1986-04,11.3,4.9,17.4,63.6,,,,,,
76,1986-05,17.6,11.5,23.4,29.0,,,,,,
77,1986-06,21.4,15.0,27.7,4.2,,,,,,
78,1986-07,25.4,18.0,32.2,8.4,,,,,,
79,1986-08,23.2,15.8,29.7,1.7,,,,,,
80,1986-09,19.7,11.9,27.1,9.5,,,,,,
81,1986-10,10.4,4.4,17.8,33.0,,,,,,
82,1986-11,2.6,-1.6,8.1,34.8,,,,,,
83,1986-12,-0.6,-5.4,5.5,40.6,,,,,,
84,1987-01,1.1,-3.4,7.1,34.9,,,,,,
85,1987-02,2.7,-2.1,8.4,44.7,,,,,,
86,1987-03,5.8,2.3,10.4,104.4,,,,,,
87,1987-04,10.2,5.3,15.3,112.1,,,,,,
88,1987-05,16.7,10.7,22.4,40.9,,,,,,
89,1987-06,19.0,12.2,24.7,95.8,,,,,,
90,1987-07,23.5,17.0,29.5,62.4,,,,,,
91,1987-08,24.4,16.6,31.1,4.1,,,,,,
92,1987-09,18.1,11.2,25.0,23.3,,,,,,
93,1987-10,6.0,1.5,11.2,67.5,,,,,,
94,1987-11,1.9,-3.1,8.2,61.3,,,,,,
95,1987-12,3.3,-1.3,9.6,21.2,,,,,,
96,1988-01,-1.8,-6.4,3.6,43.9,,,,,,
97,1988-02,-4.8,-9.0,0.7,14.0,,,,,,
98,1988-03,3.5,-0.7,8.9,39.3,,,,,,
99,1988-04,14.0,7.7,20.1,41.4,,,,,,
100,1988-05,15.0,9.4,20.4,129.1,,,,,,
