,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,23.3,,,,,,,,,
1,1980-02,24.6,,,,,,,,,
2,1980-03,28.9,,,,,,,,,
3,1980-04,30.0,,,,,,,,,
4,1980-05,29.3,,,,,,,,,
5,1980-06,28.4,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,28.3,,,308.0,,,,,1006.4,
8,1980-09,27.7,,,,,,,,,
9,1980-10,27.2,,,55.0,,,,,1011.7,
10,1980-11,25.9,,,0.0,,,,,1013.8,
11,1980-12,,,,,,,,,,
12,1981-01,22.2,,,0.0,,,,,1016.3,
13,1981-02,26.6,,,0.0,,,,,1011.9,
14,1981-03,28.4,,,20.0,,,,,1011.3,
15,1981-04,29.2,,,,,,,,,
16,1981-05,28.5,,,311.0,,,,,1008.3,
17,1981-06,28.2,,,239.0,,,,,1005.6,
18,1981-07,27.7,,,635.0,,,,,1005.5,
19,1981-08,28.2,,,210.0,,,,,1005.1,
20,1981-09,28.3,,,225.0,,,,,1009.2,
21,1981-10,27.3,,,118.0,,,,,1011.0,
22,1981-11,26.3,,,,,,,,,
23,1981-12,21.4,,,0.0,,,,,1019.1,
24,1982-01,22.7,,,0.0,,,,,1016.0,
25,1982-02,25.2,,,6.0,,,,,1012.3,
26,1982-03,28.8,,,61.0,,,,,1009.4,
27,1982-04,27.9,,,70.0,,,,,1010.3,
28,1982-05,29.7,,,239.0,,,,,1008.0,
29,1982-06,29.2,,,95.0,,,,,1006.4,
30,1982-07,28.4,,,254.0,,,,,1005.1,
31,1982-08,27.5,,,484.0,,,,,1005.8,
32,1982-09,27.2,,,320.0,,,,,1008.2,
33,1982-10,27.4,,,90.0,,,,,1012.0,
34,1982-11,27.0,,,,,,,,,
35,1982-12,20.9,,,0.0,,,,,1017.1,
36,1983-01,20.9,,,53.0,,,,,1017.8,
37,1983-02,,,,,,,,,,
38,1983-03,27.0,,,9.0,,,,,1010.4,
39,1983-04,31.0,,,58.0,,,,,1007.4,
40,1983-05,29.4,,,98.0,,,,,1007.6,
41,1983-06,,,,,,,,,,
42,1983-07,28.9,,,218.0,,,,,1005.9,
43,1983-08,28.0,,,361.0,,,,,1006.9,
44,1983-09,28.1,,,247.0,,,,,1007.0,
45,1983-10,27.2,,,68.0,,,,,1010.1,
46,1983-11,23.4,,,0.0,,,,,1016.8,
47,1983-12,21.1,,,7.0,,,,,1017.9,
48,1984-01,21.6,,,0.0,,,,,1015.8,
49,1984-02,25.4,,,11.0,,,,,1012.2,
50,1984-03,27.6,,,3.0,,,,,1009.9,
51,1984-04,27.2,,,68.0,,,,,1010.1,
52,1984-05,28.3,,,148.0,,,,,1007.0,
53,1984-06,28.1,,,148.0,,,,,1004.2,
54,1984-07,,,,,,,,,,
55,1984-08,28.4,,,,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,,,,,,,,,,
58,1984-11,,,,,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,23.8,,,,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,27.2,,,,,,,,,
63,1985-04,29.6,,,,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,28.2,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,27.5,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,23.5,,,,,,,,,
72,1986-01,23.0,,,,,,,,,
73,1986-02,,,,,,,,,,
74,1986-03,27.7,,,,,,,,,
75,1986-04,30.0,,,,,,,,,
76,1986-05,,,,,,,,,,
77,1986-06,,,,,,,,,,
78,1986-07,,,,,,,,,,
79,1986-08,,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,,,,,,,,,,
82,1986-11,25.3,,,,,,,,,
83,1986-12,,,,,,,,,,
84,1987-01,23.6,,,,,,,,,
85,1987-02,25.5,,,,,,,,,
86,1987-03,27.6,,,,,,,,,
87,1987-04,29.4,,,,,,,,,
88,1987-05,30.5,,,,,,,,,
89,1987-06,,,,,,,,,,
90,1987-07,29.2,,,,,,,,,
91,1987-08,28.3,,,,,,,,,
92,1987-09,28.5,,,,,,,,,
93,1987-10,28.5,,,93.0,,,,,,
94,1987-11,27.8,,,0.0,,,,,,
95,1987-12,21.4,,,,,,,,,
96,1988-01,24.2,,,0.0,,,,,1014.5,
97,1988-02,,,,,,,,,,
98,1988-03,,,,,,,,,,
99,1988-04,,,,,,,,,,
100,1988-05,,,,,,,,,,
101,1988-06,28.8,,,131.0,,,,,1006.1,
102,1988-07,,,,,,,,,,
103,1988-08,28.0,,,,,,,,,
104,1988-09,,,,,,,,,,
105,1988-10,,,,195.0,,,,,,
106,1988-11,24.1,,,,,,,,,
107,1988-12,22.8,,,,,,,,,
108,1989-01,22.7,,,24.0,,,,,1013.6,
109,1989-02,24.4,,,0.0,,,,,1013.1,
110,1989-03,26.0,,,63.0,,,,,1010.8,
111,1989-04,29.5,,,86.0,,,,,1007.3,
112,1989-05,29.5,,,,,,,,,
113,1989-06,,,,,,,,,,
114,1989-07,28.9,,,,,,,,,
115,1989-08,,,,,,,,,,
116,1989-09,28.4,,,,,,,,,
117,1989-10,,,,,,,,,,
118,1989-11,,,,,,,,,,
119,1989-12,,,,,,,,,,
120,1990-01,24.9,,,,,,,,,
121,1990-02,25.6,,,,,,,,,
122,1990-03,27.0,,,,,,,,,
123,1990-04,30.8,,,,,,,,,
124,1990-05,27.8,,,227.0,,,,,1007.3,
125,1990-06,28.2,,,378.0,,,,,1004.9,
126,1990-07,28.0,,,,,,,,,
127,1990-08,28.2,,,321.0,,,,,1005.3,
128,1990-09,27.8,,,268.0,,,,,1007.9,
129,1990-10,27.3,,,55.0,,,,,1011.8,
130,1990-11,26.5,,,,,,,,,
131,1990-12,23.7,,,,,,,,,
132,1991-01,25.0,,,0.0,,,,,1014.0,
133,1991-02,25.1,,,0.0,,,,,1013.6,
134,1991-03,28.9,,,49.0,,,,,1009.7,
135,1991-04,29.8,,,77.0,,,,,1008.9,
136,1991-05,,,,250.0,,,,,1008.7,
137,1991-06,28.8,,,67.0,,,,,1006.1,
138,1991-07,29.4,,,212.0,,,,,1005.0,
139,1991-08,27.6,,,313.0,,,,,1005.2,
140,1991-09,28.3,,,302.0,,,,,1008.1,
141,1991-10,26.9,,,32.0,,,,,1011.0,
142,1991-11,24.5,,,0.0,,,,,1015.8,
143,1991-12,22.9,,,9.0,,,,,1016.3,
144,1992-01,21.1,,,38.0,,,,,1018.0,
145,1992-02,24.1,,,27.0,,,,,1012.5,
146,1992-03,28.3,,,1.0,,,,,1009.6,
147,1992-04,30.1,,,42.0,,,,,1007.0,
148,1992-05,30.0,,,,,,,,,
149,1992-06,,,,,,,,,,
150,1992-07,,,,,,,,,,
151,1992-08,28.7,,,,,,,,,
152,1992-09,28.0,,,,,,,,,
153,1992-10,25.5,,,63.0,,,,,1002.6,
154,1992-11,23.6,,,,,,,,1016.8,
155,1992-12,22.6,,,21.0,,,,,1016.9,
156,1993-01,22.0,,,0.0,,,,,1016.2,
157,1993-02,24.3,,,47.0,,,,,1014.6,
158,1993-03,28.5,,,,,,,,,
159,1993-04,29.2,,,21.0,,,,,1009.6,
160,1993-05,28.2,,,362.0,,,,,1008.4,
161,1993-06,28.9,,,388.0,,,,,1006.3,
162,1993-07,28.0,,,219.0,,,,,1005.3,
163,1993-08,27.8,,,236.0,,,,,1006.7,
164,1993-09,27.6,,,198.0,,,,,1008.9,
165,1993-10,27.0,,,,,,,,1013.9,
166,1993-11,25.1,,,0.0,,,,,1013.9,
167,1993-12,21.9,,,0.0,,,,,1017.0,
168,1994-01,23.1,,,0.0,,,,,1014.0,
169,1994-02,26.3,,,30.0,,,,,1010.2,
170,1994-03,25.4,,,92.0,,,,,1012.7,
171,1994-04,29.5,,,32.0,,,,,1007.9,
172,1994-05,,,,,,,,,,
173,1994-06,28.2,,,,,,,,,
174,1994-07,28.2,,,193.0,,,,,1003.1,
175,1994-08,27.4,,,430.0,,,,,1005.5,
176,1994-09,28.0,,,304.0,,,,,1007.8,
177,1994-10,26.0,,,102.0,,,,,1013.4,
178,1994-11,24.8,,,0.0,,,,,1016.0,
179,1994-12,23.8,,,17.0,,,,,1015.8,
180,1995-01,23.8,,,2.0,,,,,1015.8,
181,1995-02,24.2,,,14.0,,,,,1013.7,
182,1995-03,28.6,,,5.0,,,,,1010.1,
183,1995-04,30.8,,,71.0,,,,,1008.5,
184,1995-05,29.6,,,217.0,,,,,1007.5,
185,1995-06,29.2,,,261.0,,,,,1005.4,
186,1995-07,27.8,,,,,,,,,
187,1995-08,27.6,,,500.0,,,,,1007.2,
188,1995-09,28.3,,,174.0,,,,,1009.8,
189,1995-10,28.2,,,118.0,,,,,1012.0,
190,1995-11,25.4,,,3.0,,,,,1015.2,
191,1995-12,22.4,,,0.0,,,,,1018.7,
192,1996-01,22.1,,,0.0,,,,,1011.9,
193,1996-02,22.8,,,,,,,,1016.0,
194,1996-03,27.6,,,83.0,,,,,1010.5,
195,1996-04,27.7,,,138.0,,,,,1009.6,
196,1996-05,29.0,,,176.0,,,,,1007.0,
197,1996-06,28.8,,,357.0,,,,,1006.6,
198,1996-07,28.4,,,223.0,,,,,1004.0,
199,1996-08,28.0,,,197.0,,,,,1005.6,
200,1996-09,27.8,,,369.0,,,,,1005.5,
201,1996-10,27.3,,,72.0,,,,,1010.7,
202,1996-11,25.7,,,92.0,,,,,1011.5,
203,1996-12,22.3,,,,,,,,1015.4,
204,1997-01,22.8,,,7.0,,,,,1014.0,
205,1997-02,25.1,,,2.0,,,,,1011.4,
206,1997-03,27.0,,,55.0,,,,,1010.9,
207,1997-04,27.6,,,133.0,,,,,1009.9,
208,1997-05,29.8,,,50.0,,,,,1005.9,
209,1997-06,29.5,,,212.0,,,,,1005.2,
210,1997-07,27.6,,,247.0,,,,,1004.9,
