,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-6.7,-10.2,-3.6,37.7,,,,,,
1,1980-02,-6.8,-9.7,-4.1,25.4,,,,,,
2,1980-03,-3.6,-7.8,0.5,14.6,,,,,,
3,1980-04,5.3,1.6,10.1,32.4,,,,,,
4,1980-05,8.0,3.7,12.5,56.3,,,,,,
5,1980-06,17.0,12.3,21.8,80.9,,,,,,
6,1980-07,16.9,12.8,21.3,78.9,,,,,,
7,1980-08,15.3,11.6,19.3,132.8,,,,,,
8,1980-09,12.1,8.2,16.4,26.6,,,,,,
9,1980-10,7.1,4.6,10.5,95.9,,,,,,
10,1980-11,0.1,-2.5,2.5,32.6,,,,,,
11,1980-12,-0.7,-3.4,1.6,55.5,,,,,,
12,1981-01,-3.4,-6.1,-1.1,35.1,,,,,,
13,1981-02,-2.7,-5.3,-0.2,22.4,,,,,,
14,1981-03,-1.4,-5.0,2.3,66.0,,,,,,
15,1981-04,2.7,-1.5,7.4,12.2,,,,,,
16,1981-05,13.5,7.9,19.2,24.9,,,,,,
17,1981-06,15.6,11.1,20.6,57.4,,,,,,
18,1981-07,17.6,13.1,22.6,96.0,,,,,,
19,1981-08,15.6,11.6,19.9,93.6,,,,,,
20,1981-09,12.5,9.3,16.2,54.2,,,,,,
21,1981-10,8.1,5.2,11.2,99.6,,,,,,
22,1981-11,1.8,-0.2,3.6,93.6,,,,,,
23,1981-12,-4.0,-6.5,-1.7,74.8,,,,,,
24,1982-01,-5.3,-8.5,-2.6,23.6,,,,,,
25,1982-02,-4.4,-7.6,-1.5,3.3,,,,,,
26,1982-03,1.2,-1.8,4.8,31.9,,,,,,
27,1982-04,4.2,0.4,8.5,26.5,,,,,,
28,1982-05,11.5,6.6,16.8,34.5,,,,,,
29,1982-06,12.8,8.3,17.1,43.4,,,,,,
30,1982-07,17.4,12.9,21.7,30.5,,,,,,
31,1982-08,17.0,12.1,22.2,59.6,,,,,,
32,1982-09,12.3,8.0,16.9,25.1,,,,,,
33,1982-10,7.3,4.0,10.3,35.5,,,,,,
34,1982-11,4.5,1.9,6.8,20.0,,,,,,
35,1982-12,0.7,-1.4,2.7,58.9,,,,,,
36,1983-01,1.5,-0.8,3.4,54.0,,,,,,
37,1983-02,-4.3,-7.5,-1.4,13.8,,,,,,
38,1983-03,-0.4,-3.1,2.8,75.4,,,,,,
39,1983-04,7.2,3.9,11.5,50.6,,,,,,
40,1983-05,13.7,9.3,18.9,78.5,,,,,,
41,1983-06,14.6,9.9,18.9,37.4,,,,,,
42,1983-07,17.7,13.3,22.0,79.3,,,,,,
43,1983-08,17.3,12.1,22.1,32.6,,,,,,
44,1983-09,13.6,10.1,17.4,108.4,,,,,,
45,1983-10,8.1,5.1,11.3,44.8,,,,,,
46,1983-11,2.0,-0.3,4.1,74.7,,,,,,
47,1983-12,-0.8,-2.8,1.1,41.5,,,,,,
48,1984-01,-1.4,-3.1,0.5,61.2,,,,,,
49,1984-02,-3.5,-5.7,-1.1,31.2,,,,,,
50,1984-03,-0.7,-3.6,2.2,18.1,,,,,,
51,1984-04,7.4,2.5,13.0,7.5,,,,,,
52,1984-05,14.2,9.6,19.2,50.4,,,,,,
53,1984-06,14.8,10.7,18.6,83.8,,,,,,
