,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,12.1,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,12.7,,,263.0,,,,,1014.7,7560.0
3,1980-04,17.5,,,,,,,,,
4,1980-05,20.4,,,,,,,,,
5,1980-06,23.2,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,26.8,,,,,,,,,
8,1980-09,25.0,,,,,,,,,
9,1980-10,22.2,,,,,,,,,
10,1980-11,19.1,,,,,,,,,
11,1980-12,14.6,,,,,,,,,
12,1981-01,12.7,,,,,,,,,
13,1981-02,13.4,,,138.0,,,,,1016.3,7740.0
14,1981-03,15.4,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,23.7,,,,,,,,,
18,1981-07,26.2,,,,,,,,,
19,1981-08,26.4,,,0.0,,,,,1007.7,16680.0
20,1981-09,25.7,,,,,,,,,
21,1981-10,23.4,,,3.0,,,,,1014.4,
22,1981-11,17.3,,,,,,,,,
23,1981-12,16.2,,,,,,,,,
24,1982-01,13.7,,,165.0,,,,,1016.9,10860.0
25,1982-02,11.7,,,173.0,,,,,1015.0,
26,1982-03,13.4,,,133.0,,,,,1015.3,
27,1982-04,18.6,,,28.0,,,,,1011.9,
28,1982-05,20.4,,,,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,11.2,,,,,,,,,
37,1983-02,12.2,,,152.0,,,,,1017.6,
38,1983-03,14.5,,,,,,,,,
39,1983-04,17.6,,,,,,,,,
40,1983-05,20.9,,,21.0,,,,,1010.7,
41,1983-06,23.2,,,11.0,,,,,1011.7,
42,1983-07,26.4,,,,,,,,,
43,1983-08,,,,,,,,,,
44,1983-09,25.5,,,2.0,,,,,1011.0,
45,1983-10,22.5,,,,,,,,,
46,1983-11,20.1,,,,,,,,,
47,1983-12,16.0,,,,,,,,,
48,1984-01,14.0,,,,,,,,,
49,1984-02,14.8,,,25.0,,,,,1018.5,
50,1984-03,15.9,,,,,,,,,
51,1984-04,17.2,,,71.0,,,,,1012.4,
52,1984-05,21.2,,,,,,,,,
53,1984-06,23.3,,,1.0,,,,,1009.8,
54,1984-07,25.8,,,,,,,,,
55,1984-08,26.2,,,,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,23.1,,,,,,,,,
58,1984-11,19.3,,,71.0,,,,,1015.8,
59,1984-12,14.1,,,,,,,,,
60,1985-01,15.7,,,152.0,,,,,1015.7,
61,1985-02,12.9,,,133.0,,,,,1015.1,
62,1985-03,15.5,,,,,,,,,
63,1985-04,18.8,,,7.0,,,,,1013.1,
64,1985-05,,,,,,,,,,
65,1985-06,24.3,,,0.0,,,,,1009.8,
66,1985-07,25.6,,,0.0,,,,,1007.4,
67,1985-08,27.8,,,0.0,,,,,1006.8,
68,1985-09,,,,,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,15.6,,,96.0,,,,,1018.1,
72,1986-01,,,,,,,,,,
73,1986-02,,,,,,,,,,
74,1986-03,,,,,,,,,,
75,1986-04,,,,,,,,,,
76,1986-05,20.2,,,31.0,,,,,1011.7,
77,1986-06,,,,,,,,,,
78,1986-07,26.2,,,0.0,,,,,1008.3,
79,1986-08,,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,,,,,,,,,,
82,1986-11,,,,,,,,,,
83,1986-12,,,,,,,,,,
84,1987-01,,,,,,,,,,
85,1987-02,,,,,,,,,,
86,1987-03,,,,,,,,,,
87,1987-04,,,,,,,,,,
88,1987-05,,,,,,,,,,
89,1987-06,,,,,,,,,,
90,1987-07,,,,,,,,,,
91,1987-08,27.9,,,0.0,,,,,1007.6,
92,1987-09,,,,,,,,,,
93,1987-10,,,,,,,,,,
94,1987-11,,,,,,,,,,
95,1987-12,,,,,,,,,,
96,1988-01,,,,,,,,,,
97,1988-02,,,,,,,,,,
98,1988-03,,,,,,,,,,
99,1988-04,,,,,,,,,,
100,1988-05,,,,,,,,,,
101,1988-06,,,,,,,,,,
102,1988-07,,,,,,,,,,
103,1988-08,,,,,,,,,,
104,1988-09,,,,,,,,,,
105,1988-10,,,,,,,,,,
106,1988-11,,,,,,,,,,
107,1988-12,,,,,,,,,,
108,1989-01,,,,,,,,,,
109,1989-02,,,,,,,,,,
110,1989-03,,,,,,,,,,
111,1989-04,,,,,,,,,,
112,1989-05,,,,,,,,,,
113,1989-06,,,,,,,,,,
114,1989-07,,,,,,,,,,
115,1989-08,,,,,,,,,,
116,1989-09,,,,,,,,,,
117,1989-10,,,,,,,,,,
118,1989-11,,,,,,,,,,
119,1989-12,,,,,,,,,,
120,1990-01,,,,,,,,,,
121,1990-02,,,,,,,,,,
122,1990-03,,,,,,,,,,
123,1990-04,,,,,,,,,,
124,1990-05,,,,,,,,,,
125,1990-06,,,,,,,,,,
126,1990-07,,,,,,,,,,
127,1990-08,,,,,,,,,,
128,1990-09,,,,,,,,,,
129,1990-10,,,,,,,,,,
130,1990-11,,,,,,,,,,
131,1990-12,,,,,,,,,,
132,1991-01,14.2,,,230.0,,,,,1018.0,
133,1991-02,14.2,,,122.0,,,,,1017.4,
134,1991-03,16.4,,,103.0,,,,,1013.5,
135,1991-04,19.1,,,59.0,,,,,1013.4,
136,1991-05,21.1,,,50.0,,,,,1014.6,
137,1991-06,23.8,,,,,,,,1009.7,
138,1991-07,26.0,,,1.0,,,,,1007.7,
139,1991-08,26.9,,,,,,,,1008.0,
140,1991-09,25.7,,,1.0,,,,,1012.6,
141,1991-10,24.2,,,79.0,,,,,1014.3,
142,1991-11,19.5,,,188.0,,,,,1017.1,
143,1991-12,13.9,,,329.0,,,,,1015.3,
144,1992-01,11.4,,,183.0,,,,,1020.5,
145,1992-02,12.1,,,301.0,,,,,1016.2,
146,1992-03,13.7,,,37.0,,,,,1017.7,
147,1992-04,17.6,,,19.0,,,,,1014.9,
148,1992-05,19.8,,,33.0,,,,,1012.0,
149,1992-06,23.5,,,10.0,,,,,1009.6,
150,1992-07,25.8,,,,,,,,1008.9,
151,1992-08,27.0,,,0.0,,,,,1009.0,
152,1992-09,26.4,,,1.0,,,,,1012.0,
153,1992-10,23.8,,,0.0,,,,,1015.2,
154,1992-11,19.6,,,120.0,,,,,1016.4,
155,1992-12,13.6,,,238.0,,,,,1017.1,
156,1993-01,12.8,,,140.0,,,,,1020.2,
157,1993-02,11.9,,,170.0,,,,,1018.1,
158,1993-03,14.6,,,91.0,,,,,1016.3,
159,1993-04,18.9,,,15.0,,,,,1013.9,
160,1993-05,20.3,,,28.0,,,,,1011.8,
161,1993-06,24.5,,,1.0,,,,,1007.2,
162,1993-07,26.8,,,0.0,,,,,1008.0,
163,1993-08,27.5,,,0.0,,,,,1008.8,
164,1993-09,26.3,,,0.0,,,,,1011.2,
165,1993-10,25.9,,,11.0,,,,,1014.5,
166,1993-11,18.5,,,101.0,,,,,1016.8,
167,1993-12,16.8,,,25.0,,,,,1018.8,
168,1994-01,15.4,,,230.0,,,,,1016.2,
169,1994-02,15.8,,,127.0,,,,,1016.1,
170,1994-03,15.3,,,51.0,,,,,1015.6,
171,1994-04,20.7,,,21.0,,,,,1013.2,
172,1994-05,22.2,,,57.0,,,,,1012.0,
173,1994-06,24.3,,,0.0,,,,,1009.7,
174,1994-07,26.3,,,0.0,,,,,1006.6,
175,1994-08,27.2,,,0.0,,,,,1007.4,
