,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,11.2,,,2.0,,,,,1018.6,12120.0
1,1980-02,12.0,,,,,,,,,
2,1980-03,15.1,,,39.0,,,,,1013.5,15780.0
3,1980-04,16.8,,,22.0,,,,,1013.9,16020.0
4,1980-05,22.5,,,3.0,,,,,,18900.0
5,1980-06,25.6,,,,,,,,,
6,1980-07,26.5,,,,,,,,,
7,1980-08,27.1,,,0.0,,,,,1015.0,20940.0
8,1980-09,25.2,,,0.0,,,,,1018.1,17640.0
9,1980-10,21.7,,,133.0,,,,,1015.2,12240.0
10,1980-11,18.6,,,16.0,,,,,1017.1,10680.0
11,1980-12,11.4,,,101.0,,,,,1018.6,9540.0
12,1981-01,9.4,,,173.0,,,,,1019.0,8280.0
13,1981-02,11.8,,,,,,,,,
14,1981-03,17.3,,,10.0,,,,,1014.6,14760.0
15,1981-04,18.7,,,7.0,,,,,1013.4,15120.0
16,1981-05,23.7,,,0.5,,,,,1013.4,18300.0
17,1981-06,27.9,,,0.5,,,,,1013.4,17460.0
18,1981-07,27.0,,,0.5,,,,,1015.7,21420.0
19,1981-08,28.3,,,0.0,,,,,1014.2,19980.0
20,1981-09,27.3,,,0.0,,,,,1015.9,17160.0
21,1981-10,23.4,,,3.0,,,,,1017.6,14820.0
22,1981-11,15.7,,,21.0,,,,,1022.8,8340.0
23,1981-12,14.7,,,25.0,,,,,1015.2,10560.0
24,1982-01,13.0,,,100.0,,,,,1018.0,11280.0
25,1982-02,12.7,,,70.0,,,,,1017.8,
26,1982-03,14.8,,,57.0,,,,,1017.4,14340.0
27,1982-04,19.4,,,13.0,,,,,1011.1,13380.0
28,1982-05,22.2,,,0.0,,,,,1016.5,18300.0
29,1982-06,28.3,,,0.0,,,,,1015.3,20880.0
30,1982-07,29.3,,,0.0,,,,,1014.9,20820.0
31,1982-08,29.7,,,0.0,,,,,1014.2,20280.0
32,1982-09,28.8,,,0.5,,,,,1015.1,15420.0
33,1982-10,23.9,,,37.0,,,,,1013.7,10680.0
34,1982-11,17.8,,,53.0,,,,,1018.4,9900.0
35,1982-12,12.3,,,57.0,,,,,1020.4,8400.0
36,1983-01,10.5,,,32.0,,,,,1029.2,8520.0
37,1983-02,12.3,,,15.0,,,,,1019.9,9720.0
38,1983-03,15.2,,,36.0,,,,,1017.5,13380.0
39,1983-04,19.8,,,0.0,,,,,1015.5,14040.0
40,1983-05,23.2,,,0.0,,,,,1013.8,14460.0
41,1983-06,24.5,,,2.0,,,,,1015.4,18780.0
42,1983-07,28.1,,,0.5,,,,,1014.7,22140.0
43,1983-08,29.5,,,,,,,,,
44,1983-09,26.4,,,12.0,,,,,1015.9,17100.0
45,1983-10,22.0,,,84.0,,,,,1019.6,11760.0
46,1983-11,18.7,,,57.0,,,,,1016.2,11160.0
47,1983-12,12.2,,,64.0,,,,,1019.1,11520.0
48,1984-01,11.8,,,67.0,,,,,1020.7,11280.0
49,1984-02,12.2,,,51.0,,,,,1017.1,10380.0
50,1984-03,15.1,,,6.0,,,,,1013.1,
51,1984-04,17.7,,,14.0,,,,,1013.0,15660.0
52,1984-05,24.6,,,,,,,,,
53,1984-06,24.1,,,0.0,,,,,1016.4,18000.0
54,1984-07,26.9,,,0.0,,,,,1016.7,21840.0
55,1984-08,27.7,,,0.5,,,,,1014.3,20640.0
56,1984-09,27.0,,,0.0,,,,,1014.4,15660.0
57,1984-10,22.4,,,56.0,,,,,1017.3,11520.0
58,1984-11,18.0,,,59.0,,,,,1016.2,11520.0
59,1984-12,12.7,,,136.0,,,,,1018.9,8580.0
60,1985-01,12.4,,,78.0,,,,,1014.3,10920.0
61,1985-02,14.8,,,7.0,,,,,1019.7,11460.0
62,1985-03,15.0,,,2.0,,,,,1014.1,14220.0
63,1985-04,19.3,,,24.0,,,,,1013.9,14100.0
