,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-8.6,-12.0,-5.8,50.0,,,,,,
1,1980-02,-6.6,-9.4,-3.5,19.4,439.0,,,,,
2,1980-03,-5.1,-9.1,-1.3,31.4,,,,,,
3,1980-04,5.1,1.4,9.4,42.1,,,,,,
4,1980-05,7.6,3.2,12.2,25.8,,,,,,
5,1980-06,15.7,11.1,20.6,33.4,,,,,,
6,1980-07,16.1,12.3,20.4,155.6,,,,,,
7,1980-08,14.7,11.3,18.7,123.1,,,,,,
8,1980-09,11.1,7.7,14.9,51.0,,,,,,
9,1980-10,6.7,4.1,9.4,130.2,,,,,,
10,1980-11,-1.2,-4.2,1.3,43.7,,,,,,
11,1980-12,-2.6,-5.0,-0.3,73.5,,,,,,
12,1981-01,-5.7,-8.1,-3.2,29.6,,,,,,
13,1981-02,-3.9,-6.8,-1.4,28.0,,,,,,
14,1981-03,-0.5,-4.4,3.8,48.0,,,,,,
15,1981-04,3.4,-1.1,8.6,15.9,,,,,,
16,1981-05,14.0,8.5,19.9,31.5,,,,,,
17,1981-06,15.9,11.4,21.3,79.2,,,,,,
18,1981-07,17.4,12.7,22.8,81.5,,,,,,
19,1981-08,15.3,11.3,20.0,90.3,,,,,,
20,1981-09,12.0,8.2,16.8,34.0,,,,,,
21,1981-10,7.6,4.5,10.9,70.4,,,,,,
22,1981-11,0.7,-1.2,2.5,75.9,,,,,,
23,1981-12,-4.8,-7.1,-1.9,70.3,,,,,,
24,1982-01,-6.3,-8.9,-3.8,46.2,,,,,,
25,1982-02,-5.5,-8.7,-2.5,9.8,,,,,,
26,1982-03,0.4,-2.9,4.1,22.8,,,,,,
27,1982-04,4.5,0.8,9.0,47.3,,,,,,
28,1982-05,11.9,6.7,17.3,81.3,,,,,,
29,1982-06,13.4,8.4,18.1,99.5,,,,,,
30,1982-07,17.2,12.3,22.0,56.2,,,,,,
31,1982-08,16.5,10.9,21.9,27.8,,,,,,
32,1982-09,12.4,7.8,17.9,23.5,,,,,,
33,1982-10,6.6,3.4,10.0,16.8,,,,,,
34,1982-11,3.0,0.8,5.7,38.5,,,,,,
35,1982-12,-0.4,-2.4,1.2,82.0,,,,,,
36,1983-01,-0.1,-2.4,2.0,104.0,,,,,,
37,1983-02,-5.4,-8.9,-2.4,24.0,,,,,,
38,1983-03,-0.6,-3.7,3.3,92.9,,,,,,
39,1983-04,8.1,3.5,13.2,52.3,,,,,,
40,1983-05,15.0,9.9,20.4,54.0,,,,,,
41,1983-06,14.9,9.2,20.4,55.3,,,,,,
42,1983-07,17.2,11.7,22.7,38.2,,,,,,
43,1983-08,17.0,10.4,23.7,10.4,,,,,,
44,1983-09,13.8,9.9,18.6,73.0,,,,,,
45,1983-10,7.1,4.2,10.4,62.5,,,,,,
46,1983-11,0.7,-1.7,3.2,60.5,,,,,,
47,1983-12,-2.6,-4.2,-0.3,34.7,,,,,,
48,1984-01,-2.4,-4.2,-0.4,46.3,,,,,,
49,1984-02,-4.9,-7.4,-2.2,27.0,,,,,,
50,1984-03,-0.9,-4.1,2.6,13.4,,,,,,
51,1984-04,8.5,3.3,14.1,21.0,,,,,,
52,1984-05,14.0,9.7,18.9,79.2,,,,,,
53,1984-06,13.5,10.1,17.8,71.2,,,,,,
54,1984-07,15.1,11.2,19.6,86.7,,,,,,
55,1984-08,16.6,11.7,21.8,47.3,,,,,,
56,1984-09,11.7,8.7,15.4,103.3,,,,,,
57,1984-10,8.9,6.2,12.2,35.8,,,,,,
58,1984-11,0.3,-1.4,2.7,40.5,,,,,,
59,1984-12,-2.9,-4.6,-1.3,42.6,,,,,,
60,1985-01,-11.6,-14.8,-8.8,30.9,,,,,,
