,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-1.5,-3.5,0.7,61.0,,,,,1016.9,3660.0
1,1980-02,3.7,0.7,7.4,71.0,,,,,1020.1,5580.0
2,1980-03,3.9,1.0,7.3,88.0,,,,,1010.6,4020.0
3,1980-04,6.6,2.5,10.9,46.0,,,,,1018.2,10440.0
4,1980-05,11.0,6.6,15.9,86.0,,,,,1013.3,13980.0
5,1980-06,13.4,9.6,17.7,125.0,,,,,1013.2,7320.0
6,1980-07,14.3,10.4,17.9,115.0,,,,,1013.2,7500.0
7,1980-08,16.2,11.9,20.6,106.0,,,,,1016.6,9720.0
8,1980-09,13.9,9.8,18.4,36.0,,,,,1019.9,9720.0
9,1980-10,7.5,4.0,11.0,79.0,,,,,1013.2,6180.0
10,1980-11,2.2,-0.3,4.6,45.0,,,,,1017.6,3960.0
11,1980-12,0.0,-2.7,2.4,85.0,,,,,1020.5,2220.0
12,1981-01,0.5,-2.9,2.3,60.0,,,,,1020.0,4140.0
13,1981-02,0.5,-3.2,2.9,38.0,,,,,1020.5,6600.0
14,1981-03,7.2,4.0,10.7,109.0,,,,,1009.8,4440.0
15,1981-04,8.2,4.4,12.5,64.0,,,,,1017.4,10260.0
16,1981-05,12.2,7.4,17.0,89.0,,,,,1011.4,10140.0
17,1981-06,14.4,10.0,18.9,130.2,,,,,,
18,1981-07,15.9,11.9,20.5,54.0,,,,,1017.2,8520.0
19,1981-08,16.7,12.3,21.6,85.0,,,,,1019.0,11940.0
20,1981-09,13.9,10.0,18.3,127.0,,,,,1016.2,9120.0
21,1981-10,7.4,4.5,10.4,151.0,,,,,1012.0,3360.0
22,1981-11,4.4,2.0,7.1,50.0,,,,,1024.6,4440.0
23,1981-12,-0.6,-2.8,1.4,134.0,,,,,1003.2,1140.0
24,1982-01,-1.3,-4.0,1.3,91.0,,,,,1020.1,3960.0
25,1982-02,1.0,-2.2,4.6,19.0,,,,,1021.1,6360.0
26,1982-03,4.2,0.5,8.4,90.0,,,,,1017.2,8040.0
27,1982-04,6.9,2.1,11.9,30.0,,,,,1018.7,12180.0
28,1982-05,12.4,7.4,17.8,53.0,,,,,1018.8,14220.0
29,1982-06,15.8,11.3,20.7,108.0,,,,,1014.6,11580.0
30,1982-07,18.6,13.7,24.1,22.0,,,,,1017.4,14640.0
31,1982-08,16.3,11.6,21.8,49.0,,,,,1015.5,12000.0
32,1982-09,16.5,11.7,22.1,76.0,,,,,1018.1,12540.0
33,1982-10,8.9,6.5,11.7,150.0,,,,,1012.8,3120.0
34,1982-11,5.7,3.4,8.1,89.0,,,,,1017.0,2640.0
35,1982-12,1.8,-0.3,3.7,105.0,,,,,1015.4,1980.0
36,1983-01,3.0,0.7,5.5,49.0,,,,,1026.6,1440.0
37,1983-02,-0.9,-3.6,1.9,56.0,,,,,1018.8,5820.0
38,1983-03,4.4,1.2,8.2,59.0,,,,,1011.8,6360.0
39,1983-04,7.5,3.5,12.2,142.0,,,,,1009.7,6720.0
40,1983-05,9.4,6.2,13.1,173.0,,,,,1010.5,4980.0
41,1983-06,16.3,11.1,21.4,86.0,,,,,1019.8,13380.0
