,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.4,,,163.0,,,,,1010.5,11760.0
1,1980-02,26.6,,,183.0,,,,,1010.8,11700.0
2,1980-03,26.5,,32.6,329.0,,,,,1010.7,12180.0
3,1980-04,27.1,,,251.7,,,,,,
4,1980-05,27.3,,,117.0,,,,,1009.3,12720.0
5,1980-06,27.2,,,94.0,,,,,1009.5,10560.0
6,1980-07,27.0,,32.3,91.0,,,,,,
7,1980-08,26.1,,,216.0,,,,,,
8,1980-09,26.5,,,108.0,,,,,,
9,1980-10,26.6,,,263.0,,,,,,
10,1980-11,26.0,,,344.0,,,,,,
11,1980-12,25.3,,,180.0,,,,,,
12,1981-01,25.6,,,132.0,,,,,1011.7,7140.0
13,1981-02,26.4,,,219.0,,,,,1010.7,10920.0
14,1981-03,27.2,,,141.0,,,,,1010.7,15180.0
15,1981-04,27.0,,,318.0,,,,,1009.8,11220.0
16,1981-05,26.8,,,171.0,,,,,1008.6,10320.0
17,1981-06,27.5,,,53.0,,,,,1009.4,13980.0
18,1981-07,26.8,,,97.0,,,,,1009.1,12600.0
19,1981-08,27.1,,,53.0,,,,,1009.6,14640.0
20,1981-09,26.3,,,244.0,,,,,1009.9,8220.0
21,1981-10,26.6,,,325.0,,,,,1010.1,9900.0
22,1981-11,26.3,,,243.0,,,,,1009.7,8340.0
23,1981-12,26.3,,,120.0,,,,,1011.5,10020.0
24,1982-01,26.2,,,59.0,,,,,1011.2,11220.0
25,1982-02,26.6,,,195.0,,,,,1010.4,11160.0
26,1982-03,26.7,,,359.0,,,,,1010.0,11220.0
27,1982-04,26.6,,,369.0,,,,,1010.0,10500.0
28,1982-05,27.0,,,235.0,,,,,1009.6,10800.0
29,1982-06,27.2,,,122.0,,,,,1010.1,11340.0
30,1982-07,26.6,,,109.0,,,,,1010.0,12840.0
31,1982-08,26.5,,,117.0,,,,,1010.5,
32,1982-09,26.7,,,165.0,,,,,1011.1,9900.0
33,1982-10,26.0,,,243.0,,,,,1010.8,10620.0
34,1982-11,26.0,,,485.0,,,,,1010.3,9660.0
35,1982-12,26.5,,,239.0,,,,,1010.8,9060.0
36,1983-01,26.9,,,127.0,,,,,1012.1,12420.0
