,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,28.2,,,2.0,,,,,1007.5,15480.0
1,1980-02,28.5,,,0.0,,,,,1008.8,13740.0
2,1980-03,31.8,,,0.0,,,,,,
3,1980-04,33.0,,,3.0,,,,,,
4,1980-05,32.0,,,22.0,,,,,,
5,1980-06,29.5,,,101.0,,,,,,
6,1980-07,27.1,,,196.0,,,,,,
7,1980-08,25.6,,,188.0,,,,,,
8,1980-09,27.2,,,154.0,,,,,,
9,1980-10,27.9,,,70.0,,,,,,
10,1980-11,,,,0.5,,,,,,
11,1980-12,24.9,,,0.0,,,,,1010.9,16080.0
12,1981-01,24.6,,,0.0,,,,,1011.9,18180.0
13,1981-02,29.1,,,0.0,,,,,1008.3,15300.0
14,1981-03,31.4,,,4.0,,,,,1007.5,15780.0
15,1981-04,33.2,,,,,,,,,
16,1981-05,29.9,,,98.0,,,,,1008.2,14400.0
17,1981-06,28.6,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,25.6,,,243.0,,,,,1011.0,12540.0
20,1981-09,26.3,,,153.0,,,,,1011.0,13560.0
21,1981-10,28.0,,,135.0,,,,,1009.2,16440.0
22,1981-11,27.8,,,0.0,,,,,1009.5,17580.0
23,1981-12,26.3,,,0.0,,,,,1010.3,16920.0
24,1982-01,24.1,,,0.0,,,,,1011.4,18120.0
25,1982-02,28.2,,,0.0,,,,,1008.6,13920.0
26,1982-03,,,,,,,,,,
27,1982-04,32.0,,,,,,,,,
28,1982-05,30.8,,,88.0,,,,,1007.8,
29,1982-06,27.9,,,94.0,,,,,1010.8,12660.0
30,1982-07,26.3,,,,,,,,,
31,1982-08,26.1,,,232.0,,,,,,14100.0
32,1982-09,26.9,,,118.0,,,,,1010.9,13980.0
33,1982-10,27.5,,,77.0,,,,,1009.6,14820.0
34,1982-11,27.1,,,0.0,,,,,1010.2,14760.0
35,1982-12,24.1,,,0.0,,,,,1012.1,14640.0
36,1983-01,24.1,,,0.0,,,,,1013.1,15720.0
37,1983-02,29.1,,,0.0,,,,,1009.5,14580.0
38,1983-03,31.6,,,0.0,,,,,1008.2,15540.0
39,1983-04,33.3,,,6.0,,,,,1006.0,12360.0
40,1983-05,32.0,,,30.0,,,,,1006.8,10860.0
41,1983-06,29.3,,,41.0,,,,,1009.8,12540.0
42,1983-07,27.3,,,137.0,,,,,1010.4,12060.0
43,1983-08,26.4,,,219.0,,,,,1011.6,13020.0
44,1983-09,27.0,,,179.0,,,,,1010.8,14460.0
45,1983-10,28.8,,,31.0,,,,,1009.7,16440.0
46,1983-11,26.9,,,0.5,,,,,1010.5,16860.0
47,1983-12,25.7,,,,,,,,,
