,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.4,24.7,30.2,206.0,0.0,,,51.8,1008.6,17274.0
1,1980-02,27.4,24.7,30.0,237.0,0.0,,,51.8,1009.4,15768.0
2,1980-03,27.4,24.9,29.8,130.0,0.0,,,51.8,1008.6,17202.0
3,1980-04,27.6,25.0,30.1,202.0,0.0,,,7.6,1009.0,12114.0
4,1980-05,27.5,24.6,30.4,288.0,0.0,,,51.8,1009.9,16038.0
5,1980-06,27.7,25.0,30.5,171.0,0.0,,,55.4,1009.5,15468.0
6,1980-07,27.5,24.7,30.3,215.0,0.0,,,44.3,1009.7,16002.0
7,1980-08,27.5,24.4,30.6,353.0,0.0,,,48.2,1009.8,17670.0
8,1980-09,27.6,24.6,30.7,326.0,0.0,,,55.4,1009.8,15834.0
9,1980-10,27.9,24.9,31.0,335.0,0.0,,,51.8,1009.5,16404.0
10,1980-11,,24.9,30.5,309.0,0.0,,,46.4,,15636.0
11,1980-12,27.9,24.7,29.6,268.0,0.0,,,53.6,1008.7,14322.0
12,1981-01,,25.1,29.8,23.0,0.0,,,51.8,,14634.0
13,1981-02,28.0,25.0,30.1,110.0,0.0,,,53.6,1008.8,15378.0
14,1981-03,27.2,24.6,29.8,442.0,0.0,,,61.2,1010.1,14406.0
15,1981-04,27.2,24.6,29.7,259.0,0.0,,,59.0,1009.5,15252.0
16,1981-05,,24.7,30.2,229.9,0.0,,,63.0,,15330.0
17,1981-06,,25.0,30.5,326.0,0.0,,,55.4,,16134.0
18,1981-07,27.0,24.3,29.9,420.0,0.0,,,55.4,1009.5,14388.0
19,1981-08,27.4,24.5,30.3,311.0,0.0,,,50.0,1010.7,15780.0
20,1981-09,27.8,24.9,30.5,170.0,0.0,,,44.3,1009.4,15384.0
21,1981-10,27.8,24.9,30.7,185.0,0.0,,,46.4,1009.4,14532.0
22,1981-11,27.2,24.3,30.1,372.0,0.0,,,51.8,1008.8,11826.0
23,1981-12,27.0,24.3,29.7,368.0,0.0,,,55.4,1008.9,13098.0
24,1982-01,26.9,24.5,29.4,321.0,0.0,,,59.0,1009.0,13476.0
25,1982-02,27.1,24.6,29.5,247.0,0.0,,,51.8,,14118.0
26,1982-03,26.9,24.3,29.5,338.0,0.0,,,53.6,1008.7,14466.0
27,1982-04,27.7,25.1,30.2,119.0,0.0,,,51.8,,15660.0
28,1982-05,27.1,24.6,30.1,291.0,0.0,,,53.6,1009.8,12900.0
29,1982-06,27.4,24.4,30.4,424.0,0.0,,,57.2,1009.5,10020.0
30,1982-07,27.3,24.2,30.3,372.0,0.0,,,50.0,1008.9,12240.0
31,1982-08,27.4,24.4,30.3,298.0,0.0,,,46.4,,11562.0
32,1982-09,27.4,24.5,30.4,481.0,0.0,,,57.2,1009.4,11400.0
33,1982-10,27.8,24.8,30.7,208.0,0.0,,,44.3,,13860.0
34,1982-11,27.4,24.6,30.2,485.0,0.0,,,72.0,,8616.0
35,1982-12,26.8,24.3,29.2,81.0,0.0,,,57.2,1011.4,15720.0
36,1983-01,26.7,24.2,29.2,21.0,0.0,,,51.8,1011.9,17820.0
37,1983-02,26.9,24.0,29.8,25.0,0.0,,,57.2,1012.9,15840.0
38,1983-03,27.4,24.6,30.3,17.0,0.0,,,44.3,1012.7,17160.0
39,1983-04,27.9,24.9,30.9,50.0,0.0,,,46.4,1012.3,17340.0
40,1983-05,28.3,25.6,31.1,36.0,0.0,,,42.5,1011.2,16980.0
41,1983-06,27.4,24.7,30.2,367.0,0.0,,,51.8,1010.5,14280.0
42,1983-07,27.4,24.6,30.2,320.0,0.0,,,53.6,1009.7,12660.0
43,1983-08,27.8,25.1,30.7,154.0,0.0,,,55.4,1010.7,16500.0
44,1983-09,27.6,24.7,30.6,286.0,0.0,,,51.8,1010.1,15120.0
45,1983-10,27.2,24.1,30.2,456.0,0.0,,,55.4,1009.7,14220.0
