,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,20.3,13.8,28.5,0.0,,,,,1014.2,18480.0
1,1980-02,23.3,15.5,32.0,6.6,,,,,,
2,1980-03,23.0,17.2,31.2,0.0,,,,,1012.9,18000.0
3,1980-04,24.6,19.4,33.5,2.0,,,,,1011.2,17580.0
4,1980-05,24.3,19.4,33.2,0.0,,,,,1012.5,18600.0
5,1980-06,24.9,20.8,31.7,0.0,,,,,1012.3,17640.0
6,1980-07,25.6,23.1,29.5,0.0,,,,,1011.9,17040.0
7,1980-08,27.5,24.6,31.8,10.0,,,,,1011.7,17160.0
8,1980-09,,25.0,34.9,24.9,,,,,,
9,1980-10,27.5,22.2,36.1,0.0,,,,,1012.6,17520.0
10,1980-11,,18.5,33.2,4.0,,,,,,
11,1980-12,,14.5,28.1,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,20.9,,,0.0,,,,,1013.8,11160.0
14,1981-03,25.5,,,0.5,,,,,1012.3,16620.0
15,1981-04,24.9,,,0.0,,,,,1011.0,14640.0
16,1981-05,26.0,,,0.5,,,,,1011.0,17460.0
17,1981-06,26.6,,,0.0,,,,,1011.3,15120.0
18,1981-07,27.0,,,21.0,,,,,1011.1,14460.0
19,1981-08,28.3,,,38.0,,,,,1011.6,15540.0
20,1981-09,,,,,,,,,,
21,1981-10,27.7,,,0.5,,,,,1011.4,15600.0
22,1981-11,,,,,,,,,,
23,1981-12,23.0,,,0.0,,,,,1014.2,
24,1982-01,21.4,,,0.0,,,,,1015.4,
25,1982-02,20.6,,,0.5,,,,,1014.0,
26,1982-03,23.3,,,0.5,,,,,1012.2,16500.0
27,1982-04,23.1,,,,,,,,,
28,1982-05,23.1,,,,,,,,,
29,1982-06,26.6,,,0.0,,,,,1012.1,
30,1982-07,27.1,,,,,,,,,
31,1982-08,27.8,,,,,,,,,
32,1982-09,29.4,,,0.0,,,,,1012.2,
33,1982-10,28.2,,,20.0,,,,,1012.2,
34,1982-11,25.9,,,,,,,,,
35,1982-12,20.9,,,0.5,,,,,1016.8,
36,1983-01,23.3,,,0.0,,,,,1016.4,
37,1983-02,23.4,,,0.0,,,,,1014.1,
38,1983-03,25.5,,,0.0,,,,,1012.6,
39,1983-04,23.4,,,0.0,,,,,1011.3,
40,1983-05,27.1,,,0.5,,,,,1010.6,
41,1983-06,27.6,,,0.5,,,,,1011.6,
42,1983-07,27.7,,,0.0,,,,,1011.4,
43,1983-08,28.3,,,0.5,,,,,1012.4,
44,1983-09,29.3,,,7.0,,,,,1011.9,
45,1983-10,29.9,,,0.5,,,,,1012.2,13080.0
46,1983-11,25.8,,,0.0,,,,,1014.2,15960.0
47,1983-12,21.8,,,0.0,,,,,1015.9,
48,1984-01,20.9,,,0.5,,,,,1015.9,
49,1984-02,23.7,,,0.0,,,,,1013.8,
50,1984-03,21.7,,,0.5,,,,,1012.1,
51,1984-04,22.8,,,0.0,,,,,1011.4,
52,1984-05,27.1,,,0.5,,,,,1010.5,
53,1984-06,26.4,,,0.5,,,,,1011.9,
54,1984-07,26.4,,,2.0,,,,,1011.5,
55,1984-08,27.6,,,0.0,,,,,1011.6,15000.0
56,1984-09,29.3,,,0.5,,,,,1011.0,
57,1984-10,28.8,,,0.5,,,,,1012.0,13200.0
58,1984-11,24.7,,,0.0,,,,,1013.9,13800.0
59,1984-12,21.7,,,3.0,,,,,1014.5,9900.0
60,1985-01,19.3,,,0.5,,,,,1015.1,15120.0
61,1985-02,23.5,,,0.5,,,,,1013.9,9120.0
62,1985-03,23.2,,,0.5,,,,,1012.6,
63,1985-04,23.9,,,0.5,,,,,1012.1,12960.0
64,1985-05,23.6,,,0.0,,,,,1012.1,16740.0
65,1985-06,26.5,,,0.0,,,,,1012.1,8340.0
66,1985-07,26.3,,,7.0,,,,,1011.8,13620.0
67,1985-08,27.4,,,26.0,,,,,1011.5,15780.0
68,1985-09,29.6,,,4.0,,,,,1011.2,
69,1985-10,29.6,,,0.0,,,,,1011.6,16260.0
70,1985-11,25.6,,,0.0,,,,,1013.1,14100.0
71,1985-12,22.4,,,0.5,,,,,1015.7,8820.0
72,1986-01,19.9,,,0.5,,,,,1017.6,8160.0
73,1986-02,21.0,,,0.5,,,,,1013.5,15300.0
74,1986-03,22.7,,,0.0,,,,,1014.4,15000.0
75,1986-04,24.2,,,0.0,,,,,1011.0,10440.0
76,1986-05,25.9,,,0.5,,,,,1011.2,14100.0
77,1986-06,25.4,,,0.5,,,,,1011.9,16920.0
78,1986-07,25.8,,,0.0,,,,,1013.1,14880.0
79,1986-08,28.1,,,9.0,,,,,1012.0,15840.0
80,1986-09,29.4,,,36.0,,,,,1012.2,
81,1986-10,27.9,,,0.0,,,,,1012.9,
82,1986-11,24.2,,,10.0,,,,,1014.5,
83,1986-12,21.7,,,0.0,,,,,1016.6,9360.0
84,1987-01,20.4,,,0.0,,,,,1015.4,16560.0
85,1987-02,22.9,,,0.0,,,,,1014.6,14940.0
86,1987-03,25.0,,,0.0,,,,,1012.5,16320.0
87,1987-04,27.3,,,0.0,,,,,1011.0,6600.0
88,1987-05,27.7,,,0.0,,,,,1009.8,7320.0
89,1987-06,27.2,,,0.5,,,,,1011.9,15180.0
90,1987-07,28.4,,,0.5,,,,,1010.6,
91,1987-08,29.6,,,21.0,,,,,1010.6,
92,1987-09,30.3,,,30.0,,,,,1011.7,
93,1987-10,28.6,,,14.0,,,,,1011.8,
94,1987-11,26.6,,,,,,,,,
95,1987-12,23.7,,,,,,,,,
96,1988-01,20.6,,,0.5,,,,,1016.7,
