,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,21.0,27.0,1067.9,,,,,,
1,1980-02,,20.1,26.7,481.9,,,,,,
2,1980-03,,21.4,27.3,602.9,,,,,,
3,1980-04,,20.1,26.9,369.9,,,,,,
4,1980-05,,17.8,24.3,103.2,,,,,,
5,1980-06,,16.9,23.4,63.8,,,,,,
6,1980-07,,15.6,22.2,103.2,,,,,,
7,1980-08,,14.6,21.5,62.6,,,,,,
8,1980-09,,15.6,22.7,75.8,,,,,,
9,1980-10,,16.9,24.8,78.0,,,,,,
10,1980-11,,18.0,25.7,38.1,,,,,,
11,1980-12,,19.3,27.3,58.1,,,,,,
12,1981-01,,20.2,27.5,260.6,,,,,,
13,1981-02,,20.3,28.0,59.0,,,,,,
14,1981-03,,20.5,28.1,193.5,,,,,,
15,1981-04,,21.0,26.1,607.5,,,,,,
16,1981-05,,16.9,24.8,63.7,,,,,,
17,1981-06,,15.7,23.4,63.4,,,,,,
18,1981-07,,14.2,21.6,122.0,,,,,,
19,1981-08,,14.9,22.2,101.7,,,,,,
20,1981-09,,15.2,22.5,107.3,,,,,,
21,1981-10,,16.9,24.5,79.8,,,,,,
22,1981-11,,17.0,26.0,93.6,,,,,,
23,1981-12,,19.0,26.8,181.6,,,,,,
24,1982-01,,,27.9,224.8,,,,,,
25,1982-02,,20.3,26.6,829.4,,,,,,
26,1982-03,,19.8,27.3,125.4,,,,,,
27,1982-04,,,26.7,167.4,,,,,,
28,1982-05,,17.8,24.2,261.8,,,,,,
29,1982-06,,16.5,22.0,157.6,,,,,,
30,1982-07,,15.7,21.6,163.2,,,,,,
31,1982-08,,14.8,22.0,220.9,,,,,,
32,1982-09,,16.3,23.3,109.1,,,,,,
33,1982-10,,16.6,23.8,209.8,,,,,,
34,1982-11,,18.1,25.7,119.2,,,,,,
35,1982-12,,18.3,26.3,149.2,,,,,,
36,1983-01,,19.0,26.8,230.3,,,,,,
37,1983-02,,20.3,28.4,184.4,,,,,,
38,1983-03,,19.3,27.3,60.9,,,,,,
39,1983-04,,18.3,26.5,92.0,,,,,,
40,1983-05,,16.8,24.9,89.1,,,,,,
41,1983-06,,15.8,23.1,59.1,,,,,,
42,1983-07,,14.4,22.0,97.3,,,,,,
43,1983-08,,13.5,22.0,55.5,,,,,,
44,1983-09,,13.6,22.1,44.9,,,,,,
45,1983-10,20.5,15.0,24.0,50.5,,,,,,
46,1983-11,,17.1,25.7,128.9,,,,,,
47,1983-12,23.6,20.0,26.8,474.8,,,,,,
48,1984-01,,,27.8,,,,,,,
49,1984-02,,21.1,27.9,147.6,,,,,,
50,1984-03,,20.3,27.0,76.8,,,,,,
51,1984-04,,19.4,25.3,171.0,,,,,,
52,1984-05,,17.1,23.7,89.2,,,,,,
53,1984-06,19.5,15.6,21.9,95.0,,,,,,
54,1984-07,,14.1,20.4,94.9,,,,,,
55,1984-08,,14.8,21.3,132.3,,,,,,
56,1984-09,,14.8,22.7,80.9,,,,,,
57,1984-10,20.9,16.7,23.8,34.2,,,,,,
58,1984-11,,18.7,25.9,85.0,,,,,,
59,1984-12,,19.3,27.1,209.7,,,,,,
60,1985-01,,20.5,27.1,469.1,,,,,,
61,1985-02,,21.3,26.6,868.8,,,,,,
62,1985-03,,20.3,27.5,145.4,,,,,,
63,1985-04,,19.3,25.6,226.4,,,,,,
64,1985-05,,17.1,24.5,55.2,,,,,,
65,1985-06,,15.6,22.7,112.9,,,,,,
66,1985-07,,15.8,21.8,110.2,,,,,,
67,1985-08,18.8,15.7,21.3,117.5,,,,,,
68,1985-09,,15.8,22.1,95.3,,,,,,
69,1985-10,,16.0,22.7,95.8,,,,,,
70,1985-11,21.3,16.9,24.6,102.0,,,,,,
71,1985-12,,19.0,26.9,213.4,,,,,,
72,1986-01,,19.9,27.2,145.5,,,,,,
73,1986-02,,20.6,27.4,348.4,,,,,,
74,1986-03,,20.2,26.6,337.4,,,,,,
75,1986-04,23.2,18.6,26.5,86.8,,,,,,
76,1986-05,21.2,17.6,24.1,88.4,,,,,,
77,1986-06,,13.9,22.2,53.2,,,,,,
78,1986-07,18.4,13.3,21.5,39.3,,,,,,
79,1986-08,,15.1,21.6,187.5,,,,,,
80,1986-09,,15.3,23.2,34.4,,,,,,
81,1986-10,,16.8,24.4,121.4,,,,,,
82,1986-11,,18.3,25.8,47.9,,,,,,
83,1986-12,,20.7,27.4,117.0,,,,,,
84,1987-01,24.6,20.8,27.7,647.7,,,,,,
85,1987-02,24.6,21.0,27.4,769.1,,,,,,
86,1987-03,,21.6,28.6,225.7,,,,,,
87,1987-04,,20.9,27.5,322.6,,,,,,
88,1987-05,22.2,18.6,24.9,119.9,,,,,,
89,1987-06,,16.2,23.3,98.9,,,,,,
90,1987-07,,16.0,23.4,119.5,,,,,,
91,1987-08,,15.6,22.3,100.4,,,,,,
92,1987-09,,15.9,23.5,51.7,,,,,,
93,1987-10,,16.7,24.2,134.2,,,,,,
94,1987-11,,18.0,25.7,61.0,,,,,,
95,1987-12,,19.2,27.2,56.7,,,,,,
96,1988-01,25.2,21.5,28.9,118.9,,,,,,
97,1988-02,25.3,21.2,28.7,299.7,,,,,,
98,1988-03,24.6,21.1,27.7,476.2,,,,,,
99,1988-04,23.5,20.0,26.7,248.6,,,,,,
100,1988-05,21.6,18.3,24.2,97.3,,,,,,
101,1988-06,20.1,16.1,23.0,53.2,,,,,,
102,1988-07,19.3,16.0,22.3,83.7,,,,,,
103,1988-08,19.0,15.2,22.3,56.5,,,,,,
104,1988-09,,15.7,23.2,68.4,,,,,,
105,1988-10,,17.3,24.2,50.4,,,,,,
106,1988-11,,18.2,26.1,75.2,,,,,,
107,1988-12,,19.5,26.6,318.6,,,,,,
108,1989-01,,20.8,27.2,605.0,,,,,,
109,1989-02,,20.6,28.3,262.0,,,,,,
110,1989-03,,20.9,27.1,292.5,,,,,,
111,1989-04,23.1,19.6,25.9,184.3,,,,,,
112,1989-05,,18.2,24.7,90.5,,,,,,
113,1989-06,,16.5,22.9,90.2,,,,,,
114,1989-07,,15.6,22.0,138.2,,,,,,
115,1989-08,,15.3,21.1,170.5,,,,,,
116,1989-09,,16.1,22.6,171.1,,,,,,
117,1989-10,,17.1,24.0,55.1,,,,,,
118,1989-11,,17.5,25.5,49.3,,,,,,
119,1989-12,,20.2,26.2,243.4,,,,,,
120,1990-01,,19.6,27.1,101.9,,,,,,
121,1990-02,,20.2,26.9,382.8,,,,,,
122,1990-03,,20.2,27.2,323.1,,,,,,
123,1990-04,,20.1,26.4,203.9,,,,,,
124,1990-05,,17.4,24.3,102.0,,,,,,
125,1990-06,,16.4,23.6,55.5,,,,,,
126,1990-07,,14.3,22.3,53.3,,,,,,
127,1990-08,,15.5,22.1,100.7,,,,,,
128,1990-09,,16.3,23.4,49.2,,,,,,
129,1990-10,,17.0,24.8,19.4,,,,,,
130,1990-11,,18.2,26.2,44.3,,,,,,
131,1990-12,,19.6,27.7,170.6,,,,,,
132,1991-01,,,,,,,,,,
133,1991-02,,,,,,,,,,
134,1991-03,,,,,,,,,,
135,1991-04,,,,,,,,,,
136,1991-05,,,,,,,,,,
137,1991-06,,,,,,,,,,
138,1991-07,,,,,,,,,,
139,1991-08,,,,,,,,,,
140,1991-09,,,,,,,,,,
141,1991-10,,,,,,,,,,
142,1991-11,,,,,,,,,,
143,1991-12,,,,,,,,,,
144,1992-01,,,,,,,,,,
145,1992-02,,,,,,,,,,
146,1992-03,,,,,,,,,,
147,1992-04,22.4,,,,,,,,,
148,1992-05,,,,,,,,,,
149,1992-06,,,,,,,,,,
150,1992-07,18.5,,,,,,,,,
151,1992-08,,,,,,,,,,
152,1992-09,19.0,,,,,,,,,
153,1992-10,,,,,,,,,,
154,1992-11,,,,,,,,,,
155,1992-12,,,,,,,,,,
156,1993-01,,,,,,,,,,
157,1993-02,24.7,,,,,,,,,
158,1993-03,23.9,,,,,,,,,
159,1993-04,,,,,,,,,,
160,1993-05,,,,,,,,,,
161,1993-06,19.8,,,,,,,,,
162,1993-07,,,,,,,,,,
163,1993-08,,,,,,,,,,
164,1993-09,18.7,,,,,,,,,
165,1993-10,,,,,,,,,,
166,1993-11,21.6,,,,,,,,,
167,1993-12,23.3,,26.5,,,,,,,
168,1994-01,,,,,,,,,,
169,1994-02,,,,,,,,,,
170,1994-03,24.5,20.9,,,,,,,,
171,1994-04,23.9,,,,,,,,,
172,1994-05,,,,,,,,,,
173,1994-06,,,,,,,,,,
174,1994-07,19.4,,,,,,,,,
175,1994-08,,,,,,,,,,
176,1994-09,19.2,,,,,,,,,
177,1994-10,20.8,,,,,,,,,
178,1994-11,,,,,,,,,,
179,1994-12,23.5,19.0,,,,,,,,
180,1995-01,24.2,,,,,,,,,
181,1995-02,,,,,,,,,,
182,1995-03,24.1,,,,,,,,,
183,1995-04,23.5,,,,,,,,,
184,1995-05,,,,,,,,,,
185,1995-06,20.1,,,,,,,,,
186,1995-07,,,,,,,,,,
187,1995-08,,,,,,,,,,
188,1995-09,19.5,,,,,,,,,
189,1995-10,20.2,,,,,,,,,
190,1995-11,,,,,,,,,,
191,1995-12,,,,,,,,,,
192,1996-01,,,,,,,,,,
193,1996-02,24.2,20.4,,,,,,,,
194,1996-03,24.6,,,,,,,,,
195,1996-04,22.9,,,,,,,,,
