,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.7,24.3,31.1,356.0,0.0,,,50.0,1007.8,5196.0
1,1980-02,27.6,24.3,30.9,473.0,0.0,,,,1008.8,5730.0
2,1980-03,28.2,25.1,31.3,206.0,0.0,,,55.4,1008.4,5640.0
3,1980-04,28.0,24.4,31.6,384.0,0.0,,,48.2,1008.4,5244.0
4,1980-05,27.4,23.6,30.7,976.0,0.0,,,48.2,1008.8,2934.0
5,1980-06,27.6,23.8,31.4,590.0,0.0,,,42.5,1008.7,3594.0
6,1980-07,27.4,23.2,31.6,403.0,0.0,,,37.1,1008.8,8034.0
7,1980-08,27.4,23.1,31.6,401.0,0.0,,,35.3,1008.9,9690.0
8,1980-09,,23.2,31.1,398.0,0.0,,,46.4,1009.0,6054.0
9,1980-10,,23.0,31.8,297.4,0.0,,,59.0,,6834.0
10,1980-11,27.2,23.2,32.1,202.0,0.0,,,33.5,1008.1,8040.0
11,1980-12,28.1,24.4,31.5,272.0,0.0,,,48.2,1008.0,3936.0
12,1981-01,27.6,24.5,30.8,371.0,0.0,,,63.0,1008.6,3612.0
13,1981-02,27.6,24.6,30.6,349.0,0.0,,,53.6,1008.3,3492.0
14,1981-03,,24.6,31.1,217.3,0.0,,,57.2,,4920.0
15,1981-04,27.8,24.3,31.3,266.0,0.0,,,44.3,1008.5,2232.0
16,1981-05,27.9,24.3,31.6,584.0,0.0,,,50.0,1008.8,8034.0
17,1981-06,27.5,23.9,31.1,552.0,0.0,,,55.4,1009.1,5430.0
18,1981-07,27.3,23.2,31.4,411.0,0.0,,,63.0,1008.7,6780.0
19,1981-08,27.6,22.9,32.1,341.0,0.0,,,48.2,1009.3,7968.0
20,1981-09,27.7,23.2,32.2,382.0,0.0,,,44.3,1008.5,7314.0
21,1981-10,27.7,23.4,32.0,392.0,0.0,,,40.7,1008.6,6762.0
22,1981-11,27.7,23.4,31.9,418.0,0.0,,,48.2,,5622.0
23,1981-12,27.7,24.1,31.3,444.0,0.0,,,50.0,1007.7,5874.0
24,1982-01,27.4,24.4,30.4,357.0,0.0,,,59.0,1008.0,5292.0
25,1982-02,27.6,24.2,31.0,415.0,0.0,,,50.0,1008.7,3852.0
26,1982-03,27.6,24.7,30.6,328.0,0.0,,,70.2,1007.3,5736.0
27,1982-04,27.7,24.1,31.2,421.0,0.0,,,46.4,1008.8,7062.0
28,1982-05,27.3,23.8,30.8,576.0,0.0,,,46.4,1008.7,7560.0
29,1982-06,27.6,23.9,31.2,439.0,0.0,,,50.0,1008.2,6600.0
30,1982-07,26.8,23.3,30.4,584.0,0.0,,,61.2,1011.0,5100.0
31,1982-08,27.0,23.5,30.4,457.0,0.0,,,59.0,1008.1,5160.0
32,1982-09,26.9,23.7,30.1,650.0,0.0,,,68.4,1009.4,4800.0
33,1982-10,27.1,23.2,31.0,214.0,0.0,,,50.0,1008.9,6360.0
34,1982-11,27.2,22.6,31.8,252.0,0.0,,,35.3,1008.1,9000.0
35,1982-12,27.8,24.7,30.9,408.0,0.0,,,51.8,1010.0,5220.0
36,1983-01,27.4,24.3,30.5,48.0,0.0,,,57.2,1011.1,6960.0
37,1983-02,27.6,24.4,30.8,44.0,0.0,,,55.4,1012.1,8400.0
38,1983-03,28.0,24.6,31.4,39.0,0.0,,,61.2,1012.3,8640.0
39,1983-04,28.6,24.6,32.5,51.0,0.0,,,51.8,1011.8,12780.0
40,1983-05,29.1,25.7,32.6,56.0,0.0,,,44.3,,9798.0
