,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-5.0,-7.8,-2.0,24.4,,,,,,
1,1980-02,-2.5,-4.5,0.1,7.7,,,,,,
2,1980-03,-0.7,-2.8,1.7,66.9,,,,,,
3,1980-04,8.7,4.7,13.7,45.3,,,,,,
4,1980-05,13.2,9.0,18.2,59.1,,,,,,
5,1980-06,17.7,13.8,22.3,118.8,,,,,,
6,1980-07,19.9,15.6,24.9,78.2,,,,,,
7,1980-08,18.9,14.5,23.5,100.9,,,,,,
8,1980-09,14.9,10.9,19.5,23.0,,,,,,
9,1980-10,10.5,7.0,15.2,33.1,,,,,,
10,1980-11,3.2,1.0,6.1,93.3,,,,,,
11,1980-12,0.8,-1.4,3.7,61.8,,,,,,
12,1981-01,-2.9,-4.9,-0.6,55.3,,,,,,
13,1981-02,-0.7,-2.9,2.1,31.3,,,,,,
14,1981-03,4.2,0.8,8.9,33.3,,,,,,
15,1981-04,7.4,3.9,11.8,33.2,,,,,,
16,1981-05,15.0,10.6,19.8,32.9,,,,,,
17,1981-06,21.5,16.0,26.9,20.0,,,,,,
18,1981-07,21.2,16.1,26.7,27.3,,,,,,
19,1981-08,20.3,15.3,25.8,34.1,,,,,,
20,1981-09,16.1,11.8,21.0,67.2,,,,,,
21,1981-10,12.1,8.5,17.0,42.2,,,,,,
22,1981-11,2.4,0.3,4.9,112.0,,,,,,
23,1981-12,0.4,-2.3,3.7,49.2,,,,,,
24,1982-01,-2.8,-5.7,0.4,17.8,,,,,,
25,1982-02,-3.3,-5.8,-0.3,28.5,,,,,,
26,1982-03,2.8,0.1,6.5,22.7,,,,,,
27,1982-04,7.9,4.3,12.6,37.3,,,,,,
28,1982-05,16.9,11.4,22.6,7.6,,,,,,
29,1982-06,19.1,14.2,25.0,63.5,,,,,,
30,1982-07,19.5,15.4,24.2,88.0,,,,,,
31,1982-08,20.8,16.4,25.8,33.7,,,,,,
32,1982-09,18.4,13.1,23.7,4.4,,,,,,
33,1982-10,10.4,6.2,15.5,33.9,,,,,,
34,1982-11,4.6,1.1,8.8,10.6,,,,,,
35,1982-12,3.1,0.9,5.7,34.4,,,,,,
36,1983-01,1.1,-1.7,4.1,14.7,,,,,,
37,1983-02,-0.3,-3.1,3.2,14.0,,,,,,
38,1983-03,5.3,0.4,11.3,6.3,,,,,,
39,1983-04,12.3,6.9,18.6,26.5,,,,,,
40,1983-05,17.9,12.9,23.3,52.0,,,,,,
41,1983-06,19.1,14.5,24.3,176.2,,,,,,
42,1983-07,20.7,16.4,25.6,95.9,,,,,,
43,1983-08,19.6,15.3,24.5,76.8,,,,,,
44,1983-09,17.9,12.5,23.7,13.1,,,,,,
45,1983-10,10.5,6.2,15.9,15.4,,,,,,
46,1983-11,2.0,-1.5,6.1,21.0,,,,,,
47,1983-12,-0.5,-3.3,2.7,16.3,,,,,,
48,1984-01,0.3,-1.8,2.6,55.3,,,,,,
49,1984-02,-3.7,-5.3,-1.9,65.6,,,,,,
50,1984-03,1.5,-0.6,4.3,61.0,,,,,,
51,1984-04,9.4,5.7,13.9,118.6,,,,,,
52,1984-05,15.8,11.2,21.3,84.7,,,,,,
53,1984-06,17.7,13.3,22.6,66.6,,,,,,
54,1984-07,18.9,15.0,23.6,61.7,,,,,,
55,1984-08,19.5,15.1,24.5,11.5,,,,,,
56,1984-09,17.8,12.7,23.7,55.7,,,,,,
57,1984-10,12.6,8.8,17.7,16.2,,,,,,
58,1984-11,2.6,0.2,5.6,26.4,,,,,,
59,1984-12,-2.5,-4.6,-0.2,46.2,,,,,,
60,1985-01,-7.3,-10.4,-3.9,55.4,,,,,,
61,1985-02,-10.0,-12.9,-6.8,42.1,,,,,,
62,1985-03,-1.9,-4.4,0.9,6.4,,,,,,
63,1985-04,10.7,6.6,15.8,44.7,,,,,,
64,1985-05,17.8,12.9,23.4,37.4,,,,,,
65,1985-06,17.7,13.7,22.8,200.4,,,,,,
66,1985-07,20.0,15.7,24.7,70.6,,,,,,
67,1985-08,21.7,16.4,27.2,36.1,,,,,,
68,1985-09,14.9,10.3,20.2,33.1,,,,,,
69,1985-10,9.4,5.3,14.0,19.0,,,,,,
70,1985-11,2.2,-0.3,5.0,35.0,,,,,,
71,1985-12,0.8,-1.9,4.1,12.5,,,,,,
72,1986-01,-0.8,-3.4,1.6,38.9,,,,,,
73,1986-02,-5.8,-8.2,-3.1,52.6,,,,,,
74,1986-03,2.2,-0.8,5.7,9.0,,,,,,
75,1986-04,12.1,6.8,17.8,11.4,,,,,,
76,1986-05,17.9,12.0,23.4,2.5,,,,,,
77,1986-06,20.1,15.5,25.1,115.8,,,,,,
78,1986-07,20.5,15.5,25.8,62.8,,,,,,
79,1986-08,22.7,17.2,28.9,23.7,,,,,,
80,1986-09,17.6,12.1,24.1,1.6,,,,,,
81,1986-10,9.1,5.7,13.2,27.5,,,,,,
