,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,7.9,,,59.0,,,,,1013.4,6960.0
1,1980-02,10.1,,,3.0,,,,,1019.1,11100.0
2,1980-03,10.6,,,101.0,,,,,1008.6,10680.0
3,1980-04,12.1,,,35.0,,,,,1013.0,14520.0
4,1980-05,14.9,,,57.0,,,,,1010.2,11400.0
5,1980-06,18.7,,,54.0,,,,,1012.1,18060.0
6,1980-07,20.5,,,6.0,,,,,1012.5,18780.0
7,1980-08,23.3,,,39.0,,,,,1013.6,18060.0
8,1980-09,20.8,,,3.0,,,,,1018.2,13740.0
9,1980-10,15.7,,,83.0,,,,,1011.0,12960.0
10,1980-11,11.1,,,98.0,,,,,1013.3,8100.0
11,1980-12,7.2,,,0.0,,,,,1016.5,10020.0
12,1981-01,7.2,,,12.0,,,,,1017.6,12660.0
13,1981-02,7.9,,,23.0,,,,,1017.6,8760.0
14,1981-03,11.4,,,40.0,,,,,1013.5,8280.0
15,1981-04,13.7,,,86.0,,,,,1015.0,11580.0
16,1981-05,16.0,,,38.0,,,,,1013.3,16500.0
17,1981-06,20.7,,,20.0,,,,,1015.4,17160.0
18,1981-07,21.7,,,20.0,,,,,1015.9,20220.0
19,1981-08,23.6,,,4.0,,,,,1016.3,18600.0
20,1981-09,20.9,,,31.0,,,,,1016.1,12060.0
21,1981-10,16.3,,,57.0,,,,,1014.0,12900.0
22,1981-11,11.6,,,1.0,,,,,1023.0,9480.0
23,1981-12,9.2,,,210.0,,,,,1003.9,6720.0
24,1982-01,9.4,,,23.0,,,,,1017.5,8880.0
25,1982-02,8.7,,13.0,34.0,,,,,1019.8,8640.0
26,1982-03,10.2,,,30.0,,,,,1016.9,13740.0
27,1982-04,13.1,,,21.0,,,,,1013.7,12120.0
28,1982-05,17.1,,,7.0,,,,,1018.9,16020.0
29,1982-06,21.5,,,9.0,,,,,1014.9,13320.0
30,1982-07,24.6,,,38.0,,,,,1015.3,17520.0
31,1982-08,23.4,,,8.0,,,,,1014.9,18600.0
32,1982-09,22.1,,,15.0,,,,,1018.0,15120.0
33,1982-10,16.0,,,126.0,,,,,1013.7,12180.0
34,1982-11,12.7,,,191.0,,,,,1017.6,8100.0
35,1982-12,9.5,,,41.0,,,,,1014.5,8820.0
36,1983-01,8.4,,,0.0,,,,,1028.0,10020.0
37,1983-02,7.3,,,47.0,,,,,1016.8,9840.0
38,1983-03,11.1,,,96.0,,,,,1017.0,10320.0
39,1983-04,13.3,,,58.0,,,,,1012.9,11640.0
40,1983-05,16.4,,,22.0,,,,,1011.9,13740.0
41,1983-06,20.7,,,92.0,,,,,1018.2,14280.0
42,1983-07,25.4,,,3.0,,,,,1016.2,19080.0
43,1983-08,23.8,,,33.0,,,,,1015.3,15840.0
44,1983-09,21.8,,,,,,,,,
45,1983-10,17.2,,,25.0,,,,,1021.4,13620.0
46,1983-11,13.1,,,2.0,,,,,1016.7,9060.0
