,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-23.8,,,,,,,,,
1,1980-02,-18.9,,,,,,,,,
2,1980-03,-12.2,,,,,,,,,
3,1980-04,-2.9,,,,,,,,,
4,1980-05,8.7,,,,,,,,,
5,1980-06,16.4,,,,,,,,,
6,1980-07,18.8,,25.7,,,,,,,
7,1980-08,16.3,,,,,,,,,
8,1980-09,7.9,,,,,,,,,
9,1980-10,-2.5,,3.8,,,,,,,
10,1980-11,-8.5,,,,,,,,,
11,1980-12,-19.6,,,,,,,,,
12,1981-01,-22.8,,,,,,,,,
13,1981-02,-18.2,,,,,,,,,
14,1981-03,-6.0,,,,,,,,,
15,1981-04,4.4,,11.9,,,,,,,
16,1981-05,9.3,,,,,,,,,
17,1981-06,15.3,,,,,,,,,
18,1981-07,19.6,,,,,,,,,
19,1981-08,13.4,,,,,,,,,
20,1981-09,8.7,,,,,,,,,
21,1981-10,-4.0,,,,,,,,,
22,1981-11,-13.9,,-7.6,,,,,,,
23,1981-12,-18.3,,,,,,,,,
24,1982-01,-20.3,,,,,,,,,
25,1982-02,-15.1,,,,,,,,,
26,1982-03,-7.7,,,,,,,,,
27,1982-04,4.5,,,,,,,,,
28,1982-05,8.7,,,,,,,,,
29,1982-06,15.1,,,,,,,,,
30,1982-07,16.5,,,,,,,,,
31,1982-08,15.2,,,,,,,,,
32,1982-09,8.5,,,,,,,,,
33,1982-10,2.1,,,,,,,,,
34,1982-11,-11.4,,,,,,,,,
35,1982-12,-18.6,,,,,,,,,
36,1983-01,-19.5,,,,,,,,,
37,1983-02,-17.8,,,,,,,,,
38,1983-03,-6.2,,,,,,,,,
39,1983-04,-1.0,,,,,,,,,
40,1983-05,11.4,,,,,,,,,
41,1983-06,11.7,,,,,,,,,
42,1983-07,15.9,,,,,,,,,
43,1983-08,15.4,,,,,,,,,
44,1983-09,8.0,,,,,,,,,
45,1983-10,1.9,,,,,,,,,
46,1983-11,-7.7,,,1.0,,,,,1030.7,
47,1983-12,-16.6,,,1.0,,,,,1038.0,
48,1984-01,-22.4,,,,,,,,,
49,1984-02,-20.5,,,,,,,,,
