,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,,,,,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,6.0,,,41.0,,,,,1025.3,
37,1983-02,4.8,,,154.0,,,,,1017.6,7320.0
38,1983-03,10.3,,,84.0,,,,,1016.7,10440.0
39,1983-04,14.5,,,73.0,,,,,1014.9,13920.0
40,1983-05,19.5,,,79.0,,,,,1011.9,15420.0
41,1983-06,21.4,,,59.0,,,,,1015.4,12960.0
42,1983-07,26.6,,,28.0,,,,,1013.6,19440.0
43,1983-08,24.8,,,36.0,,,,,1015.7,16380.0
44,1983-09,21.0,,,69.0,,,,,1016.4,14580.0
45,1983-10,15.6,,,47.0,,,,,1020.8,14280.0
46,1983-11,,,,,,,,,,
47,1983-12,6.9,,,182.0,,,,,1018.1,4800.0
48,1984-01,6.3,,,353.0,,,,,1016.4,6660.0
49,1984-02,6.4,,,161.0,,,,,1016.8,4440.0
50,1984-03,9.3,,,141.0,,,,,1012.2,7680.0
51,1984-04,13.5,,,58.0,,,,,1012.7,11220.0
52,1984-05,17.3,,,138.0,,,,,,12600.0
53,1984-06,21.6,,,17.0,,,,,1015.2,16860.0
54,1984-07,,,,,,,,,,
55,1984-08,24.3,,,54.0,,,,,1014.9,
56,1984-09,20.0,,,288.0,,,,,1013.3,12900.0
57,1984-10,16.9,,,150.0,,,,,1020.3,8280.0
58,1984-11,,,,,,,,,,
59,1984-12,5.8,,,83.0,,,,,1023.4,7740.0
60,1985-01,3.0,,,209.0,,,,,1011.9,3840.0
61,1985-02,3.8,,,137.0,,,,,1018.8,7800.0
62,1985-03,9.4,,,188.0,,,,,1016.0,5940.0
63,1985-04,14.5,,,59.0,,,,,1012.8,12120.0
64,1985-05,19.8,,,64.0,,,,,1012.0,13380.0
65,1985-06,22.0,,,63.0,,,,,1013.6,16920.0
66,1985-07,26.8,,,4.0,,,,,1015.0,22080.0
67,1985-08,26.7,,,23.0,,,,,1012.7,19440.0
68,1985-09,23.1,,,40.0,,,,,1017.5,18420.0
69,1985-10,16.5,,,20.0,,,,,1021.5,12360.0
70,1985-11,11.3,,,639.0,,,,,1013.7,5220.0
71,1985-12,8.3,,,225.0,,,,,1021.3,9480.0
72,1986-01,5.8,,,381.0,,,,,1013.7,5280.0
73,1986-02,6.1,,,403.0,,,,,1009.5,2460.0
74,1986-03,10.6,,,158.0,,,,,1017.6,9000.0
75,1986-04,14.5,,,95.0,,,,,1013.0,11820.0
76,1986-05,21.4,,,65.0,,,,,1016.3,18120.0
77,1986-06,22.6,,,162.0,,,,,1012.2,15180.0
78,1986-07,,,,,,,,,,
79,1986-08,27.5,,,5.0,,,,,1013.3,21060.0
80,1986-09,22.9,,,39.0,,,,,1016.8,17340.0
81,1986-10,16.8,,,177.0,,,,,,13200.0
82,1986-11,10.6,,,20.0,,,,,1022.2,11640.0
83,1986-12,4.1,,,120.0,,,,,1020.1,7980.0
