,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,11.7,,,,,,,,,
1,1980-02,13.0,,,,,,,,,
2,1980-03,14.1,,,63.0,,,,,,
3,1980-04,15.9,,21.2,,,,,,,
4,1980-05,17.2,,,,,,,,,
5,1980-06,20.3,,,,,,,,,
6,1980-07,22.0,,,,,,,,,
7,1980-08,22.9,,,,,,,,,
8,1980-09,23.1,,,,,,,,,
9,1980-10,19.0,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,11.7,,,,,,,,,
12,1981-01,10.5,,,25.0,,,,,,
13,1981-02,12.1,,,,,,,,,
14,1981-03,15.5,,,,,,,,,
15,1981-04,15.3,,,,,,,,,
16,1981-05,16.7,,,22.3,,,,,,
17,1981-06,20.7,17.0,,0.0,,,,,,
18,1981-07,21.9,,,,,,,,,
19,1981-08,21.6,,,,,,,,,
20,1981-09,21.0,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,18.4,,,,,,,,,
23,1981-12,14.6,,,,,,,,,
24,1982-01,12.9,,,,,,,,,
25,1982-02,13.6,,,,,,,,,
26,1982-03,14.4,,,,,,,,,
27,1982-04,15.9,,,98.3,,,,,,
28,1982-05,18.4,,,,,,,,,
29,1982-06,20.4,,,0.0,,,,,,
30,1982-07,21.5,,,1.3,,,,,,
31,1982-08,22.7,,,,,,,,,
32,1982-09,21.2,,,2.5,,,,,,
33,1982-10,17.0,,,,,,,,,
34,1982-11,14.7,,,,,,,,,
35,1982-12,11.2,,,48.3,,,,,,
36,1983-01,11.4,,,0.0,,,,,,
37,1983-02,12.2,,,,,,,,,
38,1983-03,16.2,,,,,,,,,
39,1983-04,16.3,,,,,,,,,
40,1983-05,16.2,,,,,,,,,
41,1983-06,20.8,,,0.0,,,,,,
42,1983-07,20.8,,,0.0,,,,,,
43,1983-08,21.5,,,,,,,,,
44,1983-09,22.3,,,0.3,,,,,,
45,1983-10,20.4,,,,,,,,,
46,1983-11,17.8,,,73.8,,,,,,
47,1983-12,13.3,,,113.4,,,,,,
48,1984-01,11.3,,,17.7,,,,,,
49,1984-02,12.0,,,10.8,,,,,,
50,1984-03,13.0,,,,,,,,,
51,1984-04,17.3,,,,,,,,,
52,1984-05,15.7,,,,,,,,,
53,1984-06,19.3,,,0.3,,,,,,
54,1984-07,22.4,,,0.0,,,,,,
55,1984-08,22.3,,,,,,,,,
56,1984-09,21.2,,,10.9,,,,,,
57,1984-10,17.4,,,,,,,,,
58,1984-11,15.5,,,,,,,,,
59,1984-12,13.4,,,,,,,,,
60,1985-01,11.4,,,,,,,,,
61,1985-02,14.9,,,,,,,,,
62,1985-03,13.1,,,6.1,,,,,,
63,1985-04,16.7,,,42.3,,,,,,
64,1985-05,16.8,,,15.7,,,,,,
65,1985-06,20.1,,,5.1,,,,,,
66,1985-07,22.6,,,,,,,,,
67,1985-08,22.0,,,,,,,,,
68,1985-09,21.9,,,6.1,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,16.7,,,,,,,,,
71,1985-12,13.4,,,,,,,,,
72,1986-01,12.2,,,,,,,,,
73,1986-02,12.8,,,,,,,,,
74,1986-03,13.2,,,,,,,,,
75,1986-04,13.5,,,,,,,,,
76,1986-05,18.8,,,,,,,,,
77,1986-06,19.5,,,,,,,,,
78,1986-07,22.2,,,,,,,,,
79,1986-08,21.9,,,0.0,,,,,,
80,1986-09,21.8,,,6.1,,,,,,
81,1986-10,18.7,,,3.3,,,,,,
82,1986-11,14.7,,,,,,,,,
83,1986-12,12.0,,,18.5,,,,,,
84,1987-01,13.3,,,,,,,,,
85,1987-02,13.3,,,,,,,,,
86,1987-03,14.5,,,,,,,,,
87,1987-04,17.0,,,,,,,,,
88,1987-05,18.1,,,,,,,,,
89,1987-06,20.5,,,,,,,,,
90,1987-07,22.5,,,,,,,,,
91,1987-08,22.8,,,,,,,,,
92,1987-09,23.6,,,,,,,,,
93,1987-10,18.9,,,,,,,,,
94,1987-11,15.7,,,,,,,,,
95,1987-12,14.4,,,,,,,,,
96,1988-01,12.3,,,107.0,,,,,1023.0,9960.0
97,1988-02,12.8,,,51.0,,,,,1019.4,11520.0
98,1988-03,14.2,,,8.0,,,,,1021.4,16620.0
99,1988-04,15.4,,,44.0,,,,,1016.6,16920.0
100,1988-05,17.2,,,25.0,,,,,1015.9,18240.0
101,1988-06,19.8,,,1.0,,,,,1015.2,17460.0
102,1988-07,22.5,,,0.0,,,,,1015.8,19860.0
103,1988-08,23.2,,,0.0,,,,,1014.3,18660.0
104,1988-09,22.5,,,1.0,,,,,1015.6,16740.0
105,1988-10,19.5,,,25.0,,,,,1015.3,13500.0
106,1988-11,17.0,,,103.0,,,,,1016.0,10560.0
107,1988-12,12.1,,,13.0,,,,,1024.7,15600.0
108,1989-01,11.4,,,62.0,,,,,1026.6,13920.0
109,1989-02,13.1,,,60.0,,,,,1023.5,10560.0
110,1989-03,14.4,,,,,,,,,
111,1989-04,14.3,,,96.0,,,,,1016.8,16680.0
112,1989-05,18.5,,,2.0,,,,,1015.6,19800.0
113,1989-06,20.7,,,0.0,,,,,1016.5,19320.0
114,1989-07,23.9,,,0.0,,,,,1016.1,19800.0
115,1989-08,24.1,,,5.0,,,,,1015.1,17760.0
116,1989-09,22.1,,,0.0,,,,,1015.3,16260.0
117,1989-10,21.1,,,8.0,,,,,1017.0,13500.0
118,1989-11,16.9,,,103.0,,,,,1014.6,10440.0
119,1989-12,15.6,,,143.0,,,,,1015.7,9180.0
120,1990-01,11.5,,,103.0,,,,,1025.8,13920.0
121,1990-02,13.7,,,0.0,,,,,1024.7,13440.0
122,1990-03,15.7,,,55.0,,,,,1021.0,15120.0
123,1990-04,14.8,,,42.0,,,,,1016.2,16740.0
124,1990-05,18.6,,,3.0,,,,,1015.2,18960.0
125,1990-06,20.2,,,0.0,,,,,1017.2,18600.0
126,1990-07,23.3,,,0.0,,,,,1015.3,18240.0
127,1990-08,24.1,,,0.0,,,,,1016.7,20160.0
128,1990-09,22.6,,,1.0,,,,,1016.4,12540.0
129,1990-10,19.1,,,58.0,,,,,1017.3,14460.0
130,1990-11,15.6,,,62.0,,,,,1018.1,12300.0
131,1990-12,13.3,,,120.0,,,,,1019.2,10020.0
132,1991-01,10.7,,,25.0,,,,,1024.6,14040.0
133,1991-02,13.3,,,120.0,,,,,1019.2,10020.0
134,1991-03,13.9,,,117.0,,,,,1014.6,12960.0
135,1991-04,14.9,,,9.0,,,,,1017.4,16260.0
136,1991-05,17.6,,,0.5,,,,,1016.6,18360.0
137,1991-06,20.4,,,0.5,,,,,,
138,1991-07,23.4,,,0.5,,,,,1015.5,19620.0
139,1991-08,23.5,,,6.0,,,,,,
140,1991-09,22.0,,,62.0,,,,,1016.9,16860.0
141,1991-10,17.7,,,45.0,,,,,1016.5,14100.0
142,1991-11,14.5,,,18.0,,,,,1020.9,12600.0
143,1991-12,13.1,,,18.0,,,,,1022.8,11280.0
144,1992-01,11.3,,,1.0,,,,,1022.6,12300.0
145,1992-02,13.4,,,35.0,,,,,1022.2,11340.0
146,1992-03,14.3,,,49.0,,,,,1020.0,13920.0
147,1992-04,15.8,,,65.0,,,,,1017.2,15600.0
148,1992-05,20.1,,,1.0,,,,,1015.9,17220.0
149,1992-06,18.7,,,12.0,,,,,1017.4,16800.0
150,1992-07,22.4,,,0.0,,,,,1015.5,20340.0
151,1992-08,23.4,,,1.0,,,,,1016.9,17700.0
152,1992-09,21.4,,,6.0,,,,,1017.5,16380.0
153,1992-10,17.8,,,65.0,,,,,1016.2,13380.0
154,1992-11,14.1,,,20.0,,,,,1024.3,15600.0
155,1992-12,13.2,,,42.0,,,,,1018.9,11160.0
156,1993-01,10.2,,,58.0,,,,,1027.3,13800.0
157,1993-02,12.5,,,16.0,,,,,1019.6,13320.0
158,1993-03,15.1,,,65.0,,,,,,
159,1993-04,15.0,,,82.0,,,,,1017.1,15480.0
160,1993-05,17.2,,,12.0,,,,,1015.0,19380.0
161,1993-06,20.6,,,1.0,,,,,1017.2,19320.0
162,1993-07,22.7,,,0.0,,,,,1015.7,19680.0
163,1993-08,22.0,,,0.0,,,,,,
164,1993-09,19.9,,,3.0,,,,,1017.4,16320.0
165,1993-10,17.8,,,29.0,,,,,1015.5,12840.0
166,1993-11,14.5,,,122.0,,,,,,
167,1993-12,12.2,,,22.0,,,,,1025.4,10380.0
168,1994-01,11.0,,,47.0,,,,,1023.7,12180.0
169,1994-02,12.3,,,93.0,,,,,1020.8,11880.0
170,1994-03,14.9,,,20.0,,,,,1019.3,15360.0
171,1994-04,15.2,,,12.0,,,,,1018.0,17700.0
172,1994-05,18.1,,,14.0,,,,,,
173,1994-06,20.7,,,0.5,,,,,,
174,1994-07,23.2,,,0.0,,,,,1015.6,18600.0
175,1994-08,22.6,,,0.0,,,,,1015.8,17640.0
176,1994-09,19.9,,,1.0,,,,,1016.0,17280.0
177,1994-10,19.3,,,19.0,,,,,1015.6,14460.0
178,1994-11,16.1,,,42.0,,,,,1020.9,13560.0
179,1994-12,13.0,,,0.5,,,,,,
180,1995-01,11.7,,,9.0,,,,,1027.9,15000.0
181,1995-02,13.3,,,58.0,,,,,1024.7,13380.0
182,1995-03,15.2,10.1,20.5,10.0,,,,,1017.5,14940.0
183,1995-04,16.9,,,36.0,,,,,,
184,1995-05,19.4,14.5,23.8,0.0,,,,,1016.3,18060.0
185,1995-06,20.4,16.8,24.5,14.0,,,,,1015.7,17640.0
186,1995-07,23.4,,,0.5,,,,,,
187,1995-08,23.1,19.1,27.7,1.0,,,,,1015.3,17580.0
