,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.3,,,53.0,,,,,1013.0,
1,1980-02,27.3,,,117.0,,,,,1012.8,
2,1980-03,25.9,,,78.0,,,,,1016.0,
3,1980-04,24.1,,,66.0,,,,,1015.9,
4,1980-05,22.1,,,20.0,,,,,1019.5,
5,1980-06,19.4,,,0.0,,,,,1022.5,
6,1980-07,18.2,,,9.0,,,,,1026.2,
7,1980-08,20.3,,,24.0,,,,,1024.5,
8,1980-09,21.0,,,72.0,,,,,1019.4,
9,1980-10,22.5,,,21.0,,,,,1018.6,
10,1980-11,25.1,,,97.0,,,,,1013.6,
11,1980-12,27.3,,,27.0,,,,,1012.3,
12,1981-01,28.1,,,225.0,,,,,1011.7,
13,1981-02,26.2,,,307.0,,,,,1013.4,
14,1981-03,25.7,,,71.0,,,,,1014.8,
15,1981-04,24.1,,,12.0,,,,,1017.5,
16,1981-05,20.8,,,108.0,,,,,1020.6,
17,1981-06,18.6,,,11.0,,,,,1022.3,
18,1981-07,19.0,,,6.0,,,,,1022.7,
19,1981-08,19.1,,,18.0,,,,,1021.0,
20,1981-09,20.8,,,43.0,,,,,1020.4,
21,1981-10,20.9,,,151.0,,,,,1019.6,
22,1981-11,24.7,,,188.0,,,,,1014.0,
23,1981-12,25.2,,,45.0,,,,,1015.1,
24,1982-01,26.9,,,25.0,,,,,1011.6,
25,1982-02,27.0,,,40.0,,,,,1012.6,
26,1982-03,25.6,,,32.0,,,,,1014.8,
27,1982-04,23.2,,,198.0,,,,,1016.6,
28,1982-05,21.4,,,20.0,,,,,1019.8,
29,1982-06,19.1,,,1.0,,,,,1022.2,
30,1982-07,19.8,,,5.0,,,,,1023.6,
31,1982-08,20.7,,,10.0,,,,,1022.0,
32,1982-09,21.2,,,15.0,,,,,1022.0,
33,1982-10,22.2,,,32.0,,,,,1018.0,
34,1982-11,23.3,,,16.0,,,,,1015.1,
35,1982-12,26.4,,,35.0,,,,,1012.5,
36,1983-01,27.2,,,86.0,,,,,1014.2,
37,1983-02,26.6,,,46.0,,,,,1013.4,
38,1983-03,26.2,,,28.0,,,,,1015.6,
39,1983-04,25.7,,,4.0,,,,,1016.5,
40,1983-05,23.2,,,70.0,,,,,1017.0,
41,1983-06,21.2,,,7.0,,,,,1020.3,
42,1983-07,19.8,,,9.0,,,,,1021.9,
43,1983-08,19.6,,,15.0,,,,,1022.3,
44,1983-09,22.8,,,7.0,,,,,1017.6,
