,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,23.4,17.4,31.6,35.0,,,,,,15900.0
1,1980-02,21.9,16.5,29.8,142.0,,,,,,14760.0
2,1980-03,20.3,15.6,27.1,81.0,,,,,,12420.0
3,1980-04,19.6,13.1,27.0,8.0,,,,,,18480.0
4,1980-05,17.0,10.2,24.5,0.0,,,,,,18720.0
5,1980-06,13.9,7.0,21.5,0.0,,,,,,17160.0
6,1980-07,13.4,6.3,21.2,0.0,,,,,,18780.0
7,1980-08,16.3,9.3,23.8,3.0,,,,,,18420.0
8,1980-09,20.1,12.8,27.8,17.0,,,,,,17820.0
9,1980-10,22.9,15.2,30.8,2.0,,,,,,19500.0
10,1980-11,20.9,12.8,29.2,7.0,,,,,,21300.0
11,1980-12,24.7,17.9,32.8,58.0,,,,,,19740.0
12,1981-01,24.8,17.7,33.0,2.0,,,,,,18660.0
13,1981-02,24.1,18.5,31.5,52.0,,,,,,14520.0
14,1981-03,21.5,15.2,28.7,60.0,,,,,,18060.0
15,1981-04,19.3,13.0,26.3,10.0,,,,,,17340.0
16,1981-05,16.5,9.9,23.4,0.0,,,,,,18600.0
17,1981-06,13.0,6.4,20.5,0.0,,,,,,18300.0
18,1981-07,14.2,7.6,21.6,0.0,,,,,,19140.0
19,1981-08,,7.6,22.4,0.0,,,,,,19440.0
20,1981-09,19.1,11.4,26.6,0.0,,,,,,18360.0
21,1981-10,21.5,13.9,29.1,0.5,,,,,,21060.0
22,1981-11,24.7,17.2,32.3,1.0,,,,,,20580.0
23,1981-12,26.3,18.6,33.9,0.0,,,,,,20520.0
24,1982-01,25.5,18.2,33.3,6.0,,,,,,19440.0
25,1982-02,23.3,18.4,30.4,66.0,,,,,,12180.0
26,1982-03,21.8,16.4,28.4,44.0,,,,,,14040.0
27,1982-04,18.5,12.2,25.2,9.0,,,,,,17520.0
28,1982-05,17.6,10.8,24.5,0.0,,,,,,18960.0
29,1982-06,14.6,8.1,21.4,0.5,,,,,,17940.0
30,1982-07,12.0,5.8,18.8,0.0,,,,,,18660.0
31,1982-08,17.8,10.6,24.8,0.0,,,,,,19740.0
32,1982-09,20.5,13.5,27.4,3.0,,,,,,16980.0
33,1982-10,21.7,14.9,28.5,3.0,,,,,,18900.0
34,1982-11,24.0,16.7,31.5,12.0,,,,,,19620.0
35,1982-12,24.1,17.6,31.1,40.0,,,,,,18660.0
36,1983-01,23.5,18.2,30.6,105.0,,,,,,15300.0
37,1983-02,,19.3,32.0,24.0,,,,,,
38,1983-03,23.0,16.7,29.8,35.0,,,,,,16500.0
39,1983-04,,15.5,28.2,16.0,,,,,,
40,1983-05,16.5,10.1,23.3,6.0,,,,,,18420.0
41,1983-06,,8.6,21.4,11.0,,,,,,
42,1983-07,14.6,8.1,21.4,0.0,,,,,,18840.0
43,1983-08,15.6,8.3,22.5,0.0,,,,,,20040.0
44,1983-09,20.7,13.3,28.3,0.0,,,,,,18480.0
45,1983-10,22.3,15.7,29.5,5.0,,,,,,18600.0
46,1983-11,22.4,15.6,29.6,16.0,,,,,,17940.0
47,1983-12,22.5,16.8,29.7,111.0,,,,,,15420.0
48,1984-01,25.2,18.9,32.4,20.0,,,,,,17640.0
49,1984-02,24.6,19.2,31.7,70.0,,,,,,15300.0
50,1984-03,22.6,17.8,28.9,36.0,,,,,,13860.0
51,1984-04,19.1,14.0,25.1,98.0,,,,,,15780.0
52,1984-05,16.4,10.5,,14.0,,,,,,17520.0
53,1984-06,13.4,7.1,20.4,0.0,,,,,,18120.0
54,1984-07,14.1,7.5,21.4,0.0,,,,,,18780.0
55,1984-08,17.4,10.4,24.6,3.0,,,,,,19620.0
56,1984-09,20.7,13.0,28.2,0.0,,,,,,18840.0
57,1984-10,21.4,14.2,28.6,6.0,,,,,,17160.0
58,1984-11,24.1,18.2,31.2,27.0,,,,,,17760.0
59,1984-12,25.1,18.3,32.4,2.0,,,,,,21180.0
60,1985-01,,17.4,31.3,55.0,,,,,,
61,1985-02,,15.7,27.9,107.0,,,,,,
62,1985-03,21.6,15.7,28.3,37.0,,,,,,16080.0
63,1985-04,19.2,12.5,26.3,34.0,,,,,,17760.0
64,1985-05,16.5,10.4,23.2,0.0,,,,,,17760.0
65,1985-06,14.4,8.0,21.6,0.0,,,,,,17220.0
66,1985-07,14.4,,,0.0,,,,,,18420.0
67,1985-08,17.9,10.8,24.8,0.0,,,,,,19080.0
68,1985-09,20.1,12.9,27.6,0.0,,,,,,18960.0
69,1985-10,21.8,15.8,28.9,19.0,,,,,,15660.0
70,1985-11,23.1,16.4,30.3,63.0,,,,,,17340.0
71,1985-12,,15.4,30.5,13.0,,,,,,
72,1986-01,23.6,19.4,30.9,103.0,,,,,,13980.0
73,1986-02,22.0,16.3,28.9,130.0,,,,,,13980.0
74,1986-03,20.6,15.1,26.9,86.0,,,,,,
75,1986-04,19.5,12.6,26.6,27.0,,,,,,17460.0
76,1986-05,18.8,11.4,25.6,0.0,,,,,,
77,1986-06,,7.4,21.6,3.0,,,,,,
78,1986-07,14.4,7.1,22.1,0.0,,,,,,17700.0
79,1986-08,15.9,8.2,23.9,0.0,,,,,,19320.0
80,1986-09,19.9,12.6,27.5,20.0,,,,,,17340.0
81,1986-10,21.0,13.7,27.7,39.0,,,,,,
82,1986-11,22.9,15.6,30.4,3.0,,,,,,17580.0
83,1986-12,25.1,18.6,32.8,56.0,,,,,,17340.0
84,1987-01,25.8,21.8,22.3,12.0,,,,,,20460.0
85,1987-02,22.7,19.6,19.9,207.0,,,,,,
86,1987-03,22.4,18.7,19.0,21.0,,,,,,15780.0
87,1987-04,,15.1,27.4,59.0,,,,,,
88,1987-05,18.4,12.4,25.3,0.0,,,,,,16860.0
89,1987-06,13.6,6.9,21.6,0.0,,,,,,18060.0
90,1987-07,13.4,6.4,20.8,0.5,,,,,,17760.0
91,1987-08,16.0,8.1,23.8,0.0,,,,,,19680.0
92,1987-09,17.5,9.9,25.2,0.0,,,,,,18960.0
93,1987-10,22.6,14.7,29.2,32.0,,,,,,
94,1987-11,24.5,18.1,31.5,16.0,,,,,,16080.0
95,1987-12,24.6,17.1,32.5,5.0,,,,,,20040.0
96,1988-01,24.2,17.9,30.9,243.0,,,,,,
97,1988-02,23.2,17.0,29.1,110.0,,,,,,
