,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,17.5,,,,,,,
1,1980-02,12.2,4.9,19.5,20.0,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,12.1,,,,,,,,
4,1980-05,21.4,,28.2,89.0,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,24.3,20.8,27.8,302.0,,,,,,
7,1980-08,24.1,,27.8,251.0,,,,,,
8,1980-09,,19.0,26.9,,,,,,,
9,1980-10,18.4,12.1,24.5,69.0,,,,,,12780.0
10,1980-11,,,22.4,,,,,,,
11,1980-12,11.8,4.1,19.3,6.0,,,,,,10800.0
12,1981-01,9.8,2.9,16.8,12.0,,,,,,10920.0
13,1981-02,13.0,4.8,20.3,0.0,,,,,,12600.0
14,1981-03,,8.2,22.2,,,,,,,
15,1981-04,,12.5,24.2,,,,,,,
16,1981-05,21.1,16.3,26.1,216.0,,,,,,12840.0
17,1981-06,,19.1,28.0,,,,,,,
18,1981-07,23.8,,,272.0,,,,,,7500.0
19,1981-08,24.3,20.4,27.8,217.0,,,,,,
20,1981-09,,18.6,26.7,,,,,,,
21,1981-10,,12.8,25.6,,,,,,,
22,1981-11,,,22.7,26.0,,,,,,14640.0
23,1981-12,10.9,,,0.0,,,,,,
24,1982-01,10.9,2.8,,14.0,,,,,,
25,1982-02,11.0,3.5,18.5,22.0,,,,,,
26,1982-03,15.3,,22.8,36.0,,,,,,
27,1982-04,18.6,11.0,26.5,49.0,,,,,,
28,1982-05,22.4,14.4,29.9,47.0,,,,,,
29,1982-06,23.6,18.5,,239.0,,,,,,11280.0
30,1982-07,24.7,,28.7,297.0,,,,,,10440.0
31,1982-08,,20.2,28.9,346.0,,,,,,
32,1982-09,22.7,,27.3,157.0,,,,,,
33,1982-10,18.5,11.2,25.6,1.0,,,,,,
34,1982-11,,,21.2,,,,,,,
35,1982-12,11.4,,18.8,3.0,,,,,,12300.0
36,1983-01,8.8,1.0,16.7,18.0,,,,,,12840.0
37,1983-02,10.3,1.6,19.0,4.0,,,,,,13020.0
38,1983-03,14.7,5.8,23.4,30.0,,,,,,15600.0
39,1983-04,17.4,10.2,25.1,74.0,,,,,,9840.0
40,1983-05,20.9,,26.8,117.0,,,,,,
41,1983-06,24.2,18.1,30.4,81.0,,,,,,14340.0
42,1983-07,25.1,20.5,28.3,493.0,,,,,,
43,1983-08,24.5,20.2,28.7,208.0,,,,,,10440.0
44,1983-09,24.0,19.1,27.8,288.0,,,,,,10680.0
45,1983-10,20.3,13.7,26.0,120.0,,,,,,12240.0
46,1983-11,14.5,7.0,22.9,0.0,,,,,,13620.0
47,1983-12,,1.5,18.9,,,,,,,
48,1984-01,8.5,0.1,17.1,13.0,,,,,,14520.0
49,1984-02,11.7,2.4,20.7,17.0,,,,,,13980.0
50,1984-03,17.4,8.3,25.9,14.0,,,,,,14880.0
51,1984-04,,11.2,28.3,,,,,,,
52,1984-05,22.5,17.1,27.5,90.0,,,,,,11580.0
53,1984-06,,,28.2,,,,,,,
54,1984-07,,20.3,28.1,,,,,,,
55,1984-08,,19.8,29.2,,,,,,,
56,1984-09,,17.3,26.3,,,,,,,
57,1984-10,,14.4,27.2,,,,,,,
58,1984-11,,5.8,22.6,,,,,,,
59,1984-12,,,19.4,,,,,,,
60,1985-01,10.2,2.6,18.1,10.0,,,,,,12120.0
61,1985-02,12.2,3.8,20.4,3.0,,,,,,13020.0
62,1985-03,17.8,9.0,26.6,14.0,,,,,,14880.0
63,1985-04,20.3,12.1,29.1,12.0,,,,,,
64,1985-05,21.7,15.5,28.0,124.0,,,,,,
65,1985-06,23.9,19.2,29.1,171.0,,,,,,11280.0
66,1985-07,23.6,19.6,27.1,415.0,,,,,,4680.0
67,1985-08,24.8,20.1,28.9,470.0,,,,,,8700.0
68,1985-09,23.2,,26.7,310.0,,,,,,8820.0
69,1985-10,19.4,13.7,24.9,182.0,,,,,,9300.0
70,1985-11,13.4,7.0,22.2,,,,,,,
71,1985-12,,4.8,19.3,55.0,,,,,,
72,1986-01,10.6,2.7,18.3,0.0,,,,,,12300.0
73,1986-02,11.7,3.5,20.1,23.0,,,,,,12960.0
74,1986-03,15.9,7.2,24.7,16.0,,,,,,14940.0
75,1986-04,18.9,11.0,26.4,93.0,,,,,,14340.0
76,1986-05,20.9,13.9,27.1,102.0,,,,,,13500.0
77,1986-06,23.9,18.9,28.9,316.0,,,,,,9300.0
78,1986-07,23.7,,,344.0,,,,,,7140.0
79,1986-08,24.2,,28.8,216.0,,,,,,
80,1986-09,22.5,,26.9,223.0,,,,,,
81,1986-10,18.6,,24.8,81.0,,,,,,12180.0
82,1986-11,,8.0,22.2,0.0,,,,,,
83,1986-12,,,18.7,49.0,,,,,,
84,1987-01,10.5,2.4,18.5,3.0,,,,,,10500.0
85,1987-02,13.0,5.3,20.6,43.0,,,,,,11280.0
86,1987-03,15.4,8.0,23.0,43.0,,,,,,12900.0
87,1987-04,19.0,10.9,27.1,34.0,,,,,,13680.0
88,1987-05,21.2,13.3,29.0,65.0,,,,,,15420.0
89,1987-06,23.9,19.0,28.8,116.0,,,,,,8340.0
90,1987-07,23.8,20.0,27.6,498.0,,,,,,5460.0
91,1987-08,23.4,19.4,27.5,281.0,,,,,,8220.0
92,1987-09,,18.4,27.4,171.0,,,,,,
93,1987-10,,,25.6,119.0,,,,,,
94,1987-11,,7.8,23.4,0.0,,,,,,
95,1987-12,,4.2,20.5,19.0,,,,,,
96,1988-01,,3.0,19.1,,,,,,,
97,1988-02,,5.3,21.6,19.0,,,,,,
98,1988-03,,7.5,23.9,66.0,,,,,,
99,1988-04,20.0,11.2,28.6,43.0,,,,,,14700.0
100,1988-05,22.4,,28.9,155.0,,,,,,14760.0
101,1988-06,23.3,18.4,28.4,252.0,,,,,,8280.0
102,1988-07,24.1,20.0,28.3,449.0,,,,,,6600.0
103,1988-08,23.8,19.8,27.9,278.0,,,,,,6300.0
104,1988-09,,,,,,,,,,
105,1988-10,,,,,,,,,,
106,1988-11,,,24.4,,,,,,,
107,1988-12,,5.0,20.3,79.0,,,,,,
108,1989-01,,2.7,17.5,,,,,,,
109,1989-02,,2.1,21.7,,,,,,,
110,1989-03,,6.9,25.6,,,,,,,
111,1989-04,,8.6,30.0,,,,,,,
112,1989-05,,15.5,29.7,,,,,,,
113,1989-06,,18.9,29.4,,,,,,,
114,1989-07,,19.5,28.1,,,,,,,
115,1989-08,,19.2,29.5,,,,,,,
116,1989-09,,18.6,,,,,,,,
117,1989-10,,13.3,28.6,,,,,,,
118,1989-11,,,23.7,,,,,,,
119,1989-12,,1.8,20.7,,,,,,,
120,1990-01,,3.4,22.0,,,,,,,
121,1990-02,,5.1,19.9,,,,,,,
122,1990-03,,7.0,22.1,2.0,,,,,,
123,1990-04,,,,,,,,,,
124,1990-05,,15.7,27.2,,,,,,,
125,1990-06,,19.8,29.2,,,,,,,
126,1990-07,,19.9,27.6,,,,,,,
127,1990-08,,19.3,28.3,,,,,,,
128,1990-09,,,27.5,,,,,,,
129,1990-10,,13.0,25.6,,,,,,,
130,1990-11,,7.3,24.4,,,,,,,
131,1990-12,,3.7,20.2,,,,,,,
132,1991-01,,2.1,17.6,,,,,,,
133,1991-02,,3.8,22.9,11.0,,,,,,
134,1991-03,17.2,8.2,25.3,45.0,,,,,,
135,1991-04,,10.7,27.5,,,,,,,
136,1991-05,,15.5,28.6,,,,,,,
137,1991-06,,19.0,27.8,,,,,,,
138,1991-07,,20.3,28.2,,,,,,,
139,1991-08,23.0,19.7,27.9,,,,,,,
140,1991-09,,18.4,27.8,,,,,,,
141,1991-10,19.9,12.5,26.7,0.0,,,,,,
142,1991-11,,5.7,22.1,,,,,,,
143,1991-12,10.8,,19.1,25.0,,,,,,12060.0
144,1992-01,,2.4,17.6,,,,,,,
145,1992-02,11.1,3.1,19.1,17.0,,,,,,11880.0
146,1992-03,17.7,7.4,27.8,0.0,,,,,,
147,1992-04,20.6,11.1,30.5,44.0,,,,,,
148,1992-05,20.7,14.1,27.5,70.0,,,,,,13500.0
149,1992-06,,17.9,29.4,,,,,,,
150,1992-07,23.5,19.2,,224.0,,,,,,8160.0
151,1992-08,24.3,19.5,28.5,220.0,,,,,,7980.0
152,1992-09,23.1,17.8,28.4,209.0,,,,,,12000.0
153,1992-10,,12.7,25.9,,,,,,,
154,1992-11,,6.5,23.4,,,,,,,
155,1992-12,,2.5,19.7,,,,,,,
156,1993-01,10.7,2.8,18.5,10.0,,,,,,10320.0
157,1993-02,13.7,5.4,21.8,15.0,,,,,,11640.0
158,1993-03,14.5,5.9,23.1,42.0,,,,,,13740.0
159,1993-04,18.6,10.6,26.8,87.0,,,,,,12720.0
160,1993-05,21.7,,27.9,185.0,,,,,,12840.0
161,1993-06,,18.7,28.6,,,,,,,
162,1993-07,24.6,,28.3,296.0,,,,,,6840.0
163,1993-08,23.9,20.1,27.9,294.0,,,,,,5280.0
164,1993-09,22.8,18.1,27.5,155.0,,,,,,7140.0
165,1993-10,,13.2,27.1,,,,,,,
166,1993-11,,8.1,23.4,,,,,,,
167,1993-12,,3.9,21.1,0.0,,,,,,
168,1994-01,11.3,2.7,20.0,27.0,,,,,,
169,1994-02,12.0,,20.7,19.0,,,,,,13020.0
170,1994-03,17.3,9.4,25.3,14.0,,,,,,14460.0
171,1994-04,19.6,10.7,28.3,8.0,,,,,,14640.0
172,1994-05,22.5,15.5,29.6,142.0,,,,,,14040.0
173,1994-06,24.3,19.4,29.3,414.0,,,,,,11100.0
174,1994-07,24.6,20.2,29.1,254.0,,,,,,10260.0
175,1994-08,24.3,19.8,28.9,446.0,,,,,,10560.0
176,1994-09,23.3,18.5,28.2,252.0,,,,,,9720.0
177,1994-10,19.1,11.5,26.8,0.0,,,,,,15300.0
178,1994-11,14.9,6.3,23.5,12.0,,,,,,14040.0
179,1994-12,,2.2,20.4,,,,,,,
180,1995-01,,1.1,17.8,,,,,,,
181,1995-02,11.9,4.2,19.6,29.0,,,,,,11160.0
182,1995-03,16.4,7.5,25.4,40.0,,,,,,13500.0
183,1995-04,19.8,10.4,29.3,3.0,,,,,,15540.0
184,1995-05,23.9,16.4,31.4,61.0,,,,,,15600.0
185,1995-06,23.9,20.1,27.8,588.0,,,,,,4200.0
186,1995-07,23.8,19.8,27.7,336.0,,,,,,5220.0
187,1995-08,,19.5,28.2,,,,,,,
188,1995-09,22.8,18.2,27.6,101.0,,,,,,9960.0
189,1995-10,20.1,13.2,27.0,38.0,,,,,,15420.0
190,1995-11,15.5,7.9,23.2,62.0,,,,,,13440.0
191,1995-12,12.1,4.7,19.5,7.0,,,,,,10860.0
192,1996-01,8.8,,,34.0,,,,,,
193,1996-02,,4.8,21.1,8.0,,,,,,
194,1996-03,17.7,9.7,25.8,7.0,,,,,,13380.0
195,1996-04,19.5,10.6,28.5,23.0,,,,,,13860.0
196,1996-05,23.2,15.8,30.7,58.0,,,,,,15060.0
197,1996-06,23.2,18.7,27.6,338.0,,,,,,7440.0
198,1996-07,23.9,20.4,27.6,319.0,,,,,,5460.0
199,1996-08,23.7,19.7,27.8,485.0,,,,,,7920.0
200,1996-09,23.1,18.6,27.7,207.0,,,,,,7320.0
201,1996-10,19.8,13.6,26.1,52.0,,,,,,11640.0
202,1996-11,16.5,8.2,24.4,0.0,,,,,,13800.0
203,1996-12,,3.2,21.0,,,,,,,
204,1997-01,,1.7,18.0,6.0,,,,,,
205,1997-02,11.2,3.0,19.5,6.0,,,,,,11700.0
206,1997-03,16.3,7.6,25.0,14.0,,,,,,12960.0
207,1997-04,,10.6,24.6,100.0,,,,,,10260.0
208,1997-05,21.1,13.8,28.5,90.0,,,,,,14880.0
209,1997-06,23.7,18.0,29.4,254.0,,,,,,12180.0
210,1997-07,23.4,20.2,28.6,,,,,,,7380.0
211,1997-08,24.3,19.9,28.6,371.0,,,,,,9240.0
212,1997-09,23.1,18.2,28.0,71.0,,,,,,9900.0
213,1997-10,17.8,10.6,25.2,12.0,,,,,,12660.0
214,1997-11,15.0,7.1,22.9,4.0,,,,,,13140.0
215,1997-12,11.2,3.8,18.5,87.0,,,,,,14760.0
216,1998-01,10.3,1.6,19.2,,,,,,,11700.0
217,1998-02,13.0,4.5,21.6,22.0,,,,,,11640.0
218,1998-03,,7.4,23.4,,,,,,,
219,1998-04,19.2,11.4,27.0,37.0,,,,,,
220,1998-05,22.8,17.0,28.6,63.0,,,,,,12240.0
221,1998-06,25.1,20.0,30.2,248.0,,,,,,10740.0
222,1998-07,24.0,20.2,27.8,440.0,,,,,,4740.0
223,1998-08,24.2,20.2,28.3,376.0,,,,,,4740.0
224,1998-09,23.5,18.8,29.2,100.0,,,,,,
225,1998-10,22.1,15.3,29.0,44.0,,,,,,13320.0
226,1998-11,,9.2,25.4,4.0,,,,,,
227,1998-12,,3.3,22.2,,,,,,,
228,1999-01,11.1,1.3,21.0,4.0,,,,,,12960.0
229,1999-02,14.7,6.0,25.7,0.5,,,,,,
230,1999-03,,7.5,28.3,,,,,,,
231,1999-04,22.9,13.9,32.0,6.0,,,,,,13500.0
232,1999-05,23.2,17.1,29.3,107.0,,,,,,11700.0
233,1999-06,23.8,18.8,28.9,316.0,,,,,,8700.0
234,1999-07,24.0,20.0,28.0,477.0,,,,,,5760.0
235,1999-08,22.9,19.8,27.8,130.0,,,,,,
236,1999-09,22.5,19.0,28.6,86.0,,,,,,
237,1999-10,20.5,14.5,26.5,152.0,,,,,,11340.0
238,1999-11,16.2,8.4,20.0,0.0,,,,,,3720.0
239,1999-12,12.5,5.3,21.4,,,,,,,
240,2000-01,11.5,2.2,20.7,1.0,,,,,,12660.0
241,2000-02,,3.0,21.1,,,,,,,
242,2000-03,16.1,6.8,25.4,21.0,,,,,,14160.0
243,2000-04,20.3,12.1,29.0,63.0,,,,,,13920.0
244,2000-05,21.8,17.2,28.7,79.0,,,,,,
245,2000-06,24.4,19.8,28.9,266.0,,,,,,8400.0
246,2000-07,24.5,20.1,29.0,336.0,,,,,,7740.0
247,2000-08,23.3,20.0,29.1,126.0,,,,,,
248,2000-09,,18.1,28.1,,,,,,,
249,2000-10,20.7,13.5,27.9,,,,,,,
250,2000-11,16.8,9.3,24.5,0.0,,,,,,11760.0
251,2000-12,12.3,3.4,21.1,0.0,,,,,,11160.0
252,2001-01,11.4,2.0,20.7,7.0,,,,,,12900.0
253,2001-02,14.7,4.8,24.6,16.0,,,,,,11760.0
254,2001-03,15.6,,,10.0,,,,,,13380.0
255,2001-04,20.4,11.2,29.6,41.0,,,,,,12900.0
256,2001-05,21.6,,,184.0,,,,,,11640.0
257,2001-06,23.8,19.1,28.6,250.0,,,,,,8160.0
258,2001-07,24.4,19.9,28.9,499.0,,,,,,10560.0
259,2001-08,24.4,19.9,29.0,460.0,,,,,,7680.0
260,2001-09,23.5,18.5,28.5,146.0,,,,,,8340.0
261,2001-10,21.1,14.4,27.8,21.0,,,,,,13560.0
262,2001-11,16.9,8.5,25.2,0.0,,,,,,12960.0
263,2001-12,10.6,,,0.0,,,,,,9360.0
264,2002-01,10.8,2.5,19.0,34.0,,,,,,10560.0
265,2002-02,12.9,,,30.0,,,,,,12240.0
266,2002-03,17.3,9.3,25.3,93.0,,,,,,13200.0
267,2002-04,21.2,,,94.0,,,,,,11940.0
268,2002-05,22.0,16.7,27.3,159.0,,,,,,10080.0
269,2002-06,24.4,19.6,29.3,268.0,,,,,,9900.0
270,2002-07,24.4,20.7,28.5,545.0,,,,,,5700.0
271,2002-08,24.4,,,500.0,,,,,,
272,2002-09,23.1,18.2,28.1,148.0,,,,,,8520.0
273,2002-10,20.3,13.8,26.7,21.0,,,,,,14520.0
274,2002-11,16.1,8.4,23.7,27.0,,,,,,13620.0
275,2002-12,12.1,4.2,20.0,0.0,,,,,,10440.0
276,2003-01,10.7,2.0,19.3,20.0,,,,,,11040.0
277,2003-02,13.1,5.4,20.8,68.0,,,,,,11400.0
278,2003-03,16.6,8.6,24.5,83.0,,,,,,11760.0
279,2003-04,21.0,14.3,28.6,38.0,,,,,,13440.0
280,2003-05,24.0,,,38.0,,,,,,15180.0
281,2003-06,23.9,19.1,28.7,222.0,,,,,,6600.0
282,2003-07,24.5,20.3,28.7,592.0,,,,,,8160.0
283,2003-08,24.8,20.6,29.1,346.0,,,,,,8820.0
284,2003-09,22.9,,,297.0,,,,,,8400.0
285,2003-10,21.2,14.8,27.6,18.0,,,,,,12840.0
286,2003-11,16.4,9.3,23.6,0.5,,,,,,13560.0
287,2003-12,10.4,,,19.0,,,,,,10260.0
288,2004-01,10.7,3.1,18.2,27.0,,,,,,9960.0
289,2004-02,13.6,5.7,22.0,0.0,,,,,,12420.0
290,2004-03,19.0,10.8,27.3,32.0,,,,,,12000.0
291,2004-04,,,,138.0,,,,,,10020.0
292,2004-05,22.5,16.5,28.6,169.0,,,,,,12120.0
293,2004-06,24.0,19.3,28.8,183.0,,,,,,8880.0
294,2004-07,23.8,20.2,27.4,486.0,,,,,,4620.0
295,2004-08,24.9,20.6,29.1,213.0,,,,,,8040.0
296,2004-09,23.6,19.3,28.0,286.0,,,,,,7200.0
297,2004-10,19.6,13.1,26.0,121.0,,,,,,12660.0
298,2004-11,15.2,7.7,22.7,36.0,,,,,,12360.0
299,2004-12,12.5,,,0.0,,,,,,11520.0
300,2005-01,9.5,,,58.0,,,,,,9720.0
301,2005-02,13.9,5.7,22.0,17.0,,,,,,11520.0
302,2005-03,18.1,10.3,25.8,50.0,,,,,,12960.0
303,2005-04,19.2,,,37.0,,,,,,12480.0
304,2005-05,22.2,14.9,29.4,41.0,,,,,,14460.0
305,2005-06,24.7,19.2,30.2,223.0,,,,,,10080.0
306,2005-07,24.8,20.6,29.1,254.0,,,,,,5880.0
307,2005-08,24.8,20.6,29.0,309.0,,,,,,5160.0
308,2005-09,24.5,19.6,29.5,127.0,,,,,,9420.0
309,2005-10,20.2,14.0,26.4,114.0,,,,,,12540.0
310,2005-11,15.9,8.4,23.0,0.0,,,,,,13380.0
311,2005-12,12.2,3.5,21.0,,,,,,,12060.0
312,2006-01,12.2,2.1,22.3,0.0,,,,,,12900.0
313,2006-02,14.1,9.1,25.2,0.0,,,,,,9720.0
314,2006-03,17.4,8.6,26.3,6.0,,,,,,13500.0
315,2006-04,20.1,12.4,27.9,134.0,,,,,,12540.0
316,2006-05,22.8,17.3,28.4,145.0,,,,,,9540.0
317,2006-06,24.5,19.4,29.5,216.0,,,,,,9000.0
318,2006-07,25.2,20.9,29.5,337.0,,,,,,6840.0
319,2006-08,24.9,20.3,29.6,248.0,,,,,,8160.0
320,2006-09,23.7,18.9,28.3,218.0,,,,,,9060.0
321,2006-10,20.8,13.7,27.1,44.0,,,,,,14220.0
322,2006-11,17.1,9.2,23.8,0.0,,,,,,12360.0
323,2006-12,12.7,5.1,20.2,17.0,,,,,,12720.0
324,2007-01,11.0,1.5,19.2,0.0,,,,,,9660.0
325,2007-02,12.9,6.7,19.1,72.0,,,,,,7500.0
326,2007-03,17.0,9.3,24.7,37.0,,,,,,13920.0
327,2007-04,21.8,15.1,28.5,76.0,,,,,,12720.0
328,2007-05,23.3,16.8,29.8,91.0,,,,,,13140.0
329,2007-06,24.6,19.5,29.6,263.0,,,,,,7140.0
330,2007-07,24.6,20.7,28.4,235.0,,,,,,4200.0
331,2007-08,24.9,,,224.0,,,,,,6780.0
332,2007-09,23.8,19.2,28.1,338.0,,,,,,6480.0
333,2007-10,21.7,15.3,28.0,19.0,,,,,,12600.0
334,2007-11,16.8,8.9,24.7,3.0,,,,,,13440.0
335,2007-12,12.4,3.8,20.9,0.0,,,,,,12480.0
336,2008-01,11.3,3.0,19.4,5.0,,,,,,10440.0
337,2008-02,12.3,3.3,21.3,0.0,,,,,,13440.0
338,2008-03,17.7,9.5,26.0,37.0,,,,,,12960.0
339,2008-04,20.9,12.5,29.3,44.0,,,,,,15420.0
340,2008-05,22.3,15.5,29.0,100.0,,,,,,12300.0
341,2008-06,24.4,19.5,29.3,238.0,,,,,,6060.0
342,2008-07,24.8,20.3,29.3,255.0,,,,,,5940.0
343,2008-08,24.8,20.1,29.5,241.0,,,,,,5400.0
344,2008-09,24.0,18.7,29.4,291.0,,,,,,9180.0
345,2008-10,21.0,13.6,28.3,10.0,,,,,,14280.0
346,2008-11,17.1,8.8,25.3,,,,,,,13320.0
347,2008-12,,,,,,,,,,
