,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,23.6,30.3,,,,,,,
1,1980-02,27.3,24.5,31.2,49.0,,,,,1007.6,14160.0
2,1980-03,25.1,22.8,28.2,105.0,,,,,1009.9,11820.0
3,1980-04,22.9,20.4,25.9,231.0,,,,,1013.7,11340.0
4,1980-05,22.5,20.1,25.5,33.0,,,,,1016.8,10680.0
5,1980-06,20.5,17.7,23.8,70.0,,,,,1015.2,10920.0
6,1980-07,19.5,16.8,22.9,61.0,,,,,1015.3,11340.0
7,1980-08,19.6,16.5,22.9,37.0,,,,,1011.0,12120.0
8,1980-09,20.3,17.4,23.8,16.0,,,,,1017.1,15360.0
9,1980-10,21.9,18.9,25.4,61.0,,,,,1014.7,15900.0
10,1980-11,23.2,20.0,26.8,1.0,,,,,1014.0,18300.0
11,1980-12,24.0,21.3,27.7,104.0,,,,,1012.2,13860.0
12,1981-01,24.7,22.0,28.2,143.0,,,,,1008.3,12720.0
13,1981-02,26.4,23.6,29.7,191.0,,,,,1006.7,14040.0
14,1981-03,26.0,23.3,29.4,190.0,,,,,1009.2,14460.0
15,1981-04,24.3,21.3,27.7,33.0,,,,,1012.4,16140.0
16,1981-05,22.3,19.5,25.6,69.0,,,,,1014.6,9780.0
17,1981-06,21.1,18.2,24.8,46.0,,,,,1013.4,10680.0
18,1981-07,19.5,16.9,23.0,21.0,,,,,1017.7,12420.0
19,1981-08,19.5,16.5,23.3,53.0,,,,,1014.8,15660.0
20,1981-09,20.2,17.1,23.9,23.0,,,,,1017.9,13320.0
21,1981-10,21.8,19.1,25.7,13.0,,,,,1016.3,13560.0
22,1981-11,22.7,19.6,27.1,57.0,,,,,1012.0,15420.0
23,1981-12,25.6,23.2,29.9,231.0,,,,,1008.4,13620.0
24,1982-01,26.4,23.6,30.2,35.0,,,,,1008.5,19020.0
25,1982-02,25.9,23.4,29.5,117.0,,,,,1008.6,11400.0
26,1982-03,25.2,22.7,28.7,304.0,,,,,1010.2,12660.0
27,1982-04,23.4,21.0,26.6,109.0,,,,,1013.0,11520.0
28,1982-05,22.0,19.3,25.6,51.0,,,,,1015.5,11880.0
29,1982-06,19.7,17.3,23.0,112.0,,,,,1013.8,9060.0
30,1982-07,19.0,16.1,22.5,29.0,,,,,1015.2,11820.0
31,1982-08,18.7,16.1,21.5,89.0,,,,,1019.6,8940.0
32,1982-09,20.0,16.7,23.9,18.0,,,,,1017.6,15900.0
33,1982-10,21.2,18.4,25.3,83.0,,,,,1015.2,16800.0
34,1982-11,23.0,20.8,26.4,36.0,,,,,1014.2,12240.0
35,1982-12,25.1,22.0,29.6,59.0,,,,,1012.2,15900.0
36,1983-01,26.5,23.8,30.9,53.0,,,,,1010.5,15120.0
37,1983-02,25.1,22.2,29.1,114.0,,,,,1012.4,14400.0
38,1983-03,25.4,22.6,29.4,101.0,,,,,1013.2,15360.0
39,1983-04,25.2,22.1,29.2,278.0,,,,,1014.2,14220.0
40,1983-05,22.9,20.2,26.8,27.0,,,,,1017.3,13680.0
41,1983-06,20.8,18.1,24.2,59.0,,,,,1015.1,10140.0
42,1983-07,19.6,16.5,23.5,53.0,,,,,1016.8,12900.0
43,1983-08,19.6,16.8,23.0,69.0,,,,,1018.6,12120.0
44,1983-09,21.5,18.7,25.5,14.0,,,,,1018.0,14880.0
45,1983-10,22.4,19.7,26.1,113.0,,,,,1014.7,13920.0
46,1983-11,23.3,20.5,26.9,63.0,,,,,1013.6,16140.0
47,1983-12,23.7,21.3,26.8,54.0,,,,,1010.9,13740.0
48,1984-01,24.9,21.9,28.9,55.0,,,,,1010.3,14100.0
49,1984-02,,22.4,27.8,,,,,,,
50,1984-03,25.3,22.8,28.9,8.0,,,,,1011.0,15900.0
51,1984-04,24.0,21.5,27.4,58.0,,,,,1013.1,11580.0
52,1984-05,,19.7,25.3,,,,,,,
53,1984-06,21.0,19.0,23.6,336.0,,,,,1015.8,6720.0
54,1984-07,20.3,17.7,23.3,51.0,,,,,1016.5,12060.0
55,1984-08,20.2,17.2,23.6,44.0,,,,,1014.9,14820.0
56,1984-09,20.7,17.6,24.5,25.0,,,,,1014.7,15300.0
57,1984-10,21.6,18.9,25.2,208.0,,,,,1015.4,12720.0
58,1984-11,23.8,21.4,27.4,105.0,,,,,1012.9,11940.0
59,1984-12,25.7,22.4,29.5,21.0,,,,,1007.2,18300.0
60,1985-01,26.3,23.7,30.0,62.0,,,,,1009.8,14340.0
61,1985-02,26.9,24.4,30.7,80.0,,,,,1007.7,11400.0
62,1985-03,24.8,22.5,28.0,179.0,,,,,1008.4,10080.0
63,1985-04,,22.6,28.9,,,,,,,
64,1985-05,21.8,19.7,25.0,138.0,,,,,1013.4,9720.0
65,1985-06,20.3,17.7,23.4,63.0,,,,,1015.0,10440.0
66,1985-07,19.4,17.0,22.3,119.0,,,,,,9060.0
67,1985-08,19.5,16.8,23.0,38.0,,,,,1018.2,13500.0
68,1985-09,20.3,17.5,23.9,104.0,,,,,1015.6,
69,1985-10,21.8,19.0,25.3,77.0,,,,,1014.8,13140.0
70,1985-11,23.3,20.5,27.0,48.0,,,,,1011.7,13260.0
71,1985-12,24.7,21.5,28.6,62.0,,,,,1010.4,17880.0
72,1986-01,27.2,24.0,31.8,38.0,,,,,1007.5,17160.0
73,1986-02,26.6,24.0,30.6,39.0,,,,,1008.4,13980.0
74,1986-03,24.5,22.3,27.5,395.0,,,,,1010.8,8700.0
75,1986-04,23.9,21.4,27.1,27.0,,,,,1013.0,12300.0
76,1986-05,22.1,19.7,25.6,195.0,,,,,1015.5,10980.0
77,1986-06,20.6,18.0,23.7,84.0,,,,,1013.9,12960.0
78,1986-07,19.4,16.9,22.5,29.0,,,,,1017.3,11880.0
