,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,25.9,,,,,,,,,
1,1980-02,26.4,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,25.8,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,26.6,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,27.4,,,196.0,,,,,1009.2,11400.0
17,1981-06,,,,,,,,,,
18,1981-07,26.8,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,26.3,,,252.0,,,,,1010.7,13440.0
21,1981-10,26.4,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,26.1,,,73.0,,,,,1012.2,14940.0
25,1982-02,26.7,,,10.0,,,,,1011.6,15420.0
26,1982-03,27.4,,,3.0,,,,,1010.8,18180.0
27,1982-04,28.5,,,12.0,,,,,1010.8,16380.0
28,1982-05,27.9,,,,,,,,,
29,1982-06,26.9,,,163.0,,,,,1010.1,11100.0
30,1982-07,26.4,,,115.0,,,,,1010.9,10140.0
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,25.9,,,189.0,,,,,1010.2,12540.0
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,,,,,,,,,,
37,1983-02,27.3,,,28.0,,,,,1009.8,13500.0
38,1983-03,28.3,,,4.0,,,,,1009.4,
39,1983-04,,,,,,,,,,
40,1983-05,,,,,,,,,,
41,1983-06,,,,,,,,,,
42,1983-07,27.1,,,127.0,,,,,1010.4,9000.0
43,1983-08,27.0,,,119.0,,,,,1011.7,13440.0
44,1983-09,,,,,,,,,,
45,1983-10,,,,,,,,,,
46,1983-11,,,,,,,,,,
47,1983-12,,,,,,,,,,
48,1984-01,,,,,,,,,,
49,1984-02,27.0,,,1.0,,,,,1010.4,14880.0
50,1984-03,28.0,,,0.0,,,,,1010.8,17160.0
51,1984-04,29.3,,,1.0,,,,,1010.0,16560.0
52,1984-05,29.6,,,69.0,,,,,1010.4,15780.0
53,1984-06,26.0,,,238.0,,,,,1010.7,9120.0
54,1984-07,25.8,,,221.0,,,,,1010.9,10740.0
55,1984-08,26.1,,,150.0,,,,,1011.0,12540.0
56,1984-09,26.0,,,238.0,,,,,1010.7,9120.0
57,1984-10,25.8,,,133.0,,,,,1010.7,14100.0
58,1984-11,26.2,,,31.0,,,,,1011.3,14340.0
59,1984-12,25.6,,,,,,,,,
60,1985-01,25.1,,,0.0,,,,,1013.7,15960.0
61,1985-02,26.2,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,25.9,,,379.0,,,,,1010.2,12300.0
70,1985-11,,,,,,,,,,
71,1985-12,25.4,,,5.0,,,,,1012.7,13680.0
72,1986-01,,,,,,,,,,
73,1986-02,,,,,,,,,,
74,1986-03,,,,,,,,,,
75,1986-04,,,,,,,,,,
76,1986-05,,,,,,,,,,
77,1986-06,,,,,,,,,,
78,1986-07,,,,,,,,,,
79,1986-08,,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,,,,,,,,,,
82,1986-11,26.5,,,33.0,,,,,1010.3,12720.0
83,1986-12,,,,,,,,,,
84,1987-01,26.5,,,6.0,,,,,1012.0,17700.0
85,1987-02,27.6,,,0.0,,,,,1010.3,16920.0
86,1987-03,29.1,,,0.0,,,,,1009.7,17340.0
87,1987-04,29.7,,,0.0,,,,,1010.1,16680.0
88,1987-05,29.5,,,71.0,,,,,1009.7,13920.0
