,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.3,18.4,34.8,0.0,,,,,1011.0,16200.0
1,1980-02,27.9,20.0,35.8,0.0,,,,,1009.6,14400.0
2,1980-03,30.8,22.1,39.5,0.0,,,,,1008.2,17940.0
3,1980-04,33.9,26.3,42.0,0.5,,,,,1006.1,15420.0
4,1980-05,33.9,28.6,40.1,29.0,,,,,1007.3,16620.0
5,1980-06,30.6,25.2,36.2,84.0,,,,,1009.8,14820.0
6,1980-07,27.9,23.3,32.9,106.0,,,,,1010.6,14280.0
7,1980-08,27.2,23.0,32.2,121.0,,,,,1011.0,16560.0
8,1980-09,29.4,24.3,35.7,84.0,,,,,1011.4,17100.0
9,1980-10,31.1,25.0,38.5,5.0,,,,,1009.1,16200.0
10,1980-11,28.3,20.5,36.9,0.0,,,,,1010.2,15060.0
11,1980-12,23.3,15.7,31.5,0.0,,,,,1012.2,15360.0
12,1981-01,22.5,,,0.0,,,,,1013.0,16620.0
13,1981-02,27.0,18.8,,0.0,,,,,1010.2,15300.0
14,1981-03,31.3,,,0.0,,,,,1008.1,15960.0
15,1981-04,33.5,,,6.0,,,,,1006.3,15120.0
16,1981-05,33.2,,,62.0,,,,,1007.4,16680.0
17,1981-06,31.8,,,72.0,,,,,1009.3,18540.0
18,1981-07,28.0,,,277.0,,,,,1010.3,15900.0
19,1981-08,,,,,,,,,,
20,1981-09,28.9,,,,,,,,,
21,1981-10,30.6,,,,,,,,,
22,1981-11,26.8,,,0.0,,,,,1011.4,15420.0
23,1981-12,24.5,,,0.0,,,,,1011.6,16560.0
24,1982-01,23.1,,,0.0,,,,,1012.0,16800.0
25,1982-02,26.7,,,0.5,,,,,1010.1,14100.0
26,1982-03,30.8,,,0.5,,,,,1008.3,13200.0
27,1982-04,34.1,,,16.0,,,,,1006.1,13500.0
28,1982-05,33.4,,,33.0,,,,,1007.2,15060.0
29,1982-06,31.8,,,35.0,,,,,1009.8,15420.0
30,1982-07,29.9,,,74.0,,,,,1009.9,15720.0
31,1982-08,27.4,,,135.0,,,,,1010.8,12540.0
32,1982-09,29.7,,,43.0,,,,,1010.1,15720.0
33,1982-10,30.8,,,5.0,,,,,1008.8,13500.0
34,1982-11,26.8,,,0.0,,,,,1011.2,13380.0
35,1982-12,24.8,,,0.0,,,,,1012.1,16260.0
36,1983-01,21.7,,,0.0,,,,,1016.1,16380.0
37,1983-02,28.6,,,0.0,,,,,1011.0,14760.0
38,1983-03,29.8,,,0.0,,,,,1010.3,16080.0
39,1983-04,34.4,,,0.0,,,,,1006.6,14400.0
40,1983-05,34.3,,,109.0,,,,,1005.9,15660.0
41,1983-06,30.5,,,145.0,,,,,1009.4,13980.0
42,1983-07,28.9,,,160.0,,,,,1009.9,15000.0
43,1983-08,28.4,,,93.0,,,,,1011.5,15720.0
44,1983-09,28.8,,,97.0,,,,,1010.2,15120.0
45,1983-10,29.7,,,1.0,,,,,1010.4,17760.0
46,1983-11,27.6,,,0.0,,,,,1011.8,16260.0
47,1983-12,25.5,,,0.0,,,,,1012.0,16560.0
48,1984-01,23.6,,,0.0,,,,,1012.2,16380.0
49,1984-02,25.9,,,0.0,,,,,1010.0,16200.0
50,1984-03,31.7,,,0.0,,,,,1006.6,16380.0
51,1984-04,34.1,,,0.0,,,,,1005.5,15360.0
52,1984-05,33.5,,,69.0,,,,,1005.8,16320.0
53,1984-06,31.7,,,41.0,,,,,1008.5,16680.0
54,1984-07,30.3,,,63.0,,,,,1008.8,16560.0
55,1984-08,30.3,,,57.0,,,,,1009.4,15840.0
56,1984-09,29.6,,,43.0,,,,,1009.2,13020.0
57,1984-10,30.9,,,19.0,,,,,1008.7,14940.0
58,1984-11,29.0,,,0.0,,,,,1009.8,16140.0
59,1984-12,24.0,,,0.0,,,,,1011.3,15120.0
60,1985-01,25.8,,,0.0,,,,,1010.3,15780.0
61,1985-02,26.5,,,1.0,,,,,1012.2,12360.0
62,1985-03,32.3,,,0.5,,,,,1006.5,10620.0
63,1985-04,33.3,,,0.0,,,,,1007.0,12180.0
64,1985-05,35.2,,,1.0,,,,,1006.0,17520.0
65,1985-06,32.2,,,68.0,,,,,1009.3,14820.0
66,1985-07,28.8,,,109.0,,,,,1010.4,15060.0
67,1985-08,27.8,,,115.0,,,,,1010.4,14400.0
68,1985-09,28.5,,,90.0,,,,,1009.7,15180.0
69,1985-10,30.6,,,,,,,,,
70,1985-11,28.3,,,0.0,,,,,1009.7,18240.0
71,1985-12,23.4,,,0.0,,,,,1012.3,16020.0
72,1986-01,23.3,,,0.0,,,,,1012.5,17820.0
73,1986-02,28.6,,,0.0,,,,,1008.9,16560.0
74,1986-03,31.5,,,0.5,,,,,1007.5,14700.0
75,1986-04,34.9,,,0.5,,,,,1004.8,14880.0
76,1986-05,34.0,,,66.0,,,,,1006.8,16260.0
77,1986-06,32.2,,,37.0,,,,,1008.6,16620.0
78,1986-07,27.7,,,83.0,,,,,1011.4,13680.0
79,1986-08,27.5,,,102.0,,,,,1010.7,14880.0
80,1986-09,28.0,,,87.0,,,,,1010.8,15480.0
81,1986-10,30.4,,,19.0,,,,,1009.9,17160.0
