,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,22.5,,,126.0,,,,,1013.3,14520.0
1,1980-02,22.4,,,117.0,,,,,1011.5,11880.0
2,1980-03,20.3,,,86.0,,,,,1014.1,14160.0
3,1980-04,19.7,,,181.0,,,,,1015.8,11940.0
4,1980-05,18.5,,,100.0,,,,,1021.8,10020.0
5,1980-06,17.1,,,91.0,,,,,1016.0,10620.0
6,1980-07,16.0,,,89.0,,,,,1014.1,12600.0
7,1980-08,15.3,,,76.0,,,,,1022.5,11940.0
8,1980-09,16.5,,,43.0,,,,,1017.9,14220.0
9,1980-10,17.5,,,116.0,,,,,1016.8,11400.0
10,1980-11,18.1,,,41.0,,,,,1016.3,15360.0
11,1980-12,19.9,,,19.0,,,,,1015.8,16620.0
12,1981-01,21.9,,,74.0,,,,,1012.2,11700.0
13,1981-02,22.2,,,12.0,,,,,1013.5,18720.0
14,1981-03,23.1,,,236.0,,,,,1013.1,10680.0
15,1981-04,20.7,,,,,,,,1015.0,13440.0
16,1981-05,18.9,,,224.0,,,,,1015.8,10860.0
17,1981-06,18.2,,,141.0,,,,,1012.5,9780.0
18,1981-07,16.1,,,76.0,,,,,1017.8,10500.0
19,1981-08,15.5,,,181.0,,,,,1011.6,11880.0
20,1981-09,15.8,,,49.0,,,,,1020.2,12300.0
21,1981-10,16.7,,,73.0,,,,,1020.0,13140.0
22,1981-11,17.9,,,187.0,,,,,1013.4,10860.0
23,1981-12,21.4,,,196.0,,,,,1014.0,8700.0
24,1982-01,22.3,,,56.0,,,,,1013.2,15420.0
25,1982-02,22.5,,,128.0,,,,,1013.0,10440.0
26,1982-03,21.6,,,147.0,,,,,1016.2,10860.0
27,1982-04,18.9,,,165.0,,,,,1016.2,11580.0
28,1982-05,18.2,,,31.0,,,,,1018.9,13140.0
29,1982-06,16.5,,,229.0,,,,,1013.9,9420.0
30,1982-07,15.6,,,62.0,,,,,1015.2,13260.0
31,1982-08,14.9,,,42.0,,,,,1024.5,11700.0
32,1982-09,16.2,,,71.0,,,,,1019.0,12480.0
33,1982-10,16.9,,,84.0,,,,,1015.5,14820.0
34,1982-11,19.1,,,14.0,,,,,1020.9,14220.0
35,1982-12,20.5,,,85.0,,,,,1016.4,14640.0
36,1983-01,21.1,,,66.0,,,,,1015.5,12420.0
37,1983-02,21.8,,,73.0,,,,,1016.6,13080.0
38,1983-03,22.1,,,40.0,,,,,1018.3,11700.0
39,1983-04,21.2,,,208.0,,,,,1017.2,6660.0
40,1983-05,19.3,,,38.0,,,,,1020.8,12300.0
41,1983-06,17.5,,,132.0,,,,,1015.8,8220.0
42,1983-07,15.4,,,223.0,,,,,1017.7,9780.0
43,1983-08,15.7,,,138.0,,,,,1021.3,12000.0
44,1983-09,16.9,,,48.0,,,,,1020.0,11520.0
45,1983-10,17.9,,,61.0,,,,,1017.4,14700.0
46,1983-11,19.1,,,43.0,,,,,1017.7,15480.0
47,1983-12,20.0,,,128.0,,,,,1013.8,13920.0
48,1984-01,21.1,,,18.0,,,,,1015.7,14040.0
