,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-6.6,-9.2,-4.2,16.0,220.0,,,,1018.2,
1,1980-02,-7.6,-10.5,-4.3,26.0,310.0,,,,1022.0,
2,1980-03,-2.2,-5.5,1.1,31.0,360.0,,,,1016.6,
3,1980-04,5.4,0.9,11.0,5.0,70.0,,,,1015.5,
4,1980-05,11.9,7.2,17.4,57.0,0.0,,,,1016.8,
5,1980-06,15.9,12.1,20.5,126.0,0.0,,,,1008.2,
6,1980-07,17.2,13.2,21.7,76.0,0.0,,,,1010.9,
7,1980-08,15.1,11.9,19.3,146.0,0.0,,,,1010.1,
8,1980-09,11.8,9.2,15.1,80.0,0.0,,,,1012.4,
9,1980-10,4.6,2.1,7.3,115.0,10.0,,,,1004.8,
10,1980-11,-1.9,-4.5,0.9,37.0,90.0,,,,1011.3,
11,1980-12,-1.3,-4.4,1.3,52.0,90.0,,,,1000.6,
12,1981-01,-3.9,-7.4,-0.9,19.0,240.0,,,,1007.0,
13,1981-02,-4.0,-6.8,-0.5,23.0,300.0,,,,1017.5,
14,1981-03,-2.1,-5.2,1.6,64.0,470.0,,,,1006.2,
15,1981-04,4.4,-0.2,10.2,11.0,50.0,,,,1017.8,
16,1981-05,12.0,7.9,17.3,68.0,0.0,,,,1013.1,
17,1981-06,12.6,9.0,17.4,94.0,0.0,,,,1009.7,
18,1981-07,16.1,12.7,20.5,107.0,0.0,,,,1008.5,
19,1981-08,15.3,11.2,20.3,12.0,0.0,,,,1013.2,
20,1981-09,12.2,9.7,15.9,74.0,0.0,,,,1013.9,
21,1981-10,5.0,2.7,8.0,88.0,0.0,,,,1001.3,
22,1981-11,0.5,-1.8,3.1,115.0,70.0,,,,1007.5,
23,1981-12,-9.0,-11.6,-6.2,37.0,90.0,,,,1004.2,
24,1982-01,-8.1,-10.5,-5.4,27.0,290.0,,,,1014.9,
25,1982-02,-3.7,-5.6,-1.4,34.0,340.0,,,,1020.9,
26,1982-03,1.7,-0.4,4.6,92.0,310.0,,,,1009.0,
27,1982-04,5.1,1.2,10.2,39.0,60.0,,,,1010.3,
28,1982-05,9.8,5.6,15.4,75.0,0.0,,,,1013.3,
29,1982-06,13.8,9.3,19.3,32.0,0.0,,,,1012.4,
30,1982-07,18.1,13.2,23.9,35.0,0.0,,,,1015.5,
31,1982-08,16.2,11.3,22.2,82.0,0.0,,,,1006.7,
32,1982-09,11.9,8.8,16.0,116.0,0.0,,,,1010.3,
33,1982-10,6.1,4.4,8.5,70.0,0.0,,,,1013.9,
34,1982-11,2.4,0.5,5.2,134.0,70.0,,,,1003.1,
35,1982-12,-1.8,-4.1,0.6,105.0,70.0,,,,1001.2,
36,1983-01,0.7,-2.1,3.6,27.0,90.0,,,,998.6,
37,1983-02,-4.1,-7.4,-0.8,13.0,80.0,,,,1019.4,
38,1983-03,1.4,-0.7,4.2,35.0,90.0,,,,1006.6,
39,1983-04,5.3,2.9,9.3,47.0,80.0,,,,1008.0,
40,1983-05,10.6,7.7,14.6,101.0,0.0,,,,1009.6,
41,1983-06,14.2,10.0,19.4,27.0,0.0,,,,1014.0,
42,1983-07,17.9,12.6,23.9,43.0,0.0,,,,1013.0,
43,1983-08,16.5,11.5,22.6,25.0,0.0,,,,1014.4,
44,1983-09,11.4,8.7,15.3,165.0,0.0,,,,1005.8,
45,1983-10,7.1,4.1,10.2,97.0,0.0,,,,1002.7,
46,1983-11,1.2,-1.4,4.2,18.0,40.0,,,,1011.0,
47,1983-12,-1.1,-4.0,1.1,45.0,90.0,,,,1006.4,
48,1984-01,-4.9,-7.8,-2.2,79.0,90.0,,,,1000.5,
49,1984-02,-2.7,-4.7,-0.7,20.0,330.0,,,,1021.0,
50,1984-03,-1.3,-4.4,2.3,21.0,360.0,,,,1020.5,
51,1984-04,5.7,2.0,9.9,28.0,90.0,,,,1019.0,
52,1984-05,12.4,8.5,17.3,50.0,0.0,,,,1012.3,
53,1984-06,14.5,10.8,19.7,108.0,0.0,,,,1009.3,
54,1984-07,16.2,12.0,21.4,86.0,0.0,,,,1010.4,
55,1984-08,16.1,12.6,20.9,95.0,0.0,,,,1014.5,
56,1984-09,9.9,7.5,13.2,95.0,0.0,,,,1006.9,
57,1984-10,7.9,5.1,11.3,142.0,0.0,,,,1004.2,
58,1984-11,2.8,1.3,4.3,51.0,0.0,,,,1012.2,
59,1984-12,0.5,-1.3,2.4,95.0,80.0,,,,1018.6,
60,1985-01,-8.6,-11.2,-6.2,40.0,70.0,,,,1014.7,
61,1985-02,-9.2,-12.4,-5.5,42.0,490.0,,,,1022.8,
62,1985-03,-0.6,-3.0,2.1,74.0,640.0,,,,1013.3,
63,1985-04,2.7,-0.8,6.5,75.0,70.0,,,,1007.8,
64,1985-05,11.6,7.1,16.8,31.0,0.0,,,,1015.7,
65,1985-06,14.1,10.1,18.9,88.0,0.0,,,,1008.0,
66,1985-07,16.1,12.1,21.1,114.0,0.0,,,,1010.5,
67,1985-08,14.6,11.1,19.0,161.0,0.0,,,,1006.8,
68,1985-09,8.8,5.1,13.7,131.0,0.0,,,,1009.5,
69,1985-10,7.5,4.4,11.5,35.0,0.0,,,,1017.4,
70,1985-11,-1.2,-3.8,1.4,46.0,50.0,,,,1011.1,
71,1985-12,-6.7,-9.5,-4.3,74.0,90.0,,,,1006.8,
72,1986-01,-6.7,-9.8,-4.4,66.0,450.0,,,,1003.9,
73,1986-02,-7.5,-11.3,-2.6,1.0,410.0,,,,1028.7,
74,1986-03,0.4,-1.7,3.2,53.0,510.0,,,,1009.3,
75,1986-04,,-0.8,6.9,21.0,80.0,,,,1014.1,
76,1986-05,10.9,6.6,16.2,63.0,0.0,,,,1011.5,
77,1986-06,16.4,11.3,22.2,33.0,0.0,,,,1015.7,
78,1986-07,16.5,12.5,21.6,58.0,0.0,,,,1008.6,
79,1986-08,13.0,9.9,17.4,126.0,0.0,,,,1010.2,
80,1986-09,8.4,4.0,14.0,28.0,0.0,,,,1009.8,
81,1986-10,6.6,3.9,9.7,71.0,0.0,,,,1007.8,
82,1986-11,4.1,1.8,6.4,75.0,10.0,,,,1006.9,
83,1986-12,-1.8,-3.8,0.7,113.0,90.0,,,,1006.9,
84,1987-01,-10.6,-13.9,-7.2,17.0,370.0,,,,1023.2,
85,1987-02,-4.4,-7.2,-0.8,24.0,470.0,,,,1010.7,
86,1987-03,-4.0,-7.4,-0.1,77.0,710.0,,,,1017.0,
87,1987-04,5.2,1.2,10.2,19.0,520.0,,,,1016.7,
88,1987-05,9.2,5.4,14.3,38.0,0.0,,,,1012.3,
89,1987-06,12.1,9.3,15.9,126.0,0.0,,,,1006.5,
90,1987-07,16.4,12.0,21.6,40.0,0.0,,,,1011.4,
91,1987-08,13.0,10.0,17.2,82.0,0.0,,,,1008.9,
92,1987-09,9.6,5.7,14.6,126.0,0.0,,,,1008.6,
93,1987-10,7.6,5.9,9.8,173.0,0.0,,,,1016.0,
94,1987-11,0.4,-1.1,2.3,99.0,50.0,,,,1013.1,
95,1987-12,-2.7,-5.3,-0.2,22.0,90.0,,,,1012.8,
96,1988-01,0.6,-0.5,2.0,139.0,90.0,,,,1003.6,
97,1988-02,-1.4,-3.1,0.8,89.0,80.0,,,,1004.4,
98,1988-03,-1.4,-4.0,1.5,107.0,410.0,,,,1006.3,
99,1988-04,3.3,0.1,7.2,41.0,40.0,,,,1014.7,
100,1988-05,12.2,7.3,17.8,22.0,0.0,,,,1016.8,
101,1988-06,18.6,13.6,24.3,34.0,0.0,,,,1012.9,
102,1988-07,16.2,13.2,20.7,175.0,0.0,,,,1007.7,
103,1988-08,14.9,11.5,19.5,228.0,0.0,,,,1006.9,
104,1988-09,12.0,8.8,16.2,114.0,0.0,,,,1007.3,
105,1988-10,,2.5,8.1,79.9,30.0,,,,,
106,1988-11,-1.3,-4.0,2.0,26.0,60.0,,,,1014.0,
107,1988-12,-2.8,-6.1,0.3,28.0,70.0,,,,1008.2,
108,1989-01,2.3,-0.2,5.1,11.0,60.0,,,,1012.0,
109,1989-02,2.6,0.1,5.3,45.0,30.0,,,,1001.0,
110,1989-03,3.5,0.8,6.9,82.0,0.0,,,,1003.5,
111,1989-04,5.0,2.5,9.0,85.0,0.0,,,,1012.9,
112,1989-05,10.9,5.6,16.9,38.0,0.0,,,,1015.9,
113,1989-06,15.2,10.4,20.6,56.0,0.0,,,,1014.3,
114,1989-07,17.0,12.1,23.3,59.0,0.0,,,,1014.3,
115,1989-08,14.1,10.8,18.7,178.0,0.0,,,,1006.6,
116,1989-09,11.5,7.7,16.0,53.0,0.0,,,,1015.3,
117,1989-10,6.4,3.4,9.9,59.0,0.0,,,,1008.5,
118,1989-11,2.5,0.3,5.1,73.0,0.0,,,,1013.7,
119,1989-12,-2.7,-5.7,0.2,33.0,50.0,,,,1008.5,
120,1990-01,0.8,-1.5,3.1,77.0,70.0,,,,1003.8,
121,1990-02,3.4,1.6,5.7,86.0,30.0,,,,993.5,
122,1990-03,4.6,1.1,8.8,21.0,60.0,,,,1007.1,
123,1990-04,6.5,2.5,11.5,62.0,10.0,,,,1011.1,
124,1990-05,12.3,7.2,18.6,10.0,0.0,,,,1017.3,
125,1990-06,15.1,11.0,20.5,87.0,0.0,,,,1010.2,
126,1990-07,16.5,12.1,21.8,67.0,0.0,,,,1011.4,
127,1990-08,15.9,12.4,21.0,63.0,0.0,,,,1012.7,
128,1990-09,10.1,6.7,14.3,60.0,0.0,,,,1009.4,
129,1990-10,6.2,3.8,9.1,77.0,0.0,,,,1010.7,
130,1990-11,0.1,-2.3,2.8,48.0,70.0,,,,1010.7,
131,1990-12,-1.1,-3.2,1.8,87.0,90.0,,,,1010.4,
132,1991-01,-2.9,-5.3,-0.4,59.0,90.0,,,,1014.4,
133,1991-02,-4.1,-6.8,-1.0,24.0,170.0,,,,1021.4,
134,1991-03,1.7,-0.2,4.4,64.0,90.0,,,,1015.1,
135,1991-04,5.4,1.9,10.0,22.0,0.0,,,,1014.7,
136,1991-05,10.6,6.0,16.0,3.0,0.0,,,,1014.9,
137,1991-06,11.6,8.6,15.8,97.0,0.0,,,,1005.0,
138,1991-07,18.2,14.1,23.6,43.0,0.0,,,,1013.6,
139,1991-08,16.5,12.4,22.1,33.0,0.0,,,,1012.5,
140,1991-09,11.3,7.0,16.7,70.0,0.0,,,,1008.8,
141,1991-10,6.3,4.1,9.6,54.0,0.0,,,,1014.7,
142,1991-11,2.3,0.0,4.8,115.0,0.0,,,,1004.2,
