,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,,,,,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,21.3,,,29.0,,,,,1018.4,
36,1983-01,21.0,,,0.5,,,,,1019.1,
37,1983-02,21.0,,,26.0,,,,,1016.4,
38,1983-03,22.7,,,5.0,,,,,1015.1,
39,1983-04,27.3,,,47.0,,,,,1010.9,
40,1983-05,35.3,,,0.5,,,,,1005.3,
41,1983-06,36.3,,,0.0,,,,,1000.1,
42,1983-07,33.1,,,0.5,,,,,998.0,
43,1983-08,32.0,,,0.0,,,,,999.3,
44,1983-09,31.6,,,0.5,,,,,1003.9,
45,1983-10,29.7,,,0.0,,,,,1011.3,
46,1983-11,25.1,,,0.0,,,,,1017.5,
47,1983-12,22.3,,,3.0,,,,,1018.1,
48,1984-01,21.3,,,0.5,,,,,1017.0,
49,1984-02,20.9,,,0.0,,,,,1017.5,
50,1984-03,26.8,,,0.0,,,,,1012.6,
51,1984-04,,,,,,,,,,
52,1984-05,34.1,,39.4,0.0,,,,,1005.1,
53,1984-06,34.6,,,0.0,,,,,997.7,
54,1984-07,,,,,,,,,,
55,1984-08,31.7,,,0.0,,,,,999.0,
56,1984-09,32.6,,,0.5,,,,,1005.8,
57,1984-10,28.4,,,0.5,,,,,1013.5,
58,1984-11,25.6,,,0.0,,,,,1016.9,
59,1984-12,22.9,,,2.0,,,,,1017.4,
60,1985-01,22.3,,,0.5,,,,,1017.2,
61,1985-02,22.3,,,0.0,,,,,1014.1,
62,1985-03,26.1,,,1.0,,,,,1013.1,
63,1985-04,29.6,,34.3,0.0,,,,,1009.3,
64,1985-05,33.8,,,0.0,,,,,1004.5,
65,1985-06,35.5,,,0.0,,,,,999.1,
66,1985-07,33.6,,,0.5,,,,,998.2,
67,1985-08,31.8,,,0.0,,,,,1000.3,
68,1985-09,30.6,,,0.0,,,,,1005.7,
69,1985-10,29.3,,34.0,0.0,,,,,1011.6,
70,1985-11,25.9,,,0.0,,,,,1015.8,
71,1985-12,22.7,,,0.5,,,,,1018.1,
72,1986-01,20.7,,,9.0,,,,,1018.6,
73,1986-02,21.3,,,60.0,,,,,1016.1,
74,1986-03,24.6,,,3.0,,,,,1012.9,
75,1986-04,30.1,,,6.0,,,,,1009.4,
76,1986-05,36.3,,,0.0,,,,,1006.0,
77,1986-06,33.8,,,3.0,,,,,998.6,
78,1986-07,34.4,,,0.0,,,,,999.0,
79,1986-08,31.4,,,6.0,,,,,1001.3,
80,1986-09,32.8,,,0.0,,,,,1006.6,
81,1986-10,31.4,,,0.0,,,,,1011.8,
82,1986-11,26.4,,,0.0,,,,,1015.2,
83,1986-12,22.0,,,15.0,,,,,1018.4,
84,1987-01,21.4,,,0.0,,,,,1019.4,
85,1987-02,22.5,,,33.0,,,,,1016.7,
86,1987-03,25.8,,,68.0,,,,,1012.0,
87,1987-04,29.1,,,67.0,,,,,1010.8,
