,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.8,23.8,30.4,221.0,0.0,,,53.6,1009.5,8952.0
1,1980-02,27.4,23.2,30.4,407.0,0.0,,,57.2,1010.3,9066.0
2,1980-03,27.7,23.6,31.2,140.0,0.0,,,48.2,1010.1,14124.0
3,1980-04,28.1,24.0,31.3,478.0,0.0,,,48.2,1009.5,11466.0
4,1980-05,27.7,24.2,31.8,255.0,0.0,,,63.0,1009.2,13134.0
5,1980-06,27.1,24.1,31.2,495.0,0.0,,,42.5,1009.3,7992.0
6,1980-07,,24.0,30.6,315.0,0.0,,,57.2,,11280.0
7,1980-08,27.2,23.8,30.6,388.0,0.0,,,50.0,1009.6,6354.0
8,1980-09,27.6,24.6,30.5,345.0,0.0,,,66.6,1009.3,8130.0
9,1980-10,,24.6,31.3,434.8,0.0,,,59.0,,14400.0
10,1980-11,28.3,24.5,32.2,309.0,0.0,,,48.2,1008.9,12018.0
11,1980-12,27.9,24.1,31.7,507.0,0.0,,,61.2,1008.3,11874.0
12,1981-01,27.3,23.8,30.7,288.0,0.0,,,63.0,1008.6,9924.0
13,1981-02,26.9,23.3,30.5,381.0,0.0,,,57.2,1010.1,9228.0
14,1981-03,,23.5,31.1,114.5,0.0,,,57.2,,14670.0
15,1981-04,27.8,23.9,31.6,76.0,0.0,,,48.2,1010.2,14406.0
16,1981-05,28.1,24.3,31.9,245.0,0.0,,,48.2,1009.3,10956.0
17,1981-06,27.2,23.5,30.8,741.0,0.0,,,61.2,1009.7,6390.0
18,1981-07,,24.0,30.6,537.0,0.0,,,51.8,,9702.0
19,1981-08,27.6,24.6,30.6,175.0,0.0,,,68.4,1009.3,9990.0
20,1981-09,27.6,24.1,31.0,424.0,0.0,,,57.2,1008.8,9792.0
21,1981-10,27.3,24.0,30.6,363.0,0.0,,,55.4,1009.3,7926.0
22,1981-11,28.1,24.6,31.5,289.0,0.0,,,46.4,1008.7,12480.0
23,1981-12,27.8,24.4,31.2,249.0,0.0,,,63.0,1009.1,14106.0
24,1982-01,27.6,24.2,31.0,147.0,0.0,,,46.4,,15444.0
25,1982-02,27.6,24.2,31.0,173.0,0.0,,,61.2,1009.5,12948.0
26,1982-03,27.6,23.8,30.8,173.0,0.0,,,57.2,1009.5,14658.0
27,1982-04,27.6,24.2,31.0,240.0,0.0,,,48.2,,12708.0
28,1982-05,27.7,24.3,31.0,486.0,0.0,,,63.0,1009.5,11220.0
29,1982-06,27.5,24.4,30.6,569.0,0.0,,,66.6,1009.9,7680.0
30,1982-07,27.3,24.6,29.9,493.0,0.0,,,61.2,1009.3,10800.0
31,1982-08,27.3,24.6,29.9,278.0,0.0,,,50.0,1009.8,11220.0
32,1982-09,28.0,25.2,30.8,264.0,0.0,,,55.4,1011.0,15900.0
33,1982-10,27.7,24.8,30.5,224.0,0.0,,,55.4,1010.0,12420.0
34,1982-11,27.9,24.2,31.7,252.0,0.0,,,40.7,1010.0,13860.0
35,1982-12,27.7,24.1,31.1,348.0,0.0,,,50.0,1010.7,11880.0
36,1983-01,26.9,23.6,30.3,87.0,0.0,,,53.6,1012.7,14700.0
37,1983-02,27.3,23.7,31.0,163.0,0.0,,,61.2,1013.6,14220.0
38,1983-03,27.6,24.0,31.1,43.0,0.0,,,50.0,1013.4,19500.0
39,1983-04,27.9,24.1,31.7,79.0,0.0,,,48.2,1011.8,17460.0
40,1983-05,28.3,24.8,31.8,146.0,0.0,,,50.0,1011.1,16740.0
41,1983-06,27.8,24.1,31.2,464.0,0.0,,,50.0,1010.4,10980.0
42,1983-07,27.3,24.2,30.4,538.0,0.0,,,51.8,1009.7,8220.0
43,1983-08,27.8,24.5,31.1,168.0,0.0,,,55.4,1010.5,10080.0
44,1983-09,27.8,24.6,31.0,298.0,0.0,,,64.8,1009.6,10500.0
45,1983-10,27.8,24.3,31.2,361.0,0.0,,,55.4,1009.2,11700.0
46,1983-11,28.0,24.7,31.3,290.0,0.0,,,61.2,1009.5,9360.0
47,1983-12,27.8,24.4,31.1,266.0,0.0,,,64.8,1009.5,8880.0
48,1984-01,27.3,23.7,30.8,472.0,0.0,,10.9,66.6,1009.5,9903.0
49,1984-02,27.2,23.7,30.6,275.0,0.0,,12.8,51.8,1008.8,9960.0
50,1984-03,27.6,24.0,31.2,336.0,0.0,,13.4,53.6,1010.0,13140.0
51,1984-04,29.4,24.6,31.3,181.0,0.0,,11.3,48.2,1009.6,13920.0
52,1984-05,28.2,24.5,31.8,276.0,0.0,,9.3,50.0,1009.3,13260.0
53,1984-06,27.3,23.7,30.9,419.0,0.0,,8.7,51.8,1009.5,7860.0
54,1984-07,27.5,23.6,31.4,326.0,0.0,,8.1,44.3,1009.2,11460.0
55,1984-08,27.2,23.9,30.5,444.0,0.0,,12.7,70.2,1009.1,6240.0
56,1984-09,,24.1,31.1,264.1,0.0,,9.7,50.0,,13136.0
57,1984-10,27.2,24.2,30.1,405.0,0.0,,13.1,66.6,1008.8,18840.0
58,1984-11,28.2,24.5,31.8,233.0,0.0,,9.6,61.2,1008.9,12660.0
59,1984-12,28.0,24.3,31.7,239.0,0.0,,12.0,63.0,1007.3,11700.0
60,1985-01,27.2,23.9,30.4,336.0,0.0,,15.2,72.0,1007.9,11760.0
61,1985-02,27.4,24.0,30.8,352.0,0.0,,16.0,53.6,1007.6,11280.0
62,1985-03,27.8,24.0,31.6,137.0,0.0,,12.9,50.0,1009.4,15240.0
63,1985-04,27.6,24.2,30.9,300.0,0.0,,10.2,53.6,1008.1,11400.0
64,1985-05,28.0,24.3,31.7,264.0,0.0,,9.6,53.6,1008.0,13260.0
65,1985-06,26.9,23.4,30.5,641.0,0.0,,12.3,68.4,1009.0,9720.0
66,1985-07,26.7,23.2,30.1,446.0,0.0,,12.0,61.2,1009.9,10740.0
67,1985-08,27.1,23.8,30.3,367.0,0.0,,9.8,50.0,1009.7,11040.0
68,1985-09,26.9,23.6,30.3,588.0,0.0,,11.8,63.0,1009.3,9000.0
69,1985-10,27.7,24.0,31.3,219.0,0.0,,10.0,68.4,1009.8,9480.0
70,1985-11,28.0,24.2,31.8,346.0,0.0,,9.8,48.2,1009.1,11040.0
71,1985-12,27.9,24.3,31.7,160.0,0.0,,9.8,55.4,1008.8,10380.0
72,1986-01,,24.3,31.0,282.0,0.0,,14.2,59.0,,10684.0
73,1986-02,27.2,23.8,30.6,422.0,0.0,,11.2,51.8,1011.5,10020.0
74,1986-03,27.8,24.3,31.4,212.0,0.0,,13.3,53.6,1009.6,13560.0
75,1986-04,28.1,24.3,31.7,89.0,0.0,,13.1,55.4,1009.4,12900.0
76,1986-05,28.5,24.7,32.3,310.0,0.0,,9.3,48.2,1009.6,14760.0
77,1986-06,27.8,24.1,31.4,436.0,0.0,,9.7,74.2,1008.7,10260.0
78,1986-07,27.2,23.7,30.7,664.0,0.0,,11.0,87.1,1009.7,9720.0
79,1986-08,28.1,25.2,30.8,332.0,0.0,,15.9,83.2,1008.3,12840.0
80,1986-09,28.0,24.7,31.2,259.0,0.0,,12.6,66.6,1009.8,9660.0
81,1986-10,27.9,24.3,31.4,404.0,0.0,,9.4,70.2,1010.4,12240.0
82,1986-11,27.9,24.4,31.5,456.0,0.0,,8.8,53.6,1009.2,7740.0
83,1986-12,27.7,24.2,31.2,230.0,0.0,,12.6,51.8,1010.1,12360.0
84,1987-01,27.4,23.9,30.8,232.0,0.0,,13.1,50.0,1010.6,10740.0
