,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.8,,,255.0,,,,,,10800.0
1,1980-02,27.5,,,123.0,,,,,1007.8,7980.0
2,1980-03,26.3,,,150.0,,,,,1008.1,6660.0
3,1980-04,28.0,,,6.0,,,,,1008.0,15540.0
4,1980-05,27.8,,,0.0,,,,,1008.9,13740.0
5,1980-06,26.5,,,2.0,,,,,1010.7,13740.0
6,1980-07,26.5,,,1.0,,,,,1010.9,12120.0
7,1980-08,26.6,,,17.0,,,,,1010.6,11640.0
8,1980-09,26.3,,,5.0,,,,,1011.6,14280.0
9,1980-10,27.2,,,0.0,,,,,1009.8,14820.0
10,1980-11,27.5,,,8.0,,,,,1008.2,15240.0
11,1980-12,28.2,,,212.0,,,,,1007.0,13860.0
12,1981-01,27.3,,,303.0,,,,,1007.5,8580.0
13,1981-02,27.4,,,83.0,,,,,1008.7,7740.0
14,1981-03,26.5,,,154.0,,,,,1009.8,14400.0
15,1981-04,,,,,,,,,,
16,1981-05,27.7,,,56.0,,,,,1008.4,15120.0
17,1981-06,,,,,,,,,,
18,1981-07,26.6,,,14.0,,,,,1009.0,10740.0
19,1981-08,26.3,,,24.0,,,,,1011.1,14520.0
20,1981-09,27.6,,,8.0,,,,,1009.3,12000.0
21,1981-10,28.0,,,50.0,,,,,1009.1,11820.0
22,1981-11,28.8,,,52.0,,,,,1007.2,12960.0
23,1981-12,,,,,,,,,,
24,1982-01,27.8,,,216.0,,,,,1006.8,10260.0
25,1982-02,27.5,,,94.0,,,,,1008.0,10260.0
26,1982-03,27.3,,,326.0,,,,,1007.6,10800.0
27,1982-04,26.9,,,46.0,,,,,1008.4,11100.0
28,1982-05,26.7,,,69.0,,,,,1009.6,10260.0
29,1982-06,25.3,,,1.0,,,,,1012.8,12300.0
30,1982-07,24.9,,,3.0,,,,,1012.5,13020.0
31,1982-08,24.5,,,135.0,,,,,1012.6,13080.0
32,1982-09,25.5,,,0.0,,,,,1012.9,16020.0
33,1982-10,26.6,,,6.0,,,,,1015.1,16680.0
34,1982-11,27.1,,,4.0,,,,,1010.1,16080.0
35,1982-12,29.1,,,3.0,,,,,1008.6,16380.0
36,1983-01,28.9,,,45.0,,,,,1009.3,16020.0
37,1983-02,28.2,,,93.0,,,,,1009.9,12000.0
38,1983-03,28.2,,,163.0,,,,,1011.2,12480.0
39,1983-04,28.3,,,92.0,,,,,1008.8,13380.0
40,1983-05,27.9,,,77.0,,,,,1008.8,12900.0
41,1983-06,27.3,,,17.0,,,,,1009.6,12420.0
42,1983-07,26.6,,,25.0,,,,,1010.7,11580.0
43,1983-08,26.9,,,10.0,,,,,1011.0,12960.0
44,1983-09,27.7,,,25.0,,,,,1009.7,11280.0
45,1983-10,28.0,,,46.0,,,,,1008.6,11880.0
46,1983-11,28.3,,,32.0,,,,,1008.5,13800.0
47,1983-12,27.9,,,161.0,,,,,1007.6,10320.0
48,1984-01,26.9,,,207.0,,,,,1006.9,13440.0
49,1984-02,27.1,,,288.0,,,,,1006.5,9240.0
50,1984-03,27.1,,,156.0,,,,,1008.1,10560.0
51,1984-04,27.5,,,56.0,,,,,1007.8,10440.0
52,1984-05,27.1,,,18.0,,,,,1011.0,11760.0
53,1984-06,26.5,,,45.0,,,,,1009.4,9600.0
54,1984-07,25.5,,,27.0,,,,,1009.7,9840.0
55,1984-08,26.4,,,31.0,,,,,1011.5,12720.0
56,1984-09,27.4,,,5.0,,,,,1011.0,12360.0
57,1984-10,27.3,,,42.0,,,,,1009.4,12420.0
58,1984-11,27.7,,,21.0,,,,,1008.2,15240.0
59,1984-12,27.9,,,126.0,,,,,1005.2,9420.0
60,1985-01,,,,,,,,,,
61,1985-02,27.7,,,114.0,,,,,1004.9,10200.0
62,1985-03,26.5,,,498.0,,,,,1006.9,8820.0
63,1985-04,27.6,,,106.0,,,,,1008.0,11280.0
64,1985-05,,,,,,,,,,
65,1985-06,26.3,,,98.0,,,,,1009.3,9120.0
66,1985-07,25.2,,,24.0,,,,,1010.7,11880.0
67,1985-08,26.9,,,3.0,,,,,1012.0,13560.0
68,1985-09,,,,,,,,,,
69,1985-10,27.5,,,49.0,,,,,1009.3,15120.0
70,1985-11,27.3,,,175.0,,,,,1007.6,12360.0
71,1985-12,27.9,,,65.0,,,,,1007.6,12360.0
72,1986-01,27.7,,,99.0,,,,,1005.8,8220.0
73,1986-02,27.3,,,140.0,,,,,1008.0,8820.0
74,1986-03,27.3,,,186.0,,,,,1007.2,11040.0
75,1986-04,26.9,,,320.0,,,,,1007.9,10620.0
76,1986-05,26.9,,,11.0,,,,,1009.4,14280.0
77,1986-06,27.1,,,72.0,,,,,1008.4,11100.0
78,1986-07,,,,4.0,,,,,,
79,1986-08,26.4,,,7.0,,,,,1009.9,13740.0
80,1986-09,26.6,,,8.0,,,,,1010.5,13620.0
81,1986-10,27.9,,,44.0,,,,,1011.6,13740.0
82,1986-11,28.4,,,1.0,,,,,1008.3,16320.0
83,1986-12,28.1,,,46.0,,,,,1009.0,14820.0
84,1987-01,,,,,,,,,,
