,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.8,,,221.0,,,,,1010.4,
1,1980-02,27.0,,,139.0,,,,,1009.5,
2,1980-03,27.4,,,106.0,,,,,1011.9,
3,1980-04,25.0,,,119.0,,,,,1012.0,
4,1980-05,21.3,,,203.0,,,,,1014.9,
5,1980-06,17.1,,,65.0,,,,,1018.3,
6,1980-07,16.9,,,7.0,,,,,1017.5,
7,1980-08,19.7,,,132.0,,,,,1016.4,
8,1980-09,18.4,,,75.0,,,,,1016.9,
9,1980-10,23.3,,,77.0,,,,,1013.9,
10,1980-11,23.5,,,194.0,,,,,1010.9,
11,1980-12,26.5,,,89.0,,,,,1008.5,
12,1981-01,27.3,,,147.0,,,,,1010.0,
13,1981-02,27.2,,,253.0,,,,,1011.9,
14,1981-03,25.2,,,73.0,,,,,1011.7,
15,1981-04,23.4,,,146.0,,,,,1014.1,
16,1981-05,23.1,,,57.0,,,,,1015.0,
17,1981-06,16.1,,,45.0,,,,,1018.1,
18,1981-07,17.1,,,7.0,,,,,1020.7,
19,1981-08,21.3,,,45.0,,,,,1015.7,
20,1981-09,19.4,,,50.0,,,,,1016.4,
21,1981-10,23.3,,,18.0,,,,,1012.7,
22,1981-11,25.5,,,173.0,,,,,1009.3,
23,1981-12,25.8,,,198.0,,,,,1010.2,
24,1982-01,27.3,,,46.0,,,,,1011.1,
25,1982-02,25.9,,,141.0,,,,,1011.0,
26,1982-03,25.3,,,57.0,,,,,1011.0,
27,1982-04,23.2,,,78.0,,,,,1016.1,
28,1982-05,20.4,,,31.0,,,,,1015.8,
29,1982-06,18.2,,,145.0,,,,,1014.7,
30,1982-07,19.8,,,18.0,,,,,1015.0,
31,1982-08,21.0,,,55.0,,,,,1015.2,
32,1982-09,21.9,,,128.0,,,,,1015.3,
33,1982-10,23.0,,,93.0,,,,,1011.8,
34,1982-11,24.4,,,419.0,,,,,1009.7,
35,1982-12,25.7,,,218.0,,,,,1010.7,
36,1983-01,27.5,,,134.0,,,,,1007.9,
37,1983-02,26.9,,,248.0,,,,,1011.0,
38,1983-03,25.0,,,111.0,,,,,1012.0,
39,1983-04,22.8,,,262.0,,,,,1012.0,
40,1983-05,20.4,,,271.0,,,,,1012.5,
41,1983-06,14.6,,,32.0,,,,,1017.3,
42,1983-07,16.2,,,103.0,,,,,1015.8,
43,1983-08,18.3,,,22.0,,,,,1017.7,
44,1983-09,18.5,,,113.0,,,,,1016.1,
45,1983-10,23.4,,,64.0,,,,,1013.0,
46,1983-11,23.9,,,,,,,,,
47,1983-12,27.5,,,32.0,,,,,1010.7,
48,1984-01,27.8,,,214.0,,,,,1009.2,
49,1984-02,28.5,,,18.0,,,,,1010.1,
50,1984-03,25.9,,,264.0,,,,,1011.1,
51,1984-04,20.8,,,218.0,,,,,1015.6,
52,1984-05,21.8,,,47.0,,,,,1012.9,
53,1984-06,16.8,,,62.0,,,,,1016.6,
54,1984-07,18.7,,,6.0,,,,,1015.1,
55,1984-08,16.0,,,39.0,,,,,1018.0,
56,1984-09,21.7,,,22.0,,,,,1014.2,
57,1984-10,26.0,,,130.0,,,,,1010.9,
58,1984-11,25.5,,,256.0,,,,,1011.1,
59,1984-12,24.9,,,148.0,,,,,1009.0,
60,1985-01,27.5,,,52.0,,,,,1009.3,
61,1985-02,27.7,,,83.0,,,,,1010.0,
62,1985-03,27.4,,,22.0,,,,,1009.7,
63,1985-04,23.3,,,216.0,,,,,1013.1,
64,1985-05,21.1,,,100.0,,,,,1014.9,
65,1985-06,18.5,,,10.0,,,,,1018.8,
66,1985-07,17.6,,,154.0,,,,,1018.8,
67,1985-08,17.8,,,,,,,,,
68,1985-09,19.9,,,93.0,,,,,1015.3,
69,1985-10,23.7,,,107.0,,,,,1011.6,
70,1985-11,27.5,,,,,,,,,
71,1985-12,29.2,,,,,,,,,
72,1986-01,28.9,,,,,,,,,
73,1986-02,27.5,,,,,,,,,
74,1986-03,25.3,,,,,,,,,
75,1986-04,24.6,,,316.0,,,,,1011.6,
76,1986-05,20.8,,,128.0,,,,,1013.4,
77,1986-06,20.5,,,70.0,,,,,1016.4,
78,1986-07,17.8,,,36.0,,,,,1020.2,
79,1986-08,19.9,,,17.0,,,,,1015.2,
80,1986-09,20.6,,,92.0,,,,,1017.3,
81,1986-10,23.4,,,69.0,,,,,,
82,1986-11,27.0,,,53.0,,,,,,
83,1986-12,26.6,,,185.0,,,,,,
84,1987-01,26.9,,,149.0,,,,,1010.1,
85,1987-02,24.9,,,219.0,,,,,1013.2,
86,1987-03,24.7,,,50.0,,,,,1012.3,
87,1987-04,23.2,,,196.0,,,,,1014.0,
88,1987-05,16.1,,,65.0,,,,,1016.2,
89,1987-06,16.9,,,42.0,,,,,1018.2,
90,1987-07,20.9,,,15.0,,,,,1012.0,10260.0
91,1987-08,18.0,,,26.0,,,,,1016.2,10920.0
92,1987-09,19.9,,,31.0,,,,,1015.7,11340.0
93,1987-10,22.6,,,134.0,,,,,1012.8,11460.0
94,1987-11,25.5,,,160.0,,,,,1011.0,13380.0
95,1987-12,25.2,,,224.0,,,,,1010.7,12720.0
96,1988-01,27.2,,,152.0,,,,,1010.0,13680.0
97,1988-02,25.4,,,81.0,,,,,1012.3,13680.0
98,1988-03,28.1,,,80.0,,,,,1011.7,16140.0
99,1988-04,22.3,,,240.0,,,,,1013.6,9840.0
100,1988-05,16.5,,,85.0,,,,,1017.6,8280.0
101,1988-06,16.0,,,39.0,,,,,1017.7,9060.0
102,1988-07,15.1,,,6.0,,,,,1022.7,13500.0
103,1988-08,20.0,,,32.0,,,,,1016.5,11460.0
104,1988-09,20.9,,,8.0,,,,,1015.6,10080.0
105,1988-10,22.4,,,160.0,,,,,1011.0,13920.0
106,1988-11,25.1,,,76.0,,,,,1011.0,16920.0
107,1988-12,27.0,,,140.0,,,,,1007.5,16620.0
108,1989-01,26.3,,,212.0,,,,,1007.0,13440.0
109,1989-02,26.2,,,112.0,,,,,1011.7,14100.0
110,1989-03,24.4,,,118.0,,,,,1013.4,13860.0
111,1989-04,22.1,,,52.0,,,,,1014.6,12000.0
112,1989-05,19.7,,,59.0,,,,,1018.0,12360.0
113,1989-06,17.8,,,84.0,,,,,1018.1,7980.0
114,1989-07,16.0,,,60.0,,,,,1020.0,12120.0
115,1989-08,19.5,,,,,,,,,
116,1989-09,18.1,,,47.0,,,,,1014.5,11220.0
117,1989-10,22.3,,,99.0,,,,,1013.3,14580.0
118,1989-11,24.6,,,70.0,,,,,1011.3,
119,1989-12,26.8,,,123.0,,,,,1007.0,13260.0
120,1990-01,27.1,,,171.0,,,,,1007.2,16200.0
121,1990-02,25.4,,,95.0,,,,,1009.8,13980.0
122,1990-03,26.6,,,122.0,,,,,1011.0,
123,1990-04,23.6,,,302.0,,,,,1010.0,
124,1990-05,18.1,,,155.0,,,,,1014.3,10440.0
125,1990-06,15.4,,,113.0,,,,,1019.0,6060.0
126,1990-07,14.1,,,52.0,,,,,1018.5,
127,1990-08,19.4,,,227.0,,,,,1017.3,10980.0
128,1990-09,18.8,,,141.0,,,,,1016.7,11040.0
129,1990-10,24.5,,,73.0,,,,,1011.9,12120.0
130,1990-11,26.6,,,24.0,,,,,1010.5,13500.0
131,1990-12,27.1,,,107.0,,,,,1009.0,15120.0
132,1991-01,27.5,,,89.0,,,,,1009.5,15060.0
133,1991-02,26.7,,,,,,,,,
134,1991-03,26.1,,,,,,,,,
135,1991-04,23.0,,,128.0,,,,,1013.7,12840.0
136,1991-05,20.7,,,384.0,,,,,1015.3,12840.0
137,1991-06,18.3,,,113.0,,,,,1016.8,10500.0
138,1991-07,17.5,,,10.0,,,,,,
139,1991-08,19.5,,,11.0,,,,,1019.2,10740.0
140,1991-09,22.8,,,97.0,,,,,,
141,1991-10,22.6,,,88.0,,,,,1013.5,11700.0
142,1991-11,23.8,,,66.0,,,,,1011.7,13200.0
143,1991-12,26.8,,,225.0,,,,,1007.7,
144,1992-01,26.8,,,225.0,,,,,1007.7,
145,1992-02,26.8,,,274.0,,,,,1011.3,12780.0
146,1992-03,24.2,,,259.0,,,,,1012.2,
147,1992-04,21.8,,,149.0,,,,,1012.3,11880.0
148,1992-05,19.9,,,155.0,,,,,1012.3,7560.0
149,1992-06,20.0,,,113.0,,,,,1014.0,7560.0
