,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,22.6,,,0.5,,,,,,
1,1980-02,22.8,20.3,,0.0,,,,,1011.6,
2,1980-03,23.5,,,0.0,,,,,1009.6,13560.0
3,1980-04,21.8,,,0.5,,,,,1011.0,14400.0
4,1980-05,19.1,,,0.5,,,,,,
5,1980-06,18.1,16.4,,2.0,,,,,,
6,1980-07,17.2,,,0.5,,,,,1014.2,1980.0
7,1980-08,16.4,15.0,,0.5,,,,,1014.7,1680.0
8,1980-09,16.4,14.9,,0.5,,,,,1014.4,2040.0
9,1980-10,17.3,15.6,,0.5,,,,,1014.1,5040.0
10,1980-11,18.7,,,0.5,,,,,1014.0,
11,1980-12,20.6,18.5,,0.5,,,,,1012.8,8760.0
12,1981-01,21.5,,,4.0,,,,,,
13,1981-02,23.1,,,0.5,,,,,1010.1,9600.0
14,1981-03,22.8,,,0.5,,,,,1011.6,13200.0
15,1981-04,20.5,,,0.5,,,,,,
16,1981-05,18.6,15.8,,0.5,,,,,1013.9,8040.0
17,1981-06,17.0,15.1,,0.5,,,,,,
18,1981-07,16.3,,,1.0,,,,,1014.9,2340.0
19,1981-08,16.8,15.1,,4.0,,,,,1015.3,2220.0
20,1981-09,16.7,,,0.5,,,,,,4380.0
21,1981-10,17.1,,,0.5,,,,,1014.1,4860.0
22,1981-11,18.7,,,0.5,,,,,1013.2,6240.0
23,1981-12,20.2,,,0.5,,,,,1012.2,8520.0
24,1982-01,21.6,,,0.0,,,,,1012.5,12660.0
25,1982-02,22.0,,,0.5,,,,,1011.4,7500.0
26,1982-03,21.2,,,0.5,,,,,1010.9,11100.0
27,1982-04,19.9,,,0.5,,,,,1012.4,10680.0
28,1982-05,18.8,,,0.5,,,,,1013.4,10380.0
29,1982-06,17.8,,,0.5,,,,,,
30,1982-07,17.6,,,0.5,,,,,1013.0,600.0
31,1982-08,17.0,,,0.5,,,,,1013.1,
32,1982-09,17.9,,,0.5,,,,,1013.6,
33,1982-10,19.0,,,0.5,,,,,1013.1,2220.0
34,1982-11,21.5,,,0.5,,,,,,
35,1982-12,24.6,,,0.5,,,,,1010.1,
36,1983-01,26.4,,,0.5,,,,,1008.7,11400.0
37,1983-02,27.1,,,0.5,,,,,1008.9,9360.0
38,1983-03,26.9,,,0.5,,,,,1009.1,11340.0
39,1983-04,26.3,,,0.5,,,,,1009.5,9480.0
40,1983-05,25.2,,,0.5,,,,,1009.8,6840.0
41,1983-06,24.2,,,2.0,,,,,1011.6,
42,1983-07,20.8,,,2.0,,,,,1012.6,4260.0
43,1983-08,19.3,,,,,,,,,
44,1983-09,18.0,,,0.5,,,,,1014.5,2520.0
45,1983-10,18.9,,,0.5,,,,,1013.9,4800.0
46,1983-11,20.0,,,0.5,,,,,1013.9,7620.0
47,1983-12,22.0,,,0.5,,,,,1013.2,7800.0
48,1984-01,23.2,,,0.0,,,,,1012.1,12480.0
49,1984-02,22.5,,,0.5,,,,,1009.9,10680.0
50,1984-03,22.4,,,0.5,,,,,1010.9,9840.0
51,1984-04,20.4,,,0.5,,,,,1012.3,10620.0
52,1984-05,18.5,,,0.5,,,,,1013.2,9360.0
53,1984-06,17.8,16.0,,0.5,,,,,1013.9,2460.0
