,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-6.3,,,10.0,,,,,1019.5,
1,1980-02,-1.6,,,11.0,,,,,1023.6,
2,1980-03,-0.4,,,20.0,,,,,1015.7,
3,1980-04,6.6,,11.2,51.0,,,,,1014.0,
4,1980-05,9.9,4.8,14.8,33.0,,,,,1016.0,
5,1980-06,15.6,,,99.0,,,,,1010.3,
6,1980-07,16.6,13.1,20.9,90.0,,,,,1010.4,
7,1980-08,16.4,,21.1,44.0,,,,,1014.0,
8,1980-09,12.6,,,45.0,,,,,1019.4,
9,1980-10,8.3,,,140.0,,,,,1012.2,
10,1980-11,1.9,,4.3,25.0,,,,,1016.8,
11,1980-12,-0.7,,,29.0,,,,,1014.3,
12,1981-01,-3.3,,,32.0,,,,,1016.0,
13,1981-02,-0.9,,,14.0,,,,,1019.7,
14,1981-03,3.9,,,51.0,,,,,1011.7,
15,1981-04,5.9,,,16.0,,,,,1018.1,
16,1981-05,14.0,,19.2,66.0,,,,,1014.8,
17,1981-06,17.0,,,142.0,,,,,1015.1,
18,1981-07,18.0,,23.0,88.0,,,,,1014.4,
19,1981-08,16.6,,,66.0,,,,,1016.1,
20,1981-09,14.0,,,28.0,,,,,1018.3,
21,1981-10,8.8,,,54.0,,,,,1012.4,
22,1981-11,3.4,,,58.0,,,,,1016.7,
23,1981-12,-3.6,,,35.0,,,,,1003.7,
24,1982-01,-3.6,,,23.0,,,,,1018.1,
25,1982-02,-2.0,,,5.0,,,,,1025.9,
26,1982-03,3.5,,,53.0,,,,,1018.4,
27,1982-04,5.6,,,31.0,,,,,1014.5,
28,1982-05,14.2,,,58.0,,,,,1019.5,
29,1982-06,15.7,,,87.0,,,,,1013.4,
30,1982-07,19.2,,,15.0,,,,,1015.7,
31,1982-08,17.4,,,75.0,,,,,1014.3,
32,1982-09,15.1,,,14.0,,,,,1018.9,
33,1982-10,8.7,,,25.0,,,,,1016.5,
34,1982-11,4.6,,,29.0,,,,,1018.4,
35,1982-12,1.1,,,44.0,,,,,1012.8,
36,1983-01,3.2,,,38.0,,,,,1013.4,
37,1983-02,-2.6,,,28.0,,,,,1016.8,
38,1983-03,4.0,,,47.0,,,,,1013.3,
39,1983-04,9.7,,,45.0,,,,,1009.3,
40,1983-05,15.6,,,78.0,,,,,1009.9,
41,1983-06,17.0,,,34.0,,,,,1016.9,
42,1983-07,19.4,,,37.0,,,,,1014.4,
43,1983-08,18.5,,,63.0,,,,,1017.1,
44,1983-09,14.6,,,12.0,,,,,1015.9,
45,1983-10,8.7,,,34.0,,,,,1018.8,
46,1983-11,2.0,,,16.0,,,,,1016.1,
47,1983-12,-0.8,,,35.0,,,,,1018.0,
48,1984-01,0.1,,,23.0,,,,,1011.2,
49,1984-02,-1.7,,,16.0,,,,,1024.5,
50,1984-03,1.2,,,24.0,,,,,1018.7,
51,1984-04,9.1,,,5.0,,,,,1018.6,
52,1984-05,13.7,,,99.0,,,,,1009.9,
53,1984-06,14.4,,,48.0,,,,,1012.6,
54,1984-07,15.7,,,101.0,,,,,1015.1,
55,1984-08,18.0,,,32.0,,,,,1017.4,
56,1984-09,13.3,,,92.0,,,,,1010.0,
57,1984-10,10.3,,,18.0,,,,,1017.6,
58,1984-11,2.1,,,28.0,,,,,1019.3,
59,1984-12,-1.3,,,7.0,,,,,1025.8,
60,1985-01,-8.3,,,13.0,,,,,1014.9,
61,1985-02,-9.2,,,20.0,,,,,1020.7,
62,1985-03,2.0,,,35.0,,,,,1017.5,
