,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,8.2,14.8,53.0,,,,,,
1,1980-02,,9.4,16.9,64.9,,,,,,
2,1980-03,,10.0,17.2,93.2,,,,,,
3,1980-04,,12.3,21.0,19.2,,,,,,
4,1980-05,,13.0,21.1,71.5,,,,,,
5,1980-06,,15.1,24.6,2.8,,,,,,
6,1980-07,22.0,16.5,27.5,2.0,,,,,1018.6,
7,1980-08,23.2,18.3,28.3,20.0,,,,,1018.5,
8,1980-09,22.6,17.2,28.1,6.0,,,,,1019.3,
9,1980-10,18.6,14.3,22.2,73.0,,,,,1018.2,
10,1980-11,13.7,10.5,16.7,87.0,,,,,1019.1,
11,1980-12,10.6,7.4,14.8,14.0,,,,,1028.2,
12,1981-01,,7.8,15.6,12.0,,,,,,
13,1981-02,11.7,7.5,16.0,34.0,,,,,1021.4,
14,1981-03,14.6,11.2,18.0,74.0,,,,,1018.2,
15,1981-04,14.6,11.0,18.5,82.0,,,,,1015.8,
16,1981-05,16.4,12.4,20.3,53.0,,,,,1017.3,
17,1981-06,,17.6,26.9,3.7,,,,,,
18,1981-07,,18.4,28.5,4.2,,,,,,
19,1981-08,22.7,17.6,27.9,0.0,,,,,1017.4,
20,1981-09,22.0,17.6,26.1,27.0,,,,,1019.1,
21,1981-10,19.1,15.2,22.8,30.0,,,,,1019.7,
22,1981-11,17.5,13.2,21.4,2.0,,,,,1024.6,
23,1981-12,14.2,11.1,16.8,257.0,,,,,1016.2,
24,1982-01,12.4,9.2,15.6,113.0,,,,,1021.5,
25,1982-02,13.0,9.8,16.4,95.0,,,,,1020.6,
26,1982-03,14.7,10.5,18.6,22.0,,,,,1021.4,
27,1982-04,16.8,12.4,20.9,84.0,,,,,1014.2,
28,1982-05,18.0,13.6,22.5,4.0,,,,,1019.3,
29,1982-06,20.1,15.7,24.9,13.0,,,,,1019.3,
30,1982-07,,16.6,24.5,10.6,,,,,,
31,1982-08,23.2,18.1,28.6,9.0,,,,,1017.5,
32,1982-09,21.6,17.9,26.3,9.0,,,,,1017.8,
33,1982-10,,13.6,21.4,23.3,,,,,,
34,1982-11,14.3,11.1,16.7,125.0,,,,,1020.7,
35,1982-12,11.6,8.7,14.3,28.0,,,,,1027.3,
36,1983-01,10.6,6.8,14.7,6.0,,,,,1032.6,
37,1983-02,10.9,7.8,14.2,144.0,,,,,1020.5,
38,1983-03,15.7,11.5,19.7,2.0,,,,,1022.1,
39,1983-04,14.6,10.8,18.1,79.0,,,,,1005.4,
40,1983-05,15.7,11.9,19.6,58.0,,,,,1017.5,
41,1983-06,21.3,16.9,25.9,8.0,,,,,1018.2,
42,1983-07,20.9,17.2,24.8,10.0,,,,,1016.7,
43,1983-08,22.4,18.0,26.8,2.0,,,,,1018.1,
44,1983-09,23.0,17.7,28.2,0.0,,,,,1019.1,
45,1983-10,20.1,15.7,23.9,42.0,,,,,1022.2,
46,1983-11,17.9,13.9,19.2,344.0,,,,,1015.0,
47,1983-12,12.4,9.1,15.1,109.0,,,,,1020.9,
48,1984-01,11.4,8.1,14.6,41.0,,,,,1027.9,
49,1984-02,11.9,8.0,15.4,11.0,,,,,1024.6,
50,1984-03,12.2,8.5,16.2,71.0,,,,,1015.7,
51,1984-04,17.4,13.4,21.3,26.0,,,,,1015.1,
52,1984-05,14.8,11.1,18.6,66.0,,,,,1014.2,
53,1984-06,20.0,15.7,24.5,23.0,,,,,1018.2,
54,1984-07,21.7,16.5,27.5,2.0,,,,,1019.1,
55,1984-08,22.9,17.7,28.3,3.0,,,,,1017.7,
56,1984-09,22.1,16.7,26.8,8.0,,,,,1018.2,
57,1984-10,18.0,13.5,22.2,56.0,,,,,1021.5,
58,1984-11,14.8,11.8,17.5,135.0,,,,,1013.9,
59,1984-12,12.8,9.7,15.7,69.0,,,,,1023.7,
60,1985-01,9.8,6.2,13.4,228.0,,,,,1016.2,
61,1985-02,13.6,10.7,16.3,170.0,,,,,1017.7,
62,1985-03,13.3,9.7,17.2,28.0,,,,,1021.4,
63,1985-04,15.6,12.1,19.5,120.0,,,,,1015.9,
64,1985-05,16.7,12.6,19.5,36.0,,,,,1015.5,
65,1985-06,20.1,15.9,24.8,18.0,,,,,1017.9,
66,1985-07,22.4,17.8,27.1,1.0,,,,,1019.0,
67,1985-08,22.7,17.5,28.1,0.0,,,,,1020.2,
68,1985-09,23.7,18.7,28.5,1.0,,,,,1019.2,
69,1985-10,20.5,15.9,24.6,1.0,,,,,1021.1,
70,1985-11,14.3,11.3,17.3,138.0,,,,,1017.4,
71,1985-12,12.3,9.0,15.3,96.0,,,,,1022.3,
72,1986-01,11.5,8.2,14.5,52.0,,,,,1026.4,
73,1986-02,11.9,9.0,14.9,161.0,,,,,1013.3,
74,1986-03,13.2,9.4,17.4,28.0,,,,,1023.2,
75,1986-04,12.9,9.1,16.9,39.0,,,,,1016.8,
76,1986-05,18.2,13.6,22.8,26.0,,,,,1020.0,
77,1986-06,20.6,15.8,25.3,7.0,,,,,1018.2,
78,1986-07,23.4,18.2,28.6,0.0,,,,,1018.7,22260.0
79,1986-08,21.8,17.2,26.5,3.0,,,,,1019.2,19980.0
80,1986-09,22.1,18.3,25.9,67.0,,,,,1019.6,12840.0
81,1986-10,19.8,16.1,23.3,28.0,,,,,1021.4,14580.0
82,1986-11,14.7,11.0,17.9,93.0,,,,,1024.2,10800.0
83,1986-12,11.8,8.5,15.4,58.0,,,,,1030.2,8940.0
84,1987-01,11.2,8.0,14.2,129.0,,,,,1019.0,8160.0
85,1987-02,12.0,8.8,15.7,169.0,,,,,1020.4,8580.0
86,1987-03,15.6,11.6,19.3,31.0,,,,,1020.7,13680.0
87,1987-04,16.2,12.5,20.2,46.0,,,,,1018.7,13740.0
88,1987-05,18.5,14.1,23.1,0.5,,,,,1018.3,17340.0
89,1987-06,21.2,16.3,26.4,4.0,,,,,1020.4,19920.0
90,1987-07,23.6,18.5,28.7,1.0,,,,,1017.1,19680.0
91,1987-08,23.8,18.9,28.2,29.0,,,,,1017.0,18780.0
92,1987-09,24.1,19.9,28.4,22.0,,,,,1018.7,14280.0
93,1987-10,17.0,14.1,19.4,110.0,,,,,1017.2,7560.0
94,1987-11,14.7,11.7,17.2,65.0,,,,,1021.1,9480.0
95,1987-12,13.4,11.0,16.0,179.0,,,,,1018.7,5940.0
96,1988-01,12.4,9.5,15.2,120.0,,,,,1021.9,7740.0
97,1988-02,12.0,8.8,15.1,120.0,,,,,1022.0,10500.0
98,1988-03,14.6,10.4,19.1,8.0,,,,,1024.0,15540.0
99,1988-04,15.3,12.0,18.7,45.0,,,,,1017.1,12600.0
100,1988-05,16.8,13.4,20.7,60.0,,,,,1016.4,14880.0
101,1988-06,19.5,15.9,22.8,69.0,,,,,1015.4,14460.0
102,1988-07,21.8,17.4,26.8,42.0,,,,,1019.5,20820.0
