,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,21.7,31.1,60.4,,,,,,
1,1980-02,25.9,21.7,31.9,244.0,,,,,1007.9,10620.0
2,1980-03,25.9,21.8,32.0,105.8,,,,,,
3,1980-04,26.0,22.0,31.7,207.6,,,,,,
4,1980-05,25.3,21.9,30.2,87.2,,,,,,
5,1980-06,22.8,19.4,27.4,11.0,,,,,1012.8,7080.0
6,1980-07,21.8,18.1,26.4,0.3,,,,,1013.1,6900.0
7,1980-08,23.2,18.9,28.3,20.5,,,,,,
8,1980-09,25.0,21.1,30.3,34.0,,,,,,
9,1980-10,,21.6,30.9,122.9,,,,,,
10,1980-11,,21.6,31.0,345.2,,,,,,
11,1980-12,,21.5,30.0,272.8,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,25.8,,,143.0,,,,,1008.7,12360.0
15,1981-04,26.5,,,250.0,,,,,1008.2,12180.0
16,1981-05,,,,,,,,,,
17,1981-06,23.7,,,17.0,,,,,1011.9,11520.0
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,24.6,,,,,,,,1011.1,8040.0
21,1981-10,,,,,,,,,,
22,1981-11,24.1,,,,,,,,1009.2,10080.0
23,1981-12,,,,,,,,,,
24,1982-01,25.6,,,,,,,,1008.8,10200.0
25,1982-02,25.8,,,195.0,,,,,1008.4,10380.0
26,1982-03,26.3,,,306.0,,,,,1008.1,12900.0
27,1982-04,26.0,,,155.0,,,,,1008.7,8220.0
28,1982-05,25.8,,,195.0,,,,,1008.4,6000.0
29,1982-06,21.5,,,,,,,,1013.0,6720.0
30,1982-07,22.0,,,,,,,,1012.8,7020.0
31,1982-08,23.3,,,0.5,,,,,1012.5,6540.0
32,1982-09,24.8,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,25.2,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,,,,,,,,,,
