,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-11.3,-14.5,-7.5,29.0,,,,,1019.4,
1,1980-02,-7.1,-10.4,-4.0,23.0,,,,,1024.4,
2,1980-03,-6.4,-11.0,-1.8,19.0,,,,,1024.1,
3,1980-04,5.8,1.9,10.1,34.0,,,,,1014.1,
4,1980-05,8.4,4.5,12.7,88.0,,,,,1014.4,
5,1980-06,17.9,12.4,23.2,136.0,,,,,1010.9,
6,1980-07,17.2,13.3,21.6,102.0,,,,,1009.3,
7,1980-08,14.7,11.3,18.6,140.0,,,,,1008.6,
8,1980-09,10.5,6.8,14.6,50.0,,,,,1015.2,
9,1980-10,5.2,2.1,8.5,36.0,,,,,1017.3,
10,1980-11,-2.0,-4.6,0.2,48.0,,,,,1013.4,
11,1980-12,-4.2,-6.7,-1.7,56.0,,,,,1010.7,
12,1981-01,-5.4,-7.5,-3.3,64.0,,,,,1013.8,
13,1981-02,-4.9,-7.7,-2.2,29.0,,,,,1020.1,
14,1981-03,-3.1,-6.8,0.7,45.0,,,,,1012.5,
15,1981-04,3.3,-0.3,7.6,25.0,,,,,1012.3,
16,1981-05,14.0,8.0,20.0,21.0,,,,,1017.9,
17,1981-06,19.8,14.3,25.3,59.0,,,,,1015.2,
18,1981-07,21.5,15.6,27.2,91.0,,,,,1014.3,
19,1981-08,17.4,13.1,22.2,84.0,,,,,1011.7,
20,1981-09,10.8,7.8,14.8,115.0,,,,,1016.6,
21,1981-10,7.8,4.6,11.0,64.0,,,,,1016.1,
22,1981-11,-0.6,-1.9,0.7,62.0,,,,,1014.2,
23,1981-12,-3.5,-5.7,-1.4,112.0,,,,,1009.5,
24,1982-01,-10.1,-13.6,-7.0,61.0,,,,,1011.9,
25,1982-02,-8.8,-12.5,-4.8,8.0,,,,,1023.8,
26,1982-03,-0.6,-4.0,2.8,16.0,,,,,1019.1,
27,1982-04,5.3,1.5,9.5,60.0,,,,,1011.3,
28,1982-05,12.0,7.3,16.5,63.0,,,,,1017.4,
29,1982-06,13.8,9.3,18.7,70.0,,,,,1009.3,
30,1982-07,18.4,13.8,22.9,106.0,,,,,1012.5,
31,1982-08,16.6,12.4,21.6,79.0,,,,,1013.1,
32,1982-09,11.8,7.6,16.2,60.0,,,,,1016.7,
33,1982-10,4.1,1.2,6.8,60.0,,,,,1017.6,
34,1982-11,2.0,0.0,4.2,57.0,,,,,1016.2,
35,1982-12,-1.1,-3.0,0.8,61.0,,,,,1010.8,
36,1983-01,-4.0,-6.3,-1.8,67.0,,,,,1004.1,
37,1983-02,-6.9,-9.8,-4.3,55.0,,,,,1012.7,
38,1983-03,-1.4,-4.8,2.4,25.0,,,,,1012.0,
39,1983-04,9.3,5.5,13.7,74.0,,,,,1013.4,
40,1983-05,15.6,10.1,20.7,9.0,,,,,1014.9,
41,1983-06,14.5,10.1,19.3,83.0,,,,,1011.8,
42,1983-07,17.9,13.9,22.6,76.0,,,,,1009.4,
43,1983-08,16.0,11.4,20.8,47.0,,,,,1014.6,
44,1983-09,12.4,8.0,17.3,54.0,,,,,1014.0,
45,1983-10,6.2,3.3,9.2,90.0,,,,,1010.8,
46,1983-11,-1.5,-4.0,1.2,87.0,,,,,1005.6,
47,1983-12,-3.2,-5.3,-1.2,39.0,,,,,1013.6,
48,1984-01,-4.4,-6.7,-2.3,33.0,,,,,1017.8,
49,1984-02,-10.3,-13.8,-6.6,2.0,,,,,1041.0,
50,1984-03,-2.3,-5.3,0.6,25.0,,,,,1024.8,
51,1984-04,7.5,2.4,12.5,11.0,,,,,1021.8,
52,1984-05,16.0,10.5,21.6,48.0,,,,,1016.6,
53,1984-06,15.6,10.7,20.5,82.0,,,,,1009.9,
54,1984-07,17.6,13.2,22.1,165.0,,,,,1010.0,
55,1984-08,15.1,10.8,20.1,39.0,,,,,1013.1,
56,1984-09,12.4,8.9,16.5,121.0,,,,,1012.4,
57,1984-10,6.8,4.1,9.9,51.0,,,,,1015.2,
58,1984-11,-3.5,-5.9,-0.6,28.0,,,,,1024.1,
59,1984-12,-9.6,-12.0,-7.0,38.0,,,,,1032.1,
60,1985-01,-10.0,-14.0,-6.4,71.0,,,,,1013.5,
61,1985-02,-14.0,-18.0,-9.8,26.0,,,,,1018.7,
62,1985-03,-3.1,-6.8,0.7,7.0,,,,,1028.3,
63,1985-04,5.3,1.5,9.7,45.0,,,,,1010.1,
64,1985-05,13.0,7.2,18.8,58.0,,,,,1017.1,
65,1985-06,14.6,10.8,19.1,109.0,,,,,1006.8,
66,1985-07,16.4,12.2,21.3,110.0,,,,,1010.0,
67,1985-08,19.4,14.4,25.1,24.0,,,,,1016.2,
68,1985-09,10.1,7.0,14.1,106.0,,,,,1010.6,
69,1985-10,6.1,3.9,8.6,63.0,,,,,1016.3,
70,1985-11,-3.3,-5.4,-1.4,73.0,,,,,1019.2,
71,1985-12,-6.5,-9.8,-4.0,74.0,,,,,1012.8,
72,1986-01,-6.7,-9.7,-4.0,76.0,,,,,1012.0,
73,1986-02,-13.5,-17.5,-9.2,27.0,,,,,1028.1,
74,1986-03,0.2,-3.5,4.3,7.0,,,,,1026.6,
75,1986-04,6.7,3.2,10.5,98.0,,,,,1015.8,
76,1986-05,13.6,7.7,19.0,7.0,,,,,1017.8,
77,1986-06,18.6,13.8,23.5,104.0,,,,,1012.4,
78,1986-07,17.8,12.9,23.1,101.0,,,,,1010.1,
79,1986-08,16.5,12.1,21.7,147.0,,,,,1012.5,
80,1986-09,8.6,5.4,12.2,71.0,,,,,1012.0,
81,1986-10,4.2,1.2,7.8,65.0,,,,,1017.5,
82,1986-11,-0.1,-1.7,1.5,33.0,,,,,1023.5,
83,1986-12,-7.5,-10.9,-4.3,43.0,,,,,1014.1,
84,1987-01,-17.5,-20.9,-14.4,36.0,,,,,1018.7,
85,1987-02,-6.0,-9.6,-2.7,22.0,,,,,1014.4,
86,1987-03,-5.3,-9.7,-1.3,19.0,,,,,1025.8,
87,1987-04,2.8,-1.1,6.8,20.0,,,,,1015.3,
88,1987-05,12.8,7.4,18.1,93.0,,,,,1013.9,
89,1987-06,17.7,13.7,22.1,117.0,,,,,1013.6,
90,1987-07,16.8,12.5,21.4,46.0,,,,,1012.2,
91,1987-08,15.1,10.9,19.9,57.0,,,,,1010.2,
92,1987-09,9.0,6.2,12.5,63.0,,,,,1011.0,
93,1987-10,3.6,0.1,7.5,0.5,,,,,1038.1,
94,1987-11,-3.6,-6.1,-1.1,51.0,,,,,1020.2,
95,1987-12,-7.0,-10.9,-3.3,46.0,,,,,1011.6,
96,1988-01,-8.2,-9.3,-5.3,18.0,,,,,1023.7,
97,1988-02,-6.1,-8.7,-3.5,69.0,,,,,1022.1,
98,1988-03,-1.0,-3.7,2.0,38.0,,,,,1015.5,
99,1988-04,5.3,1.0,10.3,26.0,,,,,1016.1,
100,1988-05,13.8,8.2,19.4,44.0,,,,,1018.3,
101,1988-06,19.5,14.7,24.8,104.0,,,,,1009.4,
102,1988-07,21.6,16.9,27.0,47.0,,,,,1012.7,
103,1988-08,16.5,12.8,21.1,95.0,,,,,1009.8,
104,1988-09,11.3,8.0,15.2,37.0,,,,,1004.2,
105,1988-10,4.9,1.5,8.6,28.0,,,,,1022.6,
106,1988-11,-4.4,-7.2,-2.1,55.0,,,,,1011.4,
107,1988-12,-6.9,-10.1,-4.3,83.0,,,,,1008.5,
108,1989-01,-2.1,-4.5,0.1,46.0,,,,,1012.4,
109,1989-02,-0.5,-2.9,1.7,32.0,,,,,1013.5,
110,1989-03,2.0,-0.7,4.9,46.0,,,,,1016.0,
111,1989-04,7.7,3.1,12.6,42.0,,,,,1019.8,
112,1989-05,13.4,8.1,19.0,33.0,,,,,1016.1,
113,1989-06,20.1,15.2,26.0,105.0,,,,,1014.6,
114,1989-07,19.2,14.4,24.2,83.0,,,,,1013.7,
115,1989-08,16.2,12.1,21.0,139.0,,,,,1011.1,
116,1989-09,12.2,7.7,17.5,28.0,,,,,1018.2,
117,1989-10,5.3,2.9,7.7,123.0,,,,,1011.2,
118,1989-11,-2.6,-5.0,-0.6,57.0,,,,,1017.7,
119,1989-12,-5.3,-8.2,-2.8,71.0,,,,,1009.5,
120,1990-01,-5.7,-8.3,-3.1,53.0,,,,,1014.9,
121,1990-02,0.4,-1.2,1.9,64.0,,,,,1010.7,
122,1990-03,2.0,-1.0,5.3,72.0,,,,,1008.9,
123,1990-04,8.1,3.8,12.7,22.0,,,,,1015.6,
124,1990-05,10.8,5.5,16.0,60.0,,,,,1014.5,
125,1990-06,14.5,9.4,19.2,60.0,,,,,1009.5,
126,1990-07,17.5,13.6,22.0,117.0,,,,,1010.1,
127,1990-08,16.0,11.7,20.5,79.0,,,,,1012.9,
128,1990-09,9.3,6.5,12.5,110.0,,,,,1010.2,
129,1990-10,5.4,2.3,8.6,85.0,,,,,1015.7,
130,1990-11,0.3,-1.8,2.1,88.0,,,,,1010.9,
131,1990-12,-3.4,-5.1,-1.8,15.0,,,,,1022.6,
132,1991-01,-6.2,-9.0,-3.5,48.0,,,,,1015.5,
133,1991-02,-6.7,-9.5,-4.1,36.0,,,,,1023.7,
134,1991-03,-1.2,-4.8,2.6,23.0,,,,,1022.7,
135,1991-04,7.0,2.9,11.7,48.0,,,,,1019.4,
136,1991-05,13.4,8.7,18.6,62.0,,,,,1012.5,
137,1991-06,18.8,14.1,23.8,162.0,,,,,1012.8,
138,1991-07,18.1,13.7,22.7,84.0,,,,,1012.5,
139,1991-08,16.1,12.1,20.8,131.0,,,,,1013.1,
140,1991-09,11.0,7.2,15.2,73.0,,,,,1013.0,
141,1991-10,6.5,3.7,9.9,115.0,,,,,1021.0,
142,1991-11,1.0,-0.7,2.8,41.0,,,,,1020.9,
143,1991-12,-4.0,-6.0,-1.9,39.0,,,,,1013.7,
144,1992-01,-5.3,-8.2,-2.3,53.0,,,,,1010.3,
145,1992-02,-4.3,-6.8,-1.9,36.0,,,,,1013.0,
146,1992-03,1.6,-1.0,4.9,39.0,,,,,1017.7,
147,1992-04,5.1,1.4,9.4,34.0,,,,,1011.9,
148,1992-05,11.9,6.2,17.5,33.0,,,,,1019.7,
149,1992-06,16.7,11.3,22.1,33.0,,,,,1016.5,
150,1992-07,18.6,12.4,24.0,23.0,,,,,1014.2,
151,1992-08,18.0,13.1,23.0,51.0,,,,,1014.1,
152,1992-09,13.1,9.3,17.4,51.0,,,,,1018.9,
153,1992-10,2.2,-0.3,5.1,130.0,,,,,1008.3,
154,1992-11,-2.5,-4.5,-0.7,54.0,,,,,1013.6,
155,1992-12,-4.4,-6.6,-2.4,18.0,,,,,1021.1,
156,1993-01,-4.4,-7.0,-2.2,82.0,89.0,,,,1008.7,
157,1993-02,-4.9,-8.2,-1.9,51.0,531.0,,,,1018.7,
158,1993-03,-1.9,-5.2,1.2,27.0,,,,,1016.4,
159,1993-04,5.7,1.7,9.9,32.0,,,,,1015.8,
160,1993-05,14.5,8.1,20.6,21.0,,,,,1019.3,
161,1993-06,14.0,9.0,18.7,121.0,,,,,1008.2,
162,1993-07,17.5,13.6,22.2,111.0,,,,,1008.9,
163,1993-08,15.4,11.6,20.0,142.0,,,,,1013.3,
164,1993-09,6.9,3.5,10.7,113.0,,,,,1013.8,
