,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,20.8,,,75.0,,,,,,
10,1980-11,19.1,,,157.0,,,,,,
11,1980-12,20.0,,,73.0,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,20.0,,,142.0,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,20.3,,,86.0,,,,,,
21,1981-10,20.2,,,105.0,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,19.8,,,64.0,,,,,,
25,1982-02,,,,41.0,,,,,,
26,1982-03,,,,48.0,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,19.7,,,133.0,,,,,,
29,1982-06,20.3,,,18.0,,,,,,
30,1982-07,20.4,,,3.0,,,,,,
31,1982-08,21.8,,,4.0,,,,,,
32,1982-09,21.1,,,101.0,,,,,,
33,1982-10,19.4,,,126.0,,,,,,
34,1982-11,19.7,,,112.0,,,,,,
35,1982-12,20.5,,,126.0,,,,,,
36,1983-01,21.4,,,31.0,,,,,,
37,1983-02,21.7,,,79.0,,,,,,
38,1983-03,21.1,,,60.0,,,,,,
39,1983-04,20.3,,,202.0,,,,,,
40,1983-05,20.8,,,25.0,,,,,,
41,1983-06,,,,,,,,,,
42,1983-07,21.7,,,1.0,,,,,,
43,1983-08,21.4,,,170.0,,,,,,
44,1983-09,21.4,,,41.0,,,,,,
45,1983-10,,,,,,,,,,
46,1983-11,19.4,,,142.0,,,,,,
47,1983-12,19.1,,,105.0,,,,,,
48,1984-01,19.6,,,60.0,,,,,,
49,1984-02,19.7,,,110.0,,,,,,
50,1984-03,20.0,,,97.0,,,,,,
51,1984-04,19.7,,,211.0,,,,,,
52,1984-05,20.6,,,29.0,,,,,,
53,1984-06,20.9,,,0.5,,,,,,
54,1984-07,20.5,,,53.0,,,,,,
55,1984-08,21.2,,,56.0,,,,,,
56,1984-09,21.0,,,34.0,,,,,,
57,1984-10,19.8,,,131.0,,,,,,
58,1984-11,18.8,,,131.0,,,,,,
59,1984-12,20.0,,,97.0,,,,,,
60,1985-01,19.8,,,61.0,,,,,,
61,1985-02,19.8,,,61.0,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,20.3,,,48.0,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,20.0,,,102.0,,,,,,
69,1985-10,19.7,,,113.0,,,,,,
70,1985-11,19.4,,,201.0,,,,,,
71,1985-12,19.7,,,38.0,,,,,,
72,1986-01,20.4,,,67.0,,,,,,
73,1986-02,20.0,,,104.0,,,,,,
74,1986-03,19.6,,,90.0,,,,,,
75,1986-04,19.3,,,274.0,,,,,,
76,1986-05,19.7,,,80.0,,,,,,
77,1986-06,20.2,,,9.0,,,,,,
78,1986-07,20.5,,,0.0,,,,,,
79,1986-08,22.3,,,0.5,,,,,,
80,1986-09,21.6,,,12.0,,,,,,
81,1986-10,,,,,,,,,,
82,1986-11,,,,,,,,,,
83,1986-12,,,,,,,,,,
84,1987-01,19.9,,,76.0,,,,,,
85,1987-02,21.0,,,89.0,,,,,,
86,1987-03,20.8,,,99.0,,,,,,
87,1987-04,20.5,,,159.0,,,,,,
88,1987-05,20.3,,,214.0,,,,,,
89,1987-06,20.5,,,25.0,,,,,,
90,1987-07,21.9,,,0.5,,,,,,
91,1987-08,22.3,,,11.0,,,,,,
92,1987-09,,,,,,,,,,
93,1987-10,20.6,,,98.0,,,,,,
94,1987-11,19.9,,,208.0,,,,,,
95,1987-12,21.8,,,34.0,,,,,,
