,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,,,,,,,,,,
20,1981-09,,,,,,,,,,
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,,,,,,,
26,1982-03,,,,,,,,,,
27,1982-04,,,,,,,,,,
28,1982-05,,,,,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,,,,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,,,,,,,,,,
37,1983-02,,,,,,,,,,
38,1983-03,,,,,,,,,,
39,1983-04,,,,,,,,,,
40,1983-05,,,,,,,,,,
41,1983-06,,,,,,,,,,
42,1983-07,,,,,,,,,,
43,1983-08,,,,,,,,,,
44,1983-09,,,,,,,,,,
45,1983-10,,,,,,,,,,
46,1983-11,,,,,,,,,,
47,1983-12,,,,,,,,,,
48,1984-01,,,,,,,,,,
49,1984-02,,,,,,,,,,
50,1984-03,,,,,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,,,,,,,,,,
55,1984-08,,,,,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,,,,,,,,,,
58,1984-11,,,,,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,,,,,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,,,,,,,,,,
66,1985-07,,,,,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,,,,,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,,,,,,,,,,
72,1986-01,25.2,,,98.0,,,,,1018.6,15480.0
73,1986-02,25.0,,,10.0,,,,,1017.5,14580.0
74,1986-03,25.3,,,49.0,,,,,1018.4,17040.0
75,1986-04,26.7,,,92.0,,,,,1015.7,14640.0
76,1986-05,27.1,,,182.0,,,,,1015.8,8760.0
77,1986-06,27.8,,,35.0,,,,,1018.7,14100.0
78,1986-07,28.2,,,54.0,,,,,1019.8,16380.0
79,1986-08,28.4,,,91.0,,,,,1016.7,14820.0
80,1986-09,28.6,,,31.0,,,,,1016.2,14880.0
81,1986-10,28.4,,,130.0,,,,,1015.0,15900.0
82,1986-11,26.8,,,314.0,,,,,1014.3,12120.0
83,1986-12,26.2,,,83.0,,,,,1017.1,14220.0
84,1987-01,25.9,,,37.0,,,,,1016.9,14940.0
85,1987-02,25.9,,,13.0,,,,,1016.3,14160.0
86,1987-03,25.9,,,100.0,,,,,1014.2,13860.0
87,1987-04,27.6,,,75.0,,,,,1014.7,14760.0
88,1987-05,27.9,,,241.0,,,,,1013.8,10500.0
89,1987-06,29.5,,,159.0,,,,,1017.1,10380.0
90,1987-07,28.7,,,58.0,,,,,1016.4,11880.0
91,1987-08,29.3,,,87.0,,,,,1015.7,14580.0
92,1987-09,29.5,,,188.0,,,,,1014.9,13440.0
93,1987-10,29.7,,,94.0,,,,,1013.5,14580.0
94,1987-11,27.9,,,325.0,,,,,1014.0,10380.0
95,1987-12,26.9,,,88.0,,,,,1017.2,14520.0
96,1988-01,25.8,,,92.0,,,,,1018.7,14100.0
97,1988-02,25.6,,,82.0,,,,,1017.4,13680.0
