,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-1.6,,,82.0,,,,,1007.2,
1,1980-02,-3.0,,,65.0,,,,,1004.9,
2,1980-03,-1.4,,,131.0,,,,,1011.1,5760.0
3,1980-04,2.3,,,104.0,,,,,1017.6,
4,1980-05,4.4,,,102.0,,,,,1009.6,
5,1980-06,8.4,,,135.0,,,,,1012.5,9000.0
6,1980-07,12.0,,,147.0,,,,,1013.1,
7,1980-08,14.4,,,114.0,,,,,1012.4,11520.0
8,1980-09,11.7,,,141.0,,,,,1015.3,11040.0
9,1980-10,8.4,,,166.0,,,,,1011.8,6360.0
10,1980-11,4.5,,,121.0,,,,,1005.1,3900.0
11,1980-12,-0.5,,,85.0,,,,,1011.7,
12,1981-01,-1.6,,,82.0,,,,,1007.2,
13,1981-02,-0.7,,,55.0,,,,,1023.3,4200.0
14,1981-03,1.2,,,101.0,,,,,1000.6,
15,1981-04,2.6,,,61.0,,,,,1010.2,
16,1981-05,6.4,,,111.0,,,,,1017.2,
17,1981-06,9.9,,,118.0,,,,,1011.5,9420.0
18,1981-07,13.9,,,125.0,,,,,1013.0,
19,1981-08,15.5,,,64.0,,,,,1015.5,10560.0
20,1981-09,14.2,,,177.0,,,,,1013.2,
21,1981-10,10.0,,,167.0,,,,,1016.3,7500.0
22,1981-11,5.7,,,161.0,,,,,1008.4,3060.0
23,1981-12,2.5,,,129.0,,,,,1008.0,1680.0
24,1982-01,-2.6,,,114.0,,,,,1005.2,2760.0
25,1982-02,-4.6,,,118.0,,,,,1009.7,3240.0
26,1982-03,-2.4,,,67.0,,,,,1013.9,8040.0
27,1982-04,1.2,,,,,,,,,
28,1982-05,5.1,,,83.0,,,,,1016.3,8580.0
29,1982-06,7.9,,,147.0,,,,,1016.8,11400.0
30,1982-07,13.0,10.2,,58.0,,,,,1013.9,11280.0
31,1982-08,14.8,,,110.0,,,,,1016.1,11760.0
32,1982-09,13.7,,,136.0,,,,,1017.9,8700.0
33,1982-10,8.1,,,54.0,,,,,1014.3,8700.0
34,1982-11,5.3,,,130.0,,,,,1018.2,
35,1982-12,0.5,,,184.0,,,,,1017.3,
36,1983-01,-0.8,,,149.0,,,,,1014.5,
37,1983-02,-2.3,,,80.0,,,,,1011.1,
38,1983-03,-0.1,,,102.0,,,,,1011.3,4080.0
39,1983-04,3.2,,,154.0,,,,,1019.5,4680.0
40,1983-05,6.1,,,107.0,,,,,1018.5,4860.0
41,1983-06,9.8,,,151.0,,,,,1014.3,9060.0
42,1983-07,14.6,,,169.0,,,,,1012.5,8580.0
43,1983-08,14.6,,,130.0,,,,,1015.3,8520.0
44,1983-09,13.6,,,171.0,,,,,1015.5,6960.0
45,1983-10,9.7,,,83.0,,,,,1018.8,7980.0
46,1983-11,4.7,,,123.0,,,,,1010.3,3960.0
47,1983-12,0.0,,,121.0,,,,,1014.3,2100.0
48,1984-01,-2.6,,,121.0,,,,,1018.2,2820.0
49,1984-02,-1.2,,,115.0,,,,,1013.7,3360.0
50,1984-03,-0.6,,,70.0,,,,,1013.6,4740.0
51,1984-04,2.0,,,117.0,,,,,1013.6,5640.0
52,1984-05,6.1,,,155.0,,,,,1015.5,7800.0
53,1984-06,9.1,,,110.0,,,,,1014.0,6960.0
54,1984-07,14.8,,,55.0,,,,,1015.6,8640.0
55,1984-08,17.8,,,152.0,,,,,1015.2,10020.0
56,1984-09,13.1,,,156.0,,,,,1014.6,
57,1984-10,7.3,,,62.0,,,,,1017.4,8460.0
58,1984-11,4.4,,,64.0,,,,,1012.1,3780.0
59,1984-12,0.4,,,91.0,,,,,1015.2,2580.0
60,1985-01,-3.8,,,51.0,,,,,995.5,
61,1985-02,-4.0,,,71.0,,,,,1011.8,3240.0
62,1985-03,-3.2,,,48.0,,,,,1008.1,6900.0
63,1985-04,-0.1,,,39.0,,,,,1009.9,8940.0
64,1985-05,4.1,,,112.0,,,,,1011.7,12060.0
65,1985-06,7.6,,,128.0,,,,,1014.6,
66,1985-07,13.5,,,167.0,,,,,1015.0,8820.0
67,1985-08,14.9,,,106.0,,,,,1016.5,9960.0
68,1985-09,12.6,,,72.0,,,,,1016.5,11700.0
69,1985-10,7.7,,,84.0,,,,,1013.9,5880.0
70,1985-11,2.9,,5.6,99.0,,,,,1015.8,4620.0
71,1985-12,-1.2,,,63.0,,,,,1008.0,2520.0
72,1986-01,-1.7,,,71.0,,,,,1012.2,2520.0
73,1986-02,-3.9,,,61.0,,,,,1005.1,4680.0
74,1986-03,-2.8,,,150.0,,,,,1013.7,7320.0
75,1986-04,1.8,,,185.0,,,,,1017.9,5640.0
76,1986-05,5.4,,,53.0,,,,,1016.0,11280.0
77,1986-06,8.9,,,70.0,,,,,1012.2,11100.0
78,1986-07,,,,47.0,,,,,,
