,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,3.0,,,,,,,,,
1,1980-02,5.3,,,,,,,,,
2,1980-03,8.8,,,,,,,,,
3,1980-04,10.4,,,,,,,,,
4,1980-05,14.6,,18.8,,,,,,,
5,1980-06,20.5,,,,,,,,,
6,1980-07,22.8,,,,,,,,,
7,1980-08,23.8,,,,,,,,,
8,1980-09,20.1,,24.8,,,,,,,
9,1980-10,15.1,,,,,,,,,
10,1980-11,7.2,,,,,,,,,
11,1980-12,3.1,,,,,,,,,
12,1981-01,2.1,,7.3,,,,,,,
13,1981-02,3.6,,,,,,,,,
14,1981-03,9.7,,,,,,,,,
15,1981-04,12.8,,,,,,,,,
16,1981-05,16.7,,,,,,,,,
17,1981-06,20.7,,,,,,,,,
18,1981-07,22.8,,,,,,,,,
19,1981-08,22.8,,,,,,,,,
20,1981-09,20.0,,,,,,,,,
21,1981-10,15.9,,,,,,,,,
22,1981-11,6.8,,,,,,,,,
23,1981-12,5.9,,,,,,,,,
24,1982-01,3.1,,,,,,,,,
25,1982-02,2.8,,,,,,,,,
26,1982-03,7.5,,,,,,,,,
27,1982-04,11.0,,,,,,,,,
28,1982-05,17.3,,,,,,,,,
29,1982-06,22.8,,,,,,,,,
30,1982-07,24.6,,,,,,,,,
31,1982-08,23.2,,,,,,,,,
32,1982-09,21.4,,,,,,,,,
33,1982-10,15.1,,,,,,,,,
34,1982-11,9.7,,,,,,,,,
35,1982-12,6.9,,,,,,,,,
36,1983-01,3.3,,,,,,,,,
37,1983-02,3.4,,,,,,,,,
38,1983-03,8.6,,,,,,,,,
39,1983-04,13.4,,,,,,,,,
40,1983-05,17.8,,,,,,,,,
41,1983-06,21.1,,,,,,,,,
42,1983-07,25.8,,,,,,,,,
43,1983-08,23.1,,,,,,,,,
44,1983-09,20.5,,,,,,,,,
45,1983-10,14.9,,,,,,,,,
46,1983-11,7.7,,,,,,,,,
47,1983-12,4.9,,,,,,,,,
48,1984-01,4.3,,,,,,,,,
49,1984-02,4.5,,,,,,,,,
50,1984-03,7.6,,,,,,,,,
51,1984-04,11.5,,,,,,,,,
52,1984-05,14.5,,,,,,,,,
53,1984-06,20.1,,,,,,,,,
54,1984-07,23.2,,,,,,,,,
55,1984-08,21.5,,,,,,,,,
56,1984-09,19.0,,,,,,,,,
57,1984-10,15.2,,,,,,,,,
58,1984-11,9.3,,,,,,,,,
59,1984-12,5.9,,,,,,,,,
60,1985-01,0.0,,,,,,,,,
61,1985-02,2.9,,,,,,,,,
62,1985-03,8.2,,,,,,,,,
63,1985-04,12.9,,17.7,,,,,,,
64,1985-05,17.2,,,,,,,,,
65,1985-06,20.7,,,,,,,,,
66,1985-07,24.5,,,,,,,,,
67,1985-08,23.8,,,,,,,,,
68,1985-09,20.9,,,,,,,,,
69,1985-10,15.3,,,,,,,,,
70,1985-11,8.3,,,,,,,,,
71,1985-12,5.7,,,,,,,,,
72,1986-01,4.3,,,,,,,,,
73,1986-02,2.8,,,,,,,,,
74,1986-03,7.9,,,,,,,,,
75,1986-04,13.1,,,,,,,,,
76,1986-05,19.3,,,,,,,,,
77,1986-06,20.1,,,,,,,,,
78,1986-07,22.5,,,,,,,,,
79,1986-08,24.2,,,,,,,,,
80,1986-09,19.0,,,,,,,,,
81,1986-10,14.9,,,,,,,,,
82,1986-11,9.4,,,,,,,,,
83,1986-12,4.2,,,,,,,,,
84,1987-01,2.2,,,,,,,,,
85,1987-02,5.1,,,,,,,,,
86,1987-03,5.8,,,,,,,,,
87,1987-04,12.5,,,,,,,,,
88,1987-05,15.6,,,,,,,,,
89,1987-06,20.2,,,,,,,,,
90,1987-07,24.8,,,,,,,,,
91,1987-08,23.5,,,,,,,,,
92,1987-09,22.4,,,,,,,,,
93,1987-10,16.4,,,,,,,,,
94,1987-11,9.7,,,,,,,,,
95,1987-12,5.0,,,75.0,,,,,1021.3,
96,1988-01,6.6,,,18.0,,,,,1016.8,
97,1988-02,6.6,,,67.0,,,,,1014.4,
98,1988-03,9.0,,,22.0,,,,,1011.0,
99,1988-04,12.2,,,47.0,,,,,1014.4,
100,1988-05,17.5,,,,,,,,1013.6,
101,1988-06,20.1,,,87.0,,,,,1012.5,
102,1988-07,25.2,,,0.5,,,,,1014.3,19200.0
103,1988-08,24.1,,,14.0,,,,,1013.5,16500.0
104,1988-09,19.6,,,23.0,,,,,1017.2,12480.0
105,1988-10,16.7,,,,,,,,1019.0,7740.0
106,1988-11,6.2,,,33.0,,,,,1021.2,4500.0
107,1988-12,4.7,,,9.0,,,,,1020.8,6000.0
108,1989-01,1.6,,,3.0,,,,,1032.1,6780.0
109,1989-02,3.6,,,10.0,,,,,1022.1,5580.0
110,1989-03,10.4,,,37.0,,,,,1016.7,11040.0
111,1989-04,13.4,,,33.0,,,,,1009.4,8580.0
112,1989-05,17.2,,,52.0,,,,,1017.8,14880.0
113,1989-06,20.3,,,22.0,,,,,1014.5,15000.0
114,1989-07,23.1,,,230.0,,,,,1016.3,15240.0
115,1989-08,22.8,,,226.0,,,,,1013.1,16080.0
116,1989-09,18.6,,,147.0,,,,,1016.5,9120.0
117,1989-10,13.0,,,6.0,,,,,1020.7,8760.0
118,1989-11,7.9,,,41.0,,,,,1018.1,5700.0
119,1989-12,5.4,,,1.0,,,,,,
120,1990-01,3.1,,,1.0,,,,,1026.1,6240.0
121,1990-02,7.8,,,,,,,,1019.6,7380.0
122,1990-03,9.2,,,88.0,,,,,1024.8,11880.0
123,1990-04,12.2,,,66.0,,,,,1012.6,11220.0
124,1990-05,17.6,,,28.0,,,,,1017.8,16320.0
125,1990-06,21.1,,,27.0,,,,,1013.9,16680.0
126,1990-07,23.2,,,36.0,,,,,1015.6,18060.0
127,1990-08,23.2,,,13.0,,,,,1017.3,17220.0
128,1990-09,19.7,,25.0,57.0,,,,,1015.7,10920.0
129,1990-10,16.2,,,82.0,,,,,1015.6,6060.0
130,1990-11,9.7,,,60.0,,,,,1014.1,6840.0
131,1990-12,4.1,,,68.0,,,,,1017.4,2880.0
132,1991-01,3.5,,,24.0,,,,,1025.5,4980.0
133,1991-02,2.3,,,24.0,,,,,1018.1,4800.0
134,1991-03,10.2,,,45.0,,,,,1014.9,6900.0
135,1991-04,10.6,,,130.0,,,,,1014.0,11700.0
136,1991-05,13.8,,,173.0,,,,,1014.4,11220.0
137,1991-06,20.9,,,61.0,,,,,1013.6,15720.0
138,1991-07,24.7,,,29.0,,,,,1013.9,17040.0
139,1991-08,24.2,,,22.0,,,,,1016.1,17460.0
140,1991-09,21.3,,,45.0,,,,,1016.7,12300.0
141,1991-10,13.9,,,68.0,,,,,1017.1,7200.0
142,1991-11,8.6,,,172.0,,,,,1016.0,4380.0
143,1991-12,2.4,,,18.0,,,,,1025.9,7320.0
144,1992-01,2.8,,,25.0,,,,,1028.6,3060.0
145,1992-02,4.4,,,23.0,,,,,1024.9,5760.0
146,1992-03,8.4,,,15.0,,,,,1016.7,7140.0
147,1992-04,12.8,,,47.0,,,,,,
148,1992-05,17.6,,,49.0,,,,,1017.1,15780.0
149,1992-06,20.2,,,94.0,,,,,1012.4,12300.0
150,1992-07,22.9,,,23.0,,,,,,
151,1992-08,25.9,,,14.0,,,,,1015.0,18300.0
152,1992-09,20.4,,,34.0,,,,,1018.5,13680.0
153,1992-10,15.4,,,250.0,,,,,1009.2,5280.0
154,1992-11,10.1,,,2.0,,,,,1018.5,4140.0
155,1992-12,6.4,,,0.5,,,,,1020.0,2460.0
156,1993-01,3.6,,,0.5,,,,,1027.5,4440.0
157,1993-02,3.5,,,0.0,,,,,1025.1,9540.0
158,1993-03,7.2,,,53.0,,,,,1018.8,9300.0
159,1993-04,12.4,,,53.0,,,,,1012.9,11040.0
160,1993-05,18.8,,,4.0,,,,,1013.4,15960.0
161,1993-06,22.2,,,30.0,,,,,1014.2,16260.0
162,1993-07,23.5,,,64.0,,,,,1015.4,16980.0
163,1993-08,24.7,,,93.0,,,,,1015.3,17520.0
164,1993-09,20.0,,,47.0,,,,,1013.4,11700.0
165,1993-10,15.8,,,103.0,,,,,1015.4,5460.0
166,1993-11,8.3,,,71.0,,,,,1018.5,3180.0
167,1993-12,6.0,,,39.0,,,,,1014.8,6840.0
168,1994-01,6.3,,,95.0,,,,,1015.9,7500.0
169,1994-02,5.2,,,26.0,,,,,1016.5,3240.0
170,1994-03,10.8,,,11.0,,,,,1019.3,15120.0
171,1994-04,12.1,,,93.0,,,,,1010.3,10020.0
172,1994-05,17.8,,,17.0,,,,,1013.2,15120.0
173,1994-06,21.1,,,114.0,,,,,1016.0,15540.0
174,1994-07,25.2,,,59.0,,,,,1014.8,19200.0
175,1994-08,26.1,,,18.0,,,,,1013.1,18720.0
176,1994-09,20.5,,,67.0,,,,,1014.7,10620.0
177,1994-10,14.3,,,35.0,,,,,1017.4,8640.0
178,1994-11,10.7,,,16.0,,,,,1020.3,2880.0
179,1994-12,5.4,,,42.0,,,,,1022.2,3240.0
180,1995-01,5.0,,,14.0,,,,,,
181,1995-02,7.1,2.2,12.9,26.0,,,,,1017.2,7680.0
182,1995-03,8.0,2.4,13.0,70.0,,,,,1014.3,11820.0
183,1995-04,11.7,6.3,16.2,34.0,,,,,1014.5,10800.0
184,1995-05,17.0,11.2,21.8,64.0,,,,,1014.2,12060.0
185,1995-06,19.3,13.1,24.4,158.0,,,,,1013.5,15540.0
186,1995-07,25.0,18.9,29.5,60.0,,,,,1013.9,20280.0
187,1995-08,22.1,,,117.0,,,,,,
188,1995-09,18.1,12.7,23.5,113.0,,,,,1012.9,12180.0
189,1995-10,14.7,9.7,20.2,8.0,,,,,1023.1,11460.0
190,1995-11,8.9,4.1,13.0,300.0,,,,,1017.5,6000.0
191,1995-12,5.7,2.5,9.0,74.0,,,,,1015.4,2160.0
192,1996-01,5.1,2.2,7.9,10.0,,,,,1016.4,2520.0
193,1996-02,3.7,0.0,7.9,39.0,,,,,1012.7,6000.0
194,1996-03,6.3,1.7,10.2,29.0,,,,,1014.7,7500.0
195,1996-04,12.6,7.0,17.4,36.0,,,,,1014.5,11520.0
196,1996-05,17.7,11.8,22.8,29.0,,,,,1012.1,15180.0
197,1996-06,22.3,15.9,27.6,21.0,,,,,1017.1,17400.0
198,1996-07,22.8,16.7,27.8,54.0,,,,,1015.6,18960.0
199,1996-08,22.6,,,127.0,,,,,,
200,1996-09,16.9,12.2,21.8,136.0,,,,,1011.9,10140.0
201,1996-10,14.3,,,148.0,,,,,,
202,1996-11,11.0,7.0,14.7,55.0,,,,,1013.9,4800.0
203,1996-12,5.0,1.8,8.5,37.0,,,,,1013.9,3240.0
204,1997-01,4.8,1.5,8.0,40.0,,,,,1021.8,5640.0
205,1997-02,6.4,1.4,11.4,19.0,,,,,1024.5,8220.0
206,1997-03,10.1,4.1,15.2,4.0,,,,,1021.0,15240.0
207,1997-04,10.6,,,49.0,,,,,,
208,1997-05,17.6,,,15.0,,,,,,
209,1997-06,21.7,,,80.0,,,,,,
210,1997-07,23.5,,,19.0,,,,,,
211,1997-08,23.2,17.7,28.3,34.0,,,,,1015.9,16320.0
212,1997-09,20.6,,,7.0,,,,,,
213,1997-10,14.9,,,39.0,,,,,,
214,1997-11,9.9,6.7,13.5,92.0,,,,,1012.3,
215,1997-12,5.9,3.4,8.8,108.0,,,,,1014.9,3720.0
216,1998-01,5.0,,,20.0,,,,,,
217,1998-02,6.5,1.4,12.0,9.0,,,,,1025.0,10920.0
218,1998-03,8.6,3.4,13.2,23.0,,,,,1020.7,12000.0
219,1998-04,13.3,8.4,18.1,28.0,,,,,1009.4,10740.0
220,1998-05,17.0,11.3,21.9,75.0,,,,,1014.1,14880.0
221,1998-06,22.5,16.9,27.1,26.0,,,,,1015.4,
222,1998-07,25.1,19.1,29.8,19.0,,,,,1011.8,
223,1998-08,24.9,,,22.0,,,,,,
224,1998-09,19.1,,,34.0,,,,,,
225,1998-10,15.0,10.1,20.1,66.0,,,,,1015.5,
226,1998-11,8.3,4.5,12.0,45.0,,,,,1016.1,
227,1998-12,3.4,-0.1,7.3,67.0,,,,,1022.4,
228,1999-01,3.8,-0.5,9.1,12.0,,,,,1018.3,
229,1999-02,4.7,-0.8,10.2,43.0,,,,,1013.8,
230,1999-03,9.4,,,13.0,,,,,,
231,1999-04,13.1,8.1,17.7,29.0,,,,,1013.6,
232,1999-05,18.8,13.6,23.7,18.0,,,,,1015.3,
233,1999-06,22.1,16.2,27.1,87.0,,,,,1015.3,
234,1999-07,24.1,18.8,28.7,10.0,,,,,1013.4,
235,1999-08,24.4,19.0,29.5,53.0,,,,,1012.5,
236,1999-09,21.2,16.0,26.1,75.0,,,,,1014.3,
237,1999-10,15.5,11.2,19.4,105.0,,,,,1017.9,
238,1999-11,8.3,4.8,12.1,171.0,,,,,1019.0,
239,1999-12,5.5,1.3,10.1,73.0,,,,,1015.7,
240,2000-01,2.3,-1.9,7.2,14.0,,,,,1023.3,
241,2000-02,5.2,-0.1,10.6,12.0,,,,,1023.4,
242,2000-03,9.2,4.0,13.8,24.0,,,,,1018.4,
243,2000-04,14.0,9.1,18.2,39.0,,,,,1009.7,
244,2000-05,18.9,13.1,23.8,16.0,,,,,1015.6,
245,2000-06,22.2,16.0,26.7,29.0,,,,,1017.7,
246,2000-07,23.2,16.7,28.5,41.0,,,,,1011.9,
247,2000-08,23.8,18.3,28.8,34.0,,,,,1016.0,
248,2000-09,19.7,14.1,24.9,35.0,,,,,1014.3,
249,2000-10,15.7,12.0,19.7,63.0,,,,,1016.5,
250,2000-11,11.7,7.5,16.1,87.0,,,,,1013.3,
251,2000-12,6.7,3.1,9.9,56.0,,,,,1016.4,
252,2001-01,6.5,3.9,9.4,186.0,,,,,,
253,2001-02,6.1,1.4,11.5,37.0,,,,,,
254,2001-03,12.4,7.9,17.2,84.0,,,,,,
255,2001-04,11.8,6.3,16.3,68.0,,,,,,
256,2001-05,18.4,13.5,23.0,27.0,,,,,,
257,2001-06,21.5,15.0,25.9,10.0,,,,,,
258,2001-07,24.2,18.6,28.9,12.0,,,,,,
259,2001-08,25.4,20.0,30.5,42.0,,,,,,
260,2001-09,17.5,12.4,22.9,116.0,,,,,,
261,2001-10,16.6,12.6,21.0,15.0,,,,,,
262,2001-11,8.5,4.6,12.3,113.0,,,,,,
263,2001-12,3.5,-0.6,7.6,37.0,,,,,,
264,2002-01,1.7,-2.2,6.5,8.0,,,,,,
265,2002-02,7.2,3.6,10.5,45.0,,,,,,
266,2002-03,9.9,4.5,14.8,3.0,,,,,,
267,2002-04,12.2,7.5,16.5,79.0,,,,,,
268,2002-05,17.5,12.1,21.9,60.0,,,,,,
269,2002-06,22.5,16.7,27.1,39.0,,,,,,
270,2002-07,23.0,18.4,27.2,99.0,,,,,,
271,2002-08,22.5,17.8,27.1,109.0,,,,,,
272,2002-09,18.3,14.1,22.5,108.0,,,,,,
273,2002-10,15.5,11.1,20.0,65.0,,,,,,
274,2002-11,12.9,9.1,16.8,26.0,,,,,,
275,2002-12,7.2,5.1,9.7,161.0,,,,,,
276,2003-01,3.7,0.5,7.6,54.0,,,,,,
277,2003-02,2.6,-1.8,7.0,16.0,,,,,,
278,2003-03,8.3,3.2,12.8,19.0,,,,,,
279,2003-04,11.5,6.4,16.0,43.0,,,,,,
280,2003-05,18.5,12.9,23.6,11.0,,,,,,
281,2003-06,25.4,19.7,29.8,0.5,,,,,,
282,2003-07,25.8,20.2,30.2,37.0,,,,,,
283,2003-08,26.9,21.6,31.7,15.0,,,,,,
284,2003-09,19.0,13.7,23.5,59.0,,,,,,
285,2003-10,14.1,10.2,18.4,92.0,,,,,,
286,2003-11,10.8,8.2,13.4,71.0,,,,,,
287,2003-12,6.3,2.9,10.1,26.0,,,,,,
288,2004-01,3.6,,,50.0,,,,,,
289,2004-02,5.1,,,48.0,,,,,,
290,2004-03,7.8,,,63.0,,,,,,
291,2004-04,12.7,,,59.0,,,,,,
292,2004-05,15.5,,,26.0,,,,,,
293,2004-06,21.4,,,14.0,,,,,,
294,2004-07,24.6,,,35.0,,,,,,
295,2004-08,24.7,,,10.0,,,,,,
296,2004-09,20.0,,,31.0,,,,,,
297,2004-10,16.9,,,68.0,,,,,,
298,2004-11,10.1,,,43.0,,,,,,
299,2004-12,6.2,,,82.0,,,,,,
300,2005-01,3.1,,,44.0,,,,,,
301,2005-02,3.0,,,41.0,,,,,,
302,2005-03,7.8,,,14.0,,,,,,
303,2005-04,11.9,,,91.0,,,,,,
304,2005-05,18.0,,,28.0,,,,,,
305,2005-06,22.2,,,52.0,,,,,,
306,2005-07,24.0,,,68.0,,,,,,
307,2005-08,21.5,16.6,26.0,137.0,,,,,,
308,2005-09,19.8,,,136.0,,,,,,
309,2005-10,14.6,,,148.0,,,,,,
310,2005-11,9.2,,,23.0,,,,,,
311,2005-12,4.0,,,,,,,,,
312,2006-01,2.7,,,30.0,,,,,,
313,2006-02,4.9,0.8,9.3,40.0,,,,,,
314,2006-03,7.5,2.9,11.7,47.0,,,,,,
315,2006-04,13.1,8.5,17.6,60.0,,,,,,
316,2006-05,17.5,,,53.0,,,,,,
317,2006-06,21.7,16.0,,28.0,,,,,,
318,2006-07,25.4,19.7,,36.0,,,,,,
319,2006-08,22.5,18.0,27.1,112.0,,,9.2,,,
320,2006-09,20.8,,25.5,155.0,,,,,,
321,2006-10,17.0,,,13.0,,,,,,
322,2006-11,11.5,,,9.0,,,,,,
323,2006-12,7.6,,,,,,,,,
324,2007-01,7.4,,,,,,,,,
325,2007-02,7.4,,11.8,5.9,,,,,,
326,2007-03,9.8,,,,,,,,,
327,2007-04,14.2,8.2,19.4,32.0,,,,,,
328,2007-05,18.9,,24.1,28.1,,,,,,
329,2007-06,22.8,17.2,27.2,13.2,,,10.3,,,
330,2007-07,25.7,19.1,30.5,5.5,,,,,,
331,2007-08,23.8,,28.1,,,,,,,
332,2007-09,18.4,,,,,,,,,
333,2007-10,14.5,,,,,,,,,
334,2007-11,8.3,,12.7,20.0,,,,,,
335,2007-12,4.9,,,27.1,,,,,,
336,2008-01,5.4,,,23.7,,,,,,
337,2008-02,5.6,,,13.8,,,,,,
338,2008-03,9.9,,,132.7,,,,,,
339,2008-04,12.9,,18.0,45.1,,,,,,
340,2008-05,17.4,,,,,,,,,
341,2008-06,22.8,,,,,,,,,
342,2008-07,25.9,,,8.1,,,,,,
343,2008-08,25.5,,,,,,,,,
344,2008-09,19.8,15.5,24.2,51.2,,,,,,
345,2008-10,16.9,,,7.0,,,,,,
346,2008-11,10.6,,,73.4,,,,,,
347,2008-12,4.9,,,129.9,,,,,,
348,2009-01,4.4,,,76.6,,,,,,
349,2009-02,5.9,,10.7,,,,,,,
350,2009-03,9.9,,,,,,,,,
351,2009-04,13.4,,,,,,,,,
352,2009-05,19.9,,,72.9,,,,,,
353,2009-06,22.1,,,,,,,,,
354,2009-07,24.5,,,34.5,,,,,,
355,2009-08,26.1,,,42.8,,,,,,
356,2009-09,21.7,,,,,,,,,
357,2009-10,14.4,,,,,,,,,
358,2009-11,10.6,,,58.7,,,,,,
359,2009-12,4.2,,,,,,,,,
360,2010-01,3.0,,,107.9,,,,,,
361,2010-02,5.6,,,86.0,,,,,,
362,2010-03,8.5,,,,,,,,,
363,2010-04,12.4,,,85.8,,,,,,
364,2010-05,17.7,,,106.4,,,,,,
365,2010-06,22.9,,,94.5,,,,,,
366,2010-07,26.4,,,32.0,,,,,,
367,2010-08,23.4,,,55.0,,,,,,
368,2010-09,19.3,,,,,,,,,
369,2010-10,14.0,,,15.7,,,,,,
370,2010-11,10.3,,,,,,,,,
371,2010-12,3.3,,,36.6,,,,,,
372,2011-01,3.5,,,44.3,,,,,,
373,2011-02,5.5,,,7.9,,,,,,
374,2011-03,8.7,,,,,,,,,
375,2011-04,14.6,,,8.6,,,,,,
376,2011-05,18.5,,,44.0,,,,,,
377,2011-06,22.6,,,,,,,,,
378,2011-07,24.1,,,97.6,,,,,,
379,2011-08,25.6,,,,,,,,,
380,2011-09,22.9,,,50.0,,,,,,
381,2011-10,14.2,,,60.8,,,,,,
382,2011-11,8.3,,,,,,,,,
383,2011-12,6.3,,,,,,,,,
384,2012-01,3.4,,,,,,,,,
385,2012-02,2.3,,,117.0,,,,,,
386,2012-03,11.1,,,20.9,,,,,,
387,2012-04,13.6,,,97.1,,,,,,
388,2012-05,17.9,,,,,,,,,
389,2012-06,24.1,,,28.6,,,,,,
390,2012-07,27.2,,,,,,,,,
391,2012-08,26.1,,,25.9,,,,,,
392,2012-09,21.1,,,127.0,,,,,,
393,2012-10,17.2,,,42.8,,,,,,
394,2012-11,12.4,,,,,,,,,
395,2012-12,3.5,,,33.9,,,,,,
396,2013-01,4.2,,,50.0,,,,,,
397,2013-02,5.1,,,70.8,,,,,,
398,2013-03,8.4,,,70.7,,,,,,
399,2013-04,12.9,,,23.7,,,,,,
400,2013-05,15.8,,,15.6,,,,,,
401,2013-06,21.6,,,69.4,,,,,,
402,2013-07,25.4,,,8.4,,,,,,
403,2013-08,25.3,,,,,,,,,
404,2013-09,20.6,,,,,,,,,
405,2013-10,16.9,,,,,,,,,
406,2013-11,12.5,,,,,,,,,
407,2013-12,6.1,,,,,,,,,
408,2014-01,7.9,,,83.3,,,,,,
409,2014-02,9.5,,,85.6,,,,,,
410,2014-03,10.8,,,,,,,,,
411,2014-04,13.1,,,66.6,,,,,,
