,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,14.5,,,,,,,,,
1,1980-02,16.9,,,,,,,,1016.4,
2,1980-03,23.2,,,36.0,,,,,1013.3,
3,1980-04,28.1,,,5.0,,,,,1010.4,
4,1980-05,32.1,,,0.0,,,,,1008.1,
5,1980-06,35.0,,,0.0,,,,,1002.9,
6,1980-07,36.8,,,3.0,,,,,999.9,
7,1980-08,34.9,,,0.0,,,,,1002.4,
8,1980-09,32.5,24.7,,0.0,,,,,1007.8,
9,1980-10,27.9,,35.4,0.0,,,,,1013.5,
10,1980-11,22.5,,,4.0,,,,,1017.8,
11,1980-12,15.3,,22.3,31.0,,,,,1020.3,
12,1981-01,16.3,,,0.5,,,,,1019.0,
13,1981-02,17.3,,,17.0,,,,,1018.1,
14,1981-03,21.8,,,12.0,,,,,1014.2,
15,1981-04,27.1,,,0.5,,,,,1010.5,
16,1981-05,31.7,,,33.0,,,,,1008.1,
17,1981-06,35.2,,,0.0,,,,,1003.8,
18,1981-07,36.2,,,0.0,,,,,999.1,
19,1981-08,35.7,,,0.0,,,,,1001.0,
20,1981-09,32.8,,,0.0,,,,,1007.1,
21,1981-10,27.4,,,0.0,,,,,1014.0,
22,1981-11,21.3,,,0.0,,,,,1017.7,
23,1981-12,18.1,,,0.5,,,,,1020.4,
24,1982-01,15.0,,,0.5,,,,,1019.7,
25,1982-02,13.3,,,16.0,,,,,1018.3,
26,1982-03,19.3,,,42.0,,,,,1015.1,
27,1982-04,26.1,,,19.0,,,,,1012.4,
28,1982-05,31.9,,,34.0,,,,,1009.0,
29,1982-06,35.3,,,0.0,,,,,1003.9,
30,1982-07,36.2,,,0.0,,,,,1000.9,
31,1982-08,34.9,,,0.0,,,,,1002.0,
32,1982-09,34.4,,,0.0,,,,,1007.7,
33,1982-10,27.8,,,27.0,,,,,1012.9,
34,1982-11,17.7,,,53.0,,,,,1018.3,
35,1982-12,12.7,,,16.0,,,,,1021.9,
36,1983-01,13.0,,,0.5,,,,,1022.6,
37,1983-02,15.3,,,4.0,,,,,1019.3,
38,1983-03,18.0,,,41.0,,,,,1017.1,
39,1983-04,25.0,,,15.0,,,,,1011.8,
40,1983-05,32.4,,38.4,4.0,,,,,1007.2,
41,1983-06,35.3,,,0.0,,,,,1004.7,
42,1983-07,36.5,,,0.0,,,,,1000.6,
43,1983-08,36.1,,,0.5,,,,,1000.7,
44,1983-09,32.5,,,0.0,,,,,1006.4,
45,1983-10,25.6,,33.2,0.0,,,,,1014.4,
46,1983-11,22.2,,,0.0,,,,,1018.9,
47,1983-12,15.8,,,0.0,,,,,1018.9,
48,1984-01,14.4,,,0.5,,,,,1018.5,
49,1984-02,17.5,,,11.0,,,,,1018.9,
50,1984-03,22.4,,,52.0,,,,,1012.8,
51,1984-04,27.7,,34.9,4.0,,,,,1010.7,
52,1984-05,31.5,,,4.0,,,,,1006.9,
53,1984-06,33.7,,,0.0,,,,,1002.7,
54,1984-07,35.9,,,0.0,,,,,999.9,
55,1984-08,33.7,,,0.0,,,,,1002.7,
56,1984-09,32.5,,,0.5,,,,,1006.9,
57,1984-10,26.3,,,0.0,,,,,1015.1,
58,1984-11,21.8,,,0.5,,,,,1016.8,
59,1984-12,15.3,,,12.0,,,,,1020.4,
60,1985-01,16.9,11.6,23.4,7.0,,,,,1018.6,
61,1985-02,15.5,9.4,22.5,0.0,,,,,1018.5,
62,1985-03,20.9,14.6,27.7,6.0,,,,,1015.6,
63,1985-04,25.8,19.2,32.7,9.0,,,,,1011.3,
64,1985-05,31.8,25.1,38.5,13.0,,,,,1007.1,
65,1985-06,34.4,26.7,41.8,0.0,,,,,1003.5,
66,1985-07,35.4,28.0,42.5,0.0,,,,,1001.0,
67,1985-08,36.5,29.1,43.5,0.0,,,,,1000.5,
68,1985-09,32.7,25.2,40.3,0.0,,,,,1005.3,
69,1985-10,27.7,20.0,35.6,0.0,,,,,1012.2,
70,1985-11,21.8,16.7,29.5,0.5,,,,,1015.9,
71,1985-12,15.1,9.4,21.3,22.0,,,,,1018.5,
72,1986-01,13.7,7.6,21.1,4.0,,,,,1018.1,
73,1986-02,16.7,10.0,23.2,1.0,,,,,1014.9,
74,1986-03,21.0,14.6,27.5,17.0,,,,,1011.3,
75,1986-04,22.8,17.6,31.0,104.0,,,,,1008.2,
76,1986-05,31.9,25.4,38.7,0.0,,,,,1004.6,
77,1986-06,34.4,26.2,41.6,0.0,,,,,,
78,1986-07,36.5,28.5,44.1,0.0,,,,,997.9,
79,1986-08,36.7,29.3,44.0,0.0,,,,,998.8,
80,1986-09,32.9,,40.4,0.0,,,,,1005.1,
81,1986-10,27.1,21.5,36.0,0.0,,,,,1010.5,
82,1986-11,20.4,15.3,26.9,0.0,,,,,1014.0,
83,1986-12,14.0,9.0,19.6,46.0,,,,,1018.8,
84,1987-01,15.1,8.4,22.1,0.0,,,,,1020.2,
85,1987-02,18.4,12.6,26.1,1.0,,,,,1015.5,
86,1987-03,20.2,14.9,26.0,48.0,,,,,1010.8,
87,1987-04,27.2,19.9,34.1,0.0,,,,,1009.9,
88,1987-05,34.1,27.7,40.4,0.0,,,,,,
89,1987-06,34.9,27.3,42.0,0.0,,,,,,
90,1987-07,37.8,29.7,45.3,0.0,,,,,997.9,
91,1987-08,37.1,28.8,43.7,1.0,,,,,998.7,
92,1987-09,32.9,27.2,41.3,0.0,,,,,1004.1,
93,1987-10,29.5,23.6,35.5,0.0,,,,,,
94,1987-11,21.8,15.2,28.9,0.0,,,,,1017.7,
95,1987-12,16.7,12.1,22.8,0.0,,,,,1020.2,
96,1988-01,13.6,8.9,19.5,13.0,,,,,1018.0,
97,1988-02,17.0,12.0,22.4,36.0,,,,,1016.0,
98,1988-03,22.4,16.5,28.5,10.0,,,,,1013.3,
99,1988-04,26.1,20.4,32.0,10.0,,,,,1011.1,
100,1988-05,32.9,25.8,40.1,0.0,,,,,1007.7,
101,1988-06,35.4,28.5,42.5,0.0,,,,,1002.5,
102,1988-07,35.8,30.2,43.7,0.0,,,,,996.5,
103,1988-08,36.7,29.9,43.5,0.0,,,,,1000.0,
104,1988-09,32.5,26.4,41.1,0.0,,,,,1003.5,
105,1988-10,27.9,21.6,36.0,0.0,,,,,1012.0,
106,1988-11,21.0,14.6,27.8,0.0,,,,,1018.6,
107,1988-12,16.8,10.6,23.7,3.0,,,,,1019.0,
108,1989-01,11.6,5.6,18.5,1.0,,,,,1021.5,
109,1989-02,14.3,8.3,20.2,1.0,,,,,1020.8,
110,1989-03,21.1,14.9,27.3,35.0,,,,,1012.9,
111,1989-04,24.3,18.2,30.8,30.0,,,,,1012.9,
112,1989-05,34.0,24.1,39.6,0.0,,,,,1008.2,
113,1989-06,34.0,25.1,41.4,0.0,,,,,1003.9,
114,1989-07,36.4,27.3,44.2,0.0,,,,,999.9,
115,1989-08,35.2,26.5,43.3,0.0,,,,,1001.3,
116,1989-09,31.5,22.8,39.3,0.0,,,,,1006.8,
117,1989-10,26.7,18.4,34.3,0.0,,,,,,
118,1989-11,22.9,17.3,29.0,0.0,,,,,1017.0,
119,1989-12,15.0,9.7,20.7,0.0,,,,,1018.0,
120,1990-01,13.0,8.6,18.1,20.0,,,,,1021.5,
121,1990-02,15.9,10.9,21.7,1.0,,,,,1016.0,
122,1990-03,20.2,14.9,27.6,20.0,,,,,1016.3,
123,1990-04,26.6,19.9,33.4,0.0,,,,,1010.8,
124,1990-05,32.1,24.7,40.3,2.0,,,,,,
125,1990-06,34.6,25.6,42.6,0.0,,,,,1002.8,
126,1990-07,35.8,27.5,43.8,0.0,,,,,,
127,1990-08,34.6,26.4,42.8,0.0,,,,,,
128,1990-09,32.4,23.7,40.4,0.0,,,,,,
129,1990-10,28.0,19.4,35.6,0.0,,,,,,
130,1990-11,21.3,12.8,29.0,0.0,,,,,,
131,1990-12,17.4,9.5,24.8,0.0,,,,,,
132,1991-01,14.7,10.1,20.1,25.0,,,,,1019.1,
133,1991-02,16.7,10.6,23.1,4.0,,,,,,
134,1991-03,20.5,14.6,26.2,11.0,,,,,1014.3,
135,1991-04,28.1,22.1,34.4,1.0,,,,,1011.6,
136,1991-05,31.4,24.3,38.0,0.0,,,,,1008.8,
137,1991-06,35.0,26.9,42.2,0.0,,,,,,
138,1991-07,34.3,27.0,41.8,0.0,,,,,1000.4,
139,1991-08,34.8,27.3,42.4,0.0,,,,,1001.5,
140,1991-09,31.6,24.1,39.4,0.0,,,,,1007.7,
141,1991-10,27.9,21.1,34.7,0.0,,,,,1013.0,
142,1991-11,21.6,14.4,28.7,0.0,,,,,1018.2,
143,1991-12,17.1,12.1,22.9,5.0,,,,,1018.1,
144,1992-01,11.0,6.1,16.2,15.0,,,,,1022.4,
145,1992-02,14.5,9.0,20.4,7.0,,,,,1019.5,
146,1992-03,17.7,12.5,23.4,27.0,,,,,1017.1,
147,1992-04,25.2,18.8,32.1,10.0,,,,,1011.2,
148,1992-05,31.5,24.7,38.2,5.0,,,,,1007.8,15120.0
149,1992-06,35.1,27.0,42.1,0.0,,,,,1003.2,
150,1992-07,35.1,27.7,41.8,0.0,,,,,,
151,1992-08,35.7,28.5,42.0,0.0,,,,,1002.2,
152,1992-09,32.9,25.2,39.7,0.0,,,,,1007.0,
153,1992-10,26.3,18.8,33.8,0.0,,,,,1013.9,
154,1992-11,20.5,14.7,26.5,2.0,,,,,1018.6,
155,1992-12,14.6,10.1,19.7,34.0,,,,,1018.0,
156,1993-01,12.5,7.9,17.2,55.0,,,,,1021.8,
