,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,20.8,,,0.0,,,,,1013.3,17400.0
1,1980-02,20.7,17.6,,0.0,,,,,1012.1,15240.0
2,1980-03,20.3,,24.1,0.0,,,,,1012.3,17640.0
3,1980-04,22.1,,,0.0,,,,,1011.1,17820.0
4,1980-05,22.0,,,0.0,,,,,1012.7,19200.0
5,1980-06,24.5,,,5.0,,,,,1013.5,14460.0
6,1980-07,26.4,,,26.0,,,,,1013.1,13800.0
7,1980-08,27.1,,,110.0,,,,,1012.7,13260.0
8,1980-09,27.2,,,228.0,,,,,1012.3,12900.0
9,1980-10,26.5,,,14.0,,,,,1012.6,16440.0
10,1980-11,24.6,,,0.5,,,,,1012.4,15240.0
11,1980-12,22.5,,,0.5,,,,,1013.1,12420.0
12,1981-01,21.1,,,3.0,,,,,1013.8,10260.0
13,1981-02,19.1,,,0.0,,,,,1012.6,12420.0
14,1981-03,22.0,,,0.5,,,,,1011.8,17760.0
15,1981-04,21.2,19.0,,0.0,,,,,1010.9,16380.0
16,1981-05,22.8,,,0.5,,,,,1011.6,15060.0
17,1981-06,25.5,,,24.0,,,,,1009.8,16380.0
18,1981-07,27.1,,,72.0,,,,,1012.2,12300.0
19,1981-08,27.4,,,175.0,,,,,1012.4,14280.0
20,1981-09,27.8,,,53.0,,,,,1012.6,13080.0
21,1981-10,27.7,,,11.0,,,,,1011.5,16020.0
22,1981-11,26.8,,31.3,0.0,,,,,1011.3,14460.0
23,1981-12,24.0,,,0.0,,,,,1012.6,12420.0
24,1982-01,21.1,,,0.5,,,,,1013.0,15960.0
25,1982-02,19.2,,,0.5,,,,,1013.1,12840.0
26,1982-03,20.5,,,0.0,,,,,1011.8,16080.0
27,1982-04,20.8,,,0.0,,,,,1011.9,16740.0
28,1982-05,21.5,,,0.5,,,,,1012.4,15180.0
29,1982-06,24.6,,,0.5,,,,,1013.5,13620.0
30,1982-07,26.8,,,105.0,,,,,1013.2,14940.0
31,1982-08,26.9,,,115.0,,,,,1012.5,10740.0
32,1982-09,27.8,,,47.0,,,,,1012.9,12780.0
33,1982-10,27.3,,,43.0,,,,,1012.0,14280.0
34,1982-11,25.4,,,0.5,,,,,1012.2,12240.0
35,1982-12,21.2,,,0.5,,,,,1014.4,11520.0
36,1983-01,21.7,,,0.0,,,,,1013.7,11700.0
37,1983-02,21.8,,,0.5,,,,,1012.7,15120.0
38,1983-03,22.3,,,0.5,,,,,1011.8,14040.0
39,1983-04,21.6,,,0.0,,,,,1011.4,14700.0
40,1983-05,22.2,,,0.5,,,,,1011.2,11520.0
41,1983-06,26.1,,,10.0,,,,,1013.0,12060.0
42,1983-07,27.6,,,0.5,,,,,1012.9,15000.0
43,1983-08,27.7,,,82.0,,,,,1013.6,13800.0
44,1983-09,27.8,,,63.0,,,,,1012.7,14040.0
45,1983-10,28.3,,,0.0,,,,,1012.2,16080.0
46,1983-11,26.5,,,0.0,,,,,1013.2,15420.0
47,1983-12,21.3,,,0.5,,,,,1014.1,13440.0
