,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-1.6,-4.2,1.4,63.0,,,,,1019.5,
1,1980-02,2.7,0.4,5.7,46.0,,,,,1023.0,4980.0
2,1980-03,6.6,3.1,11.3,76.0,,,,,1013.3,8280.0
3,1980-04,9.3,5.4,13.8,89.0,,,,,1013.7,7860.0
4,1980-05,14.3,10.4,18.7,124.0,,,,,1011.3,8400.0
5,1980-06,19.6,15.0,24.6,72.0,,,,,1012.2,14400.0
6,1980-07,20.8,16.2,25.9,91.0,,,,,1012.9,15120.0
7,1980-08,20.4,15.8,25.7,68.0,,,,,1015.7,14580.0
8,1980-09,,11.9,22.4,27.6,,,,,,
9,1980-10,,9.3,18.3,79.6,,,,,,
10,1980-11,6.0,3.0,10.0,89.0,,,,,1017.3,
11,1980-12,1.1,-1.5,4.0,82.0,,,,,1018.6,3780.0
12,1981-01,-1.4,-3.7,1.4,49.0,,,,,1018.7,4320.0
13,1981-02,2.4,-0.2,6.0,22.0,,,,,1019.8,5820.0
14,1981-03,9.8,6.0,15.1,145.0,,,,,1013.4,9540.0
15,1981-04,11.4,6.6,17.1,62.0,,,,,1016.5,12720.0
16,1981-05,16.6,11.9,21.9,47.0,,,,,1013.7,14100.0
17,1981-06,20.9,16.1,26.1,112.0,,,,,1015.1,15120.0
18,1981-07,21.2,16.1,26.4,21.0,,,,,1015.1,14880.0
19,1981-08,21.3,16.3,27.4,73.0,,,,,1016.7,16440.0
20,1981-09,18.3,14.8,23.9,97.0,,,,,1017.3,10020.0
21,1981-10,14.0,9.9,19.7,73.0,,,,,1016.1,10200.0
22,1981-11,5.6,2.8,9.5,91.0,,,,,1024.1,
23,1981-12,2.8,-0.2,6.3,76.0,,,,,1008.1,2820.0
24,1982-01,0.7,-2.9,2.9,44.0,,,,,1022.1,4080.0
25,1982-02,0.0,-2.4,3.2,15.0,,,,,1024.1,6180.0
26,1982-03,6.6,3.0,11.0,75.0,,,,,1018.3,9660.0
27,1982-04,9.1,5.2,13.6,64.0,,,,,1014.7,9900.0
28,1982-05,18.8,13.4,24.2,9.0,,,,,1018.6,14400.0
29,1982-06,21.5,16.1,26.8,86.0,,,,,1014.5,17460.0
30,1982-07,21.4,16.7,26.7,125.0,,,,,1015.0,16380.0
31,1982-08,21.2,16.6,26.6,73.0,,,,,1015.3,15120.0
32,1982-09,20.6,16.0,26.9,30.0,,,,,1019.0,13680.0
33,1982-10,13.7,10.8,18.5,81.0,,,,,1016.9,8460.0
34,1982-11,6.6,3.5,10.9,19.0,,,,,1022.5,7260.0
35,1982-12,5.2,2.3,8.2,79.0,,,,,1016.6,3180.0
36,1983-01,4.8,2.2,7.8,32.0,,,,,1024.3,3840.0
37,1983-02,2.0,-1.0,5.6,16.0,,,,,1018.6,4740.0
38,1983-03,9.0,4.8,14.4,19.0,,,,,1017.8,9000.0
39,1983-04,15.0,10.2,20.8,34.0,,,,,1012.6,11460.0
40,1983-05,18.7,13.7,24.6,63.0,,,,,1011.9,15840.0
41,1983-06,19.1,14.3,23.9,122.0,,,,,1016.5,11700.0
42,1983-07,,17.6,28.8,63.0,,,,,1015.9,15840.0
43,1983-08,22.2,16.7,28.1,41.0,,,,,1015.4,15780.0
44,1983-09,17.2,12.4,23.4,71.0,,,,,1017.9,11880.0
45,1983-10,11.8,7.3,17.5,31.0,,,,,1023.0,9960.0
46,1983-11,3.8,0.8,7.5,31.0,,,,,1021.3,3660.0
47,1983-12,2.2,-0.4,5.0,38.0,,,,,1021.9,3000.0
48,1984-01,2.1,-0.3,5.2,59.0,,,,,1016.6,3600.0
49,1984-02,1.3,-1.1,3.9,78.0,,,,,1020.2,3000.0
50,1984-03,5.6,2.3,9.3,31.0,,,,,1014.3,6120.0
51,1984-04,11.2,6.8,15.8,39.0,,,,,1014.5,8760.0
52,1984-05,16.8,12.2,22.2,88.0,,,,,1009.8,13320.0
53,1984-06,18.8,13.5,24.2,44.0,,,,,1015.4,15480.0
54,1984-07,,14.5,25.4,85.5,,,,,,
55,1984-08,20.2,15.7,25.8,37.0,,,,,1016.1,14640.0
56,1984-09,,14.0,25.0,55.4,,,,,,
57,1984-10,14.1,10.3,19.3,12.0,,,,,1021.1,8820.0
58,1984-11,7.0,3.9,11.4,60.0,,,,,1018.1,7140.0
59,1984-12,1.5,-0.5,4.2,13.0,,,,,1025.9,4560.0
60,1985-01,,-6.0,-0.5,53.6,,,,,,
61,1985-02,-3.1,-6.3,0.3,47.0,,,,,1021.7,4260.0
62,1985-03,5.7,2.4,10.6,72.0,,,,,1016.6,8160.0
63,1985-04,12.8,8.1,17.6,66.0,,,,,1012.6,10920.0
64,1985-05,19.0,13.6,24.5,41.0,,,,,1011.5,16500.0
