,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.4,24.8,30.2,168.0,,,,,1011.3,10740.0
1,1980-02,27.0,24.4,30.1,494.0,,,,,1011.2,9300.0
2,1980-03,28.1,24.7,31.2,77.0,,,,,1011.3,15840.0
3,1980-04,28.0,24.7,31.7,205.0,,,,,1010.3,13140.0
4,1980-05,27.9,25.4,30.6,241.0,,,,,1010.5,10500.0
5,1980-06,27.0,24.9,29.0,65.0,,,,,1012.2,13080.0
6,1980-07,26.1,24.0,28.4,97.0,,,,,1013.4,14640.0
7,1980-08,26.2,24.2,28.7,39.0,,,,,1013.7,15300.0
8,1980-09,26.3,24.2,28.8,25.0,,,,,1013.8,15240.0
9,1980-10,27.1,24.6,30.0,53.0,,,,,1012.9,15540.0
10,1980-11,26.6,23.6,29.9,214.0,,,,,1011.8,9900.0
11,1980-12,26.7,23.9,30.0,210.0,,,,,1011.7,9780.0
12,1981-01,27.1,24.4,30.0,403.0,,,,,1012.5,10080.0
13,1981-02,27.5,24.7,30.4,403.0,,,,,1011.8,10920.0
14,1981-03,28.0,24.8,31.3,209.0,,,,,1011.0,13320.0
15,1981-04,28.4,25.3,31.8,62.0,,,,,1010.8,16200.0
16,1981-05,27.7,25.3,30.6,166.0,,,,,1010.9,12180.0
17,1981-06,26.5,24.4,29.2,35.0,,,,,1012.8,14640.0
18,1981-07,25.8,23.9,28.3,55.0,,,,,1012.9,15720.0
19,1981-08,25.9,24.1,28.3,18.0,,,,,1013.2,15060.0
20,1981-09,26.3,24.5,29.0,18.0,,,,,1012.8,14400.0
21,1981-10,26.6,24.0,29.6,80.0,,,,,1013.0,13860.0
22,1981-11,26.6,23.7,29.4,441.0,,,,,1012.3,12540.0
23,1981-12,26.6,24.0,29.2,550.0,,,,,1012.5,9000.0
24,1982-01,27.0,24.3,30.0,338.0,,,,,1012.2,11100.0
25,1982-02,28.3,25.9,31.0,9.0,,,,,1011.5,11760.0
26,1982-03,27.8,24.8,30.7,208.0,,,,,1011.7,12840.0
27,1982-04,28.1,24.9,31.1,157.0,,,,,1011.0,13860.0
28,1982-05,28.2,25.9,30.6,68.0,,,,,1011.3,15420.0
29,1982-06,27.5,25.0,29.9,47.0,,,,,1012.4,14880.0
30,1982-07,26.3,24.3,28.3,94.0,,,,,1012.4,12780.0
31,1982-08,26.5,24.3,28.6,110.0,,,,,1013.3,12720.0
32,1982-09,27.0,24.4,29.2,216.0,,,,,1013.2,12240.0
33,1982-10,27.0,24.4,29.7,271.0,,,,,1011.7,11040.0
34,1982-11,27.4,24.3,30.5,296.0,,,,,1010.8,10620.0
35,1982-12,27.3,24.0,30.2,351.0,,,,,1011.4,9060.0
36,1983-01,27.1,24.3,30.2,610.0,,,,,1012.3,8100.0
37,1983-02,28.4,25.9,31.3,87.0,,,,,1012.0,9240.0
38,1983-03,28.7,26.0,31.6,127.0,,,,,1011.8,11220.0
39,1983-04,28.3,25.2,31.9,213.0,,,,,1011.1,11640.0
40,1983-05,28.1,25.4,30.9,277.0,,,,,1011.4,15960.0
41,1983-06,27.6,25.3,30.1,68.0,,,,,1012.0,14460.0
42,1983-07,26.8,24.2,29.2,165.0,,,,,1011.7,11520.0
43,1983-08,26.2,23.8,28.6,224.0,,,,,1012.2,10140.0
44,1983-09,26.4,24.1,28.7,390.0,,,,,1012.0,7800.0
45,1983-10,26.8,24.3,29.8,112.0,,,,,1012.3,12360.0
46,1983-11,26.5,23.6,29.9,106.0,,,,,1013.7,12000.0
47,1983-12,26.8,24.2,30.2,292.0,,,,,1011.9,10440.0
48,1984-01,26.6,24.1,29.6,426.0,,,,,1010.3,7500.0
49,1984-02,,23.8,29.3,508.0,,,,,,
50,1984-03,27.5,24.6,31.0,55.0,,,,,1010.4,11280.0
51,1984-04,28.0,25.1,31.3,75.0,,,,,1010.0,14280.0
52,1984-05,26.9,24.6,29.7,11.0,,,,,1011.2,16440.0
53,1984-06,25.7,23.8,28.2,50.0,,,,,1012.5,11880.0
54,1984-07,24.8,23.3,27.2,31.0,,,,,1012.9,14100.0
