,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.1,,,7.0,,,,,1011.2,14040.0
1,1980-02,26.8,,,31.0,,,,,1010.2,12540.0
2,1980-03,27.4,,,0.0,,,,,1010.4,14400.0
3,1980-04,28.6,,,79.0,,,,,1010.5,13800.0
4,1980-05,27.7,,,270.0,,,,,1011.0,10620.0
5,1980-06,26.7,,,380.0,,,,,1013.5,9660.0
6,1980-07,25.8,,,802.0,,,,,1013.5,5760.0
7,1980-08,25.7,,,767.0,,,,,1013.5,5280.0
8,1980-09,26.3,,,379.0,,,,,1012.7,9360.0
9,1980-10,26.8,,,177.0,,,,,1012.4,12240.0
10,1980-11,26.8,,,173.0,,,,,1011.5,11460.0
11,1980-12,26.3,,,32.0,,,,,1010.9,12840.0
12,1981-01,24.9,,,0.5,,,,,1011.4,13920.0
13,1981-02,27.0,,,21.0,,,,,1010.3,13320.0
14,1981-03,28.1,,,14.0,,,,,1010.8,14280.0
15,1981-04,28.4,,,109.0,,,,,1010.2,12900.0
16,1981-05,27.0,,,284.0,,,,,1011.4,9840.0
17,1981-06,26.8,,,311.0,,,,,1012.9,9060.0
18,1981-07,25.5,,,1086.0,,,,,1013.4,4920.0
19,1981-08,25.7,,,514.0,,,,,1013.2,5820.0
20,1981-09,26.1,,,402.0,,,,,1012.9,9000.0
21,1981-10,26.4,,,311.0,,,,,1011.7,12420.0
22,1981-11,27.8,,,75.0,,,,,1010.7,12240.0
23,1981-12,26.6,,,26.0,,,,,1010.8,12000.0
24,1982-01,26.3,,,0.0,,,,,1010.6,15000.0
25,1982-02,26.5,,,0.0,,,,,1010.2,12900.0
26,1982-03,27.7,,,0.0,,,,,1009.9,13740.0
27,1982-04,28.4,,,74.0,,,,,1010.4,12900.0
28,1982-05,27.4,,,196.0,,,,,1011.4,9900.0
29,1982-06,26.6,,,498.0,,,,,1013.7,9240.0
30,1982-07,25.4,,,650.0,,,,,1013.8,5820.0
31,1982-08,25.1,,,104.0,,,,,1013.6,3420.0
32,1982-09,26.0,,,337.0,,,,,1013.1,7980.0
33,1982-10,26.1,,,308.0,,,,,1012.0,7800.0
34,1982-11,26.9,,,99.0,,,,,1011.4,9360.0
35,1982-12,26.0,,,0.0,,,,,1011.6,11580.0
36,1983-01,25.9,,,0.0,,,,,1011.6,11400.0
37,1983-02,27.7,,,13.0,,,,,1011.0,12420.0
38,1983-03,28.6,,,7.0,,,,,1010.4,12300.0
39,1983-04,28.5,,,8.0,,,,,1010.2,13680.0
40,1983-05,28.3,,,160.0,,,,,1010.8,9840.0
41,1983-06,26.3,,,470.0,,,,,1013.2,7320.0
42,1983-07,26.1,,,526.0,,,,,1013.5,6600.0
43,1983-08,25.4,,,760.0,,,,,1014.4,3660.0
44,1983-09,26.0,,,314.0,,,,,1012.9,9000.0
45,1983-10,26.6,,,289.0,,,,,1012.4,11940.0
46,1983-11,27.7,,,84.0,,,,,1012.7,12120.0
47,1983-12,26.9,,,36.0,,,,,1011.9,13920.0
48,1984-01,26.4,,,0.0,,,,,1010.6,11880.0
49,1984-02,27.5,,,0.0,,,,,1009.3,11040.0
50,1984-03,28.0,,,4.0,,,,,1009.3,13200.0
51,1984-04,28.2,,,67.0,,,,,1009.8,9780.0
52,1984-05,27.2,,,266.0,,,,,1010.1,11400.0
53,1984-06,26.2,,,412.0,,,,,1012.3,10020.0
54,1984-07,25.4,,,463.0,,,,,1012.2,7680.0
55,1984-08,25.5,,,431.0,,,,,1012.5,7620.0
56,1984-09,25.9,,,356.0,,,,,1011.7,8640.0
57,1984-10,26.2,,,189.0,,,,,1011.5,8400.0
58,1984-11,26.8,,,115.0,,,,,1010.9,10920.0
59,1984-12,25.9,,,0.0,,,,,1009.7,6540.0
60,1985-01,26.1,,,0.0,,,,,1009.9,11340.0
61,1985-02,26.6,,,24.0,,,,,1009.8,9360.0
62,1985-03,27.3,,,5.0,,,,,1008.1,6000.0
63,1985-04,26.8,,,0.5,,,,,1008.6,8940.0
64,1985-05,27.2,,,153.0,,,,,1010.1,10260.0
65,1985-06,25.5,,,309.0,,,,,1011.2,8460.0
66,1985-07,24.6,,,548.0,,,,,1011.0,6060.0
67,1985-08,24.6,,,614.0,,,,,1010.4,5280.0
68,1985-09,25.6,,,304.0,,,,,1009.8,7980.0
69,1985-10,25.7,,,329.0,,,,,1008.0,12120.0
70,1985-11,26.7,,,137.0,,,,,1008.6,11880.0
71,1985-12,25.7,,,3.0,,,,,1008.1,13740.0
72,1986-01,25.6,,,0.0,,,,,1011.0,14520.0
73,1986-02,26.6,,,0.5,,,,,1007.8,14820.0
74,1986-03,26.5,,,3.0,,,,,1008.0,15300.0
75,1986-04,27.5,,,15.0,,,,,1007.5,12480.0
76,1986-05,27.1,,,220.0,,,,,1008.7,11100.0
77,1986-06,,,,,,,,,,
78,1986-07,24.7,,,546.0,,,,,1012.2,6960.0
79,1986-08,24.8,,,687.0,,,,,1010.9,6600.0
80,1986-09,25.4,,,447.0,,,,,1012.5,8340.0
81,1986-10,25.7,,,272.0,,,,,1010.2,9240.0
82,1986-11,26.0,,,49.0,,,,,1011.5,11820.0
83,1986-12,25.8,,,0.0,,,,,1009.5,12480.0
84,1987-01,26.0,,,0.0,,,,,1012.0,13080.0
85,1987-02,26.1,,,0.0,,,,,1008.9,14220.0
86,1987-03,27.0,,,13.0,,,,,1007.6,15840.0
87,1987-04,27.9,,,79.0,,,,,1008.2,13260.0
88,1987-05,27.4,,,328.0,,,,,1008.2,13140.0
89,1987-06,27.4,,,198.0,,,,,1010.6,10920.0
90,1987-07,26.6,,,494.0,,,,,1009.7,11700.0
91,1987-08,,,,868.0,,,,,,
92,1987-09,,,,,,,,,,
93,1987-10,,,,,,,,,,
94,1987-11,,,,125.0,,,,,,
95,1987-12,,,,,,,,,,
96,1988-01,,,,0.0,,,,,,
97,1988-02,,,,7.0,,,,,,
98,1988-03,,,,1.0,,,,,,
99,1988-04,,,,44.0,,,,,,
100,1988-05,,,,132.0,,,,,,
101,1988-06,,,,,,,,,,
102,1988-07,,,,,,,,,,
103,1988-08,,,,1019.0,,,,,,
104,1988-09,,,,732.0,,,,,,
105,1988-10,26.3,,,206.0,,,,,1008.6,17280.0
106,1988-11,,,,61.0,,,,,,
107,1988-12,,,,1.0,,,,,,
108,1989-01,26.3,,,0.0,,,,,1008.7,
109,1989-02,27.5,,,0.0,,,,,1010.0,10860.0
110,1989-03,26.9,,,0.0,,,,,1007.6,15780.0
111,1989-04,27.0,,,1.0,,,,,1007.6,17460.0
112,1989-05,27.3,,,184.0,,,,,1009.0,
113,1989-06,26.1,,,,,,,,1013.0,
114,1989-07,,,,,,,,,,
115,1989-08,,,,,,,,,,
116,1989-09,26.0,,,315.0,,,,,1011.5,9360.0
117,1989-10,,,,,,,,,,
118,1989-11,,,,,,,,,,
