,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,3.2,,,38.0,,,,,1023.6,7020.0
2,1980-03,5.6,,,66.0,,,,,1012.7,6420.0
3,1980-04,7.9,,,99.0,,,,,1015.1,9420.0
4,1980-05,13.2,,,119.0,,,,,1013.0,8700.0
5,1980-06,16.9,,,,,,,,1013.5,11880.0
6,1980-07,18.3,,,148.0,,,,,1013.8,12960.0
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,9.8,,,270.0,,,,,1015.0,5940.0
10,1980-11,2.5,,,216.0,,,,,1019.0,2220.0
11,1980-12,-2.4,,,114.0,,,,,1021.0,2100.0
12,1981-01,-4.0,,,37.0,,,,,1021.5,7980.0
13,1981-02,-0.4,,,66.0,,,,,1021.2,5760.0
14,1981-03,7.7,,,94.0,,,,,1014.2,7020.0
15,1981-04,10.5,,,66.0,,,,,1017.5,12060.0
16,1981-05,14.3,,,147.0,,,,,1014.1,11760.0
17,1981-06,18.2,,,171.0,,,,,1013.7,13560.0
18,1981-07,19.6,,,94.0,,,,,1016.3,15120.0
19,1981-08,18.7,,,129.0,,,,,1018.0,14640.0
20,1981-09,16.1,,,214.0,,,,,1018.2,7980.0
21,1981-10,,,,,,,,,,
22,1981-11,3.8,,,30.0,,,,,1023.0,7380.0
23,1981-12,,,,,,,,,,
24,1982-01,0.0,,,216.0,,,,,,1920.0
25,1982-02,-0.8,,,19.0,,,,,1025.0,6840.0
26,1982-03,,,,,,,,,,
27,1982-04,8.5,,,26.0,,,,,1016.3,9540.0
28,1982-05,14.6,,,199.0,,,,,1020.3,12660.0
29,1982-06,19.0,,,263.0,,,,,,13500.0
30,1982-07,21.1,,,44.0,,,,,1016.4,10260.0
31,1982-08,19.8,,,158.0,,,,,1016.3,13800.0
32,1982-09,17.9,,,87.0,,,,,1020.4,11400.0
33,1982-10,11.1,,,235.0,,,,,1016.8,4860.0
34,1982-11,5.8,,,102.0,,,,,1021.0,1920.0
35,1982-12,3.7,,,146.0,,,,,1017.5,2520.0
36,1983-01,1.3,,,35.0,,,,,1026.6,4140.0
37,1983-02,-1.0,,,111.0,,,,,1020.0,5700.0
38,1983-03,,,,,,,,,,
39,1983-04,12.0,,,49.0,,,,,1014.5,9120.0
40,1983-05,,,,,,,,,,
41,1983-06,18.4,,,93.0,,,,,1018.6,14880.0
42,1983-07,,,,,,,,,,
43,1983-08,19.7,,,115.0,,,,,1017.1,13560.0
